num	name	http1	spdy3	delta	simple
1	overblog.com	441	264	295	315
2	overblog.com	401	51	41	81
3	overblog.com	414	65	52	96
4	overblog.com	637	138	183	315
5	overblog.com	647	47	52	97
6	overblog.com	61	33	26	34
7	overblog.com	644	48	91	488
8	overblog.com	712	115	129	332
9	overblog.com	61	21	22	34
10	overblog.com	731	54	109	564
11	overblog.com	61	21	22	34
12	overblog.com	729	58	106	562
13	overblog.com	61	21	22	34
14	overblog.com	1119	289	430	903
15	overblog.com	731	46	41	139
16	overblog.com	61	21	22	34
17	overblog.com	732	57	109	565
18	overblog.com	61	21	22	34
19	overblog.com	733	54	109	566
20	overblog.com	61	21	22	34
21	overblog.com	726	51	104	560
22	overblog.com	61	21	22	34
23	overblog.com	1099	91	418	886
24	over-blog-kiwi.com	463	102	106	178
25	over-blog-kiwi.com	459	45	53	106
26	over-blog-kiwi.com	456	55	66	120
27	over-blog-kiwi.com	456	44	61	117
28	over-blog-kiwi.com	453	43	59	114
29	over-blog-kiwi.com	456	36	61	117
30	over-blog-kiwi.com	456	28	61	117
31	over-blog-kiwi.com	454	32	60	115
32	over-blog-kiwi.com	457	31	61	118
33	over-blog-kiwi.com	457	27	61	118
34	over-blog-kiwi.com	457	28	61	118
35	over-blog-kiwi.com	457	28	61	118
36	over-blog-kiwi.com	454	31	60	115
37	over-blog-kiwi.com	457	28	61	118
38	over-blog-kiwi.com	457	27	61	118
39	over-blog-kiwi.com	454	28	60	115
40	over-blog-kiwi.com	457	28	61	118
41	over-blog-kiwi.com	457	27	61	118
42	over-blog-kiwi.com	457	27	61	118
43	over-blog-kiwi.com	459	46	62	119
44	over-blog-kiwi.com	457	41	61	118
45	over-blog-kiwi.com	453	40	59	114
46	over-blog-kiwi.com	449	36	56	111
47	over-blog-kiwi.com	453	35	58	114
48	over-blog-kiwi.com	452	39	58	113
49	over-blog-kiwi.com	456	42	60	117
50	over-blog-kiwi.com	458	42	62	119
51	over-blog-kiwi.com	453	36	59	114
52	over-blog-kiwi.com	454	39	60	115
53	over-blog-kiwi.com	449	36	56	111
54	over-blog-kiwi.com	460	43	63	120
55	over-blog-kiwi.com	459	41	62	119
56	over-blog-kiwi.com	454	32	59	115
57	over-blog-kiwi.com	444	43	53	106
58	over-blog-kiwi.com	449	39	56	111
59	over-blog-kiwi.com	443	47	53	105
60	over-blog-kiwi.com	441	59	63	148
61	over-blog-kiwi.com	444	31	54	105
62	over-blog-kiwi.com	449	105	99	148
63	over-blog-kiwi.com	453	83	74	129
64	over-blog-kiwi.com	448	76	71	125
65	over-blog-kiwi.com	450	79	72	126
66	over-blog-kiwi.com	448	74	71	125
67	over-blog-kiwi.com	448	72	70	125
68	over-blog-kiwi.com	445	73	69	122
69	over-blog-kiwi.com	445	72	68	122
70	over-blog-kiwi.com	461	84	77	136
71	over-blog-kiwi.com	441	68	66	119
72	over-blog-kiwi.com	456	93	77	132
73	over-blog-kiwi.com	458	82	77	133
74	over-blog-kiwi.com	457	85	77	133
75	over-blog-kiwi.com	463	89	80	138
76	over-blog-kiwi.com	442	70	67	119
77	over-blog-kiwi.com	450	76	71	126
78	over-blog-kiwi.com	454	78	74	130
79	over-blog-kiwi.com	443	73	67	120
80	over-blog-kiwi.com	448	74	70	125
81	over-blog-kiwi.com	448	70	70	125
82	over-blog-kiwi.com	455	85	76	131
83	over-blog-kiwi.com	456	86	77	132
84	over-blog-kiwi.com	428	43	60	126
85	over-blog-kiwi.com	425	40	52	102
86	over-blog-kiwi.com	429	37	55	105
87	over-blog-kiwi.com	424	34	50	101
88	over-blog-kiwi.com	426	42	52	103
89	over-blog-kiwi.com	437	42	59	112
90	over-blog-kiwi.com	421	35	49	98
91	over-blog-kiwi.com	444	28	22	136
92	over-blog-kiwi.com	423	31	57	129
93	over-blog-kiwi.com	438	47	61	146
94	over-blog-kiwi.com	442	35	55	106
95	over-blog-kiwi.com	430	44	62	112
96	over-blog-kiwi.com	426	30	55	105
97	over-blog-kiwi.com	422	31	52	102
98	over-blog-kiwi.com	426	27	55	105
99	over-blog-kiwi.com	421	31	50	101
100	over-blog-kiwi.com	423	30	52	103
101	over-blog-kiwi.com	428	42	55	107
102	over-blog-kiwi.com	421	30	51	101
103	over-blog-kiwi.com	418	31	49	98
104	over-blog-kiwi.com	424	31	53	104
105	over-blog.net	438	75	70	156
106	over-blog.net	423	32	48	97
107	over-blog.net	427	31	46	97
108	over-blog.net	425	55	55	140
109	over-blog.net	432	45	52	99
110	over-blog.net	432	69	67	116
111	over-blog.net	412	40	46	95
112	over-blog.net	421	57	52	103
113	over-blog.net	421	27	52	103
114	over-blog.net	414	41	47	97
115	over-blog.net	411	36	45	94
116	over-blog.net	416	39	49	98
117	over-blog.net	416	35	49	98
118	over-blog.net	412	37	46	95
119	over-blog.net	409	36	44	92
120	over-blog.net	404	34	41	88
121	over-blog.net	410	32	44	93
122	over-blog.net	424	45	55	105
123	over-blog.net	412	27	46	95
124	over-blog.net	425	27	18	110
125	over-blog.net	480	78	75	171
126	over-blog.net	432	27	24	146
127	over-blog.net	436	39	51	146
128	over-blog.net	440	31	49	99
129	over-blog.net	425	26	24	140
130	over-blog.net	480	28	18	171
131	over-blog.net	432	26	22	146
132	over-blog.net	425	26	20	110
133	over-blog.net	478	50	75	169
134	over-blog.net	432	26	24	146
135	over-blog.net	440	28	18	149
136	over-blog.net	425	26	22	140
137	over-blog.net	478	28	18	169
138	over-blog.net	432	26	22	146
139	over-blog.net	425	26	20	110
140	over-blog.net	478	27	20	169
141	over-blog.net	432	26	22	146
142	over-blog.net	425	26	20	110
143	over-blog.net	475	46	75	167
144	over-blog.net	432	26	24	146
145	over-blog.net	440	29	20	149
146	over-blog.net	425	26	22	140
147	over-blog.net	475	28	18	167
148	over-blog.net	432	26	22	146
149	ajax.googleapis.com	421	77	69	138
150	google-analytics.com	395	48	43	85
151	google-analytics.com	882	317	371	490
152	google-analytics.com	55	33	20	21
153	google-analytics.com	899	148	414	709
154	google-analytics.com	55	21	20	21
155	google-analytics.com	845	84	365	662
156	google-analytics.com	55	21	20	21
157	google-analytics.com	1024	105	484	819
158	google-analytics.com	55	21	20	21
159	google-analytics.com	990	88	468	789
160	google-analytics.com	55	21	20	21
161	google-analytics.com	1015	79	479	811
162	google-analytics.com	55	21	20	21
163	google-analytics.com	998	88	472	796
164	google-analytics.com	55	21	20	21
165	google-analytics.com	1037	103	495	830
166	google-analytics.com	55	21	20	21
167	google-analytics.com	1007	83	477	804
168	google-analytics.com	55	21	20	21
169	google-analytics.com	993	84	469	791
170	ezakus.net	392	49	44	112
171	ezakus.net	452	65	65	119
172	ezakus.net	482	140	89	166
173	ezakus.net	501	38	73	126
174	ezakus.net	531	45	51	156
175	ezakus.net	521	37	75	123
176	ezakus.net	523	35	53	149
177	ezakus.net	540	37	93	147
178	ezakus.net	529	35	53	154
179	ezakus.net	538	37	88	140
180	ezakus.net	525	38	53	151
181	ezakus.net	540	37	92	145
182	ezakus.net	530	35	53	155
183	ezakus.net	541	37	90	141
184	ezakus.net	526	35	53	152
185	ezakus.net	542	37	94	146
186	ezakus.net	523	35	53	149
187	ezakus.net	535	37	90	142
188	over-blog.com	396	49	36	116
189	over-blog.com	490	136	131	203
190	over-blog.com	610	175	195	282
191	over-blog.com	609	59	189	231
192	over-blog.com	609	50	189	231
193	over-blog.com	609	47	190	231
194	over-blog.com	521	108	111	154
195	over-blog.com	535	92	118	167
196	over-blog.com	541	82	125	172
197	over-blog.com	609	170	187	231
198	over-blog.com	673	143	246	287
199	over-blog.com	609	68	187	231
200	over-blog.com	613	68	192	235
201	over-blog.com	629	92	207	249
202	over-blog.com	625	78	204	245
203	over-blog.com	609	55	190	231
204	over-blog.com	673	124	245	287
205	over-blog.com	621	76	200	242
206	over-blog.com	641	83	216	259
207	over-blog.com	597	58	177	221
208	over-blog.com	605	67	185	228
209	over-blog.com	595	141	175	219
210	over-blog.com	605	52	185	228
211	over-blog.com	593	48	172	217
212	over-blog.com	597	50	175	221
213	over-blog.com	605	49	184	228
214	over-blog.com	625	70	201	245
215	over-blog.com	673	114	245	287
216	over-blog.com	613	67	192	235
217	over-blog.com	597	55	175	221
218	over-blog.com	605	65	183	228
219	over-blog.com	597	54	177	221
220	over-blog.com	593	54	173	217
221	over-blog.com	629	78	206	249
222	over-blog.com	645	94	220	263
223	over-blog.com	625	70	201	245
224	over-blog.com	631	95	207	251
225	over-blog.com	621	74	200	242
226	over-blog.com	597	56	178	221
227	over-blog.com	609	59	188	231
