num	name	http1	spdy3	delta	simple
1	overblog.com	542	345	336	343
2	overblog.com	387	115	125	137
3	overblog.com	400	124	107	167
4	overblog.com	395	62	81	156
5	overblog.com	543	78	107	206
6	overblog.com	19	28	22	10
7	overblog.com	460	90	101	315
8	overblog.com	544	90	89	201
9	overblog.com	19	21	18	10
10	overblog.com	543	78	99	344
11	overblog.com	19	21	18	10
12	overblog.com	543	71	55	344
13	overblog.com	19	21	18	10
14	overblog.com	296	50	58	195
15	overblog.com	543	78	80	243
16	overblog.com	19	21	18	10
17	overblog.com	543	76	93	344
18	overblog.com	19	21	18	10
19	overblog.com	543	80	101	344
20	overblog.com	19	21	18	10
21	overblog.com	543	69	54	344
22	overblog.com	19	21	18	10
23	overblog.com	296	29	47	195
24	over-blog-kiwi.com	487	165	201	235
25	over-blog-kiwi.com	483	64	59	112
26	over-blog-kiwi.com	502	117	132	160
27	over-blog-kiwi.com	441	97	100	121
28	over-blog-kiwi.com	443	86	120	134
29	over-blog-kiwi.com	443	37	42	121
30	over-blog-kiwi.com	445	59	89	122
31	over-blog-kiwi.com	467	64	59	146
32	over-blog-kiwi.com	442	43	69	128
33	over-blog-kiwi.com	443	36	39	112
34	over-blog-kiwi.com	443	41	54	108
35	over-blog-kiwi.com	466	63	54	128
36	over-blog-kiwi.com	467	53	55	130
37	over-blog-kiwi.com	442	36	46	128
38	over-blog-kiwi.com	443	38	42	112
39	over-blog-kiwi.com	444	38	34	110
40	over-blog-kiwi.com	445	44	68	131
41	over-blog-kiwi.com	440	56	70	112
42	over-blog-kiwi.com	440	46	45	96
43	over-blog-kiwi.com	465	87	64	125
44	over-blog-kiwi.com	468	61	83	144
45	over-blog-kiwi.com	440	47	72	120
46	over-blog-kiwi.com	445	49	69	128
47	over-blog-kiwi.com	467	48	53	138
48	over-blog-kiwi.com	442	45	44	119
49	over-blog-kiwi.com	468	47	50	139
50	over-blog-kiwi.com	445	36	45	121
51	over-blog-kiwi.com	442	38	42	120
52	over-blog-kiwi.com	444	41	45	113
53	over-blog-kiwi.com	445	46	49	122
54	over-blog-kiwi.com	440	58	74	112
55	over-blog-kiwi.com	466	56	65	126
56	over-blog-kiwi.com	440	52	72	112
57	over-blog-kiwi.com	441	51	70	104
58	over-blog-kiwi.com	467	75	104	143
59	over-blog-kiwi.com	370	64	62	110
60	over-blog-kiwi.com	485	79	114	163
61	over-blog-kiwi.com	484	70	100	128
62	over-blog-kiwi.com	469	152	137	260
