num	name	http1	spdy3	delta	simple
1	wikipedia.org	517	304	351	381
2	wikipedia.org	514	103	93	146
3	wikipedia.org	602	151	158	222
4	wikipedia.org	509	68	89	141
5	wikipedia.org	487	46	50	142
6	wikipedia.org	514	27	22	154
7	wikipedia.org	572	42	68	270
8	wikipedia.org	509	28	26	204
9	wikipedia.org	469	50	37	181
10	wikipedia.org	514	28	26	209
11	wikipedia.org	558	36	53	258
12	wikipedia.org	509	28	26	204
13	wikipedia.org	480	52	56	190
14	wikipedia.org	514	28	26	209
15	wikipedia.org	583	36	72	280
16	wikipedia.org	509	28	26	204
17	wikipedia.org	512	74	60	218
18	wikipedia.org	514	28	26	209
19	wikipedia.org	590	36	75	286
20	wikipedia.org	509	28	26	204
21	wikipedia.org	484	46	34	194
22	wikipedia.org	514	28	26	209
23	wikipedia.org	555	36	50	255
24	wikipedia.org	509	28	26	204
25	wikipedia.org	448	44	34	162
26	wikipedia.org	514	28	26	209
27	wikipedia.org	554	36	50	254
28	wikipedia.org	509	28	26	204
29	wikipedia.org	470	55	52	182
30	wikipedia.org	514	28	26	209
31	wikipedia.org	577	36	68	274
32	wikipedia.org	509	28	26	204
33	wikipedia.org	524	72	73	229
34	wikipedia.org	514	28	26	209
35	wikipedia.org	608	37	89	301
36	wikipedia.org	509	28	26	204
37	wikipedia.org	513	42	44	219
38	wikipedia.org	514	28	26	209
39	wikipedia.org	566	36	60	265
40	wikipedia.org	509	28	26	204
41	wikipedia.org	489	55	56	198
42	wikipedia.org	514	28	26	209
43	wikipedia.org	509	26	18	141
44	wikimedia.org	642	189	187	272
45	wikimedia.org	521	37	77	133
46	wikimedia.org	510	45	83	140
47	wikimedia.org	433	40	25	70
48	wikimedia.org	515	35	82	141
49	wikimedia.org	507	33	77	134
50	wikimedia.org	544	62	103	167
51	wikimedia.org	674	128	194	280
52	wikimedia.org	465	67	65	113
53	wikimedia.org	489	62	64	117
54	wikimedia.org	506	64	75	132
55	wikimedia.org	497	51	69	124
56	wikimedia.org	507	64	79	133
57	wikimedia.org	497	47	69	124
58	wikimedia.org	516	67	82	140
59	wikimedia.org	483	46	60	112
60	wikimedia.org	530	73	90	153
61	wikimedia.org	466	38	47	97
62	wikimedia.org	487	45	61	115
63	wikimedia.org	527	61	88	150
64	wikimedia.org	493	46	66	120
65	wikimedia.org	513	49	79	138
66	wikimedia.org	519	59	85	143
