num	name	http1	spdy3	delta	simple
1	wikipedia.org	833	363	491	567
2	wikipedia.org	767	117	329	444
3	wikipedia.org	737	92	291	440
4	wikipedia.org	774	70	286	434
5	wikipedia.org	836	99	296	497
6	wikipedia.org	767	33	36	452
7	wikipedia.org	735	50	259	440
8	wikipedia.org	774	33	28	444
9	wikipedia.org	835	75	289	497
10	wikipedia.org	767	33	26	452
11	wikipedia.org	735	32	32	440
12	wikipedia.org	774	33	26	444
13	wikipedia.org	836	88	289	497
14	wikipedia.org	767	33	26	452
15	wikipedia.org	735	36	50	440
16	wikipedia.org	774	33	26	444
17	wikipedia.org	838	81	291	499
18	wikipedia.org	767	33	26	452
19	wikipedia.org	735	32	30	440
20	wikipedia.org	774	33	26	444
21	wikipedia.org	836	105	291	497
22	wikipedia.org	767	33	26	452
23	wikipedia.org	736	42	147	439
24	wikipedia.org	774	33	26	442
25	wikipedia.org	835	72	288	497
26	wikipedia.org	767	33	26	452
27	wikipedia.org	736	32	28	441
28	wikipedia.org	774	33	22	444
29	wikipedia.org	810	73	293	476
30	wikipedia.org	767	33	26	452
31	wikipedia.org	736	32	24	441
32	wikipedia.org	774	33	22	444
33	wikipedia.org	837	66	292	498
34	wikipedia.org	767	33	26	452
35	wikipedia.org	736	32	24	441
36	wikipedia.org	774	33	22	444
37	wikipedia.org	837	83	290	498
38	wikipedia.org	767	33	26	452
39	wikipedia.org	735	33	49	440
40	wikipedia.org	774	33	26	444
41	wikipedia.org	857	86	292	513
42	wikipedia.org	767	33	28	450
43	wikipedia.org	774	29	18	409
44	wikimedia.org	746	244	343	441
45	wikimedia.org	745	91	133	224
46	wikimedia.org	724	111	132	233
47	wikimedia.org	459	105	209	252
48	wikimedia.org	724	95	142	420
49	wikimedia.org	753	85	111	231
50	wikimedia.org	763	126	171	272
51	wikimedia.org	762	86	126	226
52	wikimedia.org	693	180	342	490
53	wikimedia.org	561	109	248	314
54	wikimedia.org	561	86	246	311
55	wikimedia.org	561	89	235	311
56	wikimedia.org	562	77	239	312
57	wikimedia.org	514	68	217	300
58	wikimedia.org	688	229	329	416
59	wikimedia.org	563	85	241	313
60	wikimedia.org	562	75	237	312
61	wikimedia.org	601	106	253	353
62	wikimedia.org	610	130	275	357
63	wikimedia.org	562	84	237	315
64	wikimedia.org	562	87	233	303
65	wikimedia.org	540	84	237	301
66	wikimedia.org	561	81	237	314
67	wikimedia.org	561	78	233	302
68	wikimedia.org	562	85	233	303
69	wikimedia.org	669	161	300	408
70	wikimedia.org	560	76	234	313
71	wikimedia.org	540	92	235	301
72	wikimedia.org	538	79	232	300
73	wikimedia.org	758	163	346	484
74	wikimedia.org	562	63	238	315
75	wikimedia.org	754	222	336	464
76	wikimedia.org	596	169	162	339
77	wikimedia.org	492	147	154	199
78	wikimedia.org	600	115	141	225
79	wikimedia.org	668	163	300	477
80	wikimedia.org	669	151	301	408
81	wikimedia.org	670	158	297	409
82	wikimedia.org	764	98	132	483
83	wikimedia.org	747	110	139	219
84	wikimedia.org	797	97	302	514
85	wikimedia.org	736	72	245	439
86	wikimedia.org	598	142	190	349
87	wikimedia.org	516	67	228	363
88	wikimedia.org	562	77	238	312
89	wikimedia.org	746	32	54	468
90	wikimedia.org	745	33	28	224
91	wikimedia.org	724	32	24	233
92	wikimedia.org	763	34	30	277
93	wikimedia.org	762	33	18	226
94	wikimedia.org	459	30	26	260
95	wikimedia.org	558	78	238	378
96	wikimedia.org	542	72	216	315
97	wikimedia.org	563	78	236	304
98	wikimedia.org	668	171	297	407
99	wikimedia.org	546	88	312	385
100	wikimedia.org	587	65	218	322
101	wikimedia.org	587	54	196	322
102	wikimedia.org	588	97	239	323
103	wikimedia.org	560	29	28	377
104	wikimedia.org	562	80	233	303
105	wikimedia.org	562	30	18	303
106	wikimedia.org	562	78	232	303
107	wikimedia.org	563	73	239	304
108	wikimedia.org	561	79	232	302
109	wikimedia.org	561	80	233	302
110	wikimedia.org	561	66	79	302
111	wikimedia.org	588	65	168	325
112	wikimedia.org	754	171	348	481
113	wikimedia.org	596	29	40	339
114	wikimedia.org	587	50	196	417
115	wikimedia.org	492	30	32	314
116	wikimedia.org	600	31	22	225
117	wikimedia.org	724	87	36	332
118	wikimedia.org	764	32	32	278
119	wikimedia.org	747	34	22	219
120	wikimedia.org	753	86	28	268
121	wikimedia.org	797	36	38	517
122	wikimedia.org	760	65	130	454
123	wikimedia.org	598	29	34	349
124	wikimedia.org	514	34	36	361
125	wikimedia.org	546	52	106	391
126	wikimedia.org	746	32	48	469
127	wikimedia.org	745	33	24	224
128	wikimedia.org	724	32	24	233
