num	name	http1	spdy3	delta	simple
1	xiti.com	312	271	232	236
2	xiti.com	603	238	255	313
3	xiti.com	312	33	81	98
4	xiti.com	586	59	170	345
5	xiti.com	327	33	87	107
6	xiti.com	594	65	175	352
7	xiti.com	320	49	85	105
8	xiti.com	656	109	223	406
9	xiti.com	390	53	97	119
10	xiti.com	709	63	264	453
11	xiti.com	390	37	96	119
12	xiti.com	736	75	285	476
13	xiti.com	420	46	109	134
14	xiti.com	748	54	294	487
15	xiti.com	420	38	109	134
16	xiti.com	748	53	294	487
17	xiti.com	420	37	109	134
18	xiti.com	748	57	294	487
19	xiti.com	420	40	109	134
20	xiti.com	748	51	294	487
21	xiti.com	420	37	110	134
22	xiti.com	663	48	198	413
23	meteofrance.com	455	57	100	171
24	meteofrance.com	631	159	168	227
25	meteofrance.com	530	79	68	139
26	meteofrance.com	522	75	62	111
27	meteofrance.com	515	47	38	88
28	meteofrance.com	536	60	57	164
29	meteofrance.com	539	33	43	95
30	meteofrance.com	519	62	45	149
31	meteofrance.com	510	63	52	100
32	meteofrance.com	491	42	33	80
33	meteofrance.com	487	45	30	77
34	meteofrance.com	508	67	43	95
35	meteofrance.com	486	40	29	76
36	meteofrance.com	491	45	32	80
37	meteofrance.com	497	47	35	85
38	meteofrance.com	498	42	36	86
39	meteofrance.com	497	38	36	85
40	meteofrance.com	510	61	44	97
41	meteofrance.com	531	74	59	115
42	meteofrance.com	496	41	35	84
43	meteofrance.com	497	41	36	85
44	meteofrance.com	497	30	36	85
45	meteofrance.com	497	34	36	85
46	meteofrance.com	492	38	33	81
47	meteofrance.com	489	43	31	78
48	meteofrance.com	487	35	30	77
49	meteofrance.com	484	44	28	74
50	meteofrance.com	482	35	26	72
51	meteofrance.com	489	42	31	78
52	meteofrance.com	498	38	30	90
53	meteofrance.com	265	57	49	49
54	meteofrance.com	492	46	45	208
55	meteofrance.com	490	41	31	79
56	meteofrance.com	491	39	32	80
57	meteofrance.com	494	40	34	83
58	meteofrance.com	492	43	33	81
59	meteofrance.com	493	34	33	82
60	meteofrance.com	498	50	37	86
61	meteofrance.com	498	44	37	86
62	meteofrance.com	499	40	37	87
63	meteofrance.com	500	37	38	88
64	meteofrance.com	496	33	35	84
65	meteofrance.com	497	33	36	85
66	meteofrance.com	494	45	34	83
67	meteofrance.com	487	41	29	77
68	meteofrance.com	489	37	30	78
69	meteofrance.com	488	37	30	77
70	meteofrance.com	495	45	35	84
71	meteofrance.com	495	40	34	84
72	meteofrance.com	485	38	29	75
73	meteofrance.com	509	43	45	96
74	meteofrance.com	496	41	35	84
75	meteofrance.com	496	44	35	84
76	meteofrance.com	498	33	37	86
77	meteofrance.com	495	35	34	84
78	meteofrance.com	492	38	33	81
79	meteofrance.com	495	35	34	84
80	meteofrance.com	494	45	34	83
81	meteofrance.com	497	44	37	85
82	meteofrance.com	497	31	37	85
83	meteofrance.com	497	32	37	85
84	meteofrance.com	491	39	32	80
85	meteofrance.com	492	35	32	81
86	meteofrance.com	493	45	34	82
87	meteofrance.com	492	41	33	81
88	meteofrance.com	494	42	34	83
89	meteofrance.com	489	42	31	78
90	meteofrance.com	487	37	29	77
91	meteofrance.com	486	35	29	76
92	meteofrance.com	485	36	28	75
93	meteofrance.com	487	37	29	77
94	meteofrance.com	499	39	38	87
95	meteofrance.com	495	42	35	84
96	meteofrance.com	494	34	34	83
97	meteofrance.com	490	33	32	79
98	meteofrance.com	489	37	32	78
99	meteofrance.com	497	34	36	85
100	meteofrance.com	491	40	33	80
101	meteofrance.com	498	40	37	86
102	meteofrance.com	496	36	35	84
103	meteofrance.com	494	45	34	83
104	meteofrance.com	488	40	30	77
105	meteofrance.com	484	37	27	74
106	meteofrance.com	500	46	38	88
107	meteofrance.com	489	33	31	78
108	meteofrance.com	516	74	41	160
109	meteofrance.com	503	38	29	77
110	meteofrance.com	511	49	35	84
111	meteofrance.com	243	46	42	41
112	meteofrance.com	252	47	38	49
113	meteofrance.com	535	84	39	266
114	meteofrance.com	522	71	24	177
115	meteofrance.com	515	45	14	88
116	meteofrance.com	516	30	22	163
117	meteofrance.com	536	44	20	109
118	meteofrance.com	539	33	14	95
119	meteofrance.com	519	44	16	149
120	meteofrance.com	510	63	20	100
121	meteofrance.com	491	40	14	80
122	meteofrance.com	484	42	14	74
123	meteofrance.com	482	35	14	72
124	meteofrance.com	489	42	14	78
125	meteofrance.com	498	38	20	90
126	meteofrance.com	487	38	20	80
127	meteofrance.com	492	40	14	81
128	meteofrance.com	490	39	14	79
129	meteofrance.com	491	39	14	80
130	meteofrance.com	494	43	14	83
131	meteofrance.com	492	43	14	81
132	meteofrance.com	493	35	14	82
133	meteofrance.com	498	42	14	86
134	meteofrance.com	498	43	14	86
