num	name	http1	spdy3	delta	simple
1	xiti.com	22	50	32	8
2	xiti.com	499	355	314	324
3	xiti.com	22	21	24	8
4	xiti.com	499	28	45	324
5	xiti.com	22	21	22	8
6	xiti.com	376	61	66	220
7	xiti.com	22	21	22	8
8	xiti.com	376	28	41	220
9	xiti.com	22	21	22	8
10	xiti.com	376	29	41	220
11	xiti.com	22	21	22	8
12	xiti.com	376	24	18	220
13	xiti.com	22	21	18	8
14	xiti.com	376	28	41	220
15	xiti.com	22	21	22	8
16	xiti.com	499	31	45	324
17	xiti.com	22	21	22	8
18	xiti.com	376	28	22	220
19	xiti.com	22	21	18	8
20	xiti.com	376	28	41	220
21	xiti.com	22	21	22	8
22	xiti.com	376	24	18	220
23	meteofrance.com	538	242	292	290
24	meteofrance.com	424	85	139	174
25	meteofrance.com	395	108	117	140
26	meteofrance.com	433	135	110	143
27	meteofrance.com	460	72	69	123
28	meteofrance.com	433	51	58	110
29	meteofrance.com	433	78	69	100
30	meteofrance.com	367	53	75	126
31	meteofrance.com	452	56	73	169
32	meteofrance.com	445	46	42	89
33	meteofrance.com	491	123	142	189
34	meteofrance.com	442	66	95	106
35	meteofrance.com	481	77	98	136
36	meteofrance.com	488	65	99	137
37	meteofrance.com	486	69	85	114
38	meteofrance.com	487	72	87	115
39	meteofrance.com	510	78	98	146
40	meteofrance.com	479	67	91	119
41	meteofrance.com	463	71	100	117
42	meteofrance.com	484	62	97	148
43	meteofrance.com	482	70	95	123
44	meteofrance.com	484	64	115	125
45	meteofrance.com	486	68	97	135
46	meteofrance.com	483	62	92	121
47	meteofrance.com	483	58	94	124
48	meteofrance.com	481	55	84	112
49	meteofrance.com	449	64	84	160
50	meteofrance.com	450	45	44	91
51	meteofrance.com	450	56	70	99
52	meteofrance.com	431	44	55	116
53	meteofrance.com	22	23	22	8
54	meteofrance.com	507	66	113	296
55	meteofrance.com	487	66	100	127
56	meteofrance.com	484	59	85	113
57	meteofrance.com	481	56	98	131
58	meteofrance.com	482	53	90	122
59	meteofrance.com	483	53	85	114
60	meteofrance.com	480	57	91	120
61	meteofrance.com	479	53	83	111
62	meteofrance.com	480	53	83	112
63	meteofrance.com	483	53	92	124
64	meteofrance.com	482	53	92	123
65	meteofrance.com	482	58	85	113
66	meteofrance.com	482	54	93	123
67	meteofrance.com	483	56	97	133
68	meteofrance.com	483	51	86	114
69	meteofrance.com	482	47	85	113
70	meteofrance.com	480	55	89	120
71	meteofrance.com	486	66	120	135
72	meteofrance.com	483	56	89	124
73	meteofrance.com	512	74	95	147
74	meteofrance.com	511	73	93	141
75	meteofrance.com	480	53	93	120
76	meteofrance.com	481	53	84	112
77	meteofrance.com	511	72	94	147
78	meteofrance.com	480	54	89	120
79	meteofrance.com	509	65	93	145
80	meteofrance.com	485	60	97	126
81	meteofrance.com	486	60	94	127
82	meteofrance.com	484	58	95	124
83	meteofrance.com	484	51	92	116
84	meteofrance.com	481	57	90	121
85	meteofrance.com	481	49	84	112
86	meteofrance.com	483	58	91	123
87	meteofrance.com	482	50	93	122
88	meteofrance.com	480	50	83	112
89	meteofrance.com	481	50	84	112
90	meteofrance.com	481	47	84	112
91	meteofrance.com	483	54	95	124
92	meteofrance.com	484	48	85	113
93	meteofrance.com	482	47	84	112
94	meteofrance.com	482	57	97	132
95	meteofrance.com	483	54	96	124
96	meteofrance.com	481	53	96	131
97	meteofrance.com	507	56	89	134
98	meteofrance.com	483	48	92	133
99	meteofrance.com	510	69	99	155
100	meteofrance.com	509	55	92	140
101	meteofrance.com	480	51	93	130
102	meteofrance.com	484	49	88	113
103	meteofrance.com	484	51	84	113
104	meteofrance.com	480	47	91	121
105	meteofrance.com	479	47	86	111
106	meteofrance.com	479	46	84	111
107	meteofrance.com	482	54	94	123
108	meteofrance.com	413	84	79	122
109	meteofrance.com	481	54	96	143
110	meteofrance.com	406	52	68	106
111	meteofrance.com	22	37	22	8
112	meteofrance.com	22	21	8	8
113	meteofrance.com	457	212	128	321
114	meteofrance.com	433	102	38	147
115	meteofrance.com	460	69	24	123
116	meteofrance.com	413	25	30	146
117	meteofrance.com	433	50	30	144
118	meteofrance.com	433	76	22	100
