num	name	http1	spdy3	delta	simple
1	google.fr	516	324	359	379
2	google.fr	723	251	211	273
3	google.fr	701	65	43	112
4	google.fr	701	39	33	99
5	google.fr	876	198	166	252
6	google.fr	712	60	40	109
7	google.fr	696	54	42	106
8	google.fr	694	37	34	105
9	google.fr	616	277	309	372
10	google.fr	731	53	47	452
11	google.fr	49	33	24	25
12	google.fr	701	30	28	527
13	google.fr	701	30	14	99
14	google.fr	876	32	14	252
15	google.fr	729	99	161	350
16	google.fr	707	33	20	104
17	google.fr	694	31	30	320
18	google.fr	593	135	295	392
19	google.fr	768	42	41	469
20	google.fr	733	67	86	154
21	google.fr	701	31	24	315
22	google.fr	800	90	109	413
23	google.fr	707	33	20	104
24	google.fr	567	110	282	345
25	google.fr	771	46	43	471
26	google.fr	723	61	84	145
27	google.fr	743	68	60	125
28	google.fr	734	61	45	113
29	google.fr	717	41	33	98
30	google.fr	453	153	197	218
31	google.fr	453	28	64	118
32	google.fr	769	39	40	467
33	google.fr	776	45	33	98
34	google.fr	744	50	81	163
35	google.fr	739	35	37	103
36	google.fr	772	42	33	148
37	google.fr	701	32	26	318
38	google.fr	785	99	127	399
39	google.fr	769	39	36	151
40	gstatic.com	403	68	65	126
41	gstatic.com	403	24	8	81
42	gstatic.com	398	48	42	116
43	gstatic.com	403	24	22	109
44	gstatic.com	268	77	59	96
45	gstatic.com	398	24	24	182
46	gstatic.com	382	64	74	115
47	gstatic.com	506	137	134	198
48	gstatic.com	405	32	20	110
49	gstatic.com	378	33	35	86
50	gstatic.com	387	48	36	81
51	google.com	483	55	57	191
52	google.com	483	26	8	101
53	google.com	483	26	8	101
54	google.com	469	39	41	140
55	google.com	485	48	49	154
56	google.com	488	45	40	105
57	google.com	488	29	40	105
58	google.com	489	34	41	106
59	google.com	489	33	41	106
60	google.com	488	31	40	105
61	google.com	497	39	46	113
62	google.com	499	31	47	115
63	google.com	489	33	41	106
64	google.com	487	36	39	105
65	google.com	488	35	40	105
66	google.com	486	34	39	104
67	google.com	488	32	40	105
68	google.com	488	33	40	105
69	google.com	486	30	39	104
70	google.com	487	34	39	105
71	google.com	491	39	42	108
72	google.com	490	38	42	107
73	google.com	486	31	39	104
74	google.com	492	37	43	109
75	google.com	490	34	41	107
76	google.com	487	34	39	105
77	google.com	486	31	39	104
78	google.com	491	33	42	108
79	google.com	489	36	41	106
80	google.com	488	34	40	105
81	google.com	488	31	40	105
82	google.com	487	33	39	105
83	google.com	494	37	44	111
84	google.com	489	35	41	106
85	google.com	488	32	40	105
86	google.com	484	56	38	102
87	google.com	514	39	44	183
88	google.com	725	243	239	344
89	google.com	716	60	60	128
90	google.com	717	52	56	126
91	google.com	716	48	55	125
92	google.com	736	90	70	142
93	fonts.googleapis.com	428	78	66	159
94	google-analytics.com	390	40	49	86
95	google-analytics.com	918	328	401	524
96	googleusercontent.com	462	110	99	146
97	googleusercontent.com	462	49	76	121
98	googleusercontent.com	462	49	75	121
