num	name	http1	spdy3	delta	simple
1	google.fr	929	614	621	695
2	google.fr	465	148	147	151
3	google.fr	468	73	91	112
4	google.fr	469	61	101	112
5	google.fr	563	120	160	184
6	google.fr	545	94	96	186
7	google.fr	318	65	58	98
8	google.fr	489	57	83	168
9	google.fr	22	37	33	8
10	google.fr	619	93	191	434
11	google.fr	19	28	22	10
12	google.fr	468	28	30	260
13	google.fr	469	30	22	112
14	google.fr	563	29	30	184
15	google.fr	520	36	32	170
16	google.fr	318	30	34	103
17	google.fr	489	28	38	176
18	google.fr	22	22	18	8
19	google.fr	444	36	42	290
20	google.fr	464	49	67	140
21	google.fr	469	29	32	143
22	google.fr	562	51	87	183
23	google.fr	318	25	34	107
24	google.fr	22	22	18	8
25	google.fr	527	102	147	332
26	google.fr	473	82	92	148
27	google.fr	490	70	94	141
28	google.fr	550	87	132	185
29	google.fr	448	72	80	145
30	google.fr	22	22	22	8
31	google.fr	22	21	8	8
32	google.fr	506	109	146	309
33	google.fr	504	73	89	155
34	google.fr	502	55	53	103
35	google.fr	529	51	47	116
36	google.fr	420	43	61	158
37	google.fr	469	30	32	154
38	google.fr	562	55	85	183
39	google.fr	480	69	87	197
40	gstatic.com	468	70	103	154
41	gstatic.com	468	26	8	77
42	gstatic.com	469	78	94	112
43	gstatic.com	468	26	18	112
44	gstatic.com	22	22	18	8
45	gstatic.com	469	26	22	261
46	gstatic.com	467	46	76	111
47	gstatic.com	401	105	108	141
48	gstatic.com	522	81	111	195
49	gstatic.com	467	60	102	119
50	gstatic.com	488	62	104	138
51	google.com	467	47	78	119
52	google.com	467	26	8	77
53	google.com	467	26	8	77
54	google.com	318	33	34	112
55	google.com	489	44	39	168
56	google.com	463	31	21	81
57	google.com	464	44	43	90
58	google.com	464	34	25	90
59	google.com	463	32	19	81
60	google.com	463	32	19	81
61	google.com	464	31	19	82
62	google.com	463	30	19	81
63	google.com	463	32	19	81
64	google.com	463	31	19	81
65	google.com	463	32	23	90
66	google.com	464	33	23	91
67	google.com	463	31	19	81
68	google.com	464	32	20	82
69	google.com	489	47	45	111
70	google.com	464	45	47	90
71	google.com	463	33	25	89
72	google.com	463	32	23	90
73	google.com	463	47	48	98
74	google.com	464	33	25	90
75	google.com	463	31	19	81
76	google.com	463	31	19	81
77	google.com	464	30	19	82
78	google.com	464	31	20	82
79	google.com	463	31	19	81
80	google.com	464	30	19	82
81	google.com	464	32	19	82
82	google.com	463	31	19	81
83	google.com	463	31	19	81
84	google.com	464	30	19	82
85	google.com	463	31	19	81
86	google.com	510	51	54	143
87	google.com	1076	482	390	648
88	google.com	533	81	126	160
89	google.com	574	95	102	173
90	google.com	574	60	77	141
91	google.com	574	48	73	141
92	google.com	483	47	64	151
93	fonts.googleapis.com	465	57	60	157
94	google-analytics.com	546	100	138	193
95	google-analytics.com	486	103	149	169
96	googleusercontent.com	501	108	100	164
97	googleusercontent.com	502	66	78	108
98	googleusercontent.com	501	53	74	107
