num	name	http1	spdy3	delta	simple
1	orange.fr	533	303	356	395
2	orange.fr	447	54	56	94
3	orange.fr	435	46	35	74
4	orange.fr	430	31	23	66
5	orange.fr	502	103	87	139
6	orange.fr	494	91	77	132
7	orange.fr	470	39	39	98
8	orange.fr	568	155	142	167
9	orange.fr	549	47	36	85
10	orange.fr	569	68	57	110
11	orange.fr	569	32	53	106
12	orange.fr	444	50	49	88
13	orange.fr	445	44	39	89
14	orange.fr	457	62	54	89
15	orange.fr	464	48	44	79
16	orange.fr	448	40	34	65
17	orange.fr	448	32	34	65
18	orange.fr	460	44	41	76
19	orange.fr	460	37	41	76
20	orange.fr	764	159	213	371
21	orange.fr	763	38	52	105
22	orange.fr	764	44	53	106
23	orange.fr	763	35	52	105
24	orange.fr	762	35	52	105
25	orange.fr	754	64	46	98
26	orange.fr	753	42	45	97
27	orange.fr	757	46	48	100
28	orange.fr	753	38	45	97
29	orange.fr	754	41	46	98
30	orange.fr	763	41	52	105
31	orange.fr	746	41	40	91
32	orange.fr	754	59	46	98
33	orange.fr	758	55	50	101
34	orange.fr	772	50	58	113
35	orange.fr	767	48	55	109
36	orange.fr	753	44	45	97
37	orange.fr	757	37	48	100
38	orange.fr	763	67	52	105
39	orange.fr	735	47	33	81
40	orange.fr	739	47	35	84
41	orange.fr	965	200	259	538
42	orange.fr	692	56	41	95
43	orange.fr	791	50	53	385
44	orange.fr	528	103	250	266
45	orange.fr	786	40	34	452
46	orange.fr	742	59	77	138
47	orange.fr	747	46	49	99
48	orange.fr	617	45	30	265
49	orange.fr	605	37	18	57
50	orange.fr	430	34	34	146
51	orange.fr	678	99	87	368
52	orange.fr	494	79	26	202
53	orange.fr	470	39	18	98
54	orange.fr	568	69	30	167
55	orange.fr	731	51	56	392
56	orange.fr	715	37	41	88
57	orange.fr	713	42	36	83
58	orange.fr	549	42	26	229
59	orange.fr	569	61	18	110
60	orange.fr	569	31	14	106
61	orange.fr	444	44	22	88
62	orange.fr	457	54	28	89
63	orange.fr	464	45	14	79
64	orange.fr	448	36	14	65
65	orange.fr	448	32	14	65
66	orange.fr	460	42	14	76
67	orange.fr	460	38	14	76
68	orange.fr	445	46	24	98
69	orange.fr	721	48	56	406
70	orange.fr	721	46	41	90
71	orange.fr	729	56	48	97
72	orange.fr	733	55	51	100
73	orange.fr	721	48	42	90
74	orange.fr	721	37	42	90
75	orange.fr	716	39	39	85
76	orange.fr	733	53	50	100
77	orange.fr	734	58	52	101
78	orange.fr	733	45	51	100
79	orange.fr	730	42	49	98
80	orange.fr	726	50	45	94
81	orange.fr	725	55	45	93
82	orange.fr	729	57	47	97
83	orange.fr	730	56	48	98
84	orange.fr	721	43	42	90
85	orange.fr	718	44	39	87
86	orange.fr	727	55	46	95
87	orange.fr	763	71	24	413
88	orange.fr	735	48	14	81
89	orange.fr	729	49	55	394
90	orange.fr	739	48	24	392
91	orange.fr	838	144	193	508
92	orange.fr	692	60	26	165
93	orange.fr	791	45	22	385
94	orange.fr	648	61	80	342
95	orange.fr	659	53	52	105
96	orange.fr	646	42	44	94
97	orange.fr	650	41	47	98
98	orange.fr	653	39	49	100
99	orange.fr	648	35	46	96
100	orange.fr	715	50	46	374
101	orange.fr	715	34	38	84
102	orange.fr	710	47	34	80
103	orange.fr	707	45	32	77
104	orange.fr	718	48	39	87
105	orange.fr	488	111	235	266
106	orange.fr	778	97	58	480
107	orange.fr	447	51	32	164
108	orange.fr	435	34	20	74
109	orange.fr	444	47	18	88
110	orange.fr	430	34	20	76
111	orange.fr	710	113	136	396
112	orange.fr	549	49	32	247
113	orange.fr	569	62	18	110
114	orange.fr	569	32	14	106
115	orange.fr	702	75	75	389
116	orange.fr	470	37	26	168
117	orange.fr	568	62	30	167
118	orange.fr	457	51	24	92
