num	name	http1	spdy3	delta	simple
1	orange.fr	430	308	299	304
2	orange.fr	415	136	129	135
3	orange.fr	429	72	85	113
4	orange.fr	429	45	64	93
5	orange.fr	353	52	31	71
6	orange.fr	469	149	128	182
7	orange.fr	470	80	77	140
8	orange.fr	193	95	100	74
9	orange.fr	409	60	101	205
10	orange.fr	400	57	99	108
11	orange.fr	401	32	20	61
12	orange.fr	530	127	161	204
13	orange.fr	429	73	74	130
14	orange.fr	273	93	87	132
15	orange.fr	275	51	66	86
16	orange.fr	274	50	72	95
17	orange.fr	275	42	50	104
18	orange.fr	272	62	68	91
19	orange.fr	272	58	60	84
20	orange.fr	383	58	89	217
21	orange.fr	384	38	69	75
22	orange.fr	384	46	67	84
23	orange.fr	384	41	69	84
24	orange.fr	384	34	64	75
25	orange.fr	385	35	32	84
26	orange.fr	385	28	20	60
27	orange.fr	385	44	68	76
28	orange.fr	385	35	64	76
29	orange.fr	385	37	63	76
30	orange.fr	384	42	64	75
31	orange.fr	384	33	23	68
32	orange.fr	386	35	24	70
33	orange.fr	384	39	71	84
34	orange.fr	384	42	69	84
35	orange.fr	385	39	71	84
36	orange.fr	386	40	70	85
37	orange.fr	384	39	69	84
38	orange.fr	387	44	70	86
39	orange.fr	387	50	93	87
40	orange.fr	387	41	67	77
41	orange.fr	505	160	156	189
42	orange.fr	368	92	92	105
43	orange.fr	385	47	97	115
44	orange.fr	22	35	33	8
45	orange.fr	295	44	51	206
46	orange.fr	383	42	37	120
47	orange.fr	382	32	19	59
48	orange.fr	318	45	77	102
49	orange.fr	331	37	46	84
50	orange.fr	429	33	34	202
51	orange.fr	353	32	22	71
52	orange.fr	469	29	36	189
53	orange.fr	470	29	30	140
54	orange.fr	193	25	28	74
55	orange.fr	382	40	74	182
56	orange.fr	399	42	71	98
57	orange.fr	425	38	22	82
58	orange.fr	409	28	26	108
59	orange.fr	400	31	28	108
60	orange.fr	401	27	14	61
61	orange.fr	530	29	42	204
62	orange.fr	273	29	34	132
63	orange.fr	275	27	22	86
64	orange.fr	274	27	24	95
65	orange.fr	275	27	26	104
66	orange.fr	272	27	22	91
67	orange.fr	272	27	18	84
68	orange.fr	429	30	36	246
69	orange.fr	411	45	78	146
70	orange.fr	410	48	71	101
71	orange.fr	411	45	71	102
72	orange.fr	411	41	66	92
73	orange.fr	384	42	73	84
74	orange.fr	384	24	8	56
75	orange.fr	384	36	71	84
76	orange.fr	385	33	24	70
77	orange.fr	410	34	22	81
78	orange.fr	385	33	21	60
79	orange.fr	385	31	19	60
80	orange.fr	385	31	19	60
81	orange.fr	383	43	69	84
82	orange.fr	385	35	32	85
83	orange.fr	409	43	71	97
84	orange.fr	411	35	32	102
85	orange.fr	410	38	72	101
86	orange.fr	411	42	70	102
87	orange.fr	387	26	30	87
88	orange.fr	387	28	22	87
89	orange.fr	409	42	76	115
90	orange.fr	387	28	26	97
91	orange.fr	505	46	45	189
92	orange.fr	368	31	26	105
93	orange.fr	385	28	22	115
94	orange.fr	426	97	104	168
95	orange.fr	403	70	91	121
96	orange.fr	426	40	59	130
97	orange.fr	426	54	50	100
98	orange.fr	426	38	51	100
99	orange.fr	403	45	29	97
100	orange.fr	383	46	99	122
101	orange.fr	383	31	60	71
102	orange.fr	384	44	75	94
103	orange.fr	386	46	64	77
104	orange.fr	387	43	78	97
105	orange.fr	22	26	22	8
106	orange.fr	295	30	52	206
107	orange.fr	415	51	36	135
108	orange.fr	429	44	24	113
109	orange.fr	530	29	32	181
110	orange.fr	429	31	28	130
111	orange.fr	353	32	26	71
112	orange.fr	409	28	30	142
113	orange.fr	400	29	30	108
114	orange.fr	401	27	14	61
115	orange.fr	469	52	97	188
116	orange.fr	470	29	34	140
117	orange.fr	193	27	26	74
118	orange.fr	273	32	30	133
119	orange.fr	275	27	22	86
120	orange.fr	274	27	24	95
121	orange.fr	275	27	26	104
122	orange.fr	272	27	22	91
123	orange.fr	272	27	18	84
124	orange.fr	383	45	34	217
125	orange.fr	384	38	22	75
126	orange.fr	384	40	22	84
127	orange.fr	384	39	22	75
128	orange.fr	384	33	18	68
129	orange.fr	411	48	76	117
130	orange.fr	384	40	30	94
131	orange.fr	382	34	34	84
132	orange.fr	385	38	26	86
133	orange.fr	411	43	72	117
134	orange.fr	411	36	64	92
135	orange.fr	385	43	68	76
136	orange.fr	384	42	26	94
137	orange.fr	383	37	67	84
138	orange.fr	385	41	70	85
139	orange.fr	382	40	70	83
140	orange.fr	384	38	64	76
141	orange.fr	411	38	68	107
142	orange.fr	411	39	66	92
143	orange.fr	411	36	66	92
144	orange.fr	387	28	30	87
145	orange.fr	387	28	24	87
146	orange.fr	505	46	45	189
147	orange.fr	368	31	28	105
148	orange.fr	429	73	32	142
149	orange.fr	385	28	28	124
150	orange.fr	387	28	26	89
151	orange.fr	22	26	18	8
152	orange.fr	295	33	51	206
153	orange.fr	415	31	34	135
154	orange.fr	429	34	24	113
155	orange.fr	530	29	32	181
156	orange.fr	429	31	28	130
157	orange.fr	353	34	48	71
158	orange.fr	409	28	30	142
159	orange.fr	400	26	30	108
160	orange.fr	401	27	14	61
161	orange.fr	469	54	38	188
162	orange.fr	470	29	30	140
163	orange.fr	193	25	26	74
164	orange.fr	429	29	34	248
165	orange.fr	273	29	32	132
166	orange.fr	275	27	22	86
167	orange.fr	274	27	22	95
168	orange.fr	275	27	26	104
169	orange.fr	272	27	22	91
170	orange.fr	272	27	18	84
171	orange.fr	383	26	32	217
172	orange.fr	384	28	18	75
173	orange.fr	384	28	22	84
174	orange.fr	384	37	22	84
175	orange.fr	384	33	18	75
176	orange.fr	385	35	24	84
177	orange.fr	385	30	14	60
178	orange.fr	385	41	18	76
179	orange.fr	385	36	18	76
180	orange.fr	385	35	18	76
181	orange.fr	384	28	22	75
182	orange.fr	384	27	18	68
183	orange.fr	385	43	77	95
184	orange.fr	384	28	30	94
185	orange.fr	384	28	18	75
186	orange.fr	382	28	30	84
187	orange.fr	385	28	22	86
188	orange.fr	385	43	71	95
189	orange.fr	387	28	28	87
190	orange.fr	387	28	22	87
191	orange.fr	387	42	18	77
192	orange.fr	505	50	44	189
193	orange.fr	368	26	26	105
194	orange.fr	385	28	24	115
195	orange.fr	22	23	18	8
196	orange.fr	295	32	30	206
197	orange.fr	415	30	32	135
198	orange.fr	429	31	24	113
199	orange.fr	530	29	32	181
200	orange.fr	429	31	28	130
201	orange.fr	353	32	48	71
202	orange.fr	409	28	30	142
203	orange.fr	400	26	30	108
204	orange.fr	401	27	14	61
205	orange.fr	469	29	38	188
206	orange.fr	470	29	30	140
207	orange.fr	193	25	26	74
208	orange.fr	273	29	30	133
209	orange.fr	275	27	22	86
210	orange.fr	274	27	22	95
211	orange.fr	275	27	26	104
212	orange.fr	272	27	22	91
213	orange.fr	272	27	18	84
214	orange.fr	383	26	32	217
215	orange.fr	384	28	22	75
216	orange.fr	384	28	22	84
217	orange.fr	384	28	22	84
218	orange.fr	384	28	18	75
219	orange.fr	385	27	24	84
220	orange.fr	385	27	14	60
221	orange.fr	385	28	18	76
222	orange.fr	385	30	18	76
223	orange.fr	385	28	18	76
224	orange.fr	384	28	22	75
225	orange.fr	384	27	18	68
226	orange.fr	429	30	32	143
227	orange.fr	410	46	76	145
228	orange.fr	384	28	30	94
229	orange.fr	384	28	18	75
230	orange.fr	382	28	26	84
231	orange.fr	385	28	22	86
232	orange.fr	385	38	72	95
233	orange.fr	385	39	64	76
234	orange.fr	385	38	66	76
235	orange.fr	410	37	30	97
236	orange.fr	386	33	30	86
237	orange.fr	384	44	24	84
238	orange.fr	386	39	22	85
239	orange.fr	387	28	18	77
240	orange.fr	387	28	26	87
241	orange.fr	387	28	18	77
242	orange.fr	505	36	32	189
243	orange.fr	368	26	24	105
244	orange.fr	385	28	22	115
245	orange.fr	22	26	18	8
246	orange.fr	295	33	30	206
247	orange.fr	383	42	30	122
248	orange.fr	382	32	14	59
249	orange.fr	318	46	38	102
250	orange.fr	331	37	28	84
251	orange.fr	429	34	32	202
252	orange.fr	353	33	44	71
253	orange.fr	469	29	36	189
254	orange.fr	470	29	30	140
255	orange.fr	193	25	26	74
256	orange.fr	530	29	34	299
257	orange.fr	429	29	28	130
258	orange.fr	273	29	32	132
259	orange.fr	275	27	22	86
260	orange.fr	274	27	22	95
261	orange.fr	275	27	26	104
262	orange.fr	272	27	22	91
263	orange.fr	272	27	18	84
264	orange.fr	383	48	78	217
265	orange.fr	386	40	70	86
266	orange.fr	385	45	64	76
267	orange.fr	410	41	68	97
268	orange.fr	385	34	67	76
269	orange.fr	384	45	70	84
270	orange.fr	385	39	71	85
