num	name	http1	spdy3	delta	simple
1	ebay.fr	505	291	339	371
2	ebay.fr	835	374	400	440
3	ebay.fr	833	103	74	133
4	ebay.fr	953	151	181	563
5	ebay.fr	863	120	390	533
6	ebay.fr	1025	144	167	612
7	ebay.fr	1177	285	579	742
8	ebay.fr	1144	230	526	713
9	ebay.fr	1136	181	513	706
10	ebay.fr	394	155	190	217
11	ebay.fr	1145	222	487	781
12	ebay.fr	1171	209	543	736
13	ebay.fr	1171	161	401	736
14	ebay.fr	1177	200	542	742
15	ebay.fr	397	65	176	220
16	ebay.fr	1186	203	507	813
17	ebaystatic.com	481	107	96	194
18	ebaystatic.com	541	106	112	172
19	ebaystatic.com	427	51	47	89
20	ebaystatic.com	453	64	59	108
21	ebaystatic.com	453	31	49	108
22	ebaystatic.com	446	44	39	88
23	ebaystatic.com	446	42	40	88
24	ebaystatic.com	458	60	48	98
25	ebaystatic.com	459	56	63	113
26	ebaystatic.com	445	33	37	84
27	ebaystatic.com	461	42	48	98
28	ebaystatic.com	477	46	60	112
29	ebaystatic.com	455	33	44	93
30	ebaystatic.com	457	33	45	95
31	ebaystatic.com	438	46	36	95
32	ebaystatic.com	490	58	69	121
33	ebaystatic.com	493	34	71	124
34	ebaystatic.com	526	38	93	153
35	ebaystatic.com	465	46	56	119
36	ebaystatic.com	459	58	49	113
37	ebaystatic.com	481	30	24	136
38	ebaystatic.com	527	47	100	229
39	ebaystatic.com	427	31	28	147
40	ebaystatic.com	453	31	18	108
41	ebaystatic.com	453	30	20	108
42	ebaystatic.com	446	29	14	88
43	ebaystatic.com	459	30	20	113
44	ebaystatic.com	445	29	14	84
45	ebaystatic.com	434	47	50	161
46	ebaystatic.com	66	34	24	48
47	ebaystatic.com	118	27	14	77
48	ebaystatic.com	121	27	14	80
49	ebaystatic.com	512	40	100	372
50	ebaystatic.com	93	30	22	71
51	ebaystatic.com	87	27	20	66
52	ebaystatic.com	481	29	30	350
53	ebaystatic.com	535	44	101	236
54	ebaystatic.com	454	54	56	111
