num	name	http1	spdy3	delta	simple
1	ebay.fr	1012	580	716	754
2	ebay.fr	399	121	104	140
3	ebay.fr	637	223	248	321
4	ebay.fr	1229	283	693	817
5	ebay.fr	684	101	219	387
6	ebay.fr	1359	285	784	922
7	ebay.fr	1271	232	697	807
8	ebay.fr	1255	176	694	799
9	ebay.fr	1255	218	710	801
10	ebay.fr	22	37	33	8
11	ebay.fr	1275	198	730	975
12	ebay.fr	1271	157	696	805
13	ebay.fr	1281	196	717	822
14	ebay.fr	1297	213	737	836
15	ebay.fr	22	22	22	8
16	ebay.fr	1269	126	696	970
17	ebaystatic.com	496	129	154	157
18	ebaystatic.com	473	133	151	141
19	ebaystatic.com	506	147	163	184
20	ebaystatic.com	396	109	110	101
21	ebaystatic.com	455	118	127	128
22	ebaystatic.com	407	115	127	132
23	ebaystatic.com	431	98	113	133
24	ebaystatic.com	430	78	95	112
25	ebaystatic.com	431	102	115	120
26	ebaystatic.com	429	98	113	119
27	ebaystatic.com	433	97	107	125
28	ebaystatic.com	431	62	88	105
29	ebaystatic.com	378	92	100	124
30	ebaystatic.com	309	54	51	81
31	ebaystatic.com	487	94	142	156
32	ebaystatic.com	490	74	84	101
33	ebaystatic.com	489	45	61	92
34	ebaystatic.com	490	55	68	105
35	ebaystatic.com	538	57	101	195
36	ebaystatic.com	489	78	100	155
37	ebaystatic.com	496	30	34	159
38	ebaystatic.com	473	63	91	141
39	ebaystatic.com	506	30	30	184
40	ebaystatic.com	396	26	24	101
41	ebaystatic.com	455	30	18	128
42	ebaystatic.com	407	28	22	132
43	ebaystatic.com	431	29	22	133
44	ebaystatic.com	429	28	24	119
45	ebaystatic.com	431	79	110	112
46	ebaystatic.com	19	28	22	10
47	ebaystatic.com	19	21	8	10
48	ebaystatic.com	19	21	8	10
49	ebaystatic.com	490	53	76	269
50	ebaystatic.com	19	21	18	10
51	ebaystatic.com	19	21	8	10
52	ebaystatic.com	496	30	22	272
53	ebaystatic.com	474	63	92	142
54	ebaystatic.com	430	91	122	119
55	ebaystatic.com	506	29	18	175
56	ebaystatic.com	427	65	72	98
57	ebaystatic.com	428	93	102	149
58	ebaystatic.com	428	75	84	109
59	ebaystatic.com	403	68	94	93
60	ebaystatic.com	403	66	85	93
61	ebaystatic.com	403	68	78	93
62	ebaystatic.com	428	77	88	116
63	ebaystatic.com	403	58	79	95
64	ebaystatic.com	403	67	85	95
65	ebaystatic.com	403	62	88	93
66	ebaystatic.com	403	59	83	93
67	ebaystatic.com	403	47	58	93
68	ebaystatic.com	428	63	88	116
69	ebaystatic.com	403	67	88	93
70	ebaystatic.com	428	65	80	114
71	ebaystatic.com	403	64	79	95
72	ebaystatic.com	428	64	81	116
73	ebaystatic.com	403	64	80	95
74	ebaystatic.com	403	63	86	95
75	ebaystatic.com	403	60	87	95
76	ebaystatic.com	403	55	80	95
77	ebaystatic.com	403	62	86	95
78	ebaystatic.com	428	68	84	114
79	ebaystatic.com	403	63	88	95
80	ebaystatic.com	403	68	80	95
81	ebaystatic.com	428	68	84	114
82	ebaystatic.com	403	60	86	95
83	ebaystatic.com	403	61	80	93
84	ebaystatic.com	403	59	83	93
85	ebaystatic.com	403	30	18	93
86	ebaystatic.com	403	55	80	93
87	ebaystatic.com	428	65	84	114
88	ebaystatic.com	428	58	83	109
89	ebaystatic.com	428	61	83	109
90	ebaystatic.com	403	61	88	95
91	ebaystatic.com	403	64	83	95
92	ebaystatic.com	403	60	88	95
93	ebaystatic.com	403	61	84	93
94	ebaystatic.com	428	56	84	114
95	ebaystatic.com	403	38	58	93
96	ebaystatic.com	403	54	80	95
97	ebaystatic.com	428	56	83	116
98	ebaystatic.com	403	53	83	93
99	ebaystatic.com	429	56	83	117
100	ebaystatic.com	428	69	106	117
101	ebaystatic.com	428	59	88	117
102	ebaystatic.com	428	58	84	111
103	ebaystatic.com	428	58	80	111
104	ebaystatic.com	429	61	80	110
105	ebaystatic.com	403	64	87	93
106	ebaystatic.com	19	26	24	10
107	ebaystatic.com	19	21	8	10
108	ebaystatic.com	19	21	8	10
109	ebaystatic.com	490	68	74	269
110	ebaystatic.com	19	21	18	10
111	ebaystatic.com	19	21	8	10
112	ebaystatic.com	396	78	22	217
113	ebaystatic.com	455	112	22	128
114	ebaystatic.com	407	93	22	132
115	ebaystatic.com	431	89	22	133
116	ebaystatic.com	429	94	24	119
117	ebaystatic.com	429	89	116	134
118	ebaystatic.com	459	108	121	147
