num	name	http1	spdy3	delta	simple
1	adcash.com	439	263	295	313
2	adcash.com	496	126	104	160
3	adcash.com	495	57	47	91
4	adcash.com	486	49	32	79
5	adcash.com	493	43	36	85
6	adcash.com	487	39	32	80
7	adcash.com	479	35	27	73
8	adcash.com	481	36	28	75
9	adcash.com	489	44	33	82
10	adcash.com	493	40	36	85
11	adcash.com	489	30	33	82
12	adcash.com	489	30	33	82
13	adcash.com	489	30	33	82
14	adcash.com	489	30	33	82
15	adcash.com	485	40	31	78
16	adcash.com	487	37	33	80
17	adcash.com	488	38	33	81
18	adcash.com	489	42	33	82
19	adcash.com	487	40	32	80
20	adcash.com	699	141	178	357
21	adcash.com	496	30	24	168
22	adcash.com	479	29	20	77
23	adcash.com	481	29	14	75
24	adcash.com	708	41	80	385
25	adcash.com	496	27	28	189
26	adcash.com	479	26	20	77
27	adcash.com	481	27	14	75
28	adcash.com	710	39	62	387
29	adcash.com	496	27	26	189
30	adcash.com	479	26	20	77
31	adcash.com	481	27	14	75
32	adcash.com	489	29	14	82
33	adcash.com	716	55	84	392
34	adcash.com	496	29	26	189
35	adcash.com	479	29	20	77
36	adcash.com	481	29	14	75
37	adcash.com	670	56	74	349
38	adcash.com	670	30	34	81
39	adcash.com	670	30	34	81
40	adcash.com	670	30	35	81
41	adcash.com	670	30	35	81
42	adcash.com	670	30	35	81
43	adcash.com	719	42	60	362
44	adcash.com	496	28	26	189
45	adcash.com	479	29	20	77
46	adcash.com	481	29	14	75
47	adcash.com	670	57	76	349
48	adcash.com	669	36	35	81
49	adcash.com	672	41	37	84
50	adcash.com	670	37	36	82
51	adcash.com	666	37	33	78
52	adcash.com	713	38	57	357
53	adcash.com	496	28	26	189
54	adcash.com	479	29	20	77
55	adcash.com	481	29	14	75
56	adcash.com	495	55	14	87
57	adcash.com	489	29	14	82
58	adcash.com	489	30	14	82
59	adcash.com	489	30	14	82
60	adcash.com	489	30	14	82
61	adcash.com	489	30	14	82
62	adcash.com	489	30	14	82
63	adcash.com	708	42	74	385
64	adcash.com	496	29	26	189
65	adcash.com	479	29	20	77
66	adcash.com	481	29	14	75
67	adcash.com	495	29	14	87
68	adcash.com	489	29	14	82
69	adcash.com	489	29	14	82
70	adcash.com	489	29	14	82
71	adcash.com	489	29	14	82
72	adcash.com	489	29	14	82
73	adcash.com	489	29	14	82
74	adcash.com	708	39	59	385
75	adcash.com	496	29	26	189
76	adcash.com	479	29	20	77
77	adcash.com	481	29	14	75
78	ajax.googleapis.com	414	84	86	92
79	ajax.googleapis.com	419	40	47	80
80	ajax.googleapis.com	414	24	14	76
81	ajax.googleapis.com	419	24	14	80
82	ajax.googleapis.com	414	24	14	76
83	ajax.googleapis.com	419	24	14	80
84	ajax.googleapis.com	414	24	14	76
85	ajax.googleapis.com	419	24	14	80
86	ajax.googleapis.com	414	24	14	76
87	ajax.googleapis.com	419	24	14	80
88	ajax.googleapis.com	414	24	14	76
89	ajax.googleapis.com	419	24	14	80
90	ajax.googleapis.com	414	24	14	76
91	ajax.googleapis.com	419	24	14	80
92	ajax.googleapis.com	414	24	14	76
93	ajax.googleapis.com	419	24	14	80
94	ajax.googleapis.com	414	24	14	76
95	ajax.googleapis.com	419	24	14	80
96	youtube.com	384	50	44	66
97	youtube.com	625	207	180	301
98	youtube.com	407	33	28	84
99	youtube.com	634	30	22	274
100	youtube.com	407	24	18	56
101	youtube.com	634	30	18	274
102	google-analytics.com	394	52	55	118
103	google-analytics.com	814	264	323	432
104	google-analytics.com	394	24	14	64
105	google-analytics.com	806	85	336	465
106	google-analytics.com	394	24	20	93
107	google-analytics.com	805	60	335	464
108	google-analytics.com	394	24	20	93
109	google-analytics.com	811	73	338	469
110	google-analytics.com	394	24	20	93
111	google-analytics.com	819	73	340	476
112	google-analytics.com	394	24	20	93
113	google-analytics.com	816	72	339	474
114	google-analytics.com	394	24	20	93
115	google-analytics.com	806	66	336	465
116	google-analytics.com	394	24	20	93
117	google-analytics.com	805	55	335	464
118	google-analytics.com	394	24	20	93
119	google-analytics.com	806	65	357	465
120	ytimg.com	405	70	69	113
121	ytimg.com	405	24	8	75
122	ytimg.com	405	24	8	75
123	100	461	94	75	177
124	100	442	58	88	154
125	100	426	31	35	78
126	100	426	32	31	75
127	100	428	38	33	77
128	100	513	37	54	154
129	100	512	37	50	98
130	100	434	47	41	85
131	100	450	48	97	161
132	100	428	26	24	142
133	100	428	26	8	77
134	100	426	27	14	75
135	100	426	33	33	137
136	100	470	46	57	179
137	100	442	33	76	154
138	100	426	27	20	78
139	100	426	26	14	75
140	100	428	27	14	77
141	100	513	32	56	154
142	100	512	32	50	98
143	100	434	27	18	85
144	100	450	30	78	161
145	100	428	26	24	142
146	100	428	26	8	77
147	100	426	27	14	75
148	100	426	27	18	137
149	100	470	39	55	179
150	100	442	33	76	154
151	100	426	27	20	78
152	100	426	26	14	75
153	100	428	27	14	77
154	100	513	32	56	154
155	100	512	32	50	98
156	100	434	27	18	85
157	100	450	30	78	161
158	100	428	26	24	142
159	100	428	26	8	77
160	100	426	27	14	75
161	100	426	27	18	137
