num	name	http1	spdy3	delta	simple
1	adcash.com	724	467	451	500
2	adcash.com	455	133	144	147
3	adcash.com	448	87	129	120
4	adcash.com	409	83	108	101
5	adcash.com	432	53	43	93
6	adcash.com	432	35	27	70
7	adcash.com	432	45	60	98
8	adcash.com	432	34	34	98
9	adcash.com	436	50	56	121
10	adcash.com	325	76	86	96
11	adcash.com	434	45	69	126
12	adcash.com	436	36	46	92
13	adcash.com	436	34	43	87
14	adcash.com	436	31	42	87
15	adcash.com	436	33	36	84
16	adcash.com	434	39	50	79
17	adcash.com	434	39	53	79
18	adcash.com	432	37	34	87
19	adcash.com	433	43	79	91
20	adcash.com	575	48	75	284
21	adcash.com	455	28	38	155
22	adcash.com	432	28	30	106
23	adcash.com	432	31	26	98
24	adcash.com	575	35	33	284
25	adcash.com	455	28	26	155
26	adcash.com	432	27	24	106
27	adcash.com	432	27	18	98
28	adcash.com	575	41	36	284
29	adcash.com	455	28	30	157
30	adcash.com	432	27	22	106
31	adcash.com	432	27	18	98
32	adcash.com	432	30	20	70
33	adcash.com	575	43	54	284
34	adcash.com	455	28	30	155
35	adcash.com	432	27	26	106
36	adcash.com	432	30	26	98
37	adcash.com	432	47	73	90
38	adcash.com	432	33	23	70
39	adcash.com	432	31	24	70
40	adcash.com	432	36	24	70
41	adcash.com	432	37	26	70
42	adcash.com	432	33	27	70
43	adcash.com	575	41	37	284
44	adcash.com	455	28	28	157
45	adcash.com	432	28	24	106
46	adcash.com	432	27	22	98
47	adcash.com	433	41	73	98
48	adcash.com	433	37	24	71
49	adcash.com	433	35	24	71
50	adcash.com	433	34	24	71
51	adcash.com	433	33	24	71
52	adcash.com	575	41	54	284
53	adcash.com	455	28	28	152
54	adcash.com	432	28	32	106
55	adcash.com	432	27	18	98
56	adcash.com	448	30	32	117
57	adcash.com	436	29	28	105
58	adcash.com	434	28	30	98
59	adcash.com	436	28	22	92
60	adcash.com	436	27	20	87
61	adcash.com	436	27	20	87
62	adcash.com	432	29	26	87
63	adcash.com	575	36	48	284
64	adcash.com	455	28	30	155
65	adcash.com	432	28	30	106
66	adcash.com	432	31	26	98
67	adcash.com	448	29	26	117
68	adcash.com	436	29	28	105
69	adcash.com	434	28	32	98
70	adcash.com	436	27	22	92
71	adcash.com	436	27	18	87
72	adcash.com	436	27	20	87
73	adcash.com	432	29	26	87
74	adcash.com	575	40	53	284
75	adcash.com	455	28	34	155
76	adcash.com	432	28	30	106
77	adcash.com	432	31	26	98
78	ajax.googleapis.com	392	165	162	169
79	ajax.googleapis.com	392	41	80	84
80	ajax.googleapis.com	392	24	24	84
81	ajax.googleapis.com	392	24	14	84
82	ajax.googleapis.com	392	24	18	84
83	ajax.googleapis.com	392	24	18	84
84	ajax.googleapis.com	392	24	18	84
85	ajax.googleapis.com	392	24	18	84
86	ajax.googleapis.com	392	24	18	84
87	ajax.googleapis.com	392	24	18	84
88	ajax.googleapis.com	392	24	18	84
89	ajax.googleapis.com	392	24	18	84
90	ajax.googleapis.com	392	24	18	84
91	ajax.googleapis.com	392	24	18	84
92	ajax.googleapis.com	392	24	18	84
93	ajax.googleapis.com	392	24	18	84
94	ajax.googleapis.com	392	24	18	84
95	ajax.googleapis.com	392	24	18	84
96	youtube.com	582	290	343	391
97	youtube.com	229	136	126	141
98	youtube.com	235	34	36	111
99	youtube.com	229	38	80	137
100	youtube.com	235	27	24	111
101	youtube.com	229	39	74	137
102	google-analytics.com	521	114	162	271
103	google-analytics.com	486	131	159	169
104	google-analytics.com	521	27	30	169
105	google-analytics.com	486	28	31	169
106	google-analytics.com	521	27	22	169
107	google-analytics.com	486	27	18	169
108	google-analytics.com	521	27	18	169
109	google-analytics.com	486	28	27	169
110	google-analytics.com	521	27	22	169
111	google-analytics.com	486	27	18	169
112	google-analytics.com	521	27	18	169
113	google-analytics.com	486	31	27	169
114	google-analytics.com	521	27	22	169
115	google-analytics.com	486	27	18	169
116	google-analytics.com	521	27	18	169
117	google-analytics.com	486	28	27	169
118	google-analytics.com	521	27	22	169
119	google-analytics.com	486	28	27	169
120	ytimg.com	375	159	154	168
121	ytimg.com	375	24	8	42
122	ytimg.com	375	24	8	42
123	100	271	54	54	180
124	100	257	48	56	73
125	100	273	32	23	75
126	100	274	30	20	54
127	100	274	28	20	54
128	100	271	30	31	85
129	100	271	30	20	54
130	100	259	33	32	75
131	100	258	43	55	74
132	100	274	24	26	88
133	100	274	23	8	49
134	100	274	27	14	54
135	100	259	47	53	75
136	100	271	30	26	85
137	100	257	31	30	73
138	100	273	26	20	75
139	100	274	24	14	54
140	100	274	26	14	54
141	100	271	27	26	85
142	100	271	26	14	54
143	100	259	27	24	75
144	100	258	31	30	74
145	100	274	24	26	88
146	100	274	23	8	49
147	100	274	27	14	54
148	100	259	31	30	75
149	100	271	30	26	85
150	100	257	30	30	73
151	100	273	26	20	75
152	100	274	24	14	54
153	100	274	26	14	54
154	100	271	27	26	85
155	100	271	26	14	54
156	100	259	27	24	75
157	100	258	30	30	74
158	100	274	24	26	88
159	100	274	23	8	49
160	100	274	27	14	54
161	100	259	30	30	75
