num	name	http1	spdy3	delta	simple
1	allocine.fr	441	263	296	315
2	allocine.fr	424	67	56	101
3	allocine.fr	421	35	35	82
4	allocine.fr	433	82	62	109
5	allocine.fr	435	40	54	107
6	allocine.fr	437	42	56	109
7	allocine.fr	450	73	66	120
8	allocine.fr	422	62	46	96
9	allocine.fr	420	71	59	107
10	allocine.fr	410	41	43	98
11	allocine.fr	412	32	38	87
12	allocine.fr	401	38	33	91
13	allocine.fr	428	70	48	98
14	allocine.fr	428	38	48	98
15	allocine.fr	427	37	47	98
16	allocine.fr	427	33	47	98
17	allocine.fr	428	36	48	98
18	allocine.fr	428	37	48	98
19	allocine.fr	428	34	47	98
20	allocine.fr	428	36	48	98
21	allocine.fr	454	89	65	121
22	allocine.fr	454	39	65	121
23	allocine.fr	454	42	65	121
24	allocine.fr	454	42	65	121
25	allocine.fr	454	41	65	121
26	allocine.fr	454	42	65	121
27	allocine.fr	431	51	49	101
28	allocine.fr	431	37	49	101
29	allocine.fr	431	40	49	101
30	allocine.fr	431	38	49	101
31	allocine.fr	431	37	49	101
32	allocine.fr	431	39	49	101
33	allocine.fr	431	34	49	101
34	allocine.fr	431	37	49	101
35	allocine.fr	431	36	49	101
36	allocine.fr	431	36	49	101
37	allocine.fr	431	39	49	101
38	allocine.fr	431	37	49	101
39	allocine.fr	431	39	49	101
40	allocine.fr	431	39	49	101
41	allocine.fr	431	37	49	101
42	allocine.fr	414	46	43	102
43	allocine.fr	427	58	51	113
44	allocine.fr	428	37	47	98
45	allocine.fr	426	35	46	97
46	allocine.fr	438	58	55	107
47	allocine.fr	438	34	55	107
48	allocine.fr	438	32	55	107
49	allocine.fr	438	33	55	107
50	allocine.fr	438	32	55	107
51	allocine.fr	438	33	55	107
52	allocine.fr	438	38	55	107
53	allocine.fr	438	35	55	107
54	allocine.fr	438	35	55	107
55	allocine.fr	428	62	50	98
56	allocine.fr	433	44	53	103
57	allocine.fr	428	29	50	98
58	allocine.fr	428	29	50	98
59	allocine.fr	423	48	44	94
60	allocine.fr	452	84	65	119
61	allocine.fr	432	50	50	102
62	allocine.fr	432	38	50	102
63	allocine.fr	434	59	51	104
64	allocine.fr	435	36	52	105
65	allocine.fr	433	44	51	103
66	allocine.fr	436	37	52	105
67	allocine.fr	432	33	50	102
68	allocine.fr	406	43	32	79
69	allocine.fr	413	36	43	101
70	allocine.fr	398	42	29	75
71	allocine.fr	490	119	95	149
72	allocine.fr	542	90	67	122
73	allocine.fr	790	235	242	435
74	allocine.fr	424	63	24	110
75	allocine.fr	421	35	14	82
76	allocine.fr	433	59	20	109
77	allocine.fr	435	41	14	107
78	allocine.fr	437	42	14	109
79	allocine.fr	450	40	14	120
80	allocine.fr	797	50	130	459
81	allocine.fr	443	167	175	199
82	allocine.fr	420	62	30	203
83	allocine.fr	401	35	14	75
84	allocine.fr	757	47	46	421
85	allocine.fr	840	95	91	153
86	allocine.fr	851	56	100	162
87	allocine.fr	840	43	91	153
88	allocine.fr	845	77	94	157
89	allocine.fr	846	73	94	158
90	allocine.fr	851	78	99	162
91	allocine.fr	848	84	96	160
92	allocine.fr	832	59	87	146
93	allocine.fr	837	52	88	150
94	allocine.fr	845	76	94	157
95	allocine.fr	843	65	92	155
96	allocine.fr	843	81	92	155
97	allocine.fr	826	64	81	140
98	allocine.fr	834	51	86	147
99	allocine.fr	832	74	86	146
100	allocine.fr	839	53	89	152
101	allocine.fr	490	29	26	192
102	allocine.fr	800	47	77	462
103	allocine.fr	770	60	48	107
104	allocine.fr	745	53	32	364
105	allocine.fr	797	70	64	118
106	allocine.fr	282	50	55	68
107	allocine.fr	831	68	58	508
108	allocine.fr	424	31	30	131
109	allocine.fr	421	27	14	82
110	allocine.fr	433	27	20	109
111	allocine.fr	435	28	14	107
112	allocine.fr	437	29	14	109
113	allocine.fr	450	29	14	120
114	allocine.fr	420	91	183	242
115	allocine.fr	420	31	18	203
116	allocine.fr	401	27	14	75
117	allocine.fr	748	49	44	413
118	allocine.fr	490	29	30	192
119	allocine.fr	800	34	26	462
120	allocine.fr	742	54	37	411
121	allocine.fr	1011	159	219	324
122	allocine.fr	56	34	24	39
123	allocine.fr	819	66	82	641
124	allocine.fr	754	51	84	147
125	allocine.fr	763	44	39	85
126	allocine.fr	433	30	28	139
127	allocine.fr	435	27	14	107
128	allocine.fr	437	29	14	109
129	allocine.fr	786	43	76	449
130	allocine.fr	746	46	37	84
131	allocine.fr	422	45	24	126
132	allocine.fr	420	30	18	107
133	allocine.fr	414	41	20	102
134	allocine.fr	401	30	20	91
135	allocine.fr	413	36	20	101
136	allocine.fr	760	45	54	440
137	allocine.fr	742	41	32	77
138	allocine.fr	804	79	75	132
139	allocine.fr	805	44	75	133
140	allocine.fr	780	61	58	111
141	allocine.fr	780	45	58	111
142	allocine.fr	780	48	58	111
143	allocine.fr	780	44	57	111
144	allocine.fr	768	57	50	100
145	allocine.fr	780	51	57	111
146	allocine.fr	780	37	58	111
147	allocine.fr	780	32	58	111
148	allocine.fr	780	33	58	111
149	allocine.fr	780	32	58	111
150	allocine.fr	780	33	58	111
151	allocine.fr	779	57	57	110
152	allocine.fr	779	42	57	110
153	allocine.fr	779	46	57	110
154	allocine.fr	781	55	59	112
155	allocine.fr	781	46	59	112
156	allocine.fr	781	44	59	112
157	allocine.fr	790	62	64	119
158	allocine.fr	790	41	64	119
159	allocine.fr	790	46	65	119
160	allocine.fr	857	152	74	140
161	allocine.fr	790	46	74	135
162	allocine.fr	790	44	65	119
163	allocine.fr	790	46	64	119
164	allocine.fr	743	46	32	78
165	allocine.fr	788	48	71	133
166	allocine.fr	490	60	28	179
167	allocine.fr	828	112	91	490
168	allocine.fr	754	53	24	372
169	allocine.fr	763	39	14	85
170	allocine.fr	93	68	22	62
171	allocine.fr	435	45	26	300
172	allocine.fr	437	44	14	109
173	allocine.fr	786	45	26	449
174	allocine.fr	420	42	26	137
175	allocine.fr	401	31	14	75
176	allocine.fr	772	56	113	434
177	allocine.fr	823	53	78	136
178	allocine.fr	823	36	78	136
179	allocine.fr	823	36	78	136
180	allocine.fr	807	55	67	122
181	allocine.fr	807	47	67	122
182	allocine.fr	807	44	67	122
183	allocine.fr	805	50	66	120
184	allocine.fr	802	51	64	118
185	allocine.fr	111	29	24	87
186	allocine.fr	58	27	14	31
187	allocine.fr	81	49	20	61
188	allocine.fr	260	52	24	202
189	allocine.fr	828	46	80	490
190	allocine.fr	754	32	28	425
191	allocine.fr	763	32	14	85
192	allocine.fr	93	25	18	62
193	allocine.fr	435	31	26	300
194	allocine.fr	437	29	14	109
195	allocine.fr	786	33	22	449
196	allocine.fr	441	179	202	260
197	allocine.fr	420	31	26	203
198	allocine.fr	401	27	14	75
199	allocine.fr	780	61	72	441
200	allocine.fr	742	44	24	408
201	allocine.fr	804	44	83	462
202	allocine.fr	804	40	74	132
203	allocine.fr	804	39	74	132
204	allocine.fr	780	57	58	111
205	allocine.fr	780	43	57	111
206	allocine.fr	780	44	58	111
207	allocine.fr	780	44	58	111
208	allocine.fr	844	115	47	123
209	allocine.fr	780	40	64	111
210	allocine.fr	780	36	57	111
211	allocine.fr	780	33	57	111
212	allocine.fr	780	34	58	111
213	allocine.fr	780	32	58	111
214	allocine.fr	779	55	57	110
215	allocine.fr	781	52	59	112
216	allocine.fr	781	47	59	112
217	allocine.fr	781	46	59	112
218	allocine.fr	781	46	59	112
219	allocine.fr	790	56	24	450
220	allocine.fr	790	42	14	119
221	allocine.fr	790	45	14	119
222	allocine.fr	790	45	14	119
223	allocine.fr	790	43	14	119
224	allocine.fr	790	46	14	119
225	allocine.fr	743	47	14	78
226	allocine.fr	111	27	20	87
227	allocine.fr	58	24	14	31
228	allocine.fr	806	68	77	630
229	allocine.fr	424	47	28	131
230	allocine.fr	421	35	14	82
231	allocine.fr	93	25	18	62
232	allocine.fr	435	28	22	300
233	allocine.fr	437	29	14	109
234	allocine.fr	110	37	18	77
235	allocine.fr	764	64	109	593
236	allocine.fr	420	31	30	137
237	allocine.fr	401	27	14	75
238	allocine.fr	758	40	60	422
239	allocine.fr	758	43	48	98
240	allocine.fr	758	45	48	98
241	allocine.fr	734	54	38	93
242	allocine.fr	767	58	59	122
243	allocine.fr	767	41	55	106
244	allocine.fr	767	38	55	106
245	allocine.fr	767	40	55	106
246	allocine.fr	748	75	24	413
247	allocine.fr	58	23	20	41
248	allocine.fr	111	37	14	77
249	allocine.fr	808	63	81	631
250	allocine.fr	424	31	28	131
251	allocine.fr	421	27	14	82
252	allocine.fr	93	25	18	62
253	allocine.fr	435	27	22	300
254	allocine.fr	437	29	14	109
255	allocine.fr	110	25	18	77
256	allocine.fr	433	175	193	347
257	allocine.fr	739	48	49	433
258	allocine.fr	420	31	30	137
259	allocine.fr	761	51	55	425
260	allocine.fr	401	27	24	105
261	allocine.fr	414	56	18	102
262	allocine.fr	413	33	14	88
263	allocine.fr	742	44	28	424
264	allocine.fr	766	54	53	429
265	allocine.fr	800	60	71	126
266	allocine.fr	769	49	49	99
267	allocine.fr	769	32	49	99
268	allocine.fr	769	37	49	99
269	allocine.fr	769	32	49	99
270	allocine.fr	846	112	18	123
271	allocine.fr	782	69	60	111
272	allocine.fr	771	37	51	101
273	allocine.fr	791	86	65	119
274	allocine.fr	791	64	64	119
275	allocine.fr	791	67	65	119
276	allocine.fr	791	67	66	119
277	allocine.fr	438	45	24	137
278	allocine.fr	438	32	14	107
279	allocine.fr	777	39	61	439
280	allocine.fr	734	34	28	417
281	allocine.fr	760	58	54	440
282	allocine.fr	748	34	22	413
283	allocine.fr	748	45	47	429
284	allocine.fr	58	27	20	31
285	allocine.fr	788	48	72	614
286	allocine.fr	827	55	80	434
287	allocine.fr	754	40	28	425
288	allocine.fr	746	42	20	87
289	allocine.fr	763	44	20	102
290	allocine.fr	93	26	18	62
291	allocine.fr	435	31	26	300
292	allocine.fr	437	29	14	109
293	allocine.fr	109	34	18	76
294	allocine.fr	420	31	24	296
295	allocine.fr	414	30	20	102
296	allocine.fr	790	57	119	466
297	allocine.fr	790	38	57	110
298	allocine.fr	790	43	57	110
299	allocine.fr	786	48	55	106
300	allocine.fr	410	34	26	128
301	allocine.fr	438	41	20	123
302	allocine.fr	786	40	66	447
303	allocine.fr	786	43	55	106
304	allocine.fr	786	43	55	106
305	allocine.fr	401	32	24	105
306	allocine.fr	779	55	55	441
307	allocine.fr	779	45	49	100
308	allocine.fr	748	34	22	413
309	allocine.fr	413	38	24	131
310	allocine.fr	111	43	20	77
311	allocine.fr	58	24	14	31
312	allocine.fr	798	47	62	623
313	allocine.fr	424	36	28	131
314	allocine.fr	421	33	14	82
315	allocine.fr	93	25	18	62
316	allocine.fr	435	27	22	300
317	allocine.fr	437	29	14	109
318	allocine.fr	110	36	18	77
319	allocine.fr	420	30	24	296
320	allocine.fr	401	27	14	75
321	allocine.fr	737	77	84	404
322	allocine.fr	738	48	47	98
323	allocine.fr	738	43	48	98
324	allocine.fr	738	37	47	98
325	allocine.fr	740	56	49	99
326	allocine.fr	740	41	49	99
327	allocine.fr	740	43	49	99
328	allocine.fr	740	42	49	99
329	allocine.fr	739	51	48	98
330	allocine.fr	739	43	49	98
331	allocine.fr	739	42	49	98
332	allocine.fr	739	45	49	98
333	allocine.fr	742	52	50	101
334	allocine.fr	742	48	50	101
335	allocine.fr	742	32	50	101
336	allocine.fr	742	43	50	101
337	allocine.fr	742	33	50	101
338	allocine.fr	742	40	50	101
339	allocine.fr	742	52	50	101
340	allocine.fr	58	27	24	41
341	allocine.fr	110	36	14	77
342	allocine.fr	761	49	64	590
343	allocine.fr	424	31	30	131
344	allocine.fr	421	27	14	82
345	allocine.fr	93	25	18	62
346	allocine.fr	435	28	22	300
347	allocine.fr	437	29	14	109
348	allocine.fr	110	25	18	77
349	allocine.fr	735	45	77	567
350	allocine.fr	420	31	30	140
351	allocine.fr	743	49	60	409
352	allocine.fr	743	48	50	101
353	allocine.fr	743	41	50	101
354	allocine.fr	743	40	50	101
355	allocine.fr	743	46	50	101
356	allocine.fr	743	43	50	101
357	allocine.fr	743	46	50	101
358	allocine.fr	743	46	50	101
359	allocine.fr	743	38	50	101
360	allocine.fr	743	44	50	101
361	allocine.fr	743	44	50	101
362	allocine.fr	743	42	50	101
363	allocine.fr	743	43	50	101
364	allocine.fr	743	44	50	101
365	allocine.fr	743	44	50	101
366	allocine.fr	743	47	50	101
367	allocine.fr	743	44	50	101
368	allocine.fr	743	43	50	101
369	allocine.fr	743	44	50	101
370	allocine.fr	401	37	24	105
371	allocine.fr	790	110	26	450
372	allocine.fr	790	42	14	119
373	allocine.fr	790	45	14	119
374	allocine.fr	790	45	14	119
375	allocine.fr	790	46	14	119
376	allocine.fr	790	48	14	119
377	allocine.fr	748	89	18	413
378	allocine.fr	58	27	20	41
379	allocine.fr	111	38	14	77
380	estat.com	387	52	45	267
381	estat.com	458	86	75	131
382	estat.com	387	24	14	69
383	estat.com	514	121	106	215
384	estat.com	387	24	22	98
385	estat.com	568	75	122	262
386	estat.com	387	24	22	98
387	estat.com	553	64	116	249
388	estat.com	387	24	22	98
389	estat.com	558	82	112	253
390	estat.com	387	24	22	98
391	estat.com	562	65	124	257
392	estat.com	387	24	22	98
393	estat.com	536	70	112	234
394	estat.com	387	24	22	98
395	estat.com	538	75	105	236
396	estat.com	387	24	22	98
397	estat.com	557	77	111	252
398	estat.com	387	24	22	98
399	estat.com	528	65	118	227
400	estat.com	387	24	22	98
401	estat.com	489	51	90	193
402	acsta.net	431	91	71	147
403	acsta.net	434	46	49	101
404	acsta.net	434	40	49	101
405	acsta.net	434	41	49	101
406	acsta.net	432	32	48	99
407	acsta.net	434	45	50	101
408	acsta.net	441	58	55	107
409	acsta.net	441	33	55	107
410	acsta.net	472	82	69	175
411	acsta.net	502	87	81	139
412	acsta.net	511	75	86	147
413	acsta.net	456	63	62	161
414	acsta.net	457	47	59	110
415	acsta.net	499	62	82	199
416	acsta.net	478	51	63	116
417	acsta.net	478	39	64	116
418	acsta.net	480	54	78	182
419	acsta.net	456	48	58	109
420	acsta.net	432	28	22	129
421	acsta.net	445	54	55	152
422	acsta.net	467	85	64	117
423	acsta.net	441	29	22	137
424	acsta.net	462	45	61	167
425	acsta.net	432	27	22	129
426	acsta.net	434	26	14	101
427	acsta.net	414	46	53	125
428	acsta.net	416	49	49	98
429	acsta.net	419	52	54	129
430	acsta.net	432	27	22	129
431	scorecardresearch.com	398	56	44	88
432	scorecardresearch.com	614	147	183	257
433	scorecardresearch.com	677	79	227	306
434	scorecardresearch.com	398	24	18	68
435	scorecardresearch.com	770	116	235	428
436	scorecardresearch.com	398	24	22	98
437	scorecardresearch.com	824	121	279	476
438	scorecardresearch.com	398	24	22	98
439	scorecardresearch.com	728	82	217	392
440	scorecardresearch.com	58	33	20	24
441	scorecardresearch.com	765	80	233	587
442	scorecardresearch.com	58	21	20	24
443	scorecardresearch.com	751	75	232	574
444	scorecardresearch.com	58	21	20	24
445	scorecardresearch.com	722	87	219	549
446	scorecardresearch.com	58	21	20	24
447	scorecardresearch.com	711	79	201	539
448	scorecardresearch.com	58	21	20	24
449	scorecardresearch.com	871	152	304	679
450	scorecardresearch.com	58	21	20	24
451	scorecardresearch.com	744	120	244	568
452	scorecardresearch.com	58	21	20	24
453	scorecardresearch.com	622	63	159	462
454	google-analytics.com	391	52	44	112
455	google-analytics.com	882	268	399	511
456	google-analytics.com	391	27	18	82
457	google-analytics.com	972	81	428	631
458	google-analytics.com	391	24	22	112
459	google-analytics.com	886	75	376	556
460	google-analytics.com	51	31	22	35
461	google-analytics.com	933	74	401	756
462	google-analytics.com	51	21	22	35
463	google-analytics.com	902	74	390	729
464	google-analytics.com	51	21	22	35
465	google-analytics.com	889	71	387	718
466	google-analytics.com	51	21	22	35
