num	name	http1	spdy3	delta	simple
1	allocine.fr	660	417	420	446
2	allocine.fr	687	120	161	249
3	allocine.fr	686	77	131	238
4	allocine.fr	643	64	94	238
5	allocine.fr	642	47	73	199
6	allocine.fr	642	51	81	210
7	allocine.fr	724	129	121	297
8	allocine.fr	678	116	144	264
9	allocine.fr	433	152	139	161
10	allocine.fr	683	112	149	349
11	allocine.fr	677	75	106	231
12	allocine.fr	432	107	110	161
13	allocine.fr	578	160	169	255
14	allocine.fr	581	98	178	231
15	allocine.fr	580	89	143	217
16	allocine.fr	579	84	146	224
17	allocine.fr	580	72	140	217
18	allocine.fr	583	74	140	239
19	allocine.fr	580	69	137	237
20	allocine.fr	578	56	110	226
21	allocine.fr	599	148	193	255
22	allocine.fr	599	91	190	255
23	allocine.fr	599	89	191	255
24	allocine.fr	599	106	186	247
25	allocine.fr	597	79	159	245
26	allocine.fr	599	82	168	255
27	allocine.fr	573	99	172	232
28	allocine.fr	573	59	139	210
29	allocine.fr	573	75	135	210
30	allocine.fr	573	73	135	210
31	allocine.fr	573	53	99	210
32	allocine.fr	573	54	138	210
33	allocine.fr	573	55	98	210
34	allocine.fr	573	57	139	210
35	allocine.fr	573	50	96	181
36	allocine.fr	573	56	99	189
37	allocine.fr	573	57	99	189
38	allocine.fr	573	54	99	210
39	allocine.fr	574	91	171	233
40	allocine.fr	574	79	143	218
41	allocine.fr	574	69	141	218
42	allocine.fr	678	71	111	338
43	allocine.fr	469	112	121	182
44	allocine.fr	434	95	97	137
45	allocine.fr	436	94	91	131
46	allocine.fr	572	77	149	240
47	allocine.fr	572	60	137	213
48	allocine.fr	572	54	134	213
49	allocine.fr	572	57	136	213
50	allocine.fr	572	52	135	213
51	allocine.fr	572	53	136	213
52	allocine.fr	576	72	144	227
53	allocine.fr	572	67	149	231
54	allocine.fr	572	72	137	213
55	allocine.fr	429	83	79	129
56	allocine.fr	428	63	69	122
57	allocine.fr	431	53	69	133
58	allocine.fr	430	51	61	115
59	allocine.fr	436	93	101	139
60	allocine.fr	577	102	151	237
61	allocine.fr	575	104	168	226
62	allocine.fr	574	71	139	225
63	allocine.fr	435	87	100	135
64	allocine.fr	435	78	93	130
65	allocine.fr	430	66	72	133
66	allocine.fr	435	39	51	138
67	allocine.fr	435	32	20	87
68	allocine.fr	432	73	101	137
69	allocine.fr	679	81	104	345
70	allocine.fr	1020	254	342	551
71	allocine.fr	703	96	172	271
72	allocine.fr	724	113	116	317
73	allocine.fr	614	74	74	225
74	allocine.fr	687	94	40	272
75	allocine.fr	686	76	32	238
76	allocine.fr	643	57	26	238
77	allocine.fr	642	51	26	199
78	allocine.fr	642	55	32	210
79	allocine.fr	724	71	30	297
80	allocine.fr	695	69	106	266
81	allocine.fr	22	37	27	8
82	allocine.fr	433	100	38	268
83	allocine.fr	432	88	28	136
84	allocine.fr	428	71	90	141
85	allocine.fr	655	143	197	304
86	allocine.fr	666	91	192	290
87	allocine.fr	636	109	216	280
88	allocine.fr	635	116	195	287
89	allocine.fr	636	93	187	270
90	allocine.fr	641	107	196	282
91	allocine.fr	663	105	190	293
92	allocine.fr	622	83	182	266
93	allocine.fr	627	86	180	262
94	allocine.fr	660	102	191	290
95	allocine.fr	633	92	192	275
96	allocine.fr	658	108	189	288
97	allocine.fr	641	94	178	276
98	allocine.fr	624	82	185	267
99	allocine.fr	622	100	183	266
100	allocine.fr	635	89	194	287
101	allocine.fr	703	33	36	353
102	allocine.fr	725	79	116	318
103	allocine.fr	488	127	131	203
104	allocine.fr	616	99	104	303
105	allocine.fr	631	50	73	226
106	allocine.fr	22	23	22	8
107	allocine.fr	661	62	72	447
108	allocine.fr	687	34	38	257
109	allocine.fr	686	33	28	238
110	allocine.fr	643	29	26	238
111	allocine.fr	642	31	24	199
112	allocine.fr	642	31	30	210
113	allocine.fr	724	33	28	297
114	allocine.fr	22	22	8	8
115	allocine.fr	433	28	28	268
116	allocine.fr	432	28	24	136
117	allocine.fr	434	101	97	139
118	allocine.fr	703	33	32	353
119	allocine.fr	725	33	32	318
120	allocine.fr	903	309	339	497
121	allocine.fr	475	78	90	193
122	allocine.fr	19	30	22	10
123	allocine.fr	662	60	98	448
124	allocine.fr	711	80	102	262
125	allocine.fr	685	82	98	238
126	allocine.fr	643	29	36	248
127	allocine.fr	642	31	24	199
128	allocine.fr	642	31	26	210
129	allocine.fr	723	74	116	315
130	allocine.fr	661	66	104	250
131	allocine.fr	678	91	38	243
132	allocine.fr	433	28	30	161
133	allocine.fr	678	63	38	333
134	allocine.fr	432	28	26	161
135	allocine.fr	679	70	26	345
136	allocine.fr	433	92	98	161
137	allocine.fr	434	81	101	147
138	allocine.fr	612	124	209	285
139	allocine.fr	612	101	197	259
140	allocine.fr	589	99	142	238
141	allocine.fr	583	85	158	217
142	allocine.fr	596	89	158	245
143	allocine.fr	589	61	121	238
144	allocine.fr	584	117	164	218
145	allocine.fr	588	93	157	245
146	allocine.fr	588	81	152	231
147	allocine.fr	588	48	127	215
148	allocine.fr	588	39	102	193
149	allocine.fr	588	43	103	193
150	allocine.fr	588	39	86	193
151	allocine.fr	579	90	154	230
152	allocine.fr	579	68	149	228
153	allocine.fr	585	99	175	235
154	allocine.fr	591	96	144	248
155	allocine.fr	592	87	171	233
156	allocine.fr	592	89	159	225
157	allocine.fr	598	106	172	254
158	allocine.fr	596	98	187	245
159	allocine.fr	596	69	160	231
160	allocine.fr	449	100	174	232
161	allocine.fr	598	96	202	354
162	allocine.fr	596	59	126	252
163	allocine.fr	596	80	164	239
164	allocine.fr	426	69	75	137
165	allocine.fr	725	70	127	399
166	allocine.fr	703	87	34	271
167	allocine.fr	662	65	75	264
168	allocine.fr	711	32	34	270
169	allocine.fr	685	32	32	238
170	allocine.fr	19	28	18	10
171	allocine.fr	642	29	34	431
172	allocine.fr	642	31	26	210
173	allocine.fr	723	33	34	315
174	allocine.fr	433	28	28	167
175	allocine.fr	432	28	24	136
176	allocine.fr	432	71	93	145
177	allocine.fr	636	102	209	305
178	allocine.fr	611	44	111	210
179	allocine.fr	611	40	107	210
180	allocine.fr	611	121	200	266
181	allocine.fr	601	72	166	242
182	allocine.fr	601	61	126	242
183	allocine.fr	609	67	119	211
184	allocine.fr	615	79	165	260
185	allocine.fr	19	23	18	10
186	allocine.fr	19	21	8	10
187	allocine.fr	19	21	8	10
188	allocine.fr	22	33	18	8
189	allocine.fr	661	69	88	447
190	allocine.fr	711	32	34	261
191	allocine.fr	685	31	24	238
192	allocine.fr	19	22	14	10
193	allocine.fr	642	29	30	431
194	allocine.fr	642	31	24	210
195	allocine.fr	723	33	32	315
196	allocine.fr	22	22	8	8
197	allocine.fr	433	28	28	268
198	allocine.fr	432	28	24	136
199	allocine.fr	587	116	182	263
200	allocine.fr	434	81	26	152
201	allocine.fr	612	84	174	285
202	allocine.fr	615	96	189	261
203	allocine.fr	612	75	178	266
204	allocine.fr	589	101	166	238
205	allocine.fr	589	79	164	231
206	allocine.fr	589	77	119	231
207	allocine.fr	589	69	119	223
208	allocine.fr	406	64	86	174
209	allocine.fr	588	84	168	336
210	allocine.fr	588	80	150	231
211	allocine.fr	588	75	179	238
212	allocine.fr	588	46	114	238
213	allocine.fr	588	44	104	193
214	allocine.fr	585	100	178	235
215	allocine.fr	589	84	151	238
216	allocine.fr	592	75	124	249
217	allocine.fr	592	64	122	225
218	allocine.fr	592	57	88	195
219	allocine.fr	598	110	28	254
220	allocine.fr	596	100	26	245
221	allocine.fr	596	72	26	231
222	allocine.fr	598	96	22	254
