num	name	http1	spdy3	delta	simple
1	amazon.fr	377	310	287	293
2	amazon.fr	437	101	146	182
3	amazon.fr	616	207	175	231
4	amazon.fr	641	122	105	167
5	amazon.fr	603	258	301	361
6	amazon.fr	373	57	136	160
7	amazon.fr	1035	272	630	750
8	amazon.fr	632	80	79	378
9	amazon.fr	87	33	26	58
10	amazon.fr	1277	467	629	1043
11	amazon.fr	438	64	172	197
12	amazon.fr	1066	120	616	749
13	amazon.fr	1013	102	95	683
14	amazon.fr	444	121	187	243
15	amazon.fr	1332	194	344	904
16	amazon.fr	511	61	186	218
17	amazon.fr	1072	68	94	680
18	amazon.fr	453	34	116	251
19	amazon.fr	1349	174	341	911
20	amazon.fr	488	77	176	202
21	amazon.fr	529	59	182	226
22	amazon.fr	1108	118	110	704
23	amazon.fr	1122	115	208	304
24	amazon.fr	767	165	359	422
25	amazon.fr	579	62	198	246
26	amazon.fr	1232	143	674	820
27	amazon.fr	1105	82	106	689
28	amazon.fr	708	172	415	492
29	amazon.fr	520	61	180	220
30	amazon.fr	1122	117	615	749
31	amazon.fr	1120	118	135	728
32	amazon.fr	795	182	474	568
33	amazon.fr	608	60	210	259
34	amazon.fr	1158	124	611	742
35	amazon.fr	1237	172	194	791
36	amazon.fr	568	36	204	351
37	amazon.fr	742	182	272	323
38	amazon.fr	559	59	122	152
39	amazon.fr	1323	92	189	791
40	amazon.fr	765	168	459	542
41	amazon.fr	572	53	121	152
42	amazon.fr	1333	103	184	789
43	amazon.fr	1219	55	211	810
44	amazon.fr	855	182	348	413
45	amazon.fr	667	60	191	238
46	amazon.fr	1249	121	615	749
47	amazon.fr	1322	100	197	793
48	amazon.fr	1486	197	528	1067
49	amazon.fr	1434	157	297	818
50	images-amazon.com	445	110	88	159
51	images-amazon.com	449	77	60	114
52	images-amazon.com	457	82	68	121
53	images-amazon.com	456	76	66	120
54	images-amazon.com	483	99	115	168
55	images-amazon.com	484	63	77	132
56	images-amazon.com	477	93	90	162
57	images-amazon.com	436	53	52	103
58	images-amazon.com	433	44	49	100
59	images-amazon.com	447	62	59	112
60	images-amazon.com	453	55	62	141
61	images-amazon.com	470	62	78	136
62	images-amazon.com	417	54	61	106
63	images-amazon.com	417	35	42	88
64	images-amazon.com	417	37	41	88
65	images-amazon.com	451	71	67	118
66	images-amazon.com	451	35	68	118
67	images-amazon.com	451	35	67	118
68	images-amazon.com	451	35	68	118
69	images-amazon.com	453	40	69	119
70	images-amazon.com	451	37	67	118
71	images-amazon.com	417	41	42	88
72	images-amazon.com	417	37	42	88
73	images-amazon.com	417	35	43	88
74	images-amazon.com	449	39	66	134
75	images-amazon.com	485	101	84	146
76	images-amazon.com	485	76	85	146
77	images-amazon.com	458	71	67	122
78	images-amazon.com	453	38	63	118
79	images-amazon.com	454	65	64	119
80	images-amazon.com	455	57	67	140
81	images-amazon.com	469	57	72	132
82	images-amazon.com	454	46	67	119
83	images-amazon.com	439	55	58	126
84	images-amazon.com	439	31	54	105
85	images-amazon.com	444	56	61	130
86	images-amazon.com	474	74	81	156
87	images-amazon.com	472	37	76	134
88	images-amazon.com	417	42	46	106
89	images-amazon.com	449	61	63	134
90	images-amazon.com	287	48	66	76
91	images-amazon.com	468	53	81	200
92	images-amazon.com	272	80	80	123
93	images-amazon.com	424	69	79	191
94	images-amazon.com	466	93	80	192
95	images-amazon.com	449	29	22	142
96	images-amazon.com	463	49	74	166
97	images-amazon.com	470	75	74	125
98	images-amazon.com	482	47	77	159
99	images-amazon.com	484	31	22	160
100	images-amazon.com	453	29	14	105
101	images-amazon.com	469	44	77	175
102	images-amazon.com	417	31	26	134
103	images-amazon.com	417	27	14	88
104	images-amazon.com	417	27	14	88
105	images-amazon.com	483	86	86	203
106	images-amazon.com	478	37	75	132
107	images-amazon.com	484	43	78	137
108	images-amazon.com	423	43	46	104
109	images-amazon.com	423	37	42	85
110	images-amazon.com	423	37	43	85
111	images-amazon.com	449	29	26	162
112	images-amazon.com	485	29	14	146
113	images-amazon.com	485	30	14	146
114	images-amazon.com	489	90	92	189
115	images-amazon.com	453	30	22	146
116	images-amazon.com	454	29	14	119
117	images-amazon.com	455	31	18	140
118	images-amazon.com	469	29	14	132
119	images-amazon.com	454	29	14	119
120	images-amazon.com	444	53	60	169
121	images-amazon.com	444	28	52	102
122	images-amazon.com	444	29	24	158
123	images-amazon.com	474	30	20	156
124	images-amazon.com	472	29	14	134
125	images-amazon.com	427	46	53	154
126	images-amazon.com	449	29	24	162
127	images-amazon.com	453	30	22	157
128	images-amazon.com	468	31	22	159
129	images-amazon.com	419	33	22	158
130	images-amazon.com	424	27	14	126
131	images-amazon.com	482	31	16	169
132	images-amazon.com	484	31	22	160
133	images-amazon.com	453	29	14	105
134	images-amazon.com	469	30	22	175
135	images-amazon.com	455	29	22	147
136	images-amazon.com	469	30	14	132
137	images-amazon.com	444	31	24	169
138	images-amazon.com	444	27	14	102
139	images-amazon.com	466	29	14	121
140	images-amazon.com	449	31	22	142
141	images-amazon.com	526	135	81	221
142	images-amazon.com	538	82	87	141
143	images-amazon.com	521	46	75	126
144	images-amazon.com	515	50	70	121
145	images-amazon.com	516	45	72	122
146	images-amazon.com	509	53	66	116
147	images-amazon.com	529	58	81	133
148	images-amazon.com	471	47	46	103
149	images-amazon.com	473	43	43	86
150	images-amazon.com	471	39	42	84
151	images-amazon.com	528	40	80	153
152	images-amazon.com	474	29	22	164
153	images-amazon.com	472	29	14	134
154	images-amazon.com	453	29	14	118
155	images-amazon.com	454	29	14	119
156	images-amazon.com	482	29	24	206
157	images-amazon.com	484	31	22	160
158	images-amazon.com	469	29	22	175
159	images-amazon.com	455	29	22	147
160	images-amazon.com	469	29	14	132
161	images-amazon.com	444	31	24	169
162	images-amazon.com	444	27	14	102
163	images-amazon.com	466	29	14	121
164	images-amazon.com	449	31	22	142
165	images-amazon.com	474	29	14	136
166	images-amazon.com	472	29	14	134
167	images-amazon.com	453	29	14	118
168	images-amazon.com	454	29	14	119
169	images-amazon.com	566	169	84	256
170	images-amazon.com	565	58	77	133
171	images-amazon.com	570	62	81	138
172	images-amazon.com	482	31	26	206
173	images-amazon.com	484	31	22	160
174	images-amazon.com	453	29	14	105
175	images-amazon.com	466	30	24	192
176	images-amazon.com	449	30	22	142
177	images-amazon.com	577	97	92	266
178	images-amazon.com	469	30	24	191
179	images-amazon.com	455	30	22	147
180	images-amazon.com	469	29	14	132
181	images-amazon.com	454	51	14	119
182	images-amazon.com	444	31	22	169
183	images-amazon.com	444	27	14	102
184	images-amazon.com	532	51	59	226
185	images-amazon.com	533	40	55	105
186	images-amazon.com	541	61	61	112
187	images-amazon.com	508	52	45	104
188	images-amazon.com	508	39	42	85
189	images-amazon.com	508	37	42	85
190	images-amazon.com	510	42	42	87
191	images-amazon.com	508	37	42	85
192	images-amazon.com	508	37	41	85
193	images-amazon.com	508	37	42	85
194	images-amazon.com	508	37	41	85
195	images-amazon.com	534	48	61	126
196	images-amazon.com	538	44	59	110
197	images-amazon.com	534	50	57	106
198	images-amazon.com	537	37	59	109
199	images-amazon.com	537	36	58	109
200	images-amazon.com	542	36	62	113
201	images-amazon.com	537	35	58	109
202	images-amazon.com	535	50	57	107
203	images-amazon.com	530	41	54	103
204	images-amazon.com	543	44	62	114
205	images-amazon.com	536	38	58	108
206	images-amazon.com	564	64	75	133
207	images-amazon.com	564	47	76	133
208	images-amazon.com	564	45	76	133
209	images-amazon.com	565	51	76	133
210	images-amazon.com	566	44	76	134
211	images-amazon.com	563	51	75	132
212	images-amazon.com	562	43	74	131
213	images-amazon.com	563	46	75	132
214	images-amazon.com	561	41	73	130
215	images-amazon.com	444	58	24	158
216	images-amazon.com	508	50	50	225
217	images-amazon.com	508	39	42	85
218	images-amazon.com	508	37	43	85
219	images-amazon.com	449	39	26	162
220	images-amazon.com	534	53	64	248
221	images-amazon.com	508	38	46	104
222	images-amazon.com	508	37	41	85
223	images-amazon.com	508	37	42	85
224	images-amazon.com	508	37	42	85
225	images-amazon.com	508	37	43	85
226	images-amazon.com	508	39	42	85
227	images-amazon.com	565	61	81	154
228	images-amazon.com	548	55	64	119
229	images-amazon.com	564	64	76	133
230	images-amazon.com	558	53	71	127
231	images-amazon.com	564	52	75	133
232	images-amazon.com	566	68	80	134
233	images-amazon.com	553	49	68	123
234	images-amazon.com	565	43	76	133
235	images-amazon.com	577	69	85	144
236	images-amazon.com	561	53	72	130
237	images-amazon.com	563	43	75	132
238	images-amazon.com	564	53	76	133
239	images-amazon.com	563	56	75	132
240	images-amazon.com	559	49	73	128
241	images-amazon.com	533	59	56	105
242	images-amazon.com	560	88	70	153
243	images-amazon.com	507	45	51	106
244	images-amazon.com	507	39	42	84
245	images-amazon.com	507	37	42	84
246	images-amazon.com	509	42	42	86
247	images-amazon.com	507	37	41	84
248	images-amazon.com	507	39	42	84
249	images-amazon.com	507	32	42	84
250	images-amazon.com	507	37	41	84
251	images-amazon.com	507	32	42	84
252	images-amazon.com	507	37	41	84
253	images-amazon.com	453	63	26	166
254	images-amazon.com	454	67	14	119
255	images-amazon.com	572	76	81	285
256	images-amazon.com	543	57	72	138
257	images-amazon.com	474	73	22	164
258	images-amazon.com	472	37	14	134
259	images-amazon.com	556	45	79	267
260	images-amazon.com	565	69	77	133
261	images-amazon.com	557	51	71	126
262	images-amazon.com	508	49	46	104
263	images-amazon.com	508	37	42	85
264	images-amazon.com	508	39	42	85
265	images-amazon.com	510	43	43	87
266	images-amazon.com	508	37	42	85
267	images-amazon.com	508	37	42	85
268	images-amazon.com	508	37	42	85
269	images-amazon.com	508	37	42	85
270	images-amazon.com	508	37	42	85
271	images-amazon.com	508	37	41	85
272	images-amazon.com	508	36	42	85
273	images-amazon.com	508	37	42	85
274	images-amazon.com	508	37	41	85
275	images-amazon.com	508	39	42	85
276	images-amazon.com	508	37	42	85
277	images-amazon.com	510	41	43	87
