num	name	http1	spdy3	delta	simple
1	amazon.fr	22	50	32	8
2	amazon.fr	905	507	604	669
3	amazon.fr	430	137	116	155
4	amazon.fr	837	192	342	466
5	amazon.fr	22	21	24	8
6	amazon.fr	22	21	8	8
7	amazon.fr	22	21	8	8
8	amazon.fr	1211	367	635	928
9	amazon.fr	19	28	22	10
10	amazon.fr	800	76	68	595
11	amazon.fr	22	21	22	8
12	amazon.fr	22	21	8	8
13	amazon.fr	793	130	130	595
14	amazon.fr	22	21	22	8
15	amazon.fr	772	61	62	577
16	amazon.fr	22	21	22	8
17	amazon.fr	793	53	45	595
18	amazon.fr	22	21	22	8
19	amazon.fr	772	119	122	577
20	amazon.fr	22	21	22	8
21	amazon.fr	22	21	8	8
22	amazon.fr	849	124	108	620
23	amazon.fr	789	135	155	193
24	amazon.fr	22	21	22	8
25	amazon.fr	22	21	8	8
26	amazon.fr	22	21	8	8
27	amazon.fr	849	57	52	620
28	amazon.fr	22	21	22	8
29	amazon.fr	22	21	8	8
30	amazon.fr	22	21	8	8
31	amazon.fr	849	120	119	620
32	amazon.fr	22	21	22	8
33	amazon.fr	22	21	8	8
34	amazon.fr	22	21	8	8
35	amazon.fr	561	145	208	410
36	amazon.fr	22	21	22	8
37	amazon.fr	22	21	8	8
38	amazon.fr	22	21	8	8
39	amazon.fr	561	109	189	410
40	amazon.fr	22	21	22	8
41	amazon.fr	22	21	8	8
42	amazon.fr	849	127	126	620
43	amazon.fr	789	63	73	193
44	amazon.fr	22	21	22	8
45	amazon.fr	22	21	8	8
46	amazon.fr	22	21	8	8
47	amazon.fr	849	59	56	620
48	amazon.fr	772	61	71	186
49	amazon.fr	772	52	37	168
50	images-amazon.com	572	279	322	344
51	images-amazon.com	571	174	233	271
52	images-amazon.com	573	161	238	273
53	images-amazon.com	573	163	229	273
54	images-amazon.com	471	116	126	238
55	images-amazon.com	451	104	125	119
56	images-amazon.com	598	195	249	374
57	images-amazon.com	572	159	231	272
58	images-amazon.com	644	207	274	326
59	images-amazon.com	598	174	230	294
60	images-amazon.com	451	77	103	222
61	images-amazon.com	468	89	137	154
62	images-amazon.com	574	162	237	346
63	images-amazon.com	646	193	273	327
64	images-amazon.com	574	159	222	264
65	images-amazon.com	572	124	129	262
66	images-amazon.com	598	135	128	168
67	images-amazon.com	572	116	132	262
68	images-amazon.com	572	157	225	262
69	images-amazon.com	406	92	105	169
70	images-amazon.com	572	117	137	313
71	images-amazon.com	574	154	222	264
72	images-amazon.com	599	135	129	285
73	images-amazon.com	597	124	128	278
74	images-amazon.com	851	292	456	591
75	images-amazon.com	570	119	141	322
76	images-amazon.com	572	120	131	263
77	images-amazon.com	644	195	276	326
78	images-amazon.com	573	117	134	273
79	images-amazon.com	573	127	131	264
80	images-amazon.com	465	93	131	234
81	images-amazon.com	466	49	90	105
82	images-amazon.com	466	47	87	105
83	images-amazon.com	572	147	236	344
84	images-amazon.com	572	109	111	255
85	images-amazon.com	463	82	119	232
86	images-amazon.com	572	151	233	344
87	images-amazon.com	572	143	222	263
88	images-amazon.com	572	152	225	272
89	images-amazon.com	573	162	228	273
90	images-amazon.com	22	26	22	8
91	images-amazon.com	573	128	135	370
92	images-amazon.com	22	21	22	8
93	images-amazon.com	450	78	126	245
94	images-amazon.com	405	84	105	124
95	images-amazon.com	571	31	38	322
96	images-amazon.com	573	149	225	273
97	images-amazon.com	569	121	130	269
98	images-amazon.com	475	112	149	238
99	images-amazon.com	451	29	26	119
100	images-amazon.com	451	30	18	105
101	images-amazon.com	468	71	102	134
102	images-amazon.com	574	30	34	346
103	images-amazon.com	646	31	18	327
104	images-amazon.com	574	32	18	264
105	images-amazon.com	572	148	225	272
106	images-amazon.com	595	165	245	287
107	images-amazon.com	572	101	105	257
108	images-amazon.com	573	151	232	273
109	images-amazon.com	572	145	223	262
110	images-amazon.com	573	124	130	263
111	images-amazon.com	851	34	34	591
112	images-amazon.com	570	32	30	322
113	images-amazon.com	572	31	22	263
114	images-amazon.com	572	154	223	263
115	images-amazon.com	573	32	26	273
116	images-amazon.com	573	31	22	264
117	images-amazon.com	465	29	34	234
118	images-amazon.com	466	31	18	105
119	images-amazon.com	466	31	18	105
120	images-amazon.com	404	72	100	123
121	images-amazon.com	404	35	43	70
122	images-amazon.com	463	30	26	156
123	images-amazon.com	572	30	28	344
124	images-amazon.com	572	31	18	263
125	images-amazon.com	598	131	134	294
126	images-amazon.com	573	31	26	273
127	images-amazon.com	573	118	129	264
128	images-amazon.com	573	31	28	273
129	images-amazon.com	451	76	102	222
130	images-amazon.com	450	30	24	119
131	images-amazon.com	475	29	18	136
132	images-amazon.com	451	30	24	119
133	images-amazon.com	451	30	18	105
134	images-amazon.com	468	31	24	134
135	images-amazon.com	465	30	26	118
136	images-amazon.com	466	30	18	105
137	images-amazon.com	404	26	28	123
138	images-amazon.com	404	27	18	70
139	images-amazon.com	405	28	22	102
140	images-amazon.com	571	35	36	322
141	images-amazon.com	645	189	274	327
142	images-amazon.com	571	119	128	262
143	images-amazon.com	597	130	139	293
144	images-amazon.com	572	114	133	272
145	images-amazon.com	571	102	110	154
146	images-amazon.com	571	122	132	271
147	images-amazon.com	596	111	106	175
148	images-amazon.com	598	124	131	288
149	images-amazon.com	572	122	127	146
150	images-amazon.com	572	118	123	146
151	images-amazon.com	645	151	262	336
152	images-amazon.com	572	32	26	272
153	images-amazon.com	572	31	24	263
154	images-amazon.com	573	31	22	264
155	images-amazon.com	573	31	22	264
156	images-amazon.com	475	29	30	238
157	images-amazon.com	451	29	24	119
158	images-amazon.com	468	30	24	134
159	images-amazon.com	465	30	26	118
160	images-amazon.com	466	30	18	105
161	images-amazon.com	404	26	28	123
162	images-amazon.com	404	27	18	70
163	images-amazon.com	405	28	22	102
164	images-amazon.com	571	32	32	322
165	images-amazon.com	572	31	18	263
166	images-amazon.com	572	31	18	263
167	images-amazon.com	573	31	22	264
168	images-amazon.com	573	30	18	264
169	images-amazon.com	597	122	134	293
170	images-amazon.com	573	158	229	264
171	images-amazon.com	596	116	129	283
172	images-amazon.com	475	29	34	238
173	images-amazon.com	451	30	22	119
174	images-amazon.com	451	30	18	105
175	images-amazon.com	405	26	24	124
176	images-amazon.com	571	30	32	322
177	images-amazon.com	596	156	144	280
178	images-amazon.com	468	30	36	237
179	images-amazon.com	465	30	26	118
180	images-amazon.com	466	30	18	105
181	images-amazon.com	466	46	18	105
182	images-amazon.com	404	26	28	123
183	images-amazon.com	404	27	18	70
184	images-amazon.com	572	155	230	314
185	images-amazon.com	666	209	291	341
186	images-amazon.com	645	193	282	336
187	images-amazon.com	604	147	149	286
188	images-amazon.com	573	160	229	263
189	images-amazon.com	574	125	126	147
190	images-amazon.com	574	160	224	264
191	images-amazon.com	574	157	223	264
192	images-amazon.com	645	161	270	326
193	images-amazon.com	573	125	129	263
194	images-amazon.com	645	125	130	326
195	images-amazon.com	572	146	210	272
196	images-amazon.com	573	156	230	273
197	images-amazon.com	646	194	273	327
198	images-amazon.com	644	119	272	325
199	images-amazon.com	598	173	280	340
200	images-amazon.com	573	140	210	293
201	images-amazon.com	573	118	84	263
202	images-amazon.com	571	111	132	271
203	images-amazon.com	644	160	280	326
204	images-amazon.com	571	107	109	262
205	images-amazon.com	571	139	205	254
206	images-amazon.com	645	184	281	336
207	images-amazon.com	645	178	276	327
208	images-amazon.com	645	176	276	327
209	images-amazon.com	645	166	244	311
210	images-amazon.com	645	162	243	311
211	images-amazon.com	645	177	273	327
212	images-amazon.com	645	139	273	327
213	images-amazon.com	645	141	275	327
214	images-amazon.com	645	133	275	327
215	images-amazon.com	463	98	30	232
216	images-amazon.com	645	128	282	408
217	images-amazon.com	574	125	130	264
218	images-amazon.com	574	111	124	147
219	images-amazon.com	851	288	38	591
220	images-amazon.com	462	84	99	253
221	images-amazon.com	574	125	140	346
222	images-amazon.com	574	150	230	264
223	images-amazon.com	599	159	130	285
224	images-amazon.com	574	121	132	264
225	images-amazon.com	574	122	128	264
226	images-amazon.com	696	167	334	413
227	images-amazon.com	894	196	380	570
228	images-amazon.com	645	125	287	379
229	images-amazon.com	573	111	128	264
230	images-amazon.com	573	116	228	264
231	images-amazon.com	645	114	274	327
232	images-amazon.com	573	124	131	273
233	images-amazon.com	572	116	231	272
234	images-amazon.com	573	114	129	264
235	images-amazon.com	645	123	283	336
236	images-amazon.com	645	117	280	336
237	images-amazon.com	767	149	335	476
238	images-amazon.com	646	116	287	380
239	images-amazon.com	646	124	276	327
240	images-amazon.com	574	120	225	264
241	images-amazon.com	406	93	132	201
242	images-amazon.com	446	85	99	141
243	images-amazon.com	765	218	340	508
244	images-amazon.com	574	119	108	264
245	images-amazon.com	573	148	113	263
246	images-amazon.com	599	133	109	168
247	images-amazon.com	646	157	261	327
248	images-amazon.com	645	121	129	326
249	images-amazon.com	646	139	257	327
250	images-amazon.com	675	175	297	348
251	images-amazon.com	567	116	128	280
252	images-amazon.com	646	123	278	349
253	images-amazon.com	573	152	26	273
254	images-amazon.com	573	158	18	264
255	images-amazon.com	449	101	120	220
256	images-amazon.com	766	221	343	535
257	images-amazon.com	572	149	30	315
258	images-amazon.com	572	141	22	263
259	images-amazon.com	466	80	123	235
260	images-amazon.com	406	92	126	125
261	images-amazon.com	406	64	86	101
262	images-amazon.com	573	120	141	345
263	images-amazon.com	646	156	279	327
264	images-amazon.com	894	215	386	586
265	images-amazon.com	573	122	137	307
266	images-amazon.com	599	132	131	285
267	images-amazon.com	646	152	278	327
268	images-amazon.com	775	192	330	461
269	images-amazon.com	599	122	135	307
270	images-amazon.com	854	206	391	584
271	images-amazon.com	572	122	137	314
272	images-amazon.com	574	123	130	264
273	images-amazon.com	573	123	126	263
274	images-amazon.com	599	164	131	285
275	images-amazon.com	572	123	131	262
276	images-amazon.com	603	147	151	285
277	images-amazon.com	598	154	132	284
278	images-amazon.com	574	118	130	264
279	images-amazon.com	573	121	128	263
280	images-amazon.com	573	123	128	263
281	images-amazon.com	573	123	131	263
282	images-amazon.com	599	164	285	341
283	images-amazon.com	768	154	331	469
284	images-amazon.com	574	118	139	308
285	images-amazon.com	574	118	130	264
286	images-amazon.com	574	126	131	264
287	images-amazon.com	573	121	131	263
288	images-amazon.com	574	121	129	264
289	images-amazon.com	573	118	127	263
290	images-amazon.com	646	117	255	327
291	images-amazon.com	604	116	132	286
292	images-amazon.com	599	120	114	285
293	images-amazon.com	574	123	110	264
294	images-amazon.com	573	116	129	263
295	images-amazon.com	573	121	129	263
296	images-amazon.com	574	112	125	264
297	images-amazon.com	598	127	135	284
298	images-amazon.com	573	112	130	263
299	images-amazon.com	571	156	133	271
300	images-amazon.com	571	102	95	132
301	images-amazon.com	571	120	124	146
302	images-amazon.com	475	123	38	238
303	images-amazon.com	451	92	24	119
304	images-amazon.com	451	69	18	105
305	images-amazon.com	405	86	22	124
306	images-amazon.com	571	155	36	322
307	images-amazon.com	573	156	226	264
308	images-amazon.com	468	99	36	237
309	images-amazon.com	465	92	26	118
310	images-amazon.com	466	49	18	105
311	images-amazon.com	466	47	18	105
312	images-amazon.com	404	68	28	123
313	images-amazon.com	404	34	18	70
314	images-amazon.com	645	196	286	386
315	images-amazon.com	644	188	271	326
316	images-amazon.com	645	180	275	327
317	images-amazon.com	645	150	270	327
318	images-amazon.com	644	124	128	326
319	images-amazon.com	767	212	341	476
320	images-amazon.com	853	215	387	568
321	images-amazon.com	644	117	137	378
322	images-amazon.com	638	155	283	343
323	images-amazon.com	572	110	229	285
324	images-amazon.com	573	123	133	156
325	images-amazon.com	644	122	135	335
326	images-amazon.com	573	117	230	273
327	images-amazon.com	572	110	230	272
328	images-amazon.com	645	144	270	327
329	images-amazon.com	645	143	272	327
330	images-amazon.com	573	124	132	273
331	images-amazon.com	573	146	232	273
332	images-amazon.com	573	111	225	264
333	images-amazon.com	566	104	134	280
334	images-amazon.com	573	106	133	286
335	images-amazon.com	572	113	131	263
336	images-amazon.com	573	116	132	264
337	images-amazon.com	645	145	276	327
338	images-amazon.com	645	132	269	327
339	images-amazon.com	573	115	126	264
340	images-amazon.com	573	118	131	264
341	images-amazon.com	645	140	274	327
342	images-amazon.com	644	104	127	326
343	images-amazon.com	572	118	130	263
344	images-amazon.com	572	124	131	272
345	images-amazon.com	644	98	105	335
346	images-amazon.com	573	121	130	273
347	images-amazon.com	573	137	232	273
348	images-amazon.com	645	137	273	327
349	images-amazon.com	572	156	24	272
350	images-amazon.com	666	186	26	341
351	images-amazon.com	645	196	22	336
352	images-amazon.com	768	165	337	476
353	images-amazon.com	573	149	228	307
354	images-amazon.com	573	125	129	147
355	images-amazon.com	604	157	143	169
356	images-amazon.com	573	123	124	147
357	images-amazon.com	574	155	128	264
358	images-amazon.com	645	155	273	326
359	images-amazon.com	592	146	142	279
360	images-amazon.com	572	145	32	272
361	images-amazon.com	573	156	28	273
362	images-amazon.com	646	193	18	327
363	images-amazon.com	644	153	26	325
364	images-amazon.com	598	139	26	340
365	images-amazon.com	573	148	26	293
366	images-amazon.com	573	89	26	263
367	images-amazon.com	463	175	30	232
368	images-amazon.com	574	127	135	346
369	images-amazon.com	574	155	228	264
370	images-amazon.com	574	140	224	264
371	images-amazon.com	851	244	38	591
372	images-amazon.com	853	235	379	454
373	images-amazon.com	571	113	34	314
374	images-amazon.com	644	160	22	326
375	images-amazon.com	571	106	24	262
376	images-amazon.com	571	143	22	254
377	images-amazon.com	571	126	131	271
378	images-amazon.com	597	151	243	280
379	images-amazon.com	599	164	132	286
380	images-amazon.com	572	112	130	263
381	images-amazon.com	446	101	36	217
382	images-amazon.com	573	150	134	345
383	images-amazon.com	573	115	128	263
384	images-amazon.com	573	120	126	147
385	images-amazon.com	574	148	131	264
386	images-amazon.com	572	148	129	262
387	images-amazon.com	646	152	279	327
388	images-amazon.com	573	119	126	263
389	images-amazon.com	574	120	131	264
390	images-amazon.com	573	117	128	263
391	images-amazon.com	574	115	132	264
392	images-amazon.com	574	116	226	264
393	images-amazon.com	646	152	273	327
394	images-amazon.com	574	116	129	264
395	images-amazon.com	775	179	314	461
396	images-amazon.com	645	126	281	348
397	images-amazon.com	656	138	286	412
398	images-amazon.com	644	187	284	377
399	images-amazon.com	567	128	228	280
400	images-amazon.com	645	119	279	348
401	images-amazon.com	574	120	129	264
402	images-amazon.com	572	145	26	272
403	images-amazon.com	572	111	22	263
404	images-amazon.com	573	145	22	264
405	images-amazon.com	573	156	18	264
406	images-amazon.com	449	100	32	220
407	images-amazon.com	466	83	24	135
408	images-amazon.com	573	123	137	345
409	images-amazon.com	572	118	124	146
410	images-amazon.com	597	130	129	283
411	images-amazon.com	572	122	131	262
412	images-amazon.com	573	122	131	263
413	images-amazon.com	572	118	129	262
414	images-amazon.com	572	117	130	262
415	images-amazon.com	573	124	124	263
416	images-amazon.com	573	121	130	263
417	images-amazon.com	646	119	110	327
418	images-amazon.com	574	142	132	264
419	images-amazon.com	573	128	131	263
420	images-amazon.com	645	143	258	326
421	images-amazon.com	573	111	129	263
422	images-amazon.com	646	163	274	327
423	images-amazon.com	573	123	127	263
424	images-amazon.com	645	123	276	326
425	images-amazon.com	573	117	127	263
426	images-amazon.com	573	116	129	263
427	images-amazon.com	599	131	133	285
428	images-amazon.com	574	152	133	264
429	images-amazon.com	573	117	130	263
430	images-amazon.com	574	112	123	147
431	images-amazon.com	573	122	124	147
432	images-amazon.com	573	114	132	263
433	images-amazon.com	573	117	128	263
434	images-amazon.com	574	125	129	264
435	images-amazon.com	572	121	131	262
436	images-amazon.com	603	162	148	285
437	images-amazon.com	597	123	115	283
438	images-amazon.com	574	121	133	264
439	images-amazon.com	573	120	127	147
440	images-amazon.com	573	154	129	263
441	images-amazon.com	728	200	338	475
442	images-amazon.com	573	115	118	315
443	images-amazon.com	572	109	128	146
444	images-amazon.com	573	119	107	147
445	images-amazon.com	595	130	132	281
446	images-amazon.com	598	124	109	279
447	images-amazon.com	573	116	129	263
448	images-amazon.com	596	159	134	292
449	images-amazon.com	475	123	32	238
450	images-amazon.com	451	90	24	119
451	images-amazon.com	451	67	18	105
452	images-amazon.com	405	87	24	124
453	images-amazon.com	571	122	36	322
454	images-amazon.com	573	148	18	264
455	images-amazon.com	468	77	32	237
456	images-amazon.com	465	92	26	118
457	images-amazon.com	466	50	18	105
458	images-amazon.com	466	48	18	105
459	images-amazon.com	404	66	28	123
460	images-amazon.com	404	35	18	70
461	images-amazon.com	598	157	135	336
462	images-amazon.com	573	121	132	264
463	images-amazon.com	573	115	130	264
464	images-amazon.com	598	119	131	285
465	images-amazon.com	573	111	111	264
466	images-amazon.com	573	119	132	264
467	images-amazon.com	597	119	132	284
468	images-amazon.com	598	116	131	280
469	images-amazon.com	572	117	130	263
470	images-amazon.com	599	124	135	294
471	images-amazon.com	598	127	132	288
472	images-amazon.com	598	126	198	265
473	images-amazon.com	621	127	145	295
474	images-amazon.com	598	94	106	280
475	images-amazon.com	597	111	130	279
476	images-amazon.com	598	126	132	280
477	images-amazon.com	573	118	110	256
478	images-amazon.com	598	115	133	285
479	images-amazon.com	573	112	130	264
480	images-amazon.com	573	110	132	264
481	images-amazon.com	617	131	132	301
482	images-amazon.com	573	112	130	147
483	images-amazon.com	573	107	128	264
484	images-amazon.com	598	105	133	285
485	images-amazon.com	573	108	133	264
486	images-amazon.com	573	108	111	264
487	images-amazon.com	573	117	134	264
488	images-amazon.com	573	114	130	264
489	images-amazon.com	598	118	132	285
490	images-amazon.com	598	127	130	172
491	images-amazon.com	573	112	135	273
492	images-amazon.com	573	118	128	264
