num	name	http1	spdy3	delta	simple
1	apple.com	437	262	293	311
2	apple.com	427	74	74	119
3	apple.com	417	35	32	79
4	apple.com	419	38	34	81
5	apple.com	415	30	31	77
6	apple.com	424	38	37	85
7	apple.com	420	30	34	82
8	apple.com	411	54	47	91
9	apple.com	415	39	41	91
10	apple.com	408	34	37	84
11	apple.com	411	38	38	87
12	apple.com	408	33	36	84
13	apple.com	414	45	40	90
14	apple.com	405	37	34	82
15	apple.com	409	37	37	85
16	apple.com	411	42	38	87
17	apple.com	411	35	39	87
18	apple.com	407	44	35	84
19	apple.com	465	109	79	128
20	apple.com	464	35	44	95
21	apple.com	461	54	41	92
22	apple.com	460	40	41	91
23	apple.com	457	33	39	89
24	apple.com	462	34	42	93
25	apple.com	463	35	43	94
26	apple.com	466	35	45	97
27	apple.com	471	40	42	105
28	apple.com	466	35	48	100
29	apple.com	468	36	46	98
30	apple.com	462	32	43	93
31	apple.com	1496	654	814	1044
32	apple.com	694	51	42	101
33	apple.com	686	38	31	80
34	apple.com	701	42	42	93
35	apple.com	705	49	44	97
36	apple.com	685	33	31	79
37	apple.com	1597	115	693	1133
38	apple.com	795	73	104	455
39	apple.com	427	28	28	127
40	apple.com	411	27	20	91
41	apple.com	415	27	14	91
42	apple.com	408	27	14	84
43	apple.com	845	77	77	448
44	apple.com	408	29	24	104
45	apple.com	414	27	14	90
46	apple.com	405	27	14	82
47	apple.com	843	59	55	446
48	apple.com	768	45	42	85
49	apple.com	417	27	26	124
50	apple.com	795	50	56	443
51	apple.com	785	44	39	87
52	apple.com	780	45	36	83
53	apple.com	783	39	37	85
54	apple.com	779	35	35	82
55	apple.com	845	54	51	112
56	apple.com	407	28	24	103
57	apple.com	770	40	49	434
58	apple.com	783	41	41	102
59	apple.com	776	93	194	420
60	apple.com	471	28	30	165
61	apple.com	1616	137	659	1192
62	apple.com	784	52	52	112
63	apple.com	784	33	48	98
64	apple.com	781	39	46	96
65	apple.com	778	39	44	93
66	apple.com	780	36	45	95
67	apple.com	793	51	54	106
68	apple.com	779	39	44	94
69	apple.com	779	35	45	94
70	apple.com	780	35	45	95
71	apple.com	782	42	46	97
72	apple.com	787	46	50	101
73	apple.com	783	40	47	98
74	apple.com	782	40	47	97
75	apple.com	784	42	48	98
76	apple.com	787	42	50	101
77	apple.com	781	41	46	96
78	apple.com	788	49	50	102
79	apple.com	788	36	50	102
80	apple.com	785	44	48	99
81	apple.com	787	41	50	101
82	apple.com	787	34	49	101
83	apple.com	794	48	54	107
84	apple.com	788	38	50	102
85	apple.com	767	45	37	84
86	apple.com	763	38	34	80
87	apple.com	781	46	46	96
88	apple.com	779	52	45	94
89	apple.com	776	43	42	91
90	apple.com	776	34	42	91
91	apple.com	778	45	43	93
92	apple.com	784	58	47	98
93	apple.com	782	45	46	97
94	apple.com	774	51	41	90
