num	name	http1	spdy3	delta	simple
1	apple.com	439	262	262	254
2	apple.com	585	147	163	188
3	apple.com	610	100	176	201
4	apple.com	516	50	106	128
5	apple.com	583	84	149	178
6	apple.com	516	59	79	128
7	apple.com	584	79	153	179
8	apple.com	486	83	127	128
9	apple.com	486	57	71	97
10	apple.com	485	57	80	96
11	apple.com	489	84	107	109
12	apple.com	485	56	82	105
13	apple.com	484	60	75	95
14	apple.com	485	51	75	96
15	apple.com	489	48	83	109
16	apple.com	484	44	82	105
17	apple.com	489	54	84	109
18	apple.com	486	52	84	106
19	apple.com	429	101	125	115
20	apple.com	429	55	80	92
21	apple.com	424	71	90	111
22	apple.com	423	63	79	91
23	apple.com	424	42	60	84
24	apple.com	424	57	77	92
25	apple.com	423	42	58	91
26	apple.com	424	42	54	84
27	apple.com	494	47	74	153
28	apple.com	427	64	100	113
29	apple.com	447	66	75	100
30	apple.com	435	94	119	132
31	apple.com	1655	871	1074	1167
32	apple.com	426	59	96	137
33	apple.com	425	47	83	102
34	apple.com	428	46	67	105
35	apple.com	431	49	88	117
36	apple.com	428	40	65	126
37	apple.com	764	118	228	392
38	apple.com	439	48	73	150
39	apple.com	585	29	30	196
40	apple.com	486	29	30	128
41	apple.com	486	31	22	97
42	apple.com	485	31	18	96
43	apple.com	437	76	163	186
44	apple.com	485	31	30	193
45	apple.com	484	31	18	95
46	apple.com	485	31	18	96
47	apple.com	437	45	62	186
48	apple.com	504	73	89	199
49	apple.com	610	32	32	217
50	apple.com	514	68	85	136
51	apple.com	513	59	76	122
52	apple.com	469	56	82	96
53	apple.com	469	54	74	96
54	apple.com	467	50	73	94
55	apple.com	437	39	45	198
56	apple.com	486	32	34	194
57	apple.com	485	49	81	105
58	apple.com	468	45	81	103
59	apple.com	429	89	117	115
60	apple.com	494	29	36	153
61	apple.com	763	53	65	390
62	apple.com	450	67	92	147
63	apple.com	425	57	61	84
64	apple.com	425	57	76	92
65	apple.com	450	45	62	113
66	apple.com	450	49	59	108
67	apple.com	425	56	81	92
68	apple.com	425	46	59	92
69	apple.com	425	42	56	84
70	apple.com	425	43	59	92
71	apple.com	425	43	61	92
72	apple.com	450	47	60	105
73	apple.com	425	53	81	92
74	apple.com	425	41	59	92
75	apple.com	425	43	55	84
76	apple.com	450	42	57	105
77	apple.com	425	46	63	92
78	apple.com	425	41	61	92
79	apple.com	425	44	81	92
80	apple.com	425	41	58	84
81	apple.com	450	49	61	113
82	apple.com	450	44	61	108
83	apple.com	425	46	63	92
84	apple.com	425	40	61	92
85	apple.com	485	57	86	136
86	apple.com	484	56	75	95
87	apple.com	452	49	69	125
88	apple.com	430	79	115	106
89	apple.com	450	50	69	133
90	apple.com	450	45	82	109
91	apple.com	450	56	76	109
92	apple.com	451	55	83	119
93	apple.com	424	59	69	95
94	apple.com	424	56	85	103
95	apple.com	451	50	68	126
96	apple.com	450	45	69	119
97	apple.com	430	58	93	116
98	apple.com	425	48	68	112
99	apple.com	424	43	60	92
100	apple.com	450	49	83	114
101	apple.com	424	41	61	92
102	apple.com	424	45	55	84
103	apple.com	424	43	48	84
104	apple.com	432	85	74	118
105	apple.com	423	60	82	110
106	apple.com	424	54	32	102
107	apple.com	429	49	62	98
108	apple.com	439	79	89	135
109	apple.com	585	99	32	196
110	apple.com	610	77	22	201
111	apple.com	494	52	73	119
112	apple.com	468	49	81	95
113	apple.com	494	45	60	117
114	apple.com	469	50	80	96
115	apple.com	486	70	32	128
116	apple.com	486	56	22	97
117	apple.com	485	56	22	96
118	apple.com	489	80	32	109
119	apple.com	485	56	22	105
120	apple.com	484	58	18	95
121	apple.com	485	54	18	96
122	apple.com	489	49	28	109
123	apple.com	489	65	102	109
124	apple.com	509	66	73	112
125	apple.com	489	51	80	96
126	apple.com	489	55	76	96
127	apple.com	490	48	59	97
128	apple.com	495	52	66	135
129	apple.com	488	48	88	130
130	apple.com	489	52	32	109
131	apple.com	486	53	22	106
132	apple.com	494	40	32	134
133	apple.com	765	366	196	392
134	apple.com	429	69	115	140
135	apple.com	428	80	111	114
136	apple.com	429	71	106	106
137	apple.com	431	61	88	117
138	apple.com	429	45	54	93
139	apple.com	433	46	81	116
140	apple.com	430	50	86	102
141	apple.com	433	33	60	108
142	apple.com	429	44	85	101
143	apple.com	433	36	59	116
144	apple.com	430	44	64	94
145	apple.com	433	35	57	108
146	apple.com	429	41	66	101
147	apple.com	433	31	57	116
148	apple.com	429	38	64	101
149	apple.com	433	34	62	116
150	apple.com	430	41	64	94
151	apple.com	427	64	84	105
152	apple.com	427	40	58	84
153	apple.com	429	51	83	102
154	apple.com	429	46	60	84
155	apple.com	431	47	62	104
156	apple.com	429	48	65	102
157	apple.com	430	54	93	106
158	apple.com	429	46	64	101
159	apple.com	431	45	65	103
160	apple.com	429	42	63	101
161	apple.com	432	39	53	98
162	apple.com	429	41	62	92
163	apple.com	431	42	63	103
164	apple.com	428	47	69	114
165	apple.com	429	40	67	106
166	apple.com	432	35	57	106
167	apple.com	429	46	81	92
168	apple.com	430	45	64	94
169	apple.com	429	45	84	101
170	apple.com	429	39	58	92
171	apple.com	429	41	60	92
172	apple.com	428	48	68	105
173	apple.com	429	42	63	106
174	apple.com	424	69	32	102
175	apple.com	433	37	62	130
176	apple.com	449	67	89	126
177	apple.com	433	37	59	117
178	apple.com	449	43	68	126
179	apple.com	433	44	83	125
180	apple.com	449	45	66	126
181	apple.com	433	40	64	125
182	apple.com	450	49	67	127
183	apple.com	433	36	62	125
184	apple.com	449	43	67	126
185	apple.com	452	55	66	119
186	apple.com	449	44	64	117
187	apple.com	452	43	66	119
188	apple.com	449	40	63	117
189	apple.com	439	78	69	126
190	apple.com	585	101	34	196
191	apple.com	486	96	28	128
192	apple.com	486	57	22	97
193	apple.com	485	58	18	96
194	apple.com	489	74	30	109
195	apple.com	485	57	22	105
196	apple.com	484	60	18	95
197	apple.com	485	52	24	96
198	apple.com	489	47	22	109
199	apple.com	469	60	54	113
200	apple.com	437	93	71	198
201	apple.com	437	53	45	82
202	apple.com	437	53	54	82
203	apple.com	437	50	45	82
204	apple.com	610	86	34	304
205	apple.com	469	53	79	104
206	apple.com	468	58	57	95
207	apple.com	527	97	110	144
208	apple.com	506	50	67	119
209	apple.com	489	57	32	131
210	apple.com	486	51	22	106
211	apple.com	484	59	62	105
212	apple.com	431	86	116	117
213	apple.com	494	47	38	153
214	apple.com	765	365	191	392
215	apple.com	443	59	91	141
216	apple.com	431	92	116	108
217	apple.com	430	70	107	107
218	apple.com	431	59	86	117
219	apple.com	450	49	91	133
220	apple.com	423	56	79	91
221	apple.com	451	61	81	115
222	apple.com	450	42	58	109
223	apple.com	449	40	55	100
224	apple.com	450	53	81	109
225	apple.com	433	56	79	116
226	apple.com	430	51	57	84
227	apple.com	463	64	81	134
228	apple.com	433	43	83	121
229	apple.com	450	56	84	119
230	apple.com	449	50	76	108
231	apple.com	459	104	133	137
232	apple.com	458	51	76	104
233	apple.com	463	48	70	135
234	apple.com	451	57	89	124
235	apple.com	424	54	65	101
236	apple.com	430	48	64	99
237	apple.com	430	46	55	84
238	apple.com	488	42	42	147
239	apple.com	430	71	86	99
240	apple.com	430	50	66	99
241	apple.com	424	55	28	102
242	apple.com	19	26	22	10
243	apple.com	585	33	40	335
244	apple.com	610	32	22	201
245	apple.com	494	51	26	119
246	apple.com	468	52	28	95
247	apple.com	494	49	26	117
248	apple.com	469	46	24	96
249	apple.com	486	58	28	128
250	apple.com	486	59	22	97
251	apple.com	485	48	22	96
252	apple.com	489	54	32	109
253	apple.com	485	55	22	105
254	apple.com	484	59	18	95
255	apple.com	485	47	18	96
256	apple.com	489	47	22	109
257	apple.com	489	53	28	109
258	apple.com	509	51	28	112
259	apple.com	489	47	24	96
260	apple.com	489	42	24	96
261	apple.com	437	83	89	186
262	apple.com	495	56	48	221
263	apple.com	437	44	59	206
264	apple.com	489	32	34	196
265	apple.com	486	31	22	106
266	apple.com	494	29	34	134
267	apple.com	764	80	192	391
268	apple.com	400	59	67	184
269	apple.com	401	49	58	91
270	apple.com	401	44	55	81
271	apple.com	400	43	58	90
272	apple.com	401	41	49	91
273	apple.com	400	39	56	90
274	apple.com	400	39	50	73
275	apple.com	400	39	55	81
276	apple.com	401	37	49	91
277	apple.com	400	37	34	82
278	apple.com	400	38	53	81
279	apple.com	400	38	55	81
280	apple.com	401	38	55	83
281	apple.com	400	39	59	90
282	apple.com	400	37	55	81
283	apple.com	400	37	55	81
284	apple.com	400	39	55	81
285	apple.com	424	28	38	185
286	apple.com	439	74	68	135
287	apple.com	585	33	32	196
288	apple.com	514	46	30	141
289	apple.com	610	31	22	203
290	apple.com	469	52	97	104
291	apple.com	486	30	30	128
292	apple.com	486	30	22	97
293	apple.com	485	31	18	96
294	apple.com	489	31	26	109
295	apple.com	485	31	22	105
296	apple.com	484	31	18	95
297	apple.com	485	31	22	96
298	apple.com	489	31	22	109
299	apple.com	530	61	86	143
300	apple.com	485	52	73	96
301	apple.com	489	31	26	109
302	apple.com	486	31	22	106
303	apple.com	494	29	32	134
304	apple.com	764	73	190	391
305	apple.com	448	95	121	147
306	apple.com	431	74	114	117
307	apple.com	429	65	87	115
308	apple.com	427	63	85	105
309	apple.com	429	44	60	92
310	apple.com	448	58	63	108
311	apple.com	431	87	69	117
312	apple.com	424	28	30	111
313	apple.com	22	36	29	8
314	apple.com	22	21	8	8
315	apple.com	424	60	88	230
316	apple.com	22	21	22	8
317	apple.com	430	67	111	235
318	apple.com	428	53	87	98
319	apple.com	22	21	22	8
320	apple.com	439	47	61	254
321	apple.com	486	29	34	128
322	apple.com	486	30	18	97
323	apple.com	489	30	30	109
324	apple.com	485	31	22	105
325	apple.com	484	31	18	95
326	apple.com	585	29	28	197
327	apple.com	485	63	84	126
328	apple.com	610	32	30	217
329	apple.com	489	31	26	131
330	apple.com	486	30	22	106
331	apple.com	494	29	26	134
332	apple.com	764	73	210	391
333	apple.com	441	78	89	131
334	apple.com	451	70	88	124
335	apple.com	443	62	87	117
336	apple.com	470	50	85	134
337	apple.com	470	46	58	119
338	apple.com	424	28	32	111
339	apple.com	22	23	18	8
340	apple.com	462	47	70	273
341	apple.com	585	29	34	196
342	apple.com	486	30	28	128
343	apple.com	486	30	22	97
344	apple.com	485	31	18	96
345	apple.com	489	31	30	109
346	apple.com	485	31	22	105
347	apple.com	484	31	18	95
348	apple.com	485	31	18	96
349	apple.com	489	31	22	109
350	apple.com	485	59	63	105
351	apple.com	504	69	28	119
352	apple.com	503	52	78	113
353	apple.com	484	61	80	95
354	apple.com	484	51	43	77
355	apple.com	503	50	47	92
356	apple.com	610	32	32	217
357	apple.com	488	53	80	119
358	apple.com	489	29	30	131
359	apple.com	486	31	22	106
360	apple.com	487	59	80	128
361	apple.com	494	31	30	125
362	apple.com	765	77	212	392
363	apple.com	424	64	89	125
364	apple.com	451	51	56	124
365	apple.com	451	49	66	117
366	apple.com	450	43	54	100
367	apple.com	425	57	85	100
368	apple.com	451	56	85	122
369	apple.com	423	51	87	108
370	apple.com	423	43	58	84
371	apple.com	423	46	60	91
372	apple.com	421	60	75	90
373	apple.com	423	46	63	100
374	apple.com	423	43	60	91
375	apple.com	422	41	63	99
376	apple.com	423	44	60	92
377	apple.com	422	44	63	99
378	apple.com	478	92	99	145
379	apple.com	504	86	106	149
380	apple.com	478	79	96	128
381	apple.com	471	72	103	135
382	apple.com	483	85	105	155
383	apple.com	424	28	32	116
384	apple.com	456	65	98	138
385	apple.com	455	51	80	107
386	apple.com	450	49	88	127
387	apple.com	450	41	50	100
388	apple.com	422	59	84	99
389	apple.com	464	50	66	147
390	apple.com	585	32	34	196
391	apple.com	486	30	28	128
392	apple.com	486	30	22	97
393	apple.com	489	30	26	109
394	apple.com	485	31	22	105
395	apple.com	484	31	18	95
396	apple.com	510	57	83	126
397	apple.com	504	33	26	119
398	apple.com	484	49	78	103
399	apple.com	610	32	30	217
400	apple.com	469	59	82	104
401	apple.com	489	31	30	131
402	apple.com	486	30	22	106
403	apple.com	468	59	71	112
404	apple.com	494	29	30	125
405	apple.com	765	76	211	392
406	apple.com	423	55	71	133
407	apple.com	423	53	86	108
408	apple.com	423	51	83	93
409	apple.com	422	46	62	98
410	apple.com	423	52	84	99
411	apple.com	423	51	86	101
412	apple.com	469	77	93	148
413	apple.com	450	44	65	103
414	apple.com	451	35	32	126
415	apple.com	451	32	24	117
416	apple.com	450	31	18	100
417	apple.com	425	29	24	100
418	apple.com	451	30	24	122
419	apple.com	424	28	26	111
420	apple.com	438	46	65	134
421	apple.com	439	43	47	85
422	apple.com	585	29	34	196
423	apple.com	486	29	28	128
424	apple.com	486	30	22	97
425	apple.com	485	57	18	96
426	apple.com	489	31	26	109
427	apple.com	485	31	22	105
428	apple.com	484	31	18	95
429	apple.com	485	52	18	96
430	apple.com	489	47	22	109
431	apple.com	610	32	28	218
432	apple.com	469	56	70	104
