num	name	http1	spdy3	delta	simple
1	commentcamarche.net	457	268	305	329
2	commentcamarche.net	454	71	85	133
3	commentcamarche.net	454	29	54	107
4	commentcamarche.net	463	47	60	115
5	commentcamarche.net	454	29	54	107
6	commentcamarche.net	460	52	57	112
7	commentcamarche.net	421	52	40	101
8	commentcamarche.net	417	44	32	77
9	commentcamarche.net	457	56	60	133
10	commentcamarche.net	457	37	56	110
11	commentcamarche.net	457	36	56	110
12	commentcamarche.net	457	38	56	110
13	commentcamarche.net	462	44	60	114
14	commentcamarche.net	457	36	56	110
15	commentcamarche.net	462	38	60	114
16	commentcamarche.net	457	35	56	110
17	commentcamarche.net	457	34	57	110
18	commentcamarche.net	457	36	56	110
19	commentcamarche.net	637	140	180	308
20	commentcamarche.net	697	105	123	312
21	commentcamarche.net	736	77	111	346
22	commentcamarche.net	454	29	30	170
23	commentcamarche.net	799	97	157	477
24	commentcamarche.net	748	50	137	433
25	commentcamarche.net	799	77	86	387
26	commentcamarche.net	736	72	130	422
27	commentcamarche.net	772	74	82	384
28	commentcamarche.net	729	56	123	416
29	commentcamarche.net	725	57	88	320
30	commentcamarche.net	761	49	53	168
31	commentcamarche.net	722	53	121	410
32	commentcamarche.net	718	46	60	110
33	commentcamarche.net	754	73	81	378
34	commentcamarche.net	747	48	115	356
35	commentcamarche.net	710	47	112	399
36	commentcamarche.net	779	96	99	406
37	commentcamarche.net	755	58	139	439
38	ccm2.net	449	70	82	162
39	ccm2.net	466	57	79	131
40	ccm2.net	479	45	68	126
41	ccm2.net	486	60	90	148
42	ccm2.net	457	56	65	119
43	ccm2.net	456	60	63	119
44	ccm2.net	458	37	64	120
45	ccm2.net	451	50	60	114
46	ccm2.net	469	52	72	130
47	ccm2.net	458	33	64	120
48	ccm2.net	459	34	65	121
49	ccm2.net	463	42	68	125
50	ccm2.net	469	51	72	130
51	ccm2.net	465	73	69	126
52	ccm2.net	443	29	14	107
53	ccm2.net	397	33	23	67
54	ccm2.net	443	28	54	107
55	ccm2.net	443	27	54	107
56	ccm2.net	443	28	54	107
57	ccm2.net	452	42	60	115
58	ccm2.net	443	28	54	107
59	ccm2.net	443	29	54	107
60	ccm2.net	443	28	54	107
61	ccm2.net	443	28	54	107
62	ccm2.net	443	28	54	107
63	ccm2.net	449	46	59	112
64	ccm2.net	454	50	61	117
65	ccm2.net	451	38	60	114
66	ccm2.net	465	62	69	126
67	ccm2.net	443	37	54	107
68	ccm2.net	451	39	60	114
69	ccm2.net	451	27	14	114
70	ccm2.net	458	68	62	120
71	ccm2.net	459	37	65	121
72	ccm2.net	457	36	63	119
73	ccm2.net	458	37	64	120
74	ccm2.net	465	61	69	126
75	ccm2.net	452	41	60	115
76	ccm2.net	456	61	63	119
77	ccm2.net	448	39	58	112
78	ccm2.net	457	36	64	119
79	ccm2.net	468	39	72	129
80	ccm2.net	462	41	67	124
81	ccm2.net	445	34	55	109
82	ccm2.net	449	29	14	112
83	ccm2.net	466	29	20	131
84	ccm2.net	465	57	78	161
85	ccm2.net	451	28	26	154
86	ccm2.net	486	29	14	145
87	ccm2.net	449	33	78	161
88	ccm2.net	434	37	59	112
89	ccm2.net	427	34	55	105
90	ccm2.net	439	37	63	116
91	ccm2.net	442	38	65	119
92	ccm2.net	444	31	66	120
93	ccm2.net	447	46	69	123
94	ccm2.net	449	28	22	149
95	ccm2.net	438	52	69	151
96	ccm2.net	466	29	26	168
97	ccm2.net	464	37	78	161
98	ccm2.net	486	30	26	185
99	ccm2.net	451	27	14	114
100	ccm2.net	458	29	14	120
101	ccm2.net	457	29	14	119
102	ccm2.net	469	29	14	130
103	ccm2.net	465	29	14	126
104	ccm2.net	449	29	14	112
105	ccm2.net	466	29	20	131
106	ccm2.net	500	85	76	192
107	ccm2.net	486	30	26	185
108	ccm2.net	451	27	14	114
109	ccm2.net	477	37	71	185
110	ccm2.net	477	28	63	115
111	ccm2.net	484	37	67	121
112	ccm2.net	443	30	22	144
113	ccm2.net	397	34	14	67
114	ccm2.net	443	28	14	107
