num	name	http1	spdy3	delta	simple
1	commentcamarche.net	515	297	318	312
2	commentcamarche.net	397	129	129	126
3	commentcamarche.net	396	60	60	85
4	commentcamarche.net	396	55	70	95
5	commentcamarche.net	395	54	59	94
6	commentcamarche.net	397	62	58	86
7	commentcamarche.net	417	117	122	118
8	commentcamarche.net	414	85	87	106
9	commentcamarche.net	395	65	61	109
10	commentcamarche.net	395	55	54	84
11	commentcamarche.net	396	56	56	85
12	commentcamarche.net	401	78	88	100
13	commentcamarche.net	396	50	60	96
14	commentcamarche.net	394	57	54	84
15	commentcamarche.net	394	53	55	84
16	commentcamarche.net	395	52	56	84
17	commentcamarche.net	393	42	54	83
18	commentcamarche.net	394	59	56	84
19	commentcamarche.net	648	224	242	319
20	commentcamarche.net	649	72	224	265
21	commentcamarche.net	673	51	156	222
22	commentcamarche.net	396	26	30	126
23	commentcamarche.net	673	41	154	340
24	commentcamarche.net	420	71	66	133
25	commentcamarche.net	673	42	153	335
26	commentcamarche.net	420	71	71	133
27	commentcamarche.net	673	46	159	333
28	commentcamarche.net	395	68	70	115
29	commentcamarche.net	420	57	86	124
30	commentcamarche.net	674	42	158	334
31	commentcamarche.net	418	69	67	129
32	commentcamarche.net	420	64	63	111
33	commentcamarche.net	673	43	155	333
34	commentcamarche.net	651	41	146	210
35	commentcamarche.net	394	66	67	116
36	commentcamarche.net	674	44	154	339
37	commentcamarche.net	418	76	71	131
38	ccm2.net	439	68	77	140
39	ccm2.net	423	60	53	98
40	ccm2.net	422	38	43	89
41	ccm2.net	413	63	50	95
42	ccm2.net	457	80	67	105
43	ccm2.net	392	52	49	94
44	ccm2.net	418	53	41	106
45	ccm2.net	392	60	63	92
46	ccm2.net	419	54	60	106
47	ccm2.net	392	60	58	84
48	ccm2.net	392	46	37	84
49	ccm2.net	392	40	32	76
50	ccm2.net	393	61	60	84
51	ccm2.net	396	54	59	108
52	ccm2.net	396	38	26	95
53	ccm2.net	398	77	86	107
54	ccm2.net	395	49	63	105
55	ccm2.net	396	49	55	85
56	ccm2.net	396	43	55	85
57	ccm2.net	395	51	62	94
58	ccm2.net	396	48	61	95
59	ccm2.net	397	56	87	97
60	ccm2.net	399	49	58	110
61	ccm2.net	396	47	59	85
62	ccm2.net	399	52	70	98
63	ccm2.net	392	54	66	102
64	ccm2.net	417	75	87	123
65	ccm2.net	392	61	60	84
66	ccm2.net	395	57	64	105
67	ccm2.net	394	58	55	84
68	ccm2.net	394	49	60	93
69	ccm2.net	394	51	53	84
70	ccm2.net	395	46	63	94
71	ccm2.net	392	46	45	93
72	ccm2.net	392	45	39	84
73	ccm2.net	417	26	30	113
74	ccm2.net	400	81	90	109
75	ccm2.net	394	59	60	95
76	ccm2.net	394	52	62	94
77	ccm2.net	398	67	72	107
78	ccm2.net	392	42	63	93
79	ccm2.net	418	51	39	105
80	ccm2.net	391	55	58	83
81	ccm2.net	393	46	47	94
82	ccm2.net	439	28	34	145
83	ccm2.net	423	28	22	98
84	ccm2.net	397	49	52	81
85	ccm2.net	392	31	30	105
86	ccm2.net	413	31	26	113
87	ccm2.net	413	37	50	81
88	ccm2.net	392	54	62	98
89	ccm2.net	398	78	88	98
90	ccm2.net	391	42	39	92
91	ccm2.net	392	38	38	84
92	ccm2.net	394	51	59	85
93	ccm2.net	393	57	62	93
94	ccm2.net	439	28	34	143
95	ccm2.net	456	57	62	103
96	ccm2.net	423	28	30	111
97	ccm2.net	397	38	51	81
98	ccm2.net	413	30	28	103
99	ccm2.net	392	29	28	98
100	ccm2.net	417	28	28	121
101	ccm2.net	392	28	28	92
102	ccm2.net	419	28	26	114
103	ccm2.net	400	30	22	100
104	ccm2.net	439	27	32	145
105	ccm2.net	423	27	22	98
106	ccm2.net	397	40	31	81
107	ccm2.net	413	30	26	103
108	ccm2.net	392	28	26	98
109	ccm2.net	394	55	62	93
110	ccm2.net	394	42	33	77
111	ccm2.net	418	62	64	114
112	ccm2.net	396	28	32	105
113	ccm2.net	398	30	24	107
114	ccm2.net	397	31	26	106
115	ccm2.net	399	28	18	91
116	ccm2.net	399	53	61	91
117	ccm2.net	400	28	26	109
118	ccm2.net	439	28	32	145
119	ccm2.net	423	27	22	98
120	ccm2.net	397	28	26	81
121	ccm2.net	22	37	33	8
122	ccm2.net	413	30	32	238
123	ccm2.net	392	28	26	98
124	ccm2.net	396	52	30	105
125	ccm2.net	398	30	18	107
126	ccm2.net	396	50	22	105
127	ccm2.net	396	51	18	85
128	ccm2.net	419	65	63	115
129	ccm2.net	400	27	26	109
130	ccm2.net	439	27	32	145
131	ccm2.net	423	27	22	98
132	ccm2.net	397	28	22	81
133	ccm2.net	22	22	18	8
134	ccm2.net	413	30	28	238
135	ccm2.net	392	28	26	98
136	ccm2.net	417	27	28	121
137	ccm2.net	400	28	24	109
138	ccm2.net	418	54	44	115
139	ccm2.net	439	27	36	138
140	ccm2.net	423	27	22	98
141	ccm2.net	397	26	22	81
142	ccm2.net	22	22	18	8
143	ccm2.net	413	30	28	238
144	ccm2.net	392	28	26	98
145	ccm2.net	394	57	61	93
146	ccm2.net	417	26	26	121
147	ccm2.net	400	28	24	109
148	ccm2.net	439	27	32	145
149	ccm2.net	423	27	22	98
150	ccm2.net	397	28	22	81
151	ccm2.net	22	22	18	8
152	ccm2.net	413	30	28	238
153	ccm2.net	392	28	26	98
154	ccm2.net	400	28	22	100
155	ccm2.net	439	28	32	145
156	ccm2.net	423	27	24	98
157	ccm2.net	22	22	18	8
158	ccm2.net	413	27	26	238
159	ccm2.net	392	28	22	98
160	ccm2.net	397	81	85	98
161	ccm2.net	398	79	22	98
162	ccm2.net	417	26	24	123
163	ccm2.net	395	59	65	96
164	ccm2.net	399	76	92	108
165	ccm2.net	400	28	18	100
166	ccm2.net	439	28	30	145
167	ccm2.net	423	27	18	98
168	ccm2.net	397	28	22	81
169	ccm2.net	22	22	18	8
