num	name	http1	spdy3	delta	simple
1	dailymotion.com	453	269	307	325
2	dailymotion.com	527	129	94	140
3	dailymotion.com	1027	360	438	623
4	dailymotion.com	1176	161	388	787
5	dailymotion.com	867	57	41	520
6	dailymotion.com	1122	121	307	743
7	dailymotion.com	938	108	71	546
8	dailymotion.com	1600	345	619	1160
9	dailymotion.com	1313	139	364	822
10	dailymotion.com	931	88	72	120
11	dailymotion.com	880	53	34	443
12	dailymotion.com	958	114	82	140
13	dailymotion.com	1062	168	153	231
14	dailymotion.com	1257	209	295	402
15	dailymotion.com	962	62	84	144
16	dailymotion.com	1154	248	202	683
17	dailymotion.com	339	108	144	164
18	dailymotion.com	1749	94	466	1271
19	dailymotion.com	1523	91	401	1009
20	dailymotion.com	931	37	28	576
21	dailymotion.com	1094	45	37	719
22	dailymotion.com	1333	102	343	928
23	dailymotion.com	1033	48	27	630
24	dailymotion.com	1282	163	186	858
25	dailymotion.com	1278	109	282	848
26	dailymotion.com	1184	109	108	764
27	dailymotion.com	1232	152	131	237
28	dailymotion.com	60	34	26	29
29	dailymotion.com	1125	137	149	905
30	dailymotion.com	1026	61	60	126
31	dailymotion.com	1046	86	86	144
32	dailymotion.com	813	137	126	455
33	dailymotion.com	1150	98	154	749
34	dailymotion.com	1306	111	262	368
35	dailymotion.com	1023	71	67	120
36	dailymotion.com	1055	215	198	653
37	dailymotion.com	1305	63	122	878
38	dailymotion.com	1292	98	268	862
39	dailymotion.com	1216	76	106	261
40	dailymotion.com	1266	51	130	237
41	dailymotion.com	60	23	30	29
42	dailymotion.com	1157	63	152	933
43	dailymotion.com	1068	46	36	133
44	dailymotion.com	1134	123	70	154
45	dailymotion.com	1369	127	350	959
46	dailymotion.com	1155	114	82	729
47	dailymotion.com	1814	268	543	1347
48	dailymotion.com	1548	151	383	1016
49	dailymotion.com	96	55	22	61
50	dailymotion.com	1160	64	46	936
51	dailymotion.com	1046	70	82	677
52	dailymotion.com	1394	96	312	931
53	dailymotion.com	60	25	22	29
54	dailymotion.com	321	93	87	242
55	dailymotion.com	1093	57	43	737
56	dailymotion.com	1308	131	325	906
57	dmcdn.net	451	91	81	168
58	dmcdn.net	452	52	50	102
59	dmcdn.net	489	99	75	134
60	dmcdn.net	439	62	55	107
61	dmcdn.net	434	52	48	99
62	dmcdn.net	401	34	26	70
63	dmcdn.net	438	68	50	103
64	dmcdn.net	425	52	42	91
65	dmcdn.net	403	52	46	87
66	dmcdn.net	405	41	35	78
67	dmcdn.net	457	93	81	134
68	dmcdn.net	457	33	64	119
69	dmcdn.net	457	53	65	119
70	dmcdn.net	457	30	65	119
71	dmcdn.net	403	43	46	87
72	dmcdn.net	405	35	34	78
73	dmcdn.net	457	51	65	134
74	dmcdn.net	457	30	65	119
75	dmcdn.net	457	46	64	119
76	dmcdn.net	457	30	64	119
77	dmcdn.net	440	70	58	119
78	dmcdn.net	437	54	51	102
79	dmcdn.net	404	47	38	88
80	dmcdn.net	457	52	65	134
81	dmcdn.net	404	39	33	88
82	dmcdn.net	457	50	65	134
83	dmcdn.net	457	46	65	119
84	dmcdn.net	404	38	33	88
85	dmcdn.net	457	51	65	134
86	dmcdn.net	457	45	65	119
87	dmcdn.net	456	56	64	119
88	dmcdn.net	456	48	64	119
89	dmcdn.net	456	45	64	119
90	dmcdn.net	456	45	64	119
91	dmcdn.net	456	44	65	119
92	dmcdn.net	528	103	59	194
93	dmcdn.net	443	48	47	91
94	dmcdn.net	460	54	56	106
95	dmcdn.net	515	54	51	127
96	dmcdn.net	434	51	52	97
97	dmcdn.net	436	54	51	98
98	dmcdn.net	580	102	78	185
99	dmcdn.net	457	48	73	117
100	dmcdn.net	457	48	65	117
101	dmcdn.net	439	61	58	154
102	dmcdn.net	431	46	51	143
103	dmcdn.net	452	31	24	154
104	dmcdn.net	448	75	65	145
105	dmcdn.net	460	29	18	155
