num	name	http1	spdy3	delta	simple
1	dailymotion.com	960	510	613	689
2	dailymotion.com	637	54	104	185
3	dailymotion.com	734	221	241	274
4	dailymotion.com	616	36	16	97
5	dailymotion.com	672	81	156	263
6	dailymotion.com	617	67	112	173
7	dailymotion.com	705	66	137	275
8	dailymotion.com	1825	621	1136	1232
9	dailymotion.com	616	56	107	172
10	dailymotion.com	623	121	150	189
11	dailymotion.com	627	92	135	234
12	dailymotion.com	695	139	188	285
13	dailymotion.com	606	91	130	187
14	dailymotion.com	616	35	40	171
15	dailymotion.com	896	245	298	452
16	dailymotion.com	680	56	135	222
17	dailymotion.com	22	35	33	8
18	dailymotion.com	2443	348	1656	2037
19	dailymotion.com	616	35	34	164
20	dailymotion.com	623	31	40	189
21	dailymotion.com	707	56	139	299
22	dailymotion.com	616	35	59	174
23	dailymotion.com	669	61	134	260
24	dailymotion.com	520	46	73	119
25	dailymotion.com	617	36	32	173
26	dailymotion.com	760	140	255	349
27	dailymotion.com	547	83	114	182
28	dailymotion.com	19	27	22	10
29	dailymotion.com	533	51	78	398
30	dailymotion.com	652	57	86	215
31	dailymotion.com	691	80	129	295
32	dailymotion.com	445	154	137	179
33	dailymotion.com	606	39	59	298
34	dailymotion.com	616	36	40	173
35	dailymotion.com	907	228	323	462
36	dailymotion.com	669	53	121	222
37	dailymotion.com	519	43	53	120
38	dailymotion.com	229	128	122	137
39	dailymotion.com	229	34	68	107
40	dailymotion.com	229	34	68	107
41	dailymotion.com	19	22	22	10
42	dailymotion.com	229	33	78	141
43	dailymotion.com	229	38	91	115
44	dailymotion.com	707	47	145	500
45	dailymotion.com	616	33	55	172
46	dailymotion.com	680	49	137	262
47	dailymotion.com	1825	70	1094	1233
48	dailymotion.com	616	34	49	174
49	dailymotion.com	19	22	18	10
50	dailymotion.com	672	54	136	480
51	dailymotion.com	628	77	94	200
52	dailymotion.com	616	32	53	181
53	dailymotion.com	19	21	18	10
54	dailymotion.com	22	24	18	8
55	dailymotion.com	578	93	118	408
56	dailymotion.com	616	33	28	172
57	dmcdn.net	503	116	144	224
58	dmcdn.net	499	73	86	108
59	dmcdn.net	500	62	80	109
60	dmcdn.net	519	74	93	175
61	dmcdn.net	517	59	89	140
62	dmcdn.net	479	104	121	134
63	dmcdn.net	481	81	108	147
64	dmcdn.net	480	87	96	151
65	dmcdn.net	470	108	114	144
66	dmcdn.net	537	83	101	171
67	dmcdn.net	539	98	115	188
68	dmcdn.net	540	80	110	182
69	dmcdn.net	539	84	109	182
70	dmcdn.net	540	74	109	182
71	dmcdn.net	470	49	87	138
