num	name	http1	spdy3	delta	simple
1	free.fr	463	274	313	334
2	free.fr	421	61	50	92
3	free.fr	428	43	46	95
4	free.fr	417	45	38	85
5	free.fr	401	36	26	71
6	free.fr	430	45	48	97
7	free.fr	408	44	32	77
8	free.fr	416	45	37	84
9	free.fr	428	61	54	98
10	free.fr	422	36	30	77
11	free.fr	411	40	40	84
12	free.fr	418	48	37	86
13	free.fr	406	45	29	76
14	free.fr	404	34	28	74
15	free.fr	409	39	31	78
16	free.fr	427	46	43	94
17	free.fr	406	33	30	76
18	free.fr	409	35	32	78
19	free.fr	409	32	32	78
20	free.fr	406	38	30	76
21	free.fr	416	46	37	84
22	free.fr	413	37	35	82
23	free.fr	415	38	36	84
24	free.fr	409	32	32	78
25	free.fr	409	35	32	78
26	free.fr	410	33	33	79
27	free.fr	413	37	34	82
28	free.fr	416	39	36	84
29	free.fr	409	30	32	78
30	free.fr	417	35	36	85
31	free.fr	415	37	35	84
32	free.fr	411	40	33	80
33	free.fr	406	36	30	76
34	free.fr	406	33	30	76
35	free.fr	416	44	37	84
36	free.fr	417	41	37	85
37	free.fr	404	33	28	74
38	free.fr	406	33	30	76
39	free.fr	404	30	29	74
40	free.fr	407	36	30	77
41	free.fr	407	38	30	77
42	free.fr	417	49	38	85
43	free.fr	431	55	45	98
44	free.fr	431	53	46	98
45	free.fr	642	141	183	300
46	free.fr	421	27	24	101
47	free.fr	428	27	14	95
48	free.fr	417	27	14	85
49	free.fr	401	27	14	71
50	free.fr	430	27	14	97
51	free.fr	408	27	14	77
52	free.fr	416	27	14	84
53	free.fr	428	27	20	98
54	free.fr	596	49	65	273
55	free.fr	604	36	31	78
56	free.fr	606	45	49	97
57	free.fr	406	27	26	115
58	free.fr	404	27	14	74
59	free.fr	409	27	14	78
60	free.fr	620	52	64	308
61	free.fr	617	57	50	103
62	free.fr	619	43	51	105
63	free.fr	605	45	44	92
64	free.fr	604	39	43	91
65	free.fr	617	34	50	103
66	free.fr	617	38	50	103
67	free.fr	627	63	57	112
68	free.fr	612	43	48	98
