num	name	http1	spdy3	delta	simple
1	free.fr	453	278	273	268
2	free.fr	467	91	100	143
3	free.fr	437	79	78	103
4	free.fr	439	81	74	105
5	free.fr	440	79	76	105
6	free.fr	463	75	73	123
7	free.fr	465	75	69	119
8	free.fr	466	76	69	120
9	free.fr	423	76	81	109
10	free.fr	450	46	49	116
11	free.fr	466	76	74	140
12	free.fr	440	70	72	104
13	free.fr	372	98	106	109
14	free.fr	378	94	99	107
15	free.fr	399	75	72	125
16	free.fr	404	80	77	123
17	free.fr	381	71	93	115
18	free.fr	371	59	72	110
19	free.fr	372	36	41	84
20	free.fr	374	66	71	104
21	free.fr	401	66	79	135
22	free.fr	381	85	100	109
23	free.fr	376	55	69	105
24	free.fr	374	67	72	103
25	free.fr	401	58	74	126
26	free.fr	401	71	66	112
27	free.fr	374	47	48	94
28	free.fr	377	73	77	106
29	free.fr	401	64	77	126
30	free.fr	401	61	66	112
31	free.fr	401	68	66	112
32	free.fr	374	55	68	94
33	free.fr	377	68	78	115
34	free.fr	375	70	71	103
35	free.fr	400	63	79	134
36	free.fr	375	52	69	94
37	free.fr	377	58	74	105
38	free.fr	375	45	53	96
39	free.fr	377	42	51	98
40	free.fr	401	57	76	126
41	free.fr	401	58	72	120
42	free.fr	377	77	84	115
43	free.fr	371	59	66	99
44	free.fr	373	64	71	103
45	free.fr	452	52	63	152
46	free.fr	467	32	36	151
47	free.fr	437	33	24	103
48	free.fr	439	31	22	105
49	free.fr	440	31	22	105
50	free.fr	463	28	22	123
51	free.fr	465	31	18	119
52	free.fr	466	31	18	120
53	free.fr	423	30	26	109
54	free.fr	426	60	74	112
55	free.fr	451	48	53	125
56	free.fr	440	75	80	124
57	free.fr	372	26	30	101
58	free.fr	378	30	22	107
59	free.fr	399	30	26	125
60	free.fr	375	59	73	105
61	free.fr	402	74	101	136
62	free.fr	398	64	70	118
63	free.fr	371	52	67	91
64	free.fr	371	50	63	91
65	free.fr	372	52	63	92
66	free.fr	372	38	41	84
67	free.fr	373	53	64	93
68	free.fr	370	53	62	91
69	free.fr	371	38	41	84
70	free.fr	370	39	40	83
71	free.fr	379	76	98	108
72	free.fr	380	83	100	118
