num	name	http1	spdy3	delta	simple
1	leboncoin.fr	493	290	331	360
2	leboncoin.fr	470	90	69	112
3	leboncoin.fr	469	62	48	93
4	leboncoin.fr	453	36	29	76
5	leboncoin.fr	447	36	25	70
6	leboncoin.fr	547	126	113	172
7	leboncoin.fr	455	54	45	91
8	leboncoin.fr	509	77	64	180
9	leboncoin.fr	472	49	68	126
10	leboncoin.fr	455	33	43	90
11	leboncoin.fr	447	30	22	140
12	leboncoin.fr	499	55	84	211
13	leboncoin.fr	447	41	36	93
14	leboncoin.fr	439	33	26	70
15	leboncoin.fr	442	36	27	72
16	leboncoin.fr	446	38	30	76
17	leboncoin.fr	438	33	25	69
18	leboncoin.fr	440	32	27	70
19	leboncoin.fr	440	28	27	70
20	leboncoin.fr	440	28	27	70
21	leboncoin.fr	440	28	27	70
22	leboncoin.fr	440	27	27	70
23	leboncoin.fr	440	28	27	70
24	leboncoin.fr	440	28	27	70
25	leboncoin.fr	440	28	27	70
26	leboncoin.fr	440	28	27	70
27	leboncoin.fr	441	31	27	71
28	leboncoin.fr	441	27	27	71
29	leboncoin.fr	441	27	27	71
30	leboncoin.fr	441	27	27	71
31	leboncoin.fr	441	27	27	71
32	leboncoin.fr	441	27	27	71
33	leboncoin.fr	441	27	27	71
34	leboncoin.fr	441	27	27	71
35	leboncoin.fr	441	27	27	71
36	leboncoin.fr	441	27	27	71
37	leboncoin.fr	441	28	27	71
38	leboncoin.fr	441	27	27	71
39	leboncoin.fr	441	27	27	71
40	leboncoin.fr	441	27	27	71
41	leboncoin.fr	441	27	27	71
42	leboncoin.fr	441	27	27	71
43	leboncoin.fr	441	27	27	71
44	leboncoin.fr	447	36	31	77
45	leboncoin.fr	516	61	48	157
46	leboncoin.fr	489	45	78	141
47	leboncoin.fr	469	28	30	163
48	leboncoin.fr	472	35	35	174
49	leboncoin.fr	447	29	24	140
50	leboncoin.fr	607	128	137	306
51	leboncoin.fr	455	31	26	161
52	leboncoin.fr	476	39	40	175
53	leboncoin.fr	477	36	30	75
54	leboncoin.fr	500	69	59	112
55	leboncoin.fr	478	38	35	92
56	leboncoin.fr	478	32	31	76
57	leboncoin.fr	479	38	31	77
58	leboncoin.fr	474	34	28	72
59	leboncoin.fr	266	65	61	67
60	leboncoin.fr	477	35	50	211
61	leboncoin.fr	551	50	51	160
62	leboncoin.fr	489	29	18	91
63	leboncoin.fr	469	29	30	163
64	leboncoin.fr	472	30	24	174
65	leboncoin.fr	639	113	195	283
66	leboncoin.fr	455	31	28	161
67	leboncoin.fr	476	31	26	175
68	leboncoin.fr	477	29	14	75
69	leboncoin.fr	503	57	65	164
70	leboncoin.fr	478	30	24	142
71	leboncoin.fr	478	29	14	76
72	leboncoin.fr	479	29	14	77
73	leboncoin.fr	474	29	14	72
74	leboncoin.fr	447	29	24	154
75	leboncoin.fr	509	134	221	329
76	leboncoin.fr	477	30	28	261
77	leboncoin.fr	551	43	52	210
78	leboncoin.fr	489	31	24	141
79	leboncoin.fr	469	30	28	163
80	leboncoin.fr	472	30	24	174
81	leboncoin.fr	606	71	174	254
82	leboncoin.fr	455	31	28	161
83	leboncoin.fr	476	31	26	175
84	leboncoin.fr	477	29	14	75
85	leboncoin.fr	500	64	65	161
86	leboncoin.fr	478	30	24	142
87	leboncoin.fr	478	29	14	76
88	leboncoin.fr	479	29	14	77
89	leboncoin.fr	474	29	14	72
90	leboncoin.fr	447	29	24	154
91	leboncoin.fr	269	47	52	119
92	leboncoin.fr	477	30	28	261
93	leboncoin.fr	545	44	50	204
94	leboncoin.fr	489	31	24	141
95	leboncoin.fr	469	30	28	163
96	leboncoin.fr	472	30	24	174
97	leboncoin.fr	701	171	239	337
98	leboncoin.fr	455	31	28	161
99	leboncoin.fr	476	31	26	175
100	leboncoin.fr	478	29	14	76
101	leboncoin.fr	478	29	14	76
102	leboncoin.fr	479	29	14	77
