num	name	http1	spdy3	delta	simple
1	leboncoin.fr	604	348	393	417
2	leboncoin.fr	529	132	116	134
3	leboncoin.fr	487	64	61	121
4	leboncoin.fr	550	77	136	155
5	leboncoin.fr	546	51	95	111
6	leboncoin.fr	480	180	194	229
7	leboncoin.fr	496	186	282	322
8	leboncoin.fr	410	59	72	273
9	leboncoin.fr	527	44	51	133
10	leboncoin.fr	544	39	60	139
11	leboncoin.fr	546	30	22	95
12	leboncoin.fr	379	38	33	149
13	leboncoin.fr	498	86	100	324
14	leboncoin.fr	437	117	107	166
15	leboncoin.fr	441	85	95	137
16	leboncoin.fr	495	74	73	208
17	leboncoin.fr	441	68	100	169
18	leboncoin.fr	495	69	77	216
19	leboncoin.fr	496	67	65	119
20	leboncoin.fr	496	63	65	119
21	leboncoin.fr	439	55	77	168
22	leboncoin.fr	496	72	95	217
23	leboncoin.fr	441	77	99	169
24	leboncoin.fr	438	56	72	134
25	leboncoin.fr	496	63	76	217
26	leboncoin.fr	439	59	76	160
27	leboncoin.fr	472	72	77	212
28	leboncoin.fr	496	54	68	125
29	leboncoin.fr	495	57	71	126
30	leboncoin.fr	439	60	76	168
31	leboncoin.fr	496	61	76	217
32	leboncoin.fr	496	57	70	127
33	leboncoin.fr	495	53	70	126
34	leboncoin.fr	439	63	78	168
35	leboncoin.fr	439	58	64	119
36	leboncoin.fr	496	57	73	209
37	leboncoin.fr	438	57	75	167
38	leboncoin.fr	496	58	74	217
39	leboncoin.fr	439	58	76	160
40	leboncoin.fr	496	57	73	209
41	leboncoin.fr	496	51	64	119
42	leboncoin.fr	439	53	76	160
43	leboncoin.fr	439	62	64	119
44	leboncoin.fr	498	68	75	210
45	leboncoin.fr	385	43	64	252
46	leboncoin.fr	554	58	72	155
47	leboncoin.fr	487	33	30	132
48	leboncoin.fr	546	54	77	146
49	leboncoin.fr	546	30	26	111
50	leboncoin.fr	380	40	35	150
51	leboncoin.fr	496	29	36	322
52	leboncoin.fr	496	79	85	127
53	leboncoin.fr	496	56	67	119
54	leboncoin.fr	377	55	53	227
55	leboncoin.fr	497	83	95	323
56	leboncoin.fr	437	82	100	175
57	leboncoin.fr	439	63	74	136
58	leboncoin.fr	439	56	62	119
59	leboncoin.fr	22	37	33	8
60	leboncoin.fr	440	55	73	274
61	leboncoin.fr	410	34	49	255
62	leboncoin.fr	554	29	28	150
63	leboncoin.fr	487	29	24	132
64	leboncoin.fr	546	29	34	146
65	leboncoin.fr	380	39	36	150
66	leboncoin.fr	496	28	34	322
67	leboncoin.fr	496	30	24	127
68	leboncoin.fr	496	30	18	119
69	leboncoin.fr	377	44	83	227
70	leboncoin.fr	497	30	26	323
71	leboncoin.fr	437	27	32	175
72	leboncoin.fr	439	27	28	136
73	leboncoin.fr	439	30	18	119
74	leboncoin.fr	546	29	36	287
75	leboncoin.fr	22	23	18	8
76	leboncoin.fr	440	28	30	274
77	leboncoin.fr	385	35	60	234
78	leboncoin.fr	554	29	30	163
79	leboncoin.fr	487	29	24	132
80	leboncoin.fr	546	29	32	146
81	leboncoin.fr	380	34	35	150
82	leboncoin.fr	496	29	34	322
83	leboncoin.fr	496	30	22	127
84	leboncoin.fr	496	30	18	119
85	leboncoin.fr	377	37	41	227
86	leboncoin.fr	497	30	26	323
87	leboncoin.fr	437	28	30	175
88	leboncoin.fr	439	28	28	136
89	leboncoin.fr	439	30	18	119
90	leboncoin.fr	546	29	36	287
91	leboncoin.fr	22	23	18	8
92	leboncoin.fr	440	28	30	274
93	leboncoin.fr	385	35	40	234
94	leboncoin.fr	554	29	30	163
95	leboncoin.fr	487	29	24	132
96	leboncoin.fr	546	29	30	146
97	leboncoin.fr	505	116	105	250
98	leboncoin.fr	496	29	36	322
99	leboncoin.fr	496	30	22	127
100	leboncoin.fr	497	30	18	128
101	leboncoin.fr	437	27	30	175
102	leboncoin.fr	439	27	26	136
103	leboncoin.fr	439	30	18	119
104	leboncoin.fr	546	29	34	287
105	leboncoin.fr	22	22	18	8
106	leboncoin.fr	22	21	8	8
107	leboncoin.fr	423	79	71	291
108	leboncoin.fr	440	28	34	256
109	leboncoin.fr	555	119	154	364
110	leboncoin.fr	529	52	36	142
111	leboncoin.fr	487	29	24	121
112	leboncoin.fr	550	50	36	155
113	leboncoin.fr	486	57	109	234
114	leboncoin.fr	496	29	36	322
115	leboncoin.fr	546	29	30	309
116	leboncoin.fr	531	58	129	210
117	leboncoin.fr	529	30	32	142
118	leboncoin.fr	487	28	24	121
119	leboncoin.fr	550	31	32	155
120	leboncoin.fr	379	36	35	149
121	leboncoin.fr	496	28	24	322
122	leboncoin.fr	546	29	30	309
123	leboncoin.fr	556	57	152	231
124	leboncoin.fr	529	30	34	144
125	leboncoin.fr	487	28	24	121
126	leboncoin.fr	550	31	30	155
127	leboncoin.fr	379	36	35	149
128	leboncoin.fr	496	28	24	322
129	leboncoin.fr	546	29	30	309
130	leboncoin.fr	556	35	131	231
131	leboncoin.fr	529	30	32	142
132	leboncoin.fr	487	28	24	121
133	leboncoin.fr	550	31	32	155
134	leboncoin.fr	379	36	52	149
135	leboncoin.fr	496	28	24	322
136	leboncoin.fr	546	29	30	309
137	leboncoin.fr	531	46	129	210
138	leboncoin.fr	529	30	32	142
139	leboncoin.fr	487	28	24	121
140	leboncoin.fr	550	31	32	155
141	leboncoin.fr	379	33	35	149
142	leboncoin.fr	496	28	24	322
143	leboncoin.fr	546	29	30	309
144	60	512	134	153	264
145	60	569	110	126	230
146	60	512	93	118	181
147	60	569	101	122	230
148	60	569	93	162	210
149	60	572	109	111	212
150	60	511	87	120	180
151	60	515	98	121	151
152	60	511	84	114	140
153	60	511	89	116	147
154	60	514	109	112	150
155	60	511	92	136	147
156	60	572	30	30	232
157	60	569	87	125	148
158	60	569	84	114	140
159	60	512	85	117	173
160	60	571	90	116	224
161	60	513	100	120	174
162	60	571	98	121	224
163	60	571	87	109	142
164	60	597	122	127	172
165	60	570	95	141	210
166	60	512	87	123	173
167	60	570	105	120	223
168	60	570	95	114	203
169	60	570	95	111	203
170	60	540	107	127	204
171	60	572	104	112	232
172	60	569	87	109	140
173	60	570	88	123	203
174	60	572	86	113	204
175	60	570	83	109	203
176	60	511	80	119	172
177	60	570	82	108	223
178	60	511	30	30	180
179	60	570	87	135	231
180	60	571	94	124	203
181	60	516	96	178	243
182	60	512	90	114	207
183	60	513	89	111	141
184	60	574	87	123	293
185	60	512	81	117	239
186	60	570	84	112	223
187	60	574	92	148	280
188	60	512	86	125	239
189	60	576	107	117	294
190	60	571	105	117	209
191	40	547	98	117	146
192	40	510	90	116	184
193	40	515	107	125	143
194	40	514	97	115	142
195	40	511	96	108	140
196	40	571	86	120	231
197	40	572	106	111	142
198	40	571	94	122	211
199	40	571	86	96	203
200	40	511	90	121	180
201	40	549	92	124	221
202	40	511	86	108	177
203	40	511	72	88	140
204	40	512	86	112	140
205	40	491	99	116	139
206	40	568	84	120	226
207	40	513	81	115	174
208	40	492	100	120	147
209	40	514	102	114	147
210	40	547	83	102	227
211	40	571	85	125	209
212	40	569	83	116	202
213	40	571	84	111	142
214	40	573	101	123	205
215	40	513	95	120	174
216	40	512	90	110	140
217	40	572	101	125	232
218	40	570	82	118	148
219	40	512	88	118	173
220	40	513	92	109	141
