num	name	http1	spdy3	delta	simple
1	lefigaro.fr	435	295	278	297
2	lefigaro.fr	394	103	100	119
3	lefigaro.fr	369	64	77	81
4	lefigaro.fr	370	32	21	63
5	lefigaro.fr	370	30	20	63
6	lefigaro.fr	369	31	19	63
7	lefigaro.fr	386	53	73	93
8	lefigaro.fr	384	52	52	80
9	lefigaro.fr	424	40	44	148
10	lefigaro.fr	495	92	71	108
11	lefigaro.fr	496	73	60	93
12	lefigaro.fr	496	74	60	93
13	lefigaro.fr	385	50	52	82
14	lefigaro.fr	385	44	44	70
15	lefigaro.fr	369	45	48	78
16	lefigaro.fr	370	41	44	71
17	lefigaro.fr	369	29	20	63
18	lefigaro.fr	386	43	50	93
19	lefigaro.fr	358	37	32	68
20	lefigaro.fr	385	47	54	95
21	lefigaro.fr	493	70	59	158
22	lefigaro.fr	520	70	72	124
23	lefigaro.fr	494	54	66	102
24	lefigaro.fr	496	68	68	96
25	lefigaro.fr	494	60	64	91
26	lefigaro.fr	409	52	54	112
27	lefigaro.fr	496	62	64	171
28	lefigaro.fr	496	65	69	96
29	lefigaro.fr	496	64	65	93
30	lefigaro.fr	496	56	60	93
31	lefigaro.fr	496	63	61	93
32	lefigaro.fr	496	63	61	93
33	lefigaro.fr	496	67	60	93
34	lefigaro.fr	385	47	53	84
35	lefigaro.fr	384	44	53	80
36	lefigaro.fr	370	45	58	90
37	lefigaro.fr	369	30	25	70
38	lefigaro.fr	478	72	70	161
39	lefigaro.fr	369	31	34	84
40	lefigaro.fr	369	42	44	70
41	lefigaro.fr	495	65	73	184
42	lefigaro.fr	507	212	248	274
43	lefigaro.fr	521	63	79	270
44	lefigaro.fr	507	102	109	280
45	lefigaro.fr	489	102	108	152
46	lefigaro.fr	490	67	75	131
47	lefigaro.fr	479	55	72	248
48	lefigaro.fr	479	63	61	92
49	lefigaro.fr	496	70	93	126
50	lefigaro.fr	351	68	92	103
51	lefigaro.fr	351	42	51	83
52	lefigaro.fr	351	30	20	61
53	lefigaro.fr	351	33	43	69
54	lefigaro.fr	436	70	73	150
55	lefigaro.fr	369	48	60	114
56	lefigaro.fr	438	67	99	175
57	lefigaro.fr	436	69	79	110
58	lefigaro.fr	436	56	65	90
59	lefigaro.fr	437	68	91	101
60	lefigaro.fr	437	58	61	90
61	lefigaro.fr	436	57	64	100
62	lefigaro.fr	436	53	62	90
63	lefigaro.fr	437	56	70	101
64	lefigaro.fr	437	49	60	90
65	lefigaro.fr	434	60	67	98
66	lefigaro.fr	436	57	69	100
67	lefigaro.fr	436	95	101	110
68	lefigaro.fr	436	52	69	110
69	lefigaro.fr	439	51	68	114
70	lefigaro.fr	434	57	66	98
71	lefigaro.fr	435	63	60	89
72	lefigaro.fr	436	64	61	90
73	lefigaro.fr	435	66	61	89
74	lefigaro.fr	436	55	61	90
75	lefigaro.fr	436	55	62	90
76	lefigaro.fr	436	55	61	90
77	lefigaro.fr	436	53	61	90
78	lefigaro.fr	437	54	68	101
79	lefigaro.fr	436	58	69	100
80	lefigaro.fr	440	87	94	104
81	lefigaro.fr	436	50	66	100
82	lefigaro.fr	436	50	61	90
83	lefigaro.fr	436	58	61	90
84	lefigaro.fr	436	58	61	90
85	lefigaro.fr	439	63	68	103
86	lefigaro.fr	442	84	94	126
87	lefigaro.fr	436	38	54	110
88	lefigaro.fr	436	67	71	110
89	lefigaro.fr	437	82	93	102
90	lefigaro.fr	436	36	37	78
91	lefigaro.fr	440	87	98	113
92	lefigaro.fr	440	69	92	104
93	lefigaro.fr	440	64	91	104
94	lefigaro.fr	436	34	47	110
95	lefigaro.fr	436	62	73	110
96	lefigaro.fr	438	88	97	112
97	lefigaro.fr	436	50	69	110
98	lefigaro.fr	439	71	93	103
99	lefigaro.fr	439	52	61	90
100	lefigaro.fr	436	58	64	100
101	lefigaro.fr	438	52	59	103
102	lefigaro.fr	436	59	64	90
103	lefigaro.fr	438	86	97	112
104	lefigaro.fr	435	58	69	109
105	lefigaro.fr	434	60	59	88
106	lefigaro.fr	441	81	94	105
107	lefigaro.fr	438	54	62	113
108	lefigaro.fr	438	75	92	102
109	lefigaro.fr	438	62	89	102
110	lefigaro.fr	441	68	72	105
111	lefigaro.fr	436	62	69	100
112	lefigaro.fr	436	52	62	90
113	lefigaro.fr	441	73	94	105
114	lefigaro.fr	439	72	90	103
115	lefigaro.fr	439	65	72	103
116	lefigaro.fr	435	62	73	109
