num	name	http1	spdy3	delta	simple
1	lemde.fr	435	292	284	299
2	lemde.fr	383	44	39	76
3	lemde.fr	620	184	195	277
4	lemde.fr	423	59	55	105
5	lemde.fr	402	32	35	83
6	lemde.fr	423	51	49	101
7	lemde.fr	283	55	63	72
8	lemde.fr	450	73	71	194
9	lemde.fr	456	68	61	117
10	lemde.fr	452	64	59	113
11	lemde.fr	453	67	59	114
12	lemde.fr	451	67	57	112
13	lemde.fr	453	63	59	114
14	lemde.fr	453	64	59	114
15	lemde.fr	454	67	59	115
16	lemde.fr	458	65	62	119
17	lemde.fr	457	67	62	118
18	lemde.fr	453	63	60	114
19	lemde.fr	455	63	61	116
20	lemde.fr	458	81	78	135
21	lemde.fr	457	78	74	131
22	lemde.fr	443	72	64	119
23	lemde.fr	450	74	68	125
24	lemde.fr	448	89	65	123
25	lemde.fr	447	74	65	122
26	lemde.fr	460	93	75	133
27	lemde.fr	499	139	102	168
28	lemde.fr	497	128	111	175
29	lemde.fr	499	116	102	177
30	lemde.fr	494	107	98	173
31	lemde.fr	499	116	100	177
32	lemde.fr	440	79	61	116
33	lemde.fr	440	34	61	116
34	lemde.fr	456	68	72	130
35	lemde.fr	429	41	53	106
36	lemde.fr	405	43	38	85
37	lemde.fr	429	33	53	106
38	lemde.fr	418	39	46	97
39	lemde.fr	443	67	63	119
40	lemde.fr	447	73	66	122
41	lemde.fr	451	69	69	126
42	lemde.fr	453	86	70	127
43	lemde.fr	444	72	64	119
44	lemde.fr	459	89	75	133
45	lemde.fr	447	67	66	122
46	lemde.fr	444	74	65	119
47	lemde.fr	442	68	63	118
48	lemde.fr	450	75	69	125
49	lemde.fr	487	109	90	157
50	lemde.fr	456	86	73	130
51	lemde.fr	455	75	71	129
52	lemde.fr	455	76	72	129
53	lemde.fr	455	75	72	129
54	lemde.fr	446	75	66	121
55	lemde.fr	438	62	59	114
56	lemde.fr	450	72	66	125
57	lemde.fr	460	79	74	133
58	lemde.fr	455	63	72	129
59	lemde.fr	466	81	79	139
60	lemde.fr	455	67	72	129
61	lemde.fr	447	68	67	122
62	lemde.fr	450	70	68	125
63	lemde.fr	446	66	65	121
64	lemde.fr	421	35	48	99
65	lemde.fr	447	67	66	122
66	lemde.fr	422	48	49	100
67	lemde.fr	424	35	50	102
68	lemde.fr	451	73	69	126
69	lemde.fr	421	60	51	99
70	lemde.fr	417	43	46	96
71	lemde.fr	442	65	63	118
72	lemde.fr	446	70	66	121
73	lemde.fr	461	76	77	134
74	lemde.fr	443	66	63	119
75	lemde.fr	446	63	66	121
76	lemde.fr	443	64	63	119
77	lemde.fr	454	76	71	128
78	lemde.fr	453	70	70	127
79	lemde.fr	451	72	69	126
80	lemde.fr	456	73	73	130
81	lemde.fr	459	66	74	133
82	lemde.fr	463	72	78	136
83	lemde.fr	446	73	64	121
84	lemde.fr	443	62	64	119
85	lemde.fr	457	80	72	131
86	lemde.fr	445	64	65	120
87	lemde.fr	454	70	72	128
88	lemde.fr	445	68	66	120
89	lemde.fr	463	73	76	136
90	lemde.fr	451	77	68	126
91	lemde.fr	465	73	80	138
92	lemde.fr	450	73	67	125
93	lemde.fr	437	45	59	113
94	lemde.fr	426	54	51	104
95	lemde.fr	424	35	49	102
96	lemde.fr	422	34	49	100
97	lemde.fr	425	36	51	103
98	lemde.fr	426	34	51	104
99	lemde.fr	422	31	49	100
100	lemde.fr	427	37	51	105
101	lemde.fr	423	36	49	101
102	lemde.fr	426	32	51	104
103	lemde.fr	426	33	51	104
104	lemde.fr	386	42	18	78
105	lemde.fr	383	31	20	76
106	lemde.fr	690	251	266	378
107	lemde.fr	423	41	26	133
108	lemde.fr	402	32	14	83
109	lemde.fr	505	70	66	217
110	lemde.fr	507	69	60	112
111	lemde.fr	456	67	22	146
112	lemde.fr	452	59	14	113
113	lemde.fr	453	66	14	114
114	lemde.fr	451	67	14	112
115	lemde.fr	453	64	14	114
116	lemde.fr	453	64	14	114
117	lemde.fr	454	66	14	115
118	lemde.fr	458	67	14	119
119	lemde.fr	457	67	14	118
120	lemde.fr	453	63	14	114
121	lemde.fr	455	63	14	116
122	lemde.fr	421	27	18	103
123	lemde.fr	417	27	14	96
124	lemde.fr	458	75	14	132
125	lemde.fr	457	73	14	131
126	lemde.fr	443	67	14	119
127	lemde.fr	450	73	14	125
128	lemde.fr	505	85	78	213
129	lemde.fr	448	80	22	152
130	lemde.fr	447	74	14	122
131	lemde.fr	460	86	14	133
132	lemde.fr	443	66	14	119
133	lemde.fr	447	65	14	122
134	lemde.fr	451	72	14	126
135	lemde.fr	499	71	72	208
136	lemde.fr	444	72	22	148
137	lemde.fr	512	81	80	219
138	lemde.fr	512	64	75	130
139	lemde.fr	511	68	73	129
140	lemde.fr	460	79	22	162
141	lemde.fr	455	63	14	129
142	lemde.fr	466	81	14	139
143	lemde.fr	455	68	14	129
144	lemde.fr	447	67	14	122
145	lemde.fr	450	71	14	125
146	lemde.fr	446	67	14	121
147	lemde.fr	463	29	14	136
148	lemde.fr	422	49	14	100
149	lemde.fr	424	35	14	102
150	lemde.fr	451	73	14	126
151	lemde.fr	421	43	14	99
152	lemde.fr	442	65	14	118
153	lemde.fr	446	69	14	121
154	lemde.fr	461	70	14	134
155	lemde.fr	443	63	14	119
156	lemde.fr	446	63	14	121
157	lemde.fr	443	63	14	119
158	lemde.fr	454	76	14	128
159	lemde.fr	453	71	14	127
160	lemde.fr	451	72	14	126
161	lemde.fr	456	68	14	130
162	lemde.fr	459	66	14	133
163	lemde.fr	446	72	14	121
164	lemde.fr	443	63	14	119
165	lemde.fr	457	70	14	131
166	lemde.fr	445	63	14	120
167	lemde.fr	445	62	14	120
168	lemde.fr	442	68	14	118
169	lemde.fr	451	76	14	126
170	lemde.fr	465	74	14	138
171	lemde.fr	450	73	14	125
172	lemde.fr	509	75	78	217
173	lemde.fr	510	67	72	128
174	lemde.fr	386	42	26	107
175	lemde.fr	491	57	66	210
176	lemde.fr	492	60	61	112
177	lemde.fr	446	76	22	150
178	lemde.fr	492	29	66	202
179	lemde.fr	440	79	22	145
180	lemde.fr	440	34	14	116
181	lemde.fr	514	77	82	221
182	lemde.fr	444	74	22	148
183	lemde.fr	447	70	14	122
184	lemde.fr	429	45	14	106
185	lemde.fr	405	43	14	85
186	lemde.fr	429	33	14	106
187	lemde.fr	418	39	14	97
188	lemde.fr	551	133	107	253
189	lemde.fr	507	79	71	126
190	lemde.fr	447	70	22	151
191	lemde.fr	438	64	14	114
192	lemde.fr	450	77	14	125
193	lemde.fr	463	73	14	136
194	lemde.fr	502	75	73	210
195	lemde.fr	509	72	73	127
196	lemde.fr	454	70	22	157
197	lemde.fr	426	54	14	104
198	lemde.fr	424	35	14	102
199	lemde.fr	422	34	14	100
200	lemde.fr	425	36	14	103
201	lemde.fr	426	34	14	104
202	lemde.fr	422	31	14	100
203	lemde.fr	427	37	14	105
204	lemde.fr	423	34	14	101
205	lemde.fr	426	32	14	104
206	lemde.fr	426	33	14	104
207	lemde.fr	383	28	14	66
208	lemde.fr	690	187	24	378
209	lemde.fr	505	70	14	111
210	lemde.fr	507	69	14	112
211	lemde.fr	456	68	22	146
212	lemde.fr	452	60	14	113
213	lemde.fr	453	66	14	114
214	lemde.fr	451	66	14	112
215	lemde.fr	453	64	14	114
216	lemde.fr	453	64	14	114
217	lemde.fr	454	66	14	115
218	lemde.fr	458	66	14	119
219	lemde.fr	457	67	14	118
220	lemde.fr	453	62	14	114
221	lemde.fr	455	63	14	116
222	lemde.fr	421	64	18	103
223	lemde.fr	417	43	14	96
224	lemde.fr	423	48	14	101
225	lemde.fr	402	32	14	83
226	lemde.fr	458	74	14	132
227	lemde.fr	457	74	14	131
228	lemde.fr	443	72	14	119
229	lemde.fr	450	74	14	125
230	lemde.fr	505	76	22	213
231	lemde.fr	448	69	22	152
232	lemde.fr	447	73	14	122
233	lemde.fr	460	92	14	133
234	lemde.fr	443	67	14	119
235	lemde.fr	447	67	14	122
236	lemde.fr	451	69	14	126
237	lemde.fr	499	71	20	208
238	lemde.fr	444	72	22	148
239	lemde.fr	442	67	14	118
240	lemde.fr	446	70	14	121
241	lemde.fr	461	69	14	134
242	lemde.fr	443	63	14	119
