num	name	http1	spdy3	delta	simple
1	lequipe.fr	439	262	295	313
2	lequipe.fr	410	54	48	91
3	lequipe.fr	422	54	51	97
4	lequipe.fr	423	43	36	83
5	lequipe.fr	259	58	54	49
6	lequipe.fr	418	62	52	157
7	lequipe.fr	405	45	34	80
8	lequipe.fr	461	103	89	144
9	lequipe.fr	454	70	67	123
10	lequipe.fr	443	57	60	113
11	lequipe.fr	452	52	66	121
12	lequipe.fr	445	49	62	115
13	lequipe.fr	476	61	81	142
14	lequipe.fr	541	145	126	199
15	lequipe.fr	469	81	78	136
16	lequipe.fr	536	120	124	195
17	lequipe.fr	505	94	101	168
18	lequipe.fr	545	133	129	203
19	lequipe.fr	532	125	119	191
20	lequipe.fr	518	97	110	179
21	lequipe.fr	531	121	117	190
22	lequipe.fr	503	100	100	166
23	lequipe.fr	528	119	118	188
24	lequipe.fr	463	67	74	131
25	lequipe.fr	457	65	71	126
26	lequipe.fr	505	92	102	168
27	lequipe.fr	528	117	116	188
28	lequipe.fr	504	98	100	167
29	lequipe.fr	468	72	77	135
30	lequipe.fr	472	81	80	139
31	lequipe.fr	453	61	66	122
32	lequipe.fr	464	61	74	132
33	lequipe.fr	456	59	69	125
34	lequipe.fr	408	51	35	83
35	lequipe.fr	408	37	35	83
36	lequipe.fr	408	36	35	83
37	lequipe.fr	406	44	40	96
38	lequipe.fr	411	46	37	85
39	lequipe.fr	446	80	64	116
40	lequipe.fr	448	67	65	118
41	lequipe.fr	445	52	63	115
42	lequipe.fr	470	101	83	152
43	lequipe.fr	468	84	77	135
44	lequipe.fr	465	76	75	133
45	lequipe.fr	424	65	50	112
46	lequipe.fr	445	60	66	130
47	lequipe.fr	445	36	62	115
48	lequipe.fr	445	45	62	115
49	lequipe.fr	399	39	34	90
50	lequipe.fr	421	56	45	94
51	lequipe.fr	414	36	40	88
52	lequipe.fr	414	47	39	88
53	lequipe.fr	409	44	36	84
54	lequipe.fr	406	33	34	81
55	lequipe.fr	406	44	35	81
56	lequipe.fr	423	57	47	96
57	lequipe.fr	418	46	42	91
58	lequipe.fr	397	36	28	73
59	lequipe.fr	407	41	36	82
60	lequipe.fr	420	61	51	108
61	lequipe.fr	403	40	34	81
62	lequipe.fr	396	37	32	87
63	lequipe.fr	399	35	29	75
64	lequipe.fr	405	33	33	80
65	lequipe.fr	403	39	33	78
66	lequipe.fr	403	31	32	78
67	lequipe.fr	411	58	45	100
68	lequipe.fr	421	41	48	97
69	lequipe.fr	417	30	45	93
70	lequipe.fr	455	95	75	120
71	lequipe.fr	451	48	46	129
72	lequipe.fr	546	130	110	215
73	lequipe.fr	443	33	43	126
74	lequipe.fr	481	73	36	179
75	lequipe.fr	410	50	26	99
76	lequipe.fr	422	48	18	97
77	lequipe.fr	423	40	14	83
78	lequipe.fr	459	70	82	148
79	lequipe.fr	438	36	31	76
80	lequipe.fr	240	55	26	47
81	lequipe.fr	406	27	26	175
82	lequipe.fr	423	27	14	96
83	lequipe.fr	418	27	14	91
84	lequipe.fr	397	27	14	73
85	lequipe.fr	407	27	14	82
86	lequipe.fr	420	31	18	108
87	lequipe.fr	403	27	14	81
88	lequipe.fr	396	30	20	87
89	lequipe.fr	450	49	52	168
90	lequipe.fr	405	37	24	124
91	lequipe.fr	461	86	20	144
92	lequipe.fr	454	60	14	123
93	lequipe.fr	443	57	14	113
94	lequipe.fr	452	52	14	121
95	lequipe.fr	445	49	14	115
96	lequipe.fr	476	57	14	142
97	lequipe.fr	399	30	20	90
98	lequipe.fr	428	42	45	134
99	lequipe.fr	429	34	34	81
100	lequipe.fr	424	48	36	91
101	lequipe.fr	424	29	32	77
102	lequipe.fr	423	30	31	76
103	lequipe.fr	424	28	32	77
104	lequipe.fr	424	29	31	77
105	lequipe.fr	423	29	31	76
106	lequipe.fr	423	29	31	76
107	lequipe.fr	423	28	31	76
108	lequipe.fr	424	29	32	77
109	lequipe.fr	424	28	32	77
110	lequipe.fr	424	29	31	77
111	lequipe.fr	424	30	31	77
112	lequipe.fr	423	30	31	76
113	lequipe.fr	424	29	32	77
114	lequipe.fr	424	28	31	77
115	lequipe.fr	424	30	32	77
116	lequipe.fr	425	32	32	77
117	lequipe.fr	424	28	31	77
118	lequipe.fr	425	29	32	77
119	lequipe.fr	424	27	31	77
120	lequipe.fr	424	29	31	77
121	lequipe.fr	425	29	32	77
122	lequipe.fr	425	29	32	77
123	lequipe.fr	425	30	32	77
124	lequipe.fr	425	28	32	77
125	lequipe.fr	424	32	31	77
126	lequipe.fr	424	29	31	77
127	lequipe.fr	423	32	31	76
128	lequipe.fr	425	29	32	77
