num	name	http1	spdy3	delta	simple
1	lequipe.fr	388	238	237	227
2	lequipe.fr	491	166	179	174
3	lequipe.fr	490	126	123	161
4	lequipe.fr	464	63	72	85
5	lequipe.fr	22	37	33	8
6	lequipe.fr	479	70	98	259
7	lequipe.fr	423	104	113	104
8	lequipe.fr	422	135	141	162
9	lequipe.fr	422	31	20	75
10	lequipe.fr	421	66	94	124
11	lequipe.fr	422	34	26	125
12	lequipe.fr	442	69	77	141
13	lequipe.fr	423	32	30	126
14	lequipe.fr	423	73	93	137
15	lequipe.fr	420	63	98	123
16	lequipe.fr	420	37	26	123
17	lequipe.fr	420	36	55	123
18	lequipe.fr	420	33	20	75
19	lequipe.fr	420	47	75	123
20	lequipe.fr	420	55	75	123
21	lequipe.fr	420	40	67	111
22	lequipe.fr	420	43	67	111
23	lequipe.fr	420	44	74	123
24	lequipe.fr	418	57	76	121
25	lequipe.fr	421	57	98	124
26	lequipe.fr	420	40	70	123
27	lequipe.fr	421	45	75	124
28	lequipe.fr	421	56	99	124
29	lequipe.fr	420	39	71	123
30	lequipe.fr	422	31	30	125
31	lequipe.fr	422	51	100	125
32	lequipe.fr	422	32	26	111
33	lequipe.fr	442	51	79	141
34	lequipe.fr	442	46	66	126
35	lequipe.fr	442	33	20	91
36	lequipe.fr	442	30	20	91
37	lequipe.fr	421	71	92	123
38	lequipe.fr	424	85	103	109
39	lequipe.fr	421	68	109	106
40	lequipe.fr	421	65	96	94
41	lequipe.fr	420	58	70	93
42	lequipe.fr	395	55	56	140
43	lequipe.fr	395	36	44	97
44	lequipe.fr	395	37	43	97
45	lequipe.fr	420	78	105	122
46	lequipe.fr	418	39	79	149
47	lequipe.fr	419	42	67	112
48	lequipe.fr	421	63	75	124
49	lequipe.fr	423	51	77	112
50	lequipe.fr	420	53	79	105
51	lequipe.fr	423	38	57	108
52	lequipe.fr	423	57	78	104
53	lequipe.fr	423	47	47	81
54	lequipe.fr	423	52	70	81
55	lequipe.fr	506	65	82	157
56	lequipe.fr	479	76	78	108
57	lequipe.fr	503	62	74	116
58	lequipe.fr	481	58	58	110
59	lequipe.fr	481	57	69	85
60	lequipe.fr	487	61	83	148
61	lequipe.fr	487	56	66	100
62	lequipe.fr	480	59	77	139
63	lequipe.fr	425	50	75	117
64	lequipe.fr	423	60	78	95
65	lequipe.fr	425	57	72	91
66	lequipe.fr	422	48	82	103
67	lequipe.fr	410	72	91	118
68	lequipe.fr	410	46	70	82
69	lequipe.fr	410	51	66	82
70	lequipe.fr	433	103	113	138
71	lequipe.fr	425	52	78	121
72	lequipe.fr	422	65	81	143
73	lequipe.fr	425	52	98	142
74	lequipe.fr	422	56	79	151
75	lequipe.fr	491	74	38	161
