num	name	http1	spdy3	delta	simple
1	pagesjaunes.fr	447	267	300	320
2	pagesjaunes.fr	443	80	91	128
3	pagesjaunes.fr	443	47	66	112
4	pagesjaunes.fr	324	91	92	101
5	pagesjaunes.fr	310	81	80	90
6	pagesjaunes.fr	430	56	59	179
7	pagesjaunes.fr	424	44	44	108
8	pagesjaunes.fr	422	33	38	87
9	pagesjaunes.fr	260	39	41	58
10	pagesjaunes.fr	456	65	61	202
11	pagesjaunes.fr	603	170	194	259
12	pagesjaunes.fr	423	40	47	107
13	pagesjaunes.fr	432	52	45	115
14	pagesjaunes.fr	430	38	43	94
15	pagesjaunes.fr	437	37	48	100
16	pagesjaunes.fr	439	45	49	102
17	pagesjaunes.fr	437	37	48	100
18	pagesjaunes.fr	437	44	48	119
19	pagesjaunes.fr	438	41	49	120
20	pagesjaunes.fr	444	45	53	106
21	pagesjaunes.fr	440	36	50	103
22	pagesjaunes.fr	441	35	51	104
23	pagesjaunes.fr	438	45	49	120
24	pagesjaunes.fr	437	38	48	101
25	pagesjaunes.fr	443	42	52	125
26	pagesjaunes.fr	434	43	47	117
27	pagesjaunes.fr	431	40	44	96
28	pagesjaunes.fr	450	49	57	112
29	pagesjaunes.fr	446	36	55	109
30	pagesjaunes.fr	630	64	54	282
31	pagesjaunes.fr	430	40	52	113
32	pagesjaunes.fr	631	39	52	283
33	pagesjaunes.fr	430	30	52	113
34	pagesjaunes.fr	452	57	59	114
35	pagesjaunes.fr	444	42	53	107
36	pagesjaunes.fr	444	43	53	107
37	pagesjaunes.fr	636	55	55	287
38	pagesjaunes.fr	439	39	58	121
39	pagesjaunes.fr	440	36	51	104
40	pagesjaunes.fr	637	44	56	288
41	pagesjaunes.fr	637	38	48	102
42	pagesjaunes.fr	637	38	48	102
43	pagesjaunes.fr	441	39	60	123
44	pagesjaunes.fr	444	41	53	107
45	pagesjaunes.fr	432	35	45	97
46	pagesjaunes.fr	442	49	52	105
47	pagesjaunes.fr	652	74	68	301
48	pagesjaunes.fr	441	33	59	123
49	pagesjaunes.fr	446	36	54	109
50	pagesjaunes.fr	439	43	49	121
51	pagesjaunes.fr	433	39	46	116
52	pagesjaunes.fr	480	90	80	139
53	pagesjaunes.fr	434	38	47	98
54	pagesjaunes.fr	434	32	46	98
55	pagesjaunes.fr	482	72	80	140
56	pagesjaunes.fr	444	45	53	126
57	pagesjaunes.fr	478	74	78	130
58	pagesjaunes.fr	478	30	47	102
59	pagesjaunes.fr	478	34	48	102
60	pagesjaunes.fr	469	37	43	94
61	pagesjaunes.fr	478	38	48	102
62	pagesjaunes.fr	479	35	49	103
63	pagesjaunes.fr	848	298	341	445
64	pagesjaunes.fr	1187	386	453	770
65	pagesjaunes.fr	821	76	57	105
66	pagesjaunes.fr	1030	97	370	632
67	pagesjaunes.fr	818	82	32	470
68	pagesjaunes.fr	443	54	24	137
69	pagesjaunes.fr	443	39	28	112
70	pagesjaunes.fr	311	97	58	133
71	pagesjaunes.fr	432	40	18	217
72	pagesjaunes.fr	430	37	14	94
73	pagesjaunes.fr	437	33	14	100
74	pagesjaunes.fr	439	37	14	102
75	pagesjaunes.fr	437	33	14	100
76	pagesjaunes.fr	437	38	28	119
77	pagesjaunes.fr	596	51	61	296
78	pagesjaunes.fr	444	46	24	139
79	pagesjaunes.fr	440	34	14	103
80	pagesjaunes.fr	441	31	14	104
81	pagesjaunes.fr	438	44	14	120
82	pagesjaunes.fr	598	46	61	280
83	pagesjaunes.fr	443	42	14	157
84	pagesjaunes.fr	434	41	24	117
85	pagesjaunes.fr	431	36	14	96
86	pagesjaunes.fr	450	46	14	112
87	pagesjaunes.fr	446	38	14	109
88	pagesjaunes.fr	630	65	22	282
89	pagesjaunes.fr	430	40	20	113
90	pagesjaunes.fr	631	39	22	283
91	pagesjaunes.fr	430	30	20	113
92	pagesjaunes.fr	452	57	14	114
93	pagesjaunes.fr	444	37	14	107
94	pagesjaunes.fr	444	41	14	107
95	pagesjaunes.fr	636	45	22	287
96	pagesjaunes.fr	439	39	20	121
97	pagesjaunes.fr	440	38	14	104
98	pagesjaunes.fr	637	44	22	288
99	pagesjaunes.fr	637	38	14	102
100	pagesjaunes.fr	637	38	14	102
101	pagesjaunes.fr	441	39	20	123
102	pagesjaunes.fr	444	41	14	107
103	pagesjaunes.fr	432	35	14	97
104	pagesjaunes.fr	442	49	14	105
105	pagesjaunes.fr	652	73	22	301
106	pagesjaunes.fr	441	33	20	123
107	pagesjaunes.fr	446	36	14	109
108	pagesjaunes.fr	439	43	14	121
109	pagesjaunes.fr	433	39	14	116
110	pagesjaunes.fr	714	148	53	329
111	pagesjaunes.fr	434	38	22	122
112	pagesjaunes.fr	434	32	14	98
113	pagesjaunes.fr	716	98	52	330
114	pagesjaunes.fr	87	61	26	51
115	pagesjaunes.fr	444	46	14	317
116	pagesjaunes.fr	81	41	20	45
117	pagesjaunes.fr	79	30	14	43
118	pagesjaunes.fr	247	43	26	184
119	pagesjaunes.fr	113	62	14	89
120	pagesjaunes.fr	56	35	20	39
121	pagesjaunes.fr	80	33	20	60
122	pagesjaunes.fr	478	52	32	341
123	pagesjaunes.fr	478	30	14	102
124	pagesjaunes.fr	478	34	14	102
125	pagesjaunes.fr	469	37	14	94
126	pagesjaunes.fr	478	38	14	102
127	pagesjaunes.fr	479	35	14	103
128	pagesjaunes.fr	947	332	278	603
129	pagesjaunes.fr	1233	330	432	819
130	pagesjaunes.fr	821	91	28	466
131	pagesjaunes.fr	862	85	37	517
132	pagesjaunes.fr	443	54	24	161
133	pagesjaunes.fr	443	40	28	112
134	pagesjaunes.fr	312	89	57	134
135	pagesjaunes.fr	437	36	28	221
136	pagesjaunes.fr	438	43	18	120
137	pagesjaunes.fr	438	30	14	120
138	pagesjaunes.fr	437	30	14	101
139	pagesjaunes.fr	630	29	26	282
140	pagesjaunes.fr	631	30	14	97
141	pagesjaunes.fr	452	29	20	133
142	pagesjaunes.fr	636	30	22	287
143	pagesjaunes.fr	637	30	14	102
144	pagesjaunes.fr	637	30	14	102
145	pagesjaunes.fr	637	30	14	102
146	pagesjaunes.fr	444	28	20	126
147	pagesjaunes.fr	610	70	76	290
148	pagesjaunes.fr	442	29	26	138
149	pagesjaunes.fr	652	31	22	301
150	pagesjaunes.fr	480	31	20	157
151	pagesjaunes.fr	482	30	14	140
152	pagesjaunes.fr	87	26	20	51
153	pagesjaunes.fr	444	31	14	317
154	pagesjaunes.fr	81	25	20	45
155	pagesjaunes.fr	79	24	14	43
156	pagesjaunes.fr	248	26	26	185
157	pagesjaunes.fr	113	25	14	89
158	pagesjaunes.fr	56	24	20	39
159	pagesjaunes.fr	80	25	20	60
160	pagesjaunes.fr	962	94	274	776
161	pagesjaunes.fr	1308	138	481	883
162	pagesjaunes.fr	821	32	30	466
163	pagesjaunes.fr	927	44	44	574
164	pagesjaunes.fr	443	30	26	161
165	pagesjaunes.fr	443	31	28	112
166	pagesjaunes.fr	437	29	18	105
167	pagesjaunes.fr	622	57	97	301
168	pagesjaunes.fr	631	44	56	111
169	pagesjaunes.fr	452	29	26	147
170	pagesjaunes.fr	623	36	61	301
171	pagesjaunes.fr	620	45	49	101
172	pagesjaunes.fr	627	36	54	107
173	pagesjaunes.fr	623	32	51	104
174	pagesjaunes.fr	622	38	50	103
175	pagesjaunes.fr	616	37	46	98
176	pagesjaunes.fr	623	36	52	104
177	pagesjaunes.fr	644	40	65	122
178	pagesjaunes.fr	634	34	58	113
179	pagesjaunes.fr	629	33	55	109
180	pagesjaunes.fr	630	33	56	110
181	pagesjaunes.fr	622	36	50	103
182	pagesjaunes.fr	643	41	65	121
183	pagesjaunes.fr	643	30	65	121
184	pagesjaunes.fr	305	75	82	99
185	pagesjaunes.fr	87	26	22	66
186	pagesjaunes.fr	444	31	18	317
187	pagesjaunes.fr	81	25	20	45
188	pagesjaunes.fr	79	24	14	43
189	pagesjaunes.fr	255	28	26	191
190	pagesjaunes.fr	113	25	14	89
191	pagesjaunes.fr	80	25	20	60
192	pagesjaunes.fr	444	31	24	302
193	pagesjaunes.fr	631	54	66	308
194	pagesjaunes.fr	622	43	51	103
195	pagesjaunes.fr	964	103	274	576
196	pagesjaunes.fr	1324	131	445	891
197	pagesjaunes.fr	945	55	43	143
198	pagesjaunes.fr	443	31	26	161
199	pagesjaunes.fr	443	31	30	112
200	pagesjaunes.fr	437	29	18	105
201	pagesjaunes.fr	622	65	95	301
202	pagesjaunes.fr	87	23	26	51
203	pagesjaunes.fr	444	30	18	317
204	pagesjaunes.fr	81	24	20	45
