num	name	http1	spdy3	delta	simple
1	pagesjaunes.fr	1042	399	669	771
2	pagesjaunes.fr	493	176	154	148
3	pagesjaunes.fr	495	70	118	134
4	pagesjaunes.fr	22	37	33	8
5	pagesjaunes.fr	22	21	8	8
6	pagesjaunes.fr	506	85	114	290
7	pagesjaunes.fr	507	53	57	119
8	pagesjaunes.fr	507	47	50	112
9	pagesjaunes.fr	22	21	32	8
10	pagesjaunes.fr	528	47	51	297
11	pagesjaunes.fr	503	98	128	130
12	pagesjaunes.fr	505	45	47	132
13	pagesjaunes.fr	443	85	110	122
14	pagesjaunes.fr	443	26	8	63
15	pagesjaunes.fr	445	39	37	84
16	pagesjaunes.fr	445	36	38	84
17	pagesjaunes.fr	445	49	63	92
18	pagesjaunes.fr	446	87	126	116
19	pagesjaunes.fr	443	58	96	113
20	pagesjaunes.fr	445	37	51	115
21	pagesjaunes.fr	446	39	39	85
22	pagesjaunes.fr	443	33	42	91
23	pagesjaunes.fr	445	51	62	115
24	pagesjaunes.fr	443	43	49	113
25	pagesjaunes.fr	445	44	46	115
26	pagesjaunes.fr	445	72	91	115
27	pagesjaunes.fr	444	40	47	114
28	pagesjaunes.fr	444	37	49	114
29	pagesjaunes.fr	444	35	37	84
30	pagesjaunes.fr	460	116	146	147
31	pagesjaunes.fr	445	62	98	138
32	pagesjaunes.fr	459	58	77	137
33	pagesjaunes.fr	443	39	49	127
34	pagesjaunes.fr	445	47	68	115
35	pagesjaunes.fr	444	37	50	114
36	pagesjaunes.fr	442	42	42	91
37	pagesjaunes.fr	460	85	107	147
38	pagesjaunes.fr	442	34	44	135
39	pagesjaunes.fr	442	33	36	83
40	pagesjaunes.fr	460	68	74	147
41	pagesjaunes.fr	459	69	61	95
42	pagesjaunes.fr	462	63	60	109
43	pagesjaunes.fr	445	39	51	138
44	pagesjaunes.fr	445	39	45	93
45	pagesjaunes.fr	444	39	38	84
46	pagesjaunes.fr	443	38	43	91
47	pagesjaunes.fr	458	66	67	145
48	pagesjaunes.fr	443	45	52	136
49	pagesjaunes.fr	445	38	45	115
50	pagesjaunes.fr	442	36	36	91
51	pagesjaunes.fr	443	50	98	113
52	pagesjaunes.fr	386	95	103	102
53	pagesjaunes.fr	446	48	49	129
54	pagesjaunes.fr	445	42	45	94
55	pagesjaunes.fr	383	80	107	99
56	pagesjaunes.fr	445	59	99	129
57	pagesjaunes.fr	445	47	52	108
58	pagesjaunes.fr	445	42	47	99
59	pagesjaunes.fr	444	38	45	98
60	pagesjaunes.fr	443	36	37	83
61	pagesjaunes.fr	446	40	46	100
62	pagesjaunes.fr	444	28	36	98
63	pagesjaunes.fr	884	504	548	607
64	pagesjaunes.fr	386	109	107	148
65	pagesjaunes.fr	461	76	102	153
66	pagesjaunes.fr	498	163	182	224
67	pagesjaunes.fr	712	213	267	413
68	pagesjaunes.fr	493	81	36	148
69	pagesjaunes.fr	495	45	34	134
70	pagesjaunes.fr	22	38	18	8
71	pagesjaunes.fr	443	29	38	242
72	pagesjaunes.fr	443	26	8	63
73	pagesjaunes.fr	445	31	18	84
74	pagesjaunes.fr	445	31	18	84
75	pagesjaunes.fr	445	31	24	92
76	pagesjaunes.fr	446	32	30	116
77	pagesjaunes.fr	444	57	91	114
78	pagesjaunes.fr	445	32	26	115
79	pagesjaunes.fr	446	31	18	85
80	pagesjaunes.fr	443	31	22	91
81	pagesjaunes.fr	445	31	22	115
82	pagesjaunes.fr	444	41	45	106
83	pagesjaunes.fr	445	31	26	115
84	pagesjaunes.fr	445	30	30	115
85	pagesjaunes.fr	444	31	26	114
86	pagesjaunes.fr	444	31	22	114
87	pagesjaunes.fr	444	31	18	84
88	pagesjaunes.fr	460	28	32	147
89	pagesjaunes.fr	445	32	30	138
90	pagesjaunes.fr	459	31	26	137
91	pagesjaunes.fr	443	31	28	127
92	pagesjaunes.fr	445	31	22	115
93	pagesjaunes.fr	444	31	26	114
94	pagesjaunes.fr	442	31	22	91
95	pagesjaunes.fr	460	28	32	147
96	pagesjaunes.fr	442	31	22	135
97	pagesjaunes.fr	442	32	18	83
98	pagesjaunes.fr	460	31	22	147
99	pagesjaunes.fr	459	31	18	95
100	pagesjaunes.fr	462	28	22	109
101	pagesjaunes.fr	445	30	26	138
102	pagesjaunes.fr	445	31	22	93
103	pagesjaunes.fr	444	31	18	84
104	pagesjaunes.fr	443	31	22	91
105	pagesjaunes.fr	458	28	22	145
106	pagesjaunes.fr	443	32	30	136
107	pagesjaunes.fr	445	31	22	115
108	pagesjaunes.fr	442	31	18	91
109	pagesjaunes.fr	443	30	30	113
110	pagesjaunes.fr	327	85	158	175
111	pagesjaunes.fr	446	31	38	209
112	pagesjaunes.fr	445	31	22	94
113	pagesjaunes.fr	327	24	22	175
114	pagesjaunes.fr	19	26	18	10
115	pagesjaunes.fr	445	30	34	244
116	pagesjaunes.fr	19	21	14	10
117	pagesjaunes.fr	19	21	8	10
118	pagesjaunes.fr	22	24	18	8
119	pagesjaunes.fr	19	21	8	10
120	pagesjaunes.fr	19	21	18	10
121	pagesjaunes.fr	19	21	8	10
122	pagesjaunes.fr	445	31	30	244
123	pagesjaunes.fr	445	34	24	99
124	pagesjaunes.fr	444	31	22	98
125	pagesjaunes.fr	443	31	18	83
126	pagesjaunes.fr	446	31	22	100
127	pagesjaunes.fr	444	28	24	98
128	pagesjaunes.fr	498	35	32	224
129	pagesjaunes.fr	382	39	35	124
130	pagesjaunes.fr	461	29	36	153
131	pagesjaunes.fr	970	144	444	616
132	pagesjaunes.fr	493	29	32	148
133	pagesjaunes.fr	495	32	32	134
134	pagesjaunes.fr	22	22	18	8
135	pagesjaunes.fr	446	30	36	245
136	pagesjaunes.fr	443	63	32	113
137	pagesjaunes.fr	445	31	22	115
138	pagesjaunes.fr	443	42	26	113
139	pagesjaunes.fr	460	28	30	147
140	pagesjaunes.fr	459	30	24	104
141	pagesjaunes.fr	445	30	26	129
142	pagesjaunes.fr	460	31	30	147
143	pagesjaunes.fr	460	31	18	96
144	pagesjaunes.fr	459	31	18	95
145	pagesjaunes.fr	462	28	22	109
146	pagesjaunes.fr	444	30	30	137
147	pagesjaunes.fr	445	40	49	91
148	pagesjaunes.fr	443	31	26	98
149	pagesjaunes.fr	458	28	22	145
150	pagesjaunes.fr	386	94	22	92
151	pagesjaunes.fr	383	78	24	99
152	pagesjaunes.fr	19	23	14	10
153	pagesjaunes.fr	445	28	34	244
154	pagesjaunes.fr	19	21	14	10
155	pagesjaunes.fr	19	21	8	10
156	pagesjaunes.fr	22	24	18	8
157	pagesjaunes.fr	19	21	8	10
158	pagesjaunes.fr	19	21	18	10
159	pagesjaunes.fr	19	21	8	10
160	pagesjaunes.fr	376	58	58	220
161	pagesjaunes.fr	382	34	28	115
162	pagesjaunes.fr	461	28	32	153
163	pagesjaunes.fr	970	42	425	616
164	pagesjaunes.fr	493	29	32	148
165	pagesjaunes.fr	495	28	32	134
166	pagesjaunes.fr	446	29	32	125
167	pagesjaunes.fr	437	61	85	108
168	pagesjaunes.fr	464	42	39	105
169	pagesjaunes.fr	445	30	22	115
170	pagesjaunes.fr	439	47	67	102
171	pagesjaunes.fr	465	51	72	130
172	pagesjaunes.fr	464	39	37	100
173	pagesjaunes.fr	464	38	38	100
174	pagesjaunes.fr	464	45	47	116
175	pagesjaunes.fr	438	43	49	107
176	pagesjaunes.fr	437	37	40	91
177	pagesjaunes.fr	446	76	94	116
178	pagesjaunes.fr	445	70	86	107
179	pagesjaunes.fr	444	69	88	106
180	pagesjaunes.fr	464	43	46	123
181	pagesjaunes.fr	445	66	94	107
182	pagesjaunes.fr	465	42	48	132
183	pagesjaunes.fr	440	35	41	85
184	pagesjaunes.fr	22	23	22	8
185	pagesjaunes.fr	19	24	18	10
186	pagesjaunes.fr	445	30	28	244
187	pagesjaunes.fr	19	21	14	10
188	pagesjaunes.fr	19	21	8	10
189	pagesjaunes.fr	22	21	18	8
190	pagesjaunes.fr	19	21	8	10
191	pagesjaunes.fr	19	21	18	10
192	pagesjaunes.fr	444	32	26	243
193	pagesjaunes.fr	466	44	49	133
194	pagesjaunes.fr	465	39	39	101
195	pagesjaunes.fr	376	26	8	119
196	pagesjaunes.fr	386	32	32	138
197	pagesjaunes.fr	970	77	421	602
198	pagesjaunes.fr	493	29	34	148
199	pagesjaunes.fr	495	28	32	134
200	pagesjaunes.fr	446	29	30	125
201	pagesjaunes.fr	500	79	53	154
202	pagesjaunes.fr	19	22	18	10
203	pagesjaunes.fr	445	29	28	244
204	pagesjaunes.fr	19	21	14	10
205	pagesjaunes.fr	19	21	8	10
206	pagesjaunes.fr	22	24	18	8
207	pagesjaunes.fr	19	21	8	10
208	pagesjaunes.fr	19	21	18	10
209	pagesjaunes.fr	498	180	26	323
210	pagesjaunes.fr	386	29	30	139
211	pagesjaunes.fr	611	218	265	318
212	pagesjaunes.fr	638	76	137	190
213	pagesjaunes.fr	556	79	93	113
214	pagesjaunes.fr	712	58	264	413
215	pagesjaunes.fr	493	28	32	148
216	pagesjaunes.fr	495	28	32	134
217	pagesjaunes.fr	443	53	34	122
218	pagesjaunes.fr	443	26	8	63
219	pagesjaunes.fr	445	37	18	84
220	pagesjaunes.fr	445	36	18	84
221	pagesjaunes.fr	445	50	24	92
222	pagesjaunes.fr	446	29	26	116
223	pagesjaunes.fr	443	61	26	113
224	pagesjaunes.fr	445	36	22	115
225	pagesjaunes.fr	446	39	18	85
226	pagesjaunes.fr	443	33	22	91
227	pagesjaunes.fr	445	44	22	115
228	pagesjaunes.fr	443	43	26	113
229	pagesjaunes.fr	445	44	26	115
230	pagesjaunes.fr	437	32	28	108
231	pagesjaunes.fr	444	43	26	114
232	pagesjaunes.fr	443	38	22	91
233	pagesjaunes.fr	437	52	84	108
234	pagesjaunes.fr	464	45	69	129
235	pagesjaunes.fr	443	73	95	113
236	pagesjaunes.fr	19	23	18	10
237	pagesjaunes.fr	464	38	50	259
238	pagesjaunes.fr	440	52	49	102
239	pagesjaunes.fr	443	41	51	114
240	pagesjaunes.fr	444	31	32	114
241	pagesjaunes.fr	458	103	94	145
242	pagesjaunes.fr	484	59	47	117
243	pagesjaunes.fr	459	68	65	96
244	pagesjaunes.fr	19	22	18	10
245	pagesjaunes.fr	445	28	28	244
246	pagesjaunes.fr	19	21	14	10
247	pagesjaunes.fr	19	21	8	10
248	pagesjaunes.fr	22	24	18	8
249	pagesjaunes.fr	19	21	8	10
250	pagesjaunes.fr	19	21	18	10
251	pagesjaunes.fr	445	46	30	244
252	pagesjaunes.fr	445	42	24	99
253	pagesjaunes.fr	444	39	22	98
254	pagesjaunes.fr	443	36	18	83
255	pagesjaunes.fr	446	41	22	100
256	pagesjaunes.fr	444	28	24	98
257	pagesjaunes.fr	376	36	26	120
258	pagesjaunes.fr	386	35	51	138
259	pagesjaunes.fr	438	48	51	126
260	pagesjaunes.fr	466	145	146	213
261	pagesjaunes.fr	493	29	28	148
262	pagesjaunes.fr	513	79	111	138
263	pagesjaunes.fr	447	69	103	118
264	pagesjaunes.fr	19	22	28	10
265	pagesjaunes.fr	19	21	8	10
266	pagesjaunes.fr	19	21	8	10
267	pagesjaunes.fr	19	21	18	10
268	pagesjaunes.fr	443	60	92	242
269	pagesjaunes.fr	443	35	37	84
270	pagesjaunes.fr	443	35	37	84
271	pagesjaunes.fr	437	43	47	108
272	pagesjaunes.fr	498	34	26	222
273	pagesjaunes.fr	445	29	30	144
274	pagesjaunes.fr	386	26	34	133
275	pagesjaunes.fr	419	88	106	174
276	pagesjaunes.fr	493	28	28	148
277	pagesjaunes.fr	482	64	79	112
278	pagesjaunes.fr	466	55	115	140
279	pagesjaunes.fr	483	63	97	151
280	pagesjaunes.fr	484	57	65	112
281	pagesjaunes.fr	483	65	61	111
282	pagesjaunes.fr	484	51	61	112
283	pagesjaunes.fr	457	64	64	94
284	pagesjaunes.fr	19	23	30	10
285	pagesjaunes.fr	19	21	8	10
286	pagesjaunes.fr	22	24	26	8
287	pagesjaunes.fr	19	21	8	10
288	pagesjaunes.fr	19	21	18	10
289	pagesjaunes.fr	511	49	57	282
290	pagesjaunes.fr	484	50	54	112
291	pagesjaunes.fr	484	42	43	96
292	pagesjaunes.fr	484	37	43	96
293	pagesjaunes.fr	484	33	37	88
294	pagesjaunes.fr	484	37	43	96
295	pagesjaunes.fr	437	33	42	91
296	pagesjaunes.fr	464	39	39	105
297	pagesjaunes.fr	498	41	36	214
298	pagesjaunes.fr	445	29	28	144
299	pagesjaunes.fr	386	32	30	133
300	pagesjaunes.fr	978	269	449	618
301	pagesjaunes.fr	493	29	28	148
302	pagesjaunes.fr	495	57	32	134
303	pagesjaunes.fr	22	23	18	8
304	pagesjaunes.fr	446	34	34	245
305	pagesjaunes.fr	445	45	24	93
306	pagesjaunes.fr	443	65	26	113
307	pagesjaunes.fr	483	84	75	166
308	pagesjaunes.fr	19	23	18	10
309	pagesjaunes.fr	458	58	74	251
310	pagesjaunes.fr	443	38	32	127
311	pagesjaunes.fr	19	21	14	10
312	pagesjaunes.fr	444	40	22	243
313	pagesjaunes.fr	444	34	18	84
314	pagesjaunes.fr	19	21	14	10
315	pagesjaunes.fr	19	21	8	10
316	pagesjaunes.fr	19	21	8	10
317	pagesjaunes.fr	19	21	8	10
318	pagesjaunes.fr	458	67	72	251
319	pagesjaunes.fr	484	53	45	117
320	pagesjaunes.fr	484	53	65	112
321	pagesjaunes.fr	19	21	18	10
322	pagesjaunes.fr	19	21	8	10
323	pagesjaunes.fr	19	21	8	10
324	pagesjaunes.fr	19	21	8	10
325	pagesjaunes.fr	457	65	58	250
326	pagesjaunes.fr	19	21	18	10
327	pagesjaunes.fr	446	56	38	245
328	pagesjaunes.fr	19	21	14	10
329	pagesjaunes.fr	19	21	8	10
330	pagesjaunes.fr	19	21	8	10
331	pagesjaunes.fr	19	21	8	10
332	pagesjaunes.fr	19	21	8	10
333	pagesjaunes.fr	19	21	8	10
334	pagesjaunes.fr	19	21	8	10
335	pagesjaunes.fr	445	29	26	244
336	pagesjaunes.fr	19	21	14	10
337	pagesjaunes.fr	19	21	8	10
338	pagesjaunes.fr	22	24	18	8
339	pagesjaunes.fr	19	21	8	10
340	pagesjaunes.fr	19	21	18	10
341	pagesjaunes.fr	19	21	8	10
342	pagesjaunes.fr	376	35	24	220
343	pagesjaunes.fr	382	38	51	123
344	pagesjaunes.fr	485	85	97	163
345	pagesjaunes.fr	419	70	85	172
346	pagesjaunes.fr	493	30	34	148
347	pagesjaunes.fr	482	32	36	112
348	pagesjaunes.fr	511	29	26	119
349	pagesjaunes.fr	484	32	26	112
350	pagesjaunes.fr	484	31	24	96
351	pagesjaunes.fr	484	31	22	96
352	pagesjaunes.fr	484	31	18	88
353	pagesjaunes.fr	484	31	22	96
354	pagesjaunes.fr	466	30	30	116
355	pagesjaunes.fr	466	47	68	118
356	pagesjaunes.fr	437	29	28	98
357	pagesjaunes.fr	19	23	28	10
358	pagesjaunes.fr	19	21	8	10
359	pagesjaunes.fr	22	24	22	8
360	pagesjaunes.fr	19	21	8	10
361	pagesjaunes.fr	445	29	24	244
362	pagesjaunes.fr	19	21	18	10
363	pagesjaunes.fr	376	26	8	220
364	pagesjaunes.fr	386	29	30	138
365	pagesjaunes.fr	419	61	80	172
366	pagesjaunes.fr	493	29	28	148
367	pagesjaunes.fr	482	45	50	112
368	pagesjaunes.fr	466	29	40	140
369	pagesjaunes.fr	19	22	28	10
370	pagesjaunes.fr	19	21	8	10
371	pagesjaunes.fr	22	24	22	8
372	pagesjaunes.fr	19	21	8	10
373	pagesjaunes.fr	19	21	18	10
374	pagesjaunes.fr	484	31	32	259
375	pagesjaunes.fr	444	78	95	123
376	pagesjaunes.fr	437	31	24	108
377	pagesjaunes.fr	498	41	46	222
378	pagesjaunes.fr	445	29	24	144
379	pagesjaunes.fr	386	29	32	133
380	pagesjaunes.fr	466	48	95	154
381	planet.fr	443	114	130	126
382	planet.fr	443	26	8	61
383	planet.fr	443	26	8	61
384	planet.fr	19	22	18	10
385	facebook.net	511	203	184	329
386	facebook.net	19	21	18	10
387	facebook.net	19	21	8	10
388	facebook.net	19	21	8	10
389	facebook.net	19	21	8	10
390	facebook.com	22	24	18	8
391	facebook.com	22	21	8	8
392	facebook.com	22	21	8	8
393	facebook.com	22	21	8	8
394	facebook.com	22	21	8	8
395	facebook.com	22	21	8	8
396	facebook.com	22	21	8	8
397	facebook.com	22	21	8	8
398	facebook.com	22	21	8	8
399	facebook.com	22	21	8	8
400	facebook.com	22	21	8	8
401	facebook.com	22	21	8	8
402	facebook.com	22	21	8	8
403	facebook.com	22	21	8	8
404	facebook.com	22	21	8	8
405	notrefamille.com	369	157	133	256
406	notrefamille.com	570	196	231	294
407	notrefamille.com	1405	296	669	873
408	notrefamille.com	515	146	167	238
409	notrefamille.com	535	108	93	172
410	notrefamille.com	469	81	90	199
411	notrefamille.com	516	78	98	252
412	notrefamille.com	519	53	64	142
413	notrefamille.com	517	84	88	148
414	notrefamille.com	481	89	94	231
415	notrefamille.com	456	57	84	132
416	notrefamille.com	456	73	81	132
417	notrefamille.com	481	50	69	153
418	notrefamille.com	455	63	83	131
419	notrefamille.com	456	64	66	132
420	notrefamille.com	456	50	68	132
421	notrefamille.com	456	49	61	114
422	notrefamille.com	455	60	67	131
