num	name	http1	spdy3	delta	simple
1	xiti.com	623	423	457	508
2	xiti.com	631	237	273	333
3	xiti.com	623	67	302	366
4	xiti.com	619	99	198	373
5	xiti.com	708	126	253	343
6	xiti.com	538	110	207	254
7	xiti.com	694	84	252	439
8	xiti.com	762	182	293	391
9	xiti.com	643	81	208	287
10	xiti.com	775	158	300	402
11	xiti.com	799	125	316	423
12	xiti.com	726	163	263	359
13	xiti.com	514	61	199	244
14	xiti.com	778	132	313	512
15	pole-emploi.fr	463	58	106	178
16	pole-emploi.fr	511	124	106	159
17	pole-emploi.fr	519	49	55	112
18	pole-emploi.fr	518	48	56	112
19	pole-emploi.fr	503	52	60	115
20	pole-emploi.fr	503	35	56	112
21	pole-emploi.fr	496	42	51	105
22	pole-emploi.fr	488	36	45	98
23	pole-emploi.fr	494	41	49	104
24	pole-emploi.fr	502	36	55	111
25	pole-emploi.fr	499	41	53	108
26	pole-emploi.fr	503	38	56	112
27	pole-emploi.fr	490	36	46	100
28	pole-emploi.fr	489	35	46	99
29	pole-emploi.fr	495	40	50	105
30	pole-emploi.fr	493	35	48	103
31	pole-emploi.fr	504	52	56	112
32	pole-emploi.fr	493	48	48	103
33	pole-emploi.fr	510	47	59	118
34	pole-emploi.fr	507	36	57	115
35	pole-emploi.fr	500	34	53	109
36	pole-emploi.fr	508	37	59	116
37	pole-emploi.fr	317	92	83	95
38	pole-emploi.fr	328	82	80	105
39	pole-emploi.fr	504	41	65	218
40	pole-emploi.fr	518	45	65	125
41	pole-emploi.fr	518	39	64	125
42	pole-emploi.fr	519	36	66	126
43	pole-emploi.fr	509	32	59	117
44	pole-emploi.fr	520	46	66	126
45	pole-emploi.fr	521	37	67	127
46	pole-emploi.fr	521	31	67	127
47	pole-emploi.fr	522	33	68	128
48	pole-emploi.fr	526	80	71	132
49	pole-emploi.fr	511	38	60	119
50	pole-emploi.fr	507	40	58	115
51	pole-emploi.fr	518	39	64	125
52	pole-emploi.fr	525	74	71	131
53	pole-emploi.fr	518	44	65	125
54	pole-emploi.fr	499	38	52	108
55	pole-emploi.fr	531	80	74	136
56	pole-emploi.fr	530	76	74	135
57	pole-emploi.fr	527	73	72	133
58	pole-emploi.fr	530	70	73	135
59	pole-emploi.fr	512	40	60	119
60	pole-emploi.fr	516	74	66	123
