num	name	http1	spdy3	delta	simple
1	xiti.com	22	50	32	8
2	xiti.com	500	357	315	325
3	xiti.com	22	21	24	8
4	xiti.com	500	29	45	325
5	xiti.com	376	61	58	100
6	xiti.com	22	21	22	8
7	xiti.com	376	28	41	220
8	xiti.com	376	27	35	66
9	xiti.com	376	24	8	58
10	xiti.com	376	27	35	66
11	xiti.com	376	27	35	66
12	xiti.com	376	27	35	66
13	xiti.com	22	22	22	8
14	xiti.com	376	28	41	220
15	pole-emploi.fr	535	219	278	348
16	pole-emploi.fr	528	109	150	193
17	pole-emploi.fr	502	62	22	75
18	pole-emploi.fr	528	36	45	105
19	pole-emploi.fr	559	47	38	112
20	pole-emploi.fr	558	34	20	93
21	pole-emploi.fr	558	32	19	93
22	pole-emploi.fr	558	33	19	93
23	pole-emploi.fr	558	31	20	93
24	pole-emploi.fr	558	34	20	93
25	pole-emploi.fr	558	31	20	93
26	pole-emploi.fr	558	32	20	93
27	pole-emploi.fr	558	31	19	93
28	pole-emploi.fr	532	34	21	77
29	pole-emploi.fr	558	33	22	98
30	pole-emploi.fr	558	32	20	93
31	pole-emploi.fr	480	68	152	161
32	pole-emploi.fr	479	51	98	110
33	pole-emploi.fr	478	41	45	101
34	pole-emploi.fr	478	32	19	74
35	pole-emploi.fr	478	44	72	92
36	pole-emploi.fr	479	34	29	102
37	pole-emploi.fr	22	23	22	8
38	pole-emploi.fr	22	21	8	8
39	pole-emploi.fr	477	38	38	286
40	pole-emploi.fr	478	43	72	92
41	pole-emploi.fr	477	31	30	99
42	pole-emploi.fr	478	39	55	92
43	pole-emploi.fr	478	28	39	82
44	pole-emploi.fr	478	36	46	91
45	pole-emploi.fr	478	30	19	74
46	pole-emploi.fr	478	31	19	74
47	pole-emploi.fr	478	30	19	74
48	pole-emploi.fr	480	38	26	84
49	pole-emploi.fr	479	37	32	101
50	pole-emploi.fr	479	33	30	93
51	pole-emploi.fr	478	31	19	74
52	pole-emploi.fr	480	33	34	102
53	pole-emploi.fr	478	33	29	100
54	pole-emploi.fr	478	31	19	74
55	pole-emploi.fr	480	35	32	111
56	pole-emploi.fr	480	33	20	75
57	pole-emploi.fr	481	35	20	76
58	pole-emploi.fr	480	32	19	75
59	pole-emploi.fr	478	36	29	109
60	pole-emploi.fr	495	137	99	158
61	pole-emploi.fr	480	35	40	117
62	pole-emploi.fr	479	36	32	93
63	pole-emploi.fr	478	31	19	74
64	pole-emploi.fr	478	32	23	77
65	pole-emploi.fr	478	29	19	74
66	pole-emploi.fr	493	64	94	154
67	pole-emploi.fr	480	36	38	117
68	pole-emploi.fr	479	32	34	93
69	pole-emploi.fr	478	32	19	74
70	pole-emploi.fr	478	31	19	74
71	pole-emploi.fr	478	30	19	74
72	pole-emploi.fr	480	38	38	111
73	pole-emploi.fr	479	32	24	84
74	pole-emploi.fr	481	43	74	104
75	pole-emploi.fr	479	34	34	110
76	pole-emploi.fr	479	30	20	75
77	pole-emploi.fr	478	37	33	100
78	pole-emploi.fr	478	35	23	82
79	pole-emploi.fr	478	30	19	74
80	pole-emploi.fr	478	30	19	74
81	pole-emploi.fr	422	146	132	210
82	pole-emploi.fr	422	47	44	74
83	pole-emploi.fr	422	36	44	74
84	pole-emploi.fr	422	36	44	74
85	pole-emploi.fr	422	32	44	74
86	pole-emploi.fr	422	32	44	74
87	pole-emploi.fr	422	34	44	74
88	pole-emploi.fr	421	35	44	73
89	pole-emploi.fr	478	34	33	268
