num	name	http1	spdy3	delta	simple
1	sfr.fr	431	261	290	306
2	sfr.fr	1441	575	827	1002
3	sfr.fr	676	100	94	160
4	sfr.fr	676	37	90	151
5	sfr.fr	680	40	92	154
6	sfr.fr	694	66	104	167
7	sfr.fr	699	60	107	171
8	sfr.fr	699	55	106	171
9	sfr.fr	1542	114	731	1087
10	sfr.fr	693	79	60	368
11	sfr.fr	740	120	149	417
12	sfr.fr	1889	270	986	1386
13	sfr.fr	830	71	67	459
14	sfr.fr	793	56	95	164
15	sfr.fr	767	63	42	388
16	sfr.fr	800	70	59	114
17	sfr.fr	804	57	61	118
18	sfr.fr	791	41	53	106
19	sfr.fr	788	38	51	104
20	sfr.fr	796	40	56	111
21	sfr.fr	793	42	54	108
22	sfr.fr	796	36	56	111
23	sfr.fr	790	40	52	105
24	sfr.fr	2096	242	1138	1556
25	sfr.fr	878	153	139	493
26	sfr.fr	873	41	84	146
27	sfr.fr	876	44	87	148
28	sfr.fr	876	35	87	148
29	sfr.fr	874	42	84	147
30	sfr.fr	874	32	84	147
31	sfr.fr	807	115	115	422
32	sfr.fr	889	70	62	495
33	sfr.fr	2069	212	1162	1589
34	sfr.fr	924	103	84	531
35	sfr.fr	798	88	123	468
36	sfr.fr	912	93	93	494
37	sfr.fr	2358	293	1298	1769
38	sfr.fr	930	46	100	518
39	sfr.fr	925	37	86	147
40	sfr.fr	928	39	89	150
41	sfr.fr	928	33	89	150
42	sfr.fr	926	39	86	148
43	sfr.fr	926	33	86	148
44	sfr.fr	1058	169	157	585
45	sfr.fr	322	40	34	68
46	sfr.fr	824	52	59	483
47	sfr.fr	1825	210	964	1375
48	sfr.fr	819	133	110	464
49	sfr.fr	1978	193	1060	1509
50	sfr.fr	837	65	68	455
51	sfr.fr	870	79	60	479
52	sfr.fr	864	39	33	77
53	sfr.fr	954	130	197	594
54	sfr.fr	962	44	99	146
55	sfr.fr	943	60	101	146
56	sfr.fr	962	59	111	159
57	sfr.fr	973	37	112	172
58	sfr.fr	935	44	96	139
59	sfr.fr	945	39	98	144
60	sfr.fr	874	55	46	469
61	sfr.fr	860	103	133	456
62	sfr.fr	853	42	45	80
63	sfr.fr	858	46	48	84
64	sfr.fr	859	48	48	85
65	sfr.fr	1900	175	902	1375
66	sfr.fr	862	38	61	467
67	s-sfr.fr	426	105	83	152
68	s-sfr.fr	444	50	64	119
69	s-sfr.fr	456	59	66	133
70	s-sfr.fr	423	43	39	88
71	s-sfr.fr	406	33	42	90
72	s-sfr.fr	410	34	40	90
73	s-sfr.fr	391	38	27	73
74	s-sfr.fr	391	30	28	73
75	s-sfr.fr	390	31	27	72
76	s-sfr.fr	390	37	27	72
77	s-sfr.fr	392	35	28	74
78	s-sfr.fr	408	42	39	88
79	s-sfr.fr	412	38	41	91
80	s-sfr.fr	413	41	42	92
81	s-sfr.fr	413	27	42	92
82	s-sfr.fr	418	49	46	97
83	s-sfr.fr	412	50	41	91
84	s-sfr.fr	398	41	33	79
85	s-sfr.fr	414	41	43	93
86	s-sfr.fr	417	39	45	96
87	s-sfr.fr	418	42	45	97
88	s-sfr.fr	417	37	46	96
89	s-sfr.fr	424	44	50	102
90	s-sfr.fr	410	39	40	90
91	s-sfr.fr	399	46	33	80
92	s-sfr.fr	401	42	35	82
93	s-sfr.fr	404	49	38	84
94	s-sfr.fr	411	49	41	91
95	s-sfr.fr	418	41	46	97
96	s-sfr.fr	418	35	45	97
97	s-sfr.fr	409	43	40	89
98	s-sfr.fr	420	62	47	98
99	s-sfr.fr	414	52	43	93
