num	name	http1	spdy3	delta	simple
1	sfr.fr	552	344	355	356
2	sfr.fr	1682	808	1151	1239
3	sfr.fr	494	116	145	264
4	sfr.fr	494	66	119	175
5	sfr.fr	494	72	139	194
6	sfr.fr	445	94	82	135
7	sfr.fr	445	32	87	154
8	sfr.fr	445	26	18	154
9	sfr.fr	760	107	83	438
10	sfr.fr	536	133	150	282
11	sfr.fr	507	113	121	210
12	sfr.fr	761	72	218	447
13	sfr.fr	488	49	73	256
14	sfr.fr	507	67	146	218
15	sfr.fr	465	133	164	158
16	sfr.fr	462	94	100	205
17	sfr.fr	471	98	138	222
18	sfr.fr	466	65	139	178
19	sfr.fr	468	40	39	84
20	sfr.fr	466	38	44	161
21	sfr.fr	468	40	46	163
22	sfr.fr	468	39	46	163
23	sfr.fr	468	35	45	163
24	sfr.fr	761	72	208	448
25	sfr.fr	470	64	101	241
26	sfr.fr	465	41	27	166
27	sfr.fr	470	27	24	170
28	sfr.fr	470	30	14	141
29	sfr.fr	465	31	27	166
30	sfr.fr	470	27	20	91
31	sfr.fr	647	167	231	362
32	sfr.fr	460	42	40	206
33	sfr.fr	761	67	203	447
34	sfr.fr	549	86	112	313
35	sfr.fr	632	140	196	324
36	sfr.fr	462	40	80	216
37	sfr.fr	761	69	184	439
38	sfr.fr	470	34	51	233
39	sfr.fr	465	40	29	166
40	sfr.fr	470	27	18	91
41	sfr.fr	470	30	14	141
42	sfr.fr	470	28	14	141
43	sfr.fr	470	30	14	141
44	sfr.fr	460	36	32	187
45	sfr.fr	22	37	33	8
46	sfr.fr	586	114	131	359
47	sfr.fr	760	47	80	438
48	sfr.fr	508	42	42	246
49	sfr.fr	761	59	203	439
50	sfr.fr	479	59	61	238
51	sfr.fr	489	123	159	239
52	sfr.fr	522	168	234	268
53	sfr.fr	423	93	118	116
54	sfr.fr	421	38	39	64
55	sfr.fr	431	48	66	114
56	sfr.fr	430	41	60	87
57	sfr.fr	422	40	65	106
58	sfr.fr	436	34	51	106
59	sfr.fr	427	38	39	63
60	sfr.fr	392	74	119	120
61	sfr.fr	387	46	68	101
62	sfr.fr	387	35	59	80
63	sfr.fr	387	27	14	57
64	sfr.fr	389	39	46	82
65	sfr.fr	656	99	223	351
66	sfr.fr	389	39	77	174
67	s-sfr.fr	657	198	278	406
68	s-sfr.fr	666	74	104	176
69	s-sfr.fr	634	107	248	315
70	s-sfr.fr	582	105	193	303
71	s-sfr.fr	588	101	172	303
72	s-sfr.fr	552	78	167	252
73	s-sfr.fr	629	102	123	311
74	s-sfr.fr	628	84	120	296
75	s-sfr.fr	667	110	129	212
76	s-sfr.fr	554	126	213	316
77	s-sfr.fr	556	88	201	289
78	s-sfr.fr	631	112	127	321
79	s-sfr.fr	605	85	114	304
80	s-sfr.fr	603	94	198	273
81	s-sfr.fr	592	90	198	293
82	s-sfr.fr	603	77	125	302
83	s-sfr.fr	554	79	112	293
84	s-sfr.fr	555	71	88	288
85	s-sfr.fr	603	58	84	302
86	s-sfr.fr	630	82	110	334
87	s-sfr.fr	594	65	105	303
88	s-sfr.fr	593	61	77	286
89	s-sfr.fr	603	68	107	294
90	s-sfr.fr	593	65	79	294
91	s-sfr.fr	554	76	95	301
92	s-sfr.fr	519	85	86	272
93	s-sfr.fr	530	71	67	259
94	s-sfr.fr	530	66	91	154
95	s-sfr.fr	593	61	105	302
96	s-sfr.fr	604	78	111	303
97	s-sfr.fr	608	72	89	315
98	s-sfr.fr	554	86	95	184
99	s-sfr.fr	557	90	91	289
100	s-sfr.fr	603	78	108	311
101	s-sfr.fr	603	67	110	302
102	s-sfr.fr	619	77	122	198
103	s-sfr.fr	530	72	93	281
104	s-sfr.fr	630	75	115	334
105	s-sfr.fr	527	62	86	270
106	s-sfr.fr	528	64	89	271
107	s-sfr.fr	528	62	61	249
108	s-sfr.fr	602	72	109	301
109	s-sfr.fr	603	78	109	302
110	s-sfr.fr	554	76	93	293
111	s-sfr.fr	594	65	81	177
112	s-sfr.fr	594	56	78	287
113	s-sfr.fr	529	78	92	280
114	s-sfr.fr	545	81	86	284
115	s-sfr.fr	554	68	87	157
116	s-sfr.fr	529	84	90	272
117	s-sfr.fr	555	77	92	280
118	s-sfr.fr	555	73	89	287
119	s-sfr.fr	546	59	81	258
120	s-sfr.fr	544	68	83	266
121	s-sfr.fr	531	79	94	260
122	s-sfr.fr	530	69	62	250
123	s-sfr.fr	630	73	111	217
124	s-sfr.fr	620	57	81	311
125	s-sfr.fr	602	68	109	301
126	s-sfr.fr	608	77	113	315
127	s-sfr.fr	529	66	68	280
128	s-sfr.fr	629	74	108	324
129	s-sfr.fr	602	74	106	272
130	s-sfr.fr	605	73	84	304
131	s-sfr.fr	554	68	94	293
132	s-sfr.fr	556	72	90	159
133	s-sfr.fr	556	73	91	288
134	s-sfr.fr	603	73	113	311
135	s-sfr.fr	593	66	84	294
136	s-sfr.fr	562	166	98	319
137	s-sfr.fr	629	128	34	319
138	s-sfr.fr	641	164	244	336
139	s-sfr.fr	638	124	230	299
140	s-sfr.fr	616	127	223	306
141	s-sfr.fr	644	107	220	308
142	s-sfr.fr	646	129	231	300
143	s-sfr.fr	321	76	167	184
144	s-sfr.fr	667	103	119	400
145	s-sfr.fr	563	69	89	287
146	s-sfr.fr	588	90	34	290
147	s-sfr.fr	582	81	64	306
148	s-sfr.fr	323	58	127	180
149	s-sfr.fr	554	87	100	371
150	s-sfr.fr	545	71	85	280
151	s-sfr.fr	556	77	93	289
