num	name	http1	spdy3	delta	simple
1	youtube.com	441	264	297	315
2	youtube.com	554	164	126	173
3	youtube.com	588	63	76	125
4	youtube.com	663	186	205	358
5	youtube.com	1194	409	416	537
6	youtube.com	720	82	67	357
7	youtube.com	725	57	88	142
8	youtube.com	732	59	93	350
9	youtube.com	731	51	94	147
10	youtube.com	716	139	208	405
11	youtube.com	1247	156	417	537
12	youtube.com	753	60	79	383
13	youtube.com	247	44	77	87
14	youtube.com	292	34	64	86
15	youtube.com	754	59	63	450
16	youtube.com	752	52	93	145
17	youtube.com	751	58	93	144
18	youtube.com	736	143	232	422
19	youtube.com	1267	164	417	537
20	youtube.com	741	74	81	336
21	youtube.com	101	34	26	78
22	youtube.com	1299	119	452	1022
23	youtube.com	815	132	123	194
24	youtube.com	1582	524	678	865
25	youtube.com	690	36	33	84
26	youtube.com	818	75	130	184
27	youtube.com	1304	56	443	622
28	youtube.com	1304	47	443	569
29	youtube.com	1616	232	709	1134
30	ytimg.com	424	81	84	144
31	ytimg.com	425	43	42	89
32	ytimg.com	407	42	43	90
33	ytimg.com	408	38	41	87
34	ytimg.com	414	56	45	92
35	ytimg.com	403	48	37	83
36	ytimg.com	412	38	44	91
37	ytimg.com	411	48	43	90
38	ytimg.com	410	39	42	89
39	ytimg.com	420	76	63	107
40	ytimg.com	420	51	63	107
41	ytimg.com	418	53	49	105
42	ytimg.com	420	50	64	107
43	ytimg.com	420	50	49	107
44	ytimg.com	412	61	49	100
45	ytimg.com	419	70	63	106
46	ytimg.com	417	64	51	105
47	ytimg.com	419	62	55	106
48	ytimg.com	419	60	50	106
49	ytimg.com	404	48	37	93
50	ytimg.com	404	41	37	93
51	ytimg.com	404	40	38	93
52	ytimg.com	419	56	51	96
53	ytimg.com	406	47	39	95
54	ytimg.com	417	62	49	105
55	ytimg.com	406	41	39	95
56	ytimg.com	417	55	50	94
57	ytimg.com	406	41	39	95
58	ytimg.com	417	60	49	105
59	ytimg.com	406	41	40	95
60	ytimg.com	419	63	49	106
61	ytimg.com	386	54	50	98
62	ytimg.com	424	30	20	113
63	ytimg.com	419	61	50	125
64	ytimg.com	425	46	48	94
65	ytimg.com	421	45	45	91
66	ytimg.com	407	28	26	119
67	ytimg.com	400	39	50	121
68	ytimg.com	394	27	14	80
69	ytimg.com	411	27	22	119
70	ytimg.com	426	69	66	144
71	ytimg.com	406	47	45	91
72	ytimg.com	395	44	46	91
73	ytimg.com	395	40	45	91
74	ytimg.com	410	59	52	93
75	ytimg.com	408	59	49	91
76	ytimg.com	395	41	41	91
77	ytimg.com	395	40	37	91
78	ytimg.com	410	57	50	104
79	ytimg.com	408	60	57	102
80	ytimg.com	408	55	48	102
81	ytimg.com	397	43	39	92
82	ytimg.com	397	37	39	82
83	ytimg.com	397	40	40	92
84	ytimg.com	397	37	39	82
85	ytimg.com	406	29	22	125
86	ytimg.com	397	40	39	128
87	ytimg.com	406	30	22	125
88	ytimg.com	397	40	47	118
89	ytimg.com	397	40	39	92
90	ytimg.com	397	40	39	92
91	ytimg.com	397	37	40	82
92	ytimg.com	397	37	38	82
93	ytimg.com	386	27	24	119
94	ytimg.com	424	29	20	113
95	ytimg.com	411	52	24	134
96	ytimg.com	411	27	22	119
97	ytimg.com	436	52	61	162
98	ytimg.com	412	27	14	130
99	ytimg.com	407	27	14	86
100	ytimg.com	418	51	49	137
101	ytimg.com	427	52	48	94
102	ytimg.com	252	46	43	54
103	ytimg.com	252	41	48	54
104	ytimg.com	252	43	45	54
105	ytimg.com	252	41	49	54
106	ytimg.com	252	37	38	43
107	ytimg.com	252	37	38	54
108	ytimg.com	252	36	38	43
109	ytimg.com	252	37	38	54
110	ytimg.com	386	29	26	188
111	ytimg.com	424	29	22	113
112	ytimg.com	419	31	22	125
113	ytimg.com	435	73	51	139
114	ytimg.com	407	27	26	119
115	ytimg.com	418	38	51	137
116	ytimg.com	418	40	43	88
117	ytimg.com	428	49	52	97
118	ytimg.com	409	27	14	80
119	ytimg.com	411	28	22	119
120	ytimg.com	444	52	76	169
121	ytimg.com	433	60	58	111
122	ytimg.com	417	31	22	134
123	ytimg.com	412	30	22	100
124	ytimg.com	420	39	54	139
125	ytimg.com	434	50	54	102
126	ytimg.com	406	31	26	125
127	ytimg.com	412	43	49	141
128	ytimg.com	412	37	39	82
129	ytimg.com	412	37	40	82
130	ytimg.com	412	40	47	92
131	ytimg.com	412	37	39	82
132	ytimg.com	412	40	40	92
133	ytimg.com	412	40	47	92
134	ytimg.com	412	37	40	82
135	ytimg.com	412	37	40	82
136	ytimg.com	410	45	42	91
