num	name	http1	spdy3	delta	simple
1	youtube.com	866	514	548	614
2	youtube.com	439	45	56	91
3	youtube.com	702	145	161	316
4	youtube.com	527	164	175	188
5	youtube.com	318	83	100	112
6	youtube.com	439	40	54	175
7	youtube.com	439	34	44	90
8	youtube.com	439	37	50	91
9	youtube.com	726	124	171	336
10	youtube.com	527	51	82	188
11	youtube.com	318	29	50	112
12	youtube.com	439	38	32	165
13	youtube.com	22	37	33	8
14	youtube.com	22	21	14	8
15	youtube.com	439	37	52	269
16	youtube.com	439	36	50	91
17	youtube.com	746	134	191	355
18	youtube.com	527	49	68	188
19	youtube.com	318	30	50	112
20	youtube.com	519	49	74	182
21	youtube.com	19	29	26	10
22	youtube.com	483	112	102	262
23	youtube.com	408	47	42	122
24	youtube.com	590	128	160	263
25	youtube.com	579	56	109	168
26	youtube.com	590	31	36	179
27	youtube.com	483	47	50	147
28	youtube.com	483	36	80	116
29	youtube.com	590	32	36	265
30	ytimg.com	507	154	160	191
31	ytimg.com	504	57	64	97
32	ytimg.com	523	68	107	140
33	ytimg.com	521	64	92	105
34	ytimg.com	458	92	99	109
35	ytimg.com	229	132	124	141
36	ytimg.com	460	81	102	257
37	ytimg.com	458	76	85	100
38	ytimg.com	458	62	84	100
39	ytimg.com	464	77	137	162
40	ytimg.com	464	55	97	110
41	ytimg.com	465	59	97	111
42	ytimg.com	464	54	94	110
43	ytimg.com	465	59	92	111
44	ytimg.com	477	87	125	177
45	ytimg.com	464	32	34	162
46	ytimg.com	464	54	99	119
47	ytimg.com	463	50	102	110
48	ytimg.com	489	61	100	140
49	ytimg.com	465	58	97	111
50	ytimg.com	489	57	95	131
51	ytimg.com	464	55	96	110
52	ytimg.com	489	51	101	140
53	ytimg.com	490	59	94	136
54	ytimg.com	463	52	90	109
55	ytimg.com	491	55	94	133
56	ytimg.com	464	59	96	110
57	ytimg.com	490	55	99	132
58	ytimg.com	489	56	99	135
59	ytimg.com	420	71	70	111
60	ytimg.com	489	64	91	131
61	ytimg.com	520	56	81	196
62	ytimg.com	507	29	32	126
63	ytimg.com	503	68	82	104
64	ytimg.com	505	70	88	105
65	ytimg.com	503	67	83	104
66	ytimg.com	523	28	30	140
67	ytimg.com	520	64	63	105
68	ytimg.com	229	44	108	141
69	ytimg.com	458	28	34	255
70	ytimg.com	457	73	86	99
71	ytimg.com	458	78	84	100
72	ytimg.com	488	58	101	174
73	ytimg.com	489	53	102	126
74	ytimg.com	465	56	99	120
75	ytimg.com	490	58	95	132
76	ytimg.com	490	58	105	136
77	ytimg.com	490	56	99	127
78	ytimg.com	465	55	101	120
79	ytimg.com	465	56	102	111
80	ytimg.com	464	60	99	110
81	ytimg.com	490	60	100	132
82	ytimg.com	464	56	98	110
83	ytimg.com	444	53	75	121
84	ytimg.com	418	55	74	99
85	ytimg.com	491	29	22	133
86	ytimg.com	491	53	97	127
87	ytimg.com	490	30	22	126
88	ytimg.com	490	57	93	126
89	ytimg.com	490	55	94	126
90	ytimg.com	444	49	72	116
91	ytimg.com	444	46	72	116
92	ytimg.com	445	48	72	117
93	ytimg.com	520	29	34	196
94	ytimg.com	507	28	24	126
95	ytimg.com	229	43	82	140
96	ytimg.com	458	30	30	255
97	ytimg.com	464	52	101	154
98	ytimg.com	460	72	18	154
99	ytimg.com	523	29	30	159
100	ytimg.com	480	78	89	128
101	ytimg.com	519	65	71	144
102	ytimg.com	22	36	30	8
103	ytimg.com	22	21	30	8
104	ytimg.com	22	21	22	8
105	ytimg.com	22	21	32	8
106	ytimg.com	22	21	8	8
107	ytimg.com	22	21	8	8
108	ytimg.com	22	21	8	8
109	ytimg.com	22	21	8	8
110	ytimg.com	520	30	22	291
111	ytimg.com	507	28	22	126
112	ytimg.com	503	30	24	104
113	ytimg.com	504	62	81	105
114	ytimg.com	523	30	28	140
115	ytimg.com	521	55	67	98
116	ytimg.com	519	54	67	104
117	ytimg.com	520	55	59	97
118	ytimg.com	229	41	104	141
119	ytimg.com	458	28	32	255
120	ytimg.com	491	56	108	176
121	ytimg.com	458	82	89	152
122	ytimg.com	464	57	26	162
123	ytimg.com	460	30	18	162
124	ytimg.com	459	82	85	101
125	ytimg.com	458	48	49	92
126	ytimg.com	490	29	30	184
127	ytimg.com	491	58	96	127
128	ytimg.com	490	58	94	126
129	ytimg.com	489	53	93	126
130	ytimg.com	491	52	93	127
131	ytimg.com	489	56	93	126
132	ytimg.com	490	53	94	126
133	ytimg.com	420	63	72	101
134	ytimg.com	490	54	96	132
135	ytimg.com	490	32	20	98
136	ytimg.com	458	88	101	161
137	ytimg.com	458	69	67	109
138	ytimg.com	459	55	88	101
139	ytimg.com	464	60	102	154
140	ytimg.com	22	23	26	8
141	ytimg.com	507	29	36	291
142	ytimg.com	503	29	24	104
143	ytimg.com	504	30	22	105
144	ytimg.com	229	46	80	141
145	ytimg.com	458	29	34	255
146	ytimg.com	492	62	94	186
147	ytimg.com	458	30	26	161
148	ytimg.com	464	54	97	162
149	ytimg.com	459	30	26	161
150	ytimg.com	458	30	22	92
151	ytimg.com	19	27	22	10
152	ytimg.com	490	59	99	279
153	ytimg.com	444	54	71	116
154	ytimg.com	491	57	98	127
155	ytimg.com	491	54	92	127
156	ytimg.com	491	32	20	98
157	ytimg.com	443	55	70	115
158	ytimg.com	491	53	91	127
159	ytimg.com	490	58	98	126
160	ytimg.com	491	57	102	127
161	ytimg.com	458	28	26	161
162	ytimg.com	459	30	22	110
163	ytimg.com	458	30	22	100
164	ytimg.com	19	22	14	10
165	ytimg.com	19	21	8	10
166	ytimg.com	19	21	8	10
167	ytimg.com	19	21	8	10
168	ytimg.com	465	57	98	258
169	ytimg.com	465	55	93	111
170	ytimg.com	418	61	70	99
171	ytimg.com	490	56	93	132
172	ytimg.com	418	52	75	99
173	ytimg.com	464	51	93	110
174	ytimg.com	464	54	94	110
175	ytimg.com	419	52	71	100
176	ytimg.com	19	22	8	10
177	ytimg.com	507	29	30	291
178	ytimg.com	503	29	24	104
179	ytimg.com	504	30	18	105
180	ytimg.com	229	45	80	141
181	ytimg.com	458	33	32	255
182	ytimg.com	463	47	97	161
183	ytimg.com	458	30	32	161
184	ytimg.com	489	53	101	183
185	ytimg.com	459	30	30	161
186	ytimg.com	458	30	22	92
187	ytimg.com	19	22	14	10
188	ytimg.com	444	50	76	268
189	ytimg.com	490	57	97	126
190	ytimg.com	444	54	72	116
191	ytimg.com	489	53	32	126
192	ytimg.com	490	55	92	126
193	ytimg.com	445	47	70	117
194	ytimg.com	444	47	75	116
195	ytimg.com	445	45	75	117
196	ytimg.com	444	53	71	116
197	ytimg.com	458	30	26	161
198	ytimg.com	19	22	14	10
199	ytimg.com	19	21	8	10
200	ytimg.com	19	21	8	10
201	ytimg.com	507	28	26	291
202	ytimg.com	229	44	83	140
203	ytimg.com	458	30	30	255
204	ytimg.com	489	61	105	175
205	ytimg.com	19	22	18	10
206	ytimg.com	19	21	8	10
207	ytimg.com	22	24	34	8
208	ytimg.com	22	21	18	8
209	ytimg.com	22	21	8	8
210	ytimg.com	22	21	34	8
211	ytimg.com	22	21	8	8
212	ytimg.com	22	21	34	8
213	ytimg.com	22	21	8	8
214	ytimg.com	22	21	8	8
215	ytimg.com	19	21	18	10
216	ytimg.com	507	28	26	291
217	ytimg.com	503	28	24	104
218	ytimg.com	504	30	18	105
219	ytimg.com	229	41	80	141
220	ytimg.com	458	28	30	255
221	ytimg.com	491	51	104	185
222	ytimg.com	465	55	95	111
223	ytimg.com	19	22	18	10
224	ytimg.com	419	58	72	247
225	ytimg.com	445	52	80	122
226	ytimg.com	465	56	95	111
227	ytimg.com	444	49	71	121
228	ytimg.com	465	51	93	111
229	ytimg.com	464	50	93	110
230	ytimg.com	464	51	93	110
231	ytimg.com	420	52	71	101
