num	name	http1	spdy3	delta	simple
1	golem.de	407	258	288	283
2	golem.de	481	127	110	147
3	golem.de	448	52	40	63
4	golem.de	455	46	35	66
5	golem.de	466	38	42	76
6	golem.de	461	42	39	71
7	golem.de	461	56	40	71
8	golem.de	462	41	52	83
9	golem.de	463	31	39	71
10	golem.de	451	44	39	73
11	golem.de	500	87	68	116
12	golem.de	496	50	61	100
13	golem.de	451	38	37	73
14	golem.de	451	41	33	63
15	golem.de	490	48	62	107
16	golem.de	487	43	56	92
17	golem.de	451	37	37	73
18	golem.de	451	35	33	63
19	golem.de	472	64	54	118
20	golem.de	478	47	34	63
21	golem.de	491	37	42	75
22	golem.de	499	56	72	152
23	golem.de	494	43	60	98
24	golem.de	501	51	65	105
25	golem.de	487	33	56	92
26	golem.de	477	46	39	133
27	golem.de	501	43	73	154
28	golem.de	463	65	55	84
29	golem.de	459	35	39	70
30	golem.de	499	65	71	115
31	golem.de	477	38	41	133
32	golem.de	490	44	66	144
33	golem.de	477	38	41	133
34	golem.de	477	34	33	63
35	golem.de	477	34	33	63
36	golem.de	488	39	65	142
37	golem.de	507	71	70	110
38	golem.de	495	45	61	99
39	golem.de	515	76	77	117
40	golem.de	477	37	41	133
41	golem.de	498	50	71	151
42	golem.de	477	44	41	133
43	golem.de	477	31	33	63
44	golem.de	477	34	33	63
45	golem.de	477	40	33	63
46	golem.de	477	31	33	63
47	golem.de	477	32	33	63
48	golem.de	477	32	33	63
49	golem.de	480	40	35	65
50	golem.de	480	30	35	65
51	golem.de	480	33	35	65
52	golem.de	480	32	35	65
53	golem.de	480	32	35	65
54	golem.de	480	32	35	65
55	golem.de	480	30	35	65
56	golem.de	480	32	35	65
57	golem.de	480	31	35	65
58	golem.de	480	44	35	65
59	golem.de	480	33	35	65
60	golem.de	480	33	35	65
61	golem.de	480	32	35	65
62	golem.de	480	32	35	65
63	golem.de	480	33	35	65
64	golem.de	656	133	171	279
65	golem.de	792	144	82	175
66	golem.de	750	51	111	157
67	golem.de	780	65	44	89
68	golem.de	762	42	42	73
69	golem.de	772	45	44	78
70	golem.de	749	44	30	58
71	golem.de	750	38	30	59
72	golem.de	754	44	33	63
73	golem.de	748	38	29	57
74	golem.de	749	35	29	58
75	golem.de	757	48	35	65
76	golem.de	786	81	79	327
77	golem.de	750	37	38	295
78	golem.de	754	40	33	63
79	golem.de	754	34	33	63
80	golem.de	754	35	33	63
81	golem.de	768	42	42	75
82	golem.de	587	123	102	135
83	golem.de	779	80	79	310
84	golem.de	690	69	103	337
85	golem.de	820	40	46	218
86	golem.de	695	44	43	109
87	golem.de	695	42	33	63
88	golem.de	695	37	33	63
89	golem.de	695	35	33	63
90	golem.de	695	43	33	63
91	golem.de	695	36	33	63
92	golem.de	695	38	33	63
93	golem.de	695	42	33	63
94	golem.de	695	38	33	63
95	golem.de	695	36	33	63
96	golem.de	695	35	33	63
97	golem.de	695	38	33	63
98	golem.de	695	37	33	63
99	golem.de	695	41	33	63
100	golem.de	695	43	33	63
101	golem.de	695	40	33	63
102	golem.de	690	33	30	58
103	golem.de	695	36	33	63
104	golem.de	695	41	33	63
105	golem.de	692	44	31	60
106	golem.de	696	43	34	63
107	golem.de	695	39	33	63
108	golem.de	695	37	33	63
109	golem.de	695	44	33	63
110	golem.de	695	41	33	63
111	golem.de	695	36	33	63
112	golem.de	695	35	32	63
113	golem.de	695	36	33	63
114	golem.de	695	40	33	63
115	golem.de	695	35	33	63
116	golem.de	695	41	33	63
117	golem.de	695	36	33	63
118	golem.de	695	41	33	63
119	golem.de	695	35	33	63
120	golem.de	695	38	33	63
121	golem.de	695	37	33	63
122	golem.de	695	41	33	63
123	golem.de	695	35	33	63
124	golem.de	695	43	33	63
125	golem.de	695	38	33	63
126	golem.de	695	35	33	63
127	golem.de	695	35	33	63
128	golem.de	695	38	33	63
129	golem.de	695	35	33	63
130	golem.de	697	51	34	64
131	golem.de	699	53	35	66
132	golem.de	695	38	33	63
133	golem.de	695	41	33	63
134	golem.de	790	154	123	382
135	golem.de	751	84	69	351
136	golem.de	685	50	68	100
137	golem.de	709	106	74	320
138	golem.de	717	67	72	112
139	golem.de	701	64	52	313
140	golem.de	685	41	33	63
141	golem.de	685	35	33	63
142	golem.de	685	37	33	63
