num	name	http1	spdy3	delta	simple
1	golem.de	391	230	246	199
2	golem.de	369	135	128	112
3	golem.de	380	92	114	118
4	golem.de	412	111	85	122
5	golem.de	529	72	68	213
6	golem.de	360	96	79	98
7	golem.de	559	83	90	215
8	golem.de	360	41	53	92
9	golem.de	359	40	42	75
10	golem.de	414	70	74	92
11	golem.de	362	66	74	94
12	golem.de	362	66	66	84
13	golem.de	364	63	67	86
14	golem.de	364	76	65	86
15	golem.de	361	65	65	84
16	golem.de	362	64	65	84
17	golem.de	417	65	72	94
18	golem.de	364	67	75	96
19	golem.de	567	80	128	252
20	golem.de	556	85	121	130
21	golem.de	571	65	64	109
22	golem.de	363	76	78	95
23	golem.de	362	56	66	84
24	golem.de	362	64	66	84
25	golem.de	361	47	47	84
26	golem.de	558	81	74	204
27	golem.de	362	64	69	84
28	golem.de	326	143	167	131
29	golem.de	326	24	8	34
30	golem.de	362	63	77	130
31	golem.de	364	57	67	86
32	golem.de	362	59	65	84
33	golem.de	417	70	71	94
34	golem.de	365	62	71	87
35	golem.de	417	55	71	94
36	golem.de	361	74	117	99
37	golem.de	362	61	71	100
38	golem.de	362	67	75	100
39	golem.de	362	59	73	100
40	golem.de	414	68	77	107
41	golem.de	362	62	72	100
42	golem.de	362	73	74	100
43	golem.de	364	62	74	102
44	golem.de	415	65	83	118
45	golem.de	559	83	79	217
46	golem.de	416	57	75	105
47	golem.de	363	63	74	95
48	golem.de	365	58	67	87
49	golem.de	559	70	74	205
50	golem.de	365	61	71	87
51	golem.de	417	62	72	94
52	golem.de	416	66	66	89
53	golem.de	365	60	71	87
54	golem.de	560	69	74	206
55	golem.de	365	60	72	87
56	golem.de	417	61	70	94
57	golem.de	364	56	70	86
58	golem.de	559	78	73	205
59	golem.de	363	61	70	85
60	golem.de	417	62	71	94
61	golem.de	364	60	71	86
62	golem.de	417	59	71	94
63	golem.de	363	59	70	85
64	golem.de	561	87	91	217
65	golem.de	271	71	85	83
66	golem.de	380	67	91	121
67	golem.de	391	79	93	123
68	golem.de	386	55	69	101
69	golem.de	386	43	43	79
70	golem.de	434	77	74	115
71	golem.de	411	41	44	77
72	golem.de	359	58	46	75
73	golem.de	360	51	65	84
74	golem.de	360	39	42	76
75	golem.de	417	79	77	104
