num	name	http1	spdy3	delta	simple
1	heise.de	407	257	287	283
2	heise.de	415	84	70	96
3	heise.de	401	45	33	62
4	heise.de	409	45	39	69
5	heise.de	407	43	37	67
6	heise.de	414	60	52	77
7	heise.de	425	53	56	86
8	heise.de	407	36	39	67
9	heise.de	396	37	30	57
10	heise.de	420	43	39	82
11	heise.de	411	51	45	74
12	heise.de	414	37	35	77
13	heise.de	400	40	36	64
14	heise.de	412	51	40	71
15	heise.de	419	44	44	77
16	heise.de	408	38	37	68
17	heise.de	408	27	37	68
18	heise.de	417	33	43	76
19	heise.de	412	44	40	71
20	heise.de	407	44	37	67
21	heise.de	396	34	30	57
22	heise.de	419	66	46	77
23	heise.de	419	42	46	77
24	heise.de	436	72	58	92
25	heise.de	419	43	46	77
26	heise.de	422	55	48	80
27	heise.de	418	45	44	77
28	heise.de	436	64	57	92
29	heise.de	429	62	52	86
30	heise.de	436	63	58	92
31	heise.de	438	62	59	94
32	heise.de	448	80	67	103
33	heise.de	431	57	54	88
34	heise.de	479	103	88	130
35	heise.de	464	94	79	117
36	heise.de	469	97	81	121
37	heise.de	426	57	51	84
38	heise.de	419	43	46	77
39	heise.de	445	77	64	100
40	heise.de	506	102	107	154
41	heise.de	440	61	61	96
42	heise.de	437	60	58	93
43	heise.de	441	66	61	97
44	heise.de	404	34	35	64
45	heise.de	434	59	58	91
46	heise.de	461	82	73	114
47	heise.de	441	64	63	97
48	heise.de	395	33	29	56
49	heise.de	452	76	69	106
50	heise.de	429	62	52	86
51	heise.de	429	57	52	86
52	heise.de	500	91	92	146
53	heise.de	426	64	58	87
54	heise.de	441	77	62	97
55	heise.de	432	66	55	89
56	heise.de	689	244	254	324
57	heise.de	425	60	56	93
58	heise.de	455	84	72	109
59	heise.de	452	79	69	106
60	heise.de	447	79	64	102
61	heise.de	408	56	37	68
62	heise.de	393	43	29	55
63	heise.de	407	46	39	67
64	heise.de	405	44	36	65
65	heise.de	402	38	35	63
66	heise.de	411	48	40	70
67	heise.de	412	36	40	71
68	heise.de	409	45	38	69
69	heise.de	399	35	32	60
70	heise.de	463	53	46	110
71	heise.de	434	65	58	91
72	heise.de	407	34	39	67
73	heise.de	456	41	34	107
74	heise.de	405	42	33	55
75	heise.de	504	74	36	134
76	heise.de	478	53	77	112
77	heise.de	485	53	46	79
78	heise.de	485	41	45	79
79	heise.de	485	41	45	79
80	heise.de	485	42	45	79
81	heise.de	485	42	45	79
82	heise.de	485	42	45	79
83	heise.de	485	40	46	79
84	heise.de	485	42	46	79
85	heise.de	485	42	45	79
86	heise.de	485	41	46	79
87	heise.de	485	41	45	79
88	heise.de	485	42	45	79
89	heise.de	501	60	56	93
90	heise.de	519	89	70	109
91	heise.de	507	74	63	98
92	heise.de	519	80	70	109
93	heise.de	501	65	56	93
94	heise.de	496	67	54	89
95	heise.de	467	41	33	63
96	heise.de	473	45	37	69
97	heise.de	487	52	47	81
98	heise.de	478	34	41	73
99	heise.de	549	104	54	91
100	heise.de	549	30	14	75
101	heise.de	496	66	61	89
102	heise.de	481	33	43	76
103	heise.de	854	120	316	413
104	heise.de	610	131	105	236
105	heise.de	553	46	111	154
106	heise.de	561	49	38	70
107	heise.de	557	44	35	66
108	heise.de	581	60	52	87
109	heise.de	579	62	51	85
110	heise.de	583	47	54	89
111	heise.de	636	34	20	91
112	heise.de	636	30	14	75
113	heise.de	599	78	67	103
114	heise.de	588	47	59	93
115	heise.de	574	39	48	81
116	heise.de	1088	157	439	597
117	heise.de	594	75	67	165
118	heise.de	593	39	60	98
119	heise.de	591	37	59	96
120	heise.de	603	40	66	106
121	heise.de	588	38	56	93
122	heise.de	605	39	68	108
123	doubleclick.net	447	94	85	131
124	doubleclick.net	491	68	85	125
125	doubleclick.net	539	116	124	167
126	doubleclick.net	527	38	59	94
127	doubleclick.net	531	36	61	98
128	doubleclick.net	537	48	66	103
129	doubleclick.net	555	53	78	119
130	doubleclick.net	545	48	63	128
131	doubleclick.net	549	36	61	97
132	doubleclick.net	557	36	67	104
133	doubleclick.net	545	32	59	93
134	doubleclick.net	549	32	61	97
135	doubleclick.net	526	75	65	142
136	doubleclick.net	499	38	40	63
137	doubleclick.net	555	36	78	161
138	doubleclick.net	549	98	103	152
139	doubleclick.net	573	36	88	173
140	doubleclick.net	677	94	117	306
141	doubleclick.net	685	40	105	149
142	doubleclick.net	673	40	96	139
143	doubleclick.net	677	36	99	142
144	doubleclick.net	683	40	104	147
145	doubleclick.net	701	40	116	163
146	mittelstandswiki.de	429	84	70	115
147	ligatus.com	398	63	45	70
148	ligatus.com	464	45	39	119
149	ligatus.com	450	66	106	137
150	ligatus.com	398	31	39	88
151	ligatus.com	447	65	67	131
152	ligatus.com	444	54	45	76
153	ligatus.com	433	51	37	66
154	ligatus.com	431	47	35	64
155	ligatus.com	433	42	37	66
156	ligatus.com	464	36	49	149
157	ligatus.com	484	94	96	167
158	ligatus.com	450	44	92	133
159	ligatus.com	414	33	34	102
160	ligatus.com	433	44	47	119
161	ligatus.com	455	53	57	97
162	ligatus.com	450	37	59	133
163	ligatus.com	438	52	44	82
164	ligatus.com	433	41	37	66
165	ligatus.com	433	41	37	66
166	ligatus.com	484	65	77	122
167	ligatus.com	450	36	59	133
168	ligatus.com	433	39	41	77
169	ligatus.com	455	36	57	97
170	ligatus.com	436	63	65	121
171	ligatus.com	422	43	41	74
172	ligatus.com	479	36	36	116
173	ligatus.com	442	48	88	130
174	ligatus.com	489	78	87	124
175	ligatus.com	467	49	41	79
176	ligatus.com	488	41	57	135
177	ligatus.com	471	35	41	79
178	ligatus.com	471	43	37	68
179	ligatus.com	522	51	77	124
180	ligatus.com	516	38	41	160
181	ligatus.com	582	34	39	121
182	ligatus.com	488	41	94	139
183	ligatus.com	471	44	41	79
184	ligatus.com	522	55	77	124
185	ligatus.com	469	38	39	77
186	ligatus.com	471	30	37	68
187	ligatus.com	488	38	59	135
188	ligatus.com	471	41	41	79
189	ligatus.com	493	39	57	98
190	ligatus.com	480	37	56	128
191	ligatus.com	508	53	105	140
192	ligatus.com	486	45	41	79
193	serving-sys.com	467	126	98	148
194	serving-sys.com	683	153	180	315
195	googlesyndication.com	421	74	64	108
196	googlesyndication.com	421	42	36	64
197	googlesyndication.com	416	44	32	60
198	googlesyndication.com	380	38	31	54
199	googlesyndication.com	383	37	30	56
200	googlesyndication.com	401	48	44	72
201	strato.de	400	56	49	90
202	strato.de	503	45	32	162
203	ivwbox.de	431	73	73	117
204	ivwbox.de	450	62	54	96
205	ivwbox.de	566	80	99	171
206	ivwbox.de	669	87	148	306
207	gzhls.at	396	57	47	86
208	mathtag.com	478	137	100	158
209	mathtag.com	536	80	117	160
210	adyard.de	411	49	44	99
