num	name	http1	spdy3	delta	simple
1	heise.de	280	146	159	115
2	heise.de	323	120	151	123
3	heise.de	323	66	63	63
4	heise.de	326	70	62	65
5	heise.de	325	66	61	64
6	heise.de	364	89	99	107
7	heise.de	327	65	69	93
8	heise.de	327	66	60	66
9	heise.de	324	61	60	63
10	heise.de	367	60	71	110
11	heise.de	326	66	69	92
12	heise.de	365	68	115	124
13	heise.de	326	60	73	108
14	heise.de	305	90	112	102
15	heise.de	304	68	63	63
16	heise.de	304	63	73	71
17	heise.de	304	60	62	71
18	heise.de	306	62	66	73
19	heise.de	305	55	60	63
20	heise.de	303	59	58	62
21	heise.de	305	63	59	63
22	heise.de	308	67	76	75
23	heise.de	307	35	39	56
24	heise.de	307	55	61	64
25	heise.de	308	40	43	65
26	heise.de	307	51	67	74
27	heise.de	307	38	43	65
28	heise.de	307	50	68	74
29	heise.de	307	39	43	64
30	heise.de	306	50	64	63
31	heise.de	307	50	61	64
32	heise.de	307	57	67	74
33	heise.de	308	51	67	75
34	heise.de	306	49	60	63
35	heise.de	306	50	67	73
36	heise.de	306	46	61	64
37	heise.de	305	57	65	72
38	heise.de	308	40	47	75
39	heise.de	306	47	69	73
40	heise.de	306	47	67	73
41	heise.de	307	47	60	64
42	heise.de	306	52	60	63
43	heise.de	307	47	61	64
44	heise.de	305	49	65	72
45	heise.de	307	47	66	74
46	heise.de	307	53	60	64
47	heise.de	307	49	61	64
48	heise.de	304	62	65	71
49	heise.de	307	46	67	74
50	heise.de	306	60	66	73
51	heise.de	307	54	67	74
52	heise.de	365	69	116	136
53	heise.de	306	60	92	95
54	heise.de	306	59	68	73
55	heise.de	307	60	67	81
56	heise.de	283	95	101	105
57	heise.de	307	63	73	102
58	heise.de	308	60	60	65
59	heise.de	308	62	61	65
60	heise.de	307	64	61	64
61	heise.de	304	72	97	84
62	heise.de	297	56	97	91
63	heise.de	297	23	8	32
64	heise.de	307	67	69	87
65	heise.de	297	24	26	83
66	heise.de	305	64	67	94
67	heise.de	305	33	37	56
68	heise.de	305	70	66	72
69	heise.de	304	63	59	63
70	heise.de	297	24	22	83
71	heise.de	307	59	69	96
72	heise.de	297	24	22	91
73	heise.de	363	65	67	126
74	heise.de	236	81	76	70
75	heise.de	280	45	78	112
76	heise.de	324	70	94	116
77	heise.de	307	66	91	96
78	heise.de	307	36	38	56
79	heise.de	307	36	38	56
80	heise.de	307	36	38	56
81	heise.de	307	57	61	64
82	heise.de	307	66	104	80
83	heise.de	308	44	45	65
84	heise.de	307	35	45	64
85	heise.de	307	36	39	56
86	heise.de	307	36	39	56
87	heise.de	307	35	39	56
88	heise.de	307	35	39	56
89	heise.de	306	63	69	73
90	heise.de	306	57	61	64
91	heise.de	306	61	66	73
92	heise.de	308	56	61	65
93	heise.de	307	61	67	74
94	heise.de	306	58	66	73
95	heise.de	304	64	60	63
96	heise.de	305	51	60	63
97	heise.de	307	57	66	74
98	heise.de	297	32	54	91
99	heise.de	194	42	41	21
100	heise.de	194	21	8	21
101	heise.de	297	24	26	56
102	heise.de	297	29	60	48
103	heise.de	283	27	24	86
104	heise.de	212	50	56	92
105	heise.de	304	67	91	98
106	heise.de	304	62	63	63
107	heise.de	302	62	59	61
108	heise.de	306	44	43	64
109	heise.de	307	59	65	65
110	heise.de	297	32	48	83
111	heise.de	194	31	26	21
112	heise.de	194	21	8	21
113	heise.de	308	66	77	102
114	heise.de	297	24	30	91
115	heise.de	297	29	60	48
116	heise.de	283	27	24	86
117	heise.de	304	67	91	99
118	heise.de	303	36	38	56
119	heise.de	302	62	58	63
120	heise.de	301	62	59	62
121	heise.de	302	36	37	55
122	heise.de	303	34	38	56
123	doubleclick.net	667	404	371	441
124	doubleclick.net	660	90	118	212
125	doubleclick.net	641	38	30	112
126	doubleclick.net	661	54	39	129
127	doubleclick.net	660	53	39	128
128	doubleclick.net	660	52	39	128
129	doubleclick.net	641	33	24	119
130	doubleclick.net	641	30	14	115
131	doubleclick.net	660	36	29	136
132	doubleclick.net	655	50	40	124
133	doubleclick.net	641	30	18	112
134	doubleclick.net	660	36	25	128
135	doubleclick.net	296	98	116	134
136	doubleclick.net	283	80	74	119
137	doubleclick.net	659	53	54	413
138	doubleclick.net	283	35	37	111
139	doubleclick.net	661	49	46	423
140	doubleclick.net	660	38	33	136
141	doubleclick.net	660	47	43	128
142	doubleclick.net	661	49	35	129
143	doubleclick.net	660	37	29	128
144	doubleclick.net	659	33	22	127
145	doubleclick.net	661	36	29	137
146	mittelstandswiki.de	367	117	165	132
147	ligatus.com	239	68	78	96
148	ligatus.com	233	45	49	51
149	ligatus.com	178	34	30	38
150	ligatus.com	239	32	40	53
151	ligatus.com	290	95	109	103
152	ligatus.com	291	73	84	77
153	ligatus.com	304	89	99	97
154	ligatus.com	294	79	88	78
155	ligatus.com	303	82	93	86
156	ligatus.com	233	30	54	80
157	ligatus.com	367	148	199	184
158	ligatus.com	178	23	28	67
159	ligatus.com	242	35	28	121
160	ligatus.com	304	78	107	126
161	ligatus.com	367	24	36	184
162	ligatus.com	178	25	26	67
163	ligatus.com	295	85	94	115
164	ligatus.com	303	80	95	86
165	ligatus.com	304	79	94	87
166	ligatus.com	367	29	28	184
167	ligatus.com	178	21	22	67
168	ligatus.com	294	45	73	114
169	ligatus.com	367	24	22	184
170	ligatus.com	239	45	57	96
171	ligatus.com	239	42	43	42
172	ligatus.com	233	36	48	51
173	ligatus.com	337	122	127	156
174	ligatus.com	367	28	46	184
175	ligatus.com	304	86	110	126
176	ligatus.com	337	33	145	182
177	ligatus.com	293	68	101	113
178	ligatus.com	303	68	92	86
179	ligatus.com	367	28	46	184
180	ligatus.com	239	39	59	96
181	ligatus.com	233	35	46	51
182	ligatus.com	337	29	26	156
183	ligatus.com	304	76	98	115
184	ligatus.com	367	28	26	184
185	ligatus.com	294	45	54	117
186	ligatus.com	304	64	99	87
187	ligatus.com	337	24	22	175
188	ligatus.com	304	74	98	115
189	ligatus.com	367	28	26	184
190	ligatus.com	356	46	141	202
191	ligatus.com	367	24	22	184
192	ligatus.com	304	84	107	126
193	serving-sys.com	514	264	247	311
194	serving-sys.com	514	36	106	168
195	googlesyndication.com	355	99	132	144
196	googlesyndication.com	356	74	104	99
197	googlesyndication.com	571	163	210	284
198	googlesyndication.com	490	76	90	116
199	googlesyndication.com	414	66	47	84
200	googlesyndication.com	415	67	87	98
201	strato.de	437	183	218	224
202	strato.de	437	29	14	38
203	ivwbox.de	489	139	183	276
204	ivwbox.de	253	31	30	39
205	ivwbox.de	378	33	26	110
206	ivwbox.de	378	29	14	50
207	gzhls.at	272	86	105	110
208	mathtag.com	556	275	323	381
209	mathtag.com	518	107	213	260
210	adyard.de	190	65	62	82
211	adyard.de	190	24	14	42
212	zanox.com	724	314	428	536
213	zanox.com	796	241	419	504
214	adition.com	490	230	298	320
215	adition.com	229	92	96	97
216	adition.com	216	63	62	62
217	adition.com	506	102	134	322
218	adition.com	216	57	62	85
219	adition.com	216	56	55	53
220	adition.com	218	63	62	63
221	adition.com	215	52	60	61
222	adition.com	504	62	123	326
223	adition.com	218	58	61	87
224	adition.com	214	53	60	60
225	adition.com	217	55	56	54
226	adition.com	490	53	144	320
227	adition.com	506	72	132	178
228	adition.com	504	40	118	152
229	adition.com	217	59	65	86
230	adition.com	218	55	56	54
231	adition.com	214	56	58	60
232	herrenausstatter.de	499	113	285	319
233	scorecardresearch.com	446	179	237	273
234	scorecardresearch.com	446	24	8	35
235	scorecardresearch.com	266	31	28	38
236	scorecardresearch.com	446	24	24	194
237	scorecardresearch.com	266	24	18	38
238	scorecardresearch.com	471	32	22	196
239	scorecardresearch.com	469	32	22	41
240	scorecardresearch.com	469	26	8	38
241	scorecardresearch.com	469	30	14	46
242	scorecardresearch.com	469	26	8	38
243	scorecardresearch.com	469	26	8	38
244	scorecardresearch.com	469	26	8	38
245	1822direkt.com	492	157	239	277
246	google.com	366	156	145	227
247	zanox-affiliate.de	733	200	419	544
248	active-srv02.de	589	251	378	426
