num	name	http1	spdy3	delta	simple
1	spiegel.de	415	284	288	283
2	spiegel.de	413	39	39	69
3	spiegel.de	462	66	84	115
4	spiegel.de	465	97	78	112
5	spiegel.de	462	43	41	75
6	spiegel.de	461	44	41	74
7	spiegel.de	460	36	40	73
8	spiegel.de	463	40	43	76
9	spiegel.de	467	52	45	79
10	spiegel.de	566	129	126	178
11	spiegel.de	466	65	60	91
12	spiegel.de	464	45	49	89
13	spiegel.de	476	63	67	99
14	spiegel.de	461	39	41	73
15	spiegel.de	466	45	60	91
16	spiegel.de	463	43	49	88
17	spiegel.de	476	39	51	99
18	spiegel.de	468	51	46	92
19	spiegel.de	466	42	45	91
20	spiegel.de	464	35	43	89
21	spiegel.de	466	51	44	78
22	spiegel.de	465	62	58	90
23	spiegel.de	461	43	41	86
24	spiegel.de	476	39	52	86
25	spiegel.de	466	45	45	91
26	spiegel.de	466	37	45	77
27	spiegel.de	464	47	49	89
28	spiegel.de	476	38	56	99
29	spiegel.de	466	40	45	91
30	spiegel.de	461	41	57	86
31	spiegel.de	460	55	45	85
32	spiegel.de	463	36	42	76
33	spiegel.de	465	47	49	90
34	spiegel.de	460	40	45	85
35	spiegel.de	476	41	52	99
36	spiegel.de	470	55	47	94
37	spiegel.de	476	36	52	86
38	spiegel.de	476	39	52	99
39	spiegel.de	476	36	52	86
40	spiegel.de	470	41	48	94
41	spiegel.de	459	42	40	84
42	spiegel.de	476	39	55	99
43	spiegel.de	476	36	52	86
44	spiegel.de	460	33	45	85
45	spiegel.de	461	42	42	86
46	spiegel.de	465	42	49	90
47	spiegel.de	635	105	170	269
48	spiegel.de	467	49	46	122
49	spiegel.de	466	40	53	91
50	spiegel.de	465	37	44	77
51	spiegel.de	470	43	48	94
52	spiegel.de	466	40	46	91
53	spiegel.de	455	49	41	81
54	spiegel.de	474	60	51	98
55	spiegel.de	466	42	45	91
56	spiegel.de	454	37	36	80
57	spiegel.de	466	40	45	91
58	spiegel.de	476	38	52	86
59	spiegel.de	455	38	37	81
60	spiegel.de	466	36	49	91
61	spiegel.de	466	38	45	91
62	spiegel.de	470	53	52	94
63	spiegel.de	472	37	49	84
64	spiegel.de	462	50	42	87
65	spiegel.de	466	39	45	91
66	spiegel.de	451	52	35	77
67	spiegel.de	470	45	51	94
68	spiegel.de	466	38	45	91
69	spiegel.de	461	38	44	86
70	spiegel.de	466	45	44	78
71	spiegel.de	466	39	45	91
72	spiegel.de	463	45	42	88
73	spiegel.de	457	36	39	70
74	spiegel.de	470	44	51	94
75	spiegel.de	467	39	46	78
76	spiegel.de	470	40	47	94
77	spiegel.de	465	41	48	90
78	spiegel.de	467	36	50	91
79	spiegel.de	471	54	52	95
80	spiegel.de	467	39	46	91
81	spiegel.de	470	40	52	94
82	spiegel.de	467	36	46	91
83	spiegel.de	472	47	52	96
84	spiegel.de	461	37	41	74
85	spiegel.de	470	43	51	94
86	spiegel.de	466	44	45	91
87	spiegel.de	474	55	55	98
88	spiegel.de	473	43	48	84
89	spiegel.de	467	41	46	91
90	spiegel.de	466	46	45	91
91	spiegel.de	467	40	50	91
92	spiegel.de	469	50	51	93
93	spiegel.de	460	40	41	73
94	spiegel.de	462	31	42	75
95	spiegel.de	472	48	48	84
96	spiegel.de	477	51	52	88
97	spiegel.de	467	40	45	79
98	spiegel.de	461	39	41	74
99	spiegel.de	455	36	37	69
100	spiegel.de	471	42	47	83
101	spiegel.de	467	42	50	91
102	spiegel.de	476	42	52	99
103	spiegel.de	467	39	46	91
104	spiegel.de	632	130	176	266
105	spiegel.de	741	132	120	168
106	spiegel.de	760	46	57	94
107	spiegel.de	760	45	48	81
108	spiegel.de	760	43	52	94
109	spiegel.de	756	50	53	91
110	spiegel.de	756	41	53	91
111	spiegel.de	741	37	39	77
112	spiegel.de	756	41	45	91
113	spiegel.de	760	46	47	94
114	spiegel.de	741	39	35	77
115	spiegel.de	760	43	47	94
116	spiegel.de	741	40	35	77
117	spiegel.de	755	47	45	90
118	spiegel.de	745	38	37	81
119	spiegel.de	755	46	45	90
120	spiegel.de	755	64	46	90
121	spiegel.de	755	37	42	75
122	spiegel.de	747	42	42	83
123	spiegel.de	745	33	37	69
124	spiegel.de	745	32	38	69
125	spiegel.de	756	38	47	91
126	spiegel.de	754	46	48	89
127	spiegel.de	756	44	45	91
128	spiegel.de	756	35	47	91
129	spiegel.de	1084	214	228	579
130	spiegel.de	745	39	46	282
131	spiegel.de	1085	52	279	580
132	spiegel.de	776	73	72	309
133	spiegel.de	776	42	40	73
134	spiegel.de	772	48	37	70
135	spiegel.de	774	42	39	71
136	spiegel.de	770	38	36	68
137	spiegel.de	773	39	38	70
138	spiegel.de	773	42	38	70
139	spiegel.de	788	47	48	84
140	spiegel.de	802	62	58	96
141	spiegel.de	790	50	50	85
142	spiegel.de	775	44	40	72
143	spiegel.de	780	43	45	77
144	spiegel.de	783	53	45	79
145	spiegel.de	785	36	48	81
146	spiegel.de	829	122	75	359
147	spiegel.de	708	64	126	342
148	spiegel.de	818	93	115	449
149	spiegel.de	819	43	189	420
150	spiegel.de	690	61	57	317
151	spiegel.de	690	35	47	81
152	spiegel.de	769	87	63	154
153	spiegel.de	750	74	117	157
154	spiegel.de	727	58	56	299
155	spiegel.de	750	48	52	315
156	spiegel.de	727	43	56	295
157	spiegel.de	734	43	43	301
158	spiegel.de	734	30	35	65
159	spiegel.de	734	30	35	65
160	spiegel.de	734	30	35	65
161	spiegel.de	1018	78	208	550
162	spiegel.de	727	44	48	295
163	spiegel.de	722	53	54	90
164	spiegel.de	720	46	43	88
165	spiegel.de	727	57	55	94
166	spiegel.de	738	38	46	305
167	spiegel.de	728	56	55	296
168	spiegel.de	738	34	46	305
169	spiegel.de	738	33	38	69
170	spiegel.de	1019	52	258	551
171	spiegel.de	738	34	48	305
172	spiegel.de	796	33	24	359
173	quality-channel.de	722	234	290	375
174	quality-channel.de	551	139	129	174
175	quality-channel.de	476	42	54	90
176	quality-channel.de	597	81	150	196
177	quality-channel.de	438	41	29	56
178	quality-channel.de	558	60	118	161
179	quality-channel.de	461	58	44	77
180	quality-channel.de	823	171	308	393
181	quality-channel.de	466	58	48	81
182	quality-channel.de	441	35	30	59
183	quality-channel.de	571	63	122	173
184	quality-channel.de	572	40	123	174
185	quality-channel.de	593	46	137	192
186	quality-channel.de	493	53	72	105
187	quality-channel.de	600	51	153	198
188	quality-channel.de	488	50	66	100
189	quality-channel.de	593	47	145	192
190	quality-channel.de	496	65	73	107
191	quality-channel.de	593	50	146	192
192	quality-channel.de	593	52	147	192
193	quality-channel.de	477	38	59	91
194	quality-channel.de	476	36	59	90
195	quality-channel.de	592	49	146	191
196	quality-channel.de	625	77	158	220
197	quality-channel.de	817	169	298	388
198	quality-channel.de	477	56	57	109
199	quality-channel.de	817	39	300	406
200	quality-channel.de	860	136	269	464
201	quality-channel.de	596	42	62	100
202	quality-channel.de	669	50	116	164
203	quality-channel.de	700	62	144	191
204	quality-channel.de	712	70	154	202
205	quality-channel.de	891	140	277	358
206	quality-channel.de	712	50	156	202
207	quality-channel.de	674	36	126	168
208	quality-channel.de	676	58	130	170
209	quality-channel.de	765	46	266	351
210	quality-channel.de	783	82	272	347
211	quality-channel.de	831	47	299	389
212	quality-channel.de	831	33	299	389
213	quality-channel.de	571	42	118	161
214	quality-channel.de	563	41	108	154
215	quality-channel.de	581	33	130	170
216	quality-channel.de	614	43	154	199
217	quality-channel.de	604	41	144	190
218	quality-channel.de	606	42	146	192
219	quality-channel.de	606	38	146	192
220	quality-channel.de	606	37	147	192
221	quality-channel.de	637	41	157	219
222	quality-channel.de	825	102	265	404
223	quality-channel.de	671	66	148	195
224	quality-channel.de	561	36	60	98
225	quality-channel.de	632	82	81	164
226	quality-channel.de	682	53	163	208
227	quality-channel.de	634	50	114	162
228	quality-channel.de	681	49	156	203
229	quality-channel.de	673	48	149	196
230	quality-channel.de	642	43	129	169
231	quality-channel.de	765	40	266	351
232	quality-channel.de	571	42	118	161
233	quality-channel.de	565	42	109	156
234	quality-channel.de	581	45	130	170
235	quality-channel.de	830	47	298	388
236	quality-channel.de	613	42	153	198
237	quality-channel.de	606	42	146	192
238	quality-channel.de	605	42	145	191
239	quality-channel.de	605	40	146	191
240	quality-channel.de	604	41	145	190
241	quality-channel.de	639	42	159	221
242	quality-channel.de	830	35	298	388
243	ivwbox.de	482	135	112	141
244	ivwbox.de	454	68	62	96
245	ivwbox.de	690	107	128	278
246	ivwbox.de	543	51	118	194
247	ivwbox.de	656	99	128	248
248	ivwbox.de	542	45	95	148
249	serving-sys.com	479	72	100	139
250	serving-sys.com	614	142	181	235
251	serving-sys.com	735	146	217	364
252	serving-sys.com	684	79	185	320
253	twitter.com	536	129	106	192
254	twitter.com	557	93	186	231
255	twitter.com	656	94	161	211
256	twitter.com	874	160	267	508
257	twitter.com	903	67	411	533
258	twitter.com	1242	66	393	511
259	twitter.com	557	31	24	227
260	twitter.com	809	109	237	451
261	twitter.com	838	45	359	476
262	twitter.com	1145	46	341	455
263	twitter.com	768	142	90	357
264	twitter.com	557	27	24	125
265	facebook.com	608	141	154	275
266	facebook.com	808	111	208	380
267	facebook.com	608	27	18	205
268	facebook.com	742	40	185	322
269	facebook.com	608	27	20	205
270	google-analytics.com	397	58	49	70
271	google-analytics.com	828	291	337	423
272	google-analytics.com	1093	102	459	675
273	google-analytics.com	830	60	342	445
274	google-analytics.com	990	90	407	585
275	google-analytics.com	828	53	340	443
276	fbcdn.net	600	104	196	268
277	fbcdn.net	584	47	44	72
278	fbcdn.net	584	44	40	69
279	fbcdn.net	600	44	45	86
280	fbcdn.net	584	44	45	72
281	fbcdn.net	584	44	41	69
282	fbcdn.net	584	44	42	69
283	fbcdn.net	585	49	42	70
284	fbcdn.net	606	84	74	105
285	fbcdn.net	585	45	47	86
286	fbcdn.net	690	52	249	327
287	fbcdn.net	722	58	60	97
288	questionmarket.com	563	121	95	232
289	questionmarket.com	608	65	101	142
290	dlqm.net	559	66	88	126
291	dlqm.net	559	32	76	117
292	yieldlab.net	598	55	82	163
293	yieldlab.net	598	42	61	94
294	yieldlab.net	614	80	96	205
295	yieldlab.net	613	40	60	95
296	plista.com	980	355	440	545
297	plista.com	961	146	415	515
298	plista.com	989	158	493	602
299	plista.com	960	77	415	517
300	plista.com	963	62	55	519
301	plista.com	997	96	93	549
302	plista.com	989	68	73	542
303	plista.com	969	73	71	525
304	plista.com	959	62	61	95
305	vgwort.de	519	82	64	194
306	vgwort.de	553	71	54	96
307	vgwort.de	546	64	49	148
308	metalyzer.com	906	108	83	532
309	vxcp.de	469	119	59	150
310	vxcp.de	454	38	31	57
311	vxcp.de	454	32	31	57
312	vxcp.de	461	47	35	63
313	vxcp.de	461	26	8	63
314	c-and-a.com	1003	154	148	617
315	doubleclick.net	536	157	166	209
316	doubleclick.net	509	106	102	189
317	doubleclick.net	1040	343	423	547
318	doubleclick.net	1150	130	523	664
319	adition.com	467	69	56	152
320	adition.com	462	42	45	70
321	adition.com	524	37	32	111
322	adition.com	708	172	189	283
323	adition.com	495	64	52	99
324	adition.com	495	41	48	82
325	adition.com	495	40	48	82
326	adition.com	495	39	48	82
327	adition.com	750	139	196	320
328	adition.com	495	43	48	103
329	adition.com	512	55	122	170
330	adition.com	495	40	54	155
331	adition.com	488	63	64	93
332	2mdn.net	511	83	66	187
333	2mdn.net	507	65	47	79
334	2mdn.net	537	90	68	105
335	2mdn.net	537	35	68	105
336	1822direkt.com	547	85	70	222
337	adsfac.eu	566	91	76	109
338	scorecardresearch.com	564	96	74	107
339	scorecardresearch.com	564	26	8	86
340	scorecardresearch.com	628	72	99	136
341	scorecardresearch.com	564	27	18	86
342	scorecardresearch.com	628	32	49	136
343	scorecardresearch.com	627	29	18	135
344	scorecardresearch.com	628	35	49	136
345	scorecardresearch.com	644	31	22	224
346	scorecardresearch.com	627	40	50	209
347	scorecardresearch.com	645	32	47	224
348	strato.de	523	62	49	145
349	gmads.net	569	78	79	112
350	googlesyndication.com	475	72	119	159
351	googlesyndication.com	503	43	48	82
352	googlesyndication.com	470	33	26	53
353	googlesyndication.com	1038	77	55	623
354	googlesyndication.com	1009	45	32	60
355	googlesyndication.com	1025	57	42	74
356	gstatic.com	399	91	74	96
357	google.com	637	195	207	294
