num	name	http1	spdy3	delta	simple
1	spiegel.de	651	386	424	427
2	spiegel.de	642	95	262	294
3	spiegel.de	676	113	140	294
4	spiegel.de	672	80	113	148
5	spiegel.de	503	91	144	230
6	spiegel.de	510	92	227	240
7	spiegel.de	508	77	212	229
8	spiegel.de	510	73	129	140
9	spiegel.de	504	89	218	239
10	spiegel.de	675	360	438	430
11	spiegel.de	448	82	103	268
12	spiegel.de	503	60	116	250
13	spiegel.de	447	57	94	240
14	spiegel.de	447	44	56	93
15	spiegel.de	448	47	89	130
16	spiegel.de	509	69	112	251
17	spiegel.de	448	48	82	241
18	spiegel.de	509	82	212	251
19	spiegel.de	447	48	84	240
20	spiegel.de	507	51	79	249
21	spiegel.de	503	72	145	161
22	spiegel.de	541	130	295	354
23	spiegel.de	449	52	84	252
24	spiegel.de	448	45	51	130
25	spiegel.de	447	50	82	120
26	spiegel.de	448	44	77	121
27	spiegel.de	507	80	148	262
28	spiegel.de	449	46	64	255
29	spiegel.de	447	47	85	129
30	spiegel.de	449	45	81	131
31	spiegel.de	503	76	156	281
32	spiegel.de	503	61	106	230
33	spiegel.de	448	44	90	273
34	spiegel.de	511	69	112	243
35	spiegel.de	447	50	84	231
36	spiegel.de	447	44	83	129
37	spiegel.de	447	45	84	129
38	spiegel.de	447	42	76	129
39	spiegel.de	447	39	47	120
40	spiegel.de	448	40	84	121
41	spiegel.de	501	64	114	261
42	spiegel.de	448	47	95	254
43	spiegel.de	447	42	88	129
44	spiegel.de	508	62	113	281
45	spiegel.de	448	44	86	273
46	spiegel.de	447	43	57	129
47	spiegel.de	325	107	94	156
48	spiegel.de	449	45	84	269
49	spiegel.de	447	48	89	129
50	spiegel.de	449	36	32	131
51	spiegel.de	448	41	52	121
52	spiegel.de	448	45	51	130
53	spiegel.de	507	77	115	285
54	spiegel.de	448	40	53	273
55	spiegel.de	448	39	83	130
56	spiegel.de	505	64	129	283
57	spiegel.de	447	40	83	272
58	spiegel.de	448	41	78	121
59	spiegel.de	512	66	106	285
60	spiegel.de	448	41	60	273
61	spiegel.de	447	42	83	129
62	spiegel.de	508	65	151	250
63	spiegel.de	502	53	120	221
64	spiegel.de	446	53	77	239
65	spiegel.de	448	47	84	130
66	spiegel.de	586	139	258	276
67	spiegel.de	448	41	62	173
68	spiegel.de	447	42	51	129
69	spiegel.de	511	64	118	284
70	spiegel.de	502	56	87	273
71	spiegel.de	447	45	84	240
72	spiegel.de	503	69	100	250
73	spiegel.de	669	82	107	372
74	spiegel.de	447	45	95	162
75	spiegel.de	448	43	84	130
76	spiegel.de	447	45	110	137
77	spiegel.de	502	71	110	249
78	spiegel.de	449	46	60	242
79	spiegel.de	508	69	110	250
80	spiegel.de	448	41	85	241
81	spiegel.de	447	49	92	137
82	spiegel.de	449	44	85	122
83	spiegel.de	508	68	103	250
84	spiegel.de	508	52	99	230
85	spiegel.de	446	47	58	239
86	spiegel.de	447	55	94	139
87	spiegel.de	504	85	223	251
88	spiegel.de	509	80	140	239
89	spiegel.de	449	40	51	242
90	spiegel.de	505	54	41	260
91	spiegel.de	448	46	62	254
92	spiegel.de	505	61	106	247
93	spiegel.de	502	72	111	251
94	spiegel.de	509	54	88	162
95	spiegel.de	507	63	99	139
96	spiegel.de	504	56	106	248
97	spiegel.de	510	64	109	163
98	spiegel.de	502	63	88	229
99	spiegel.de	511	72	144	267
100	spiegel.de	509	61	88	261
101	spiegel.de	448	44	99	241
102	spiegel.de	447	46	86	137
103	spiegel.de	448	39	56	130
104	spiegel.de	644	107	133	300
105	spiegel.de	586	69	114	149
106	spiegel.de	447	46	76	172
107	spiegel.de	447	43	50	120
108	spiegel.de	447	42	94	120
109	spiegel.de	449	48	92	131
110	spiegel.de	449	36	56	94
111	spiegel.de	584	73	145	274
112	spiegel.de	448	37	34	164
113	spiegel.de	448	43	52	130
114	spiegel.de	688	75	114	306
115	spiegel.de	448	51	54	151
116	spiegel.de	584	75	138	284
117	spiegel.de	449	44	54	183
118	spiegel.de	680	84	121	332
119	spiegel.de	449	46	86	176
120	spiegel.de	541	129	209	332
121	spiegel.de	541	75	123	251
122	spiegel.de	506	65	126	284
123	spiegel.de	679	72	124	407
124	spiegel.de	674	74	117	317
125	spiegel.de	540	55	93	331
126	spiegel.de	577	69	98	359
127	spiegel.de	448	38	64	138
128	spiegel.de	542	52	93	333
129	spiegel.de	835	462	449	570
130	spiegel.de	680	84	121	429
131	spiegel.de	325	102	38	159
132	spiegel.de	668	72	112	421
133	spiegel.de	626	74	107	258
134	spiegel.de	667	66	104	293
135	spiegel.de	502	66	119	221
136	spiegel.de	503	57	112	222
137	spiegel.de	504	65	82	223
138	spiegel.de	502	69	133	229
