num	name	http1	spdy3	delta	simple
1	t-online.de	410	261	289	286
2	t-online.de	457	106	110	143
3	t-online.de	433	59	60	86
4	t-online.de	443	52	56	91
5	t-online.de	461	38	63	111
6	t-online.de	439	41	58	91
7	t-online.de	437	49	53	86
8	t-online.de	435	47	52	84
9	t-online.de	461	53	61	111
10	t-online.de	431	45	53	84
11	t-online.de	434	43	51	84
12	t-online.de	424	64	50	90
13	t-online.de	431	33	43	86
14	t-online.de	424	29	48	80
15	t-online.de	428	64	50	93
16	t-online.de	439	79	63	102
17	t-online.de	455	54	43	90
18	t-online.de	494	80	67	118
19	t-online.de	428	44	54	93
20	t-online.de	513	59	86	161
21	t-online.de	503	39	43	91
22	t-online.de	517	71	85	138
23	t-online.de	486	57	46	77
24	t-online.de	477	39	38	70
25	t-online.de	479	41	39	71
26	t-online.de	427	66	69	92
27	t-online.de	482	111	99	140
28	t-online.de	475	100	94	134
29	t-online.de	544	152	130	195
30	t-online.de	434	62	51	83
31	t-online.de	509	41	44	157
32	t-online.de	479	42	40	71
33	t-online.de	532	61	57	117
34	t-online.de	510	119	109	165
35	t-online.de	504	102	97	144
36	t-online.de	456	79	64	102
37	t-online.de	485	94	83	127
38	t-online.de	519	40	54	166
39	t-online.de	487	92	94	145
40	t-online.de	521	50	52	168
41	t-online.de	484	94	91	142
42	t-online.de	485	44	51	137
43	t-online.de	460	82	76	121
44	t-online.de	441	47	55	89
45	t-online.de	496	97	91	137
46	t-online.de	503	36	42	152
47	t-online.de	480	103	102	139
48	t-online.de	489	114	100	147
49	t-online.de	506	36	40	154
50	t-online.de	479	113	105	138
51	t-online.de	443	72	62	106
52	t-online.de	461	72	68	106
53	t-online.de	680	236	239	314
54	t-online.de	460	72	73	121
55	t-online.de	488	42	57	140
56	t-online.de	501	31	59	91
57	t-online.de	450	61	68	112
58	t-online.de	486	95	84	128
59	t-online.de	761	235	301	378
60	t-online.de	526	119	119	179
61	t-online.de	496	97	92	137
62	t-online.de	466	74	71	111
63	t-online.de	560	136	132	193
64	t-online.de	531	116	115	168
65	t-online.de	761	64	56	378
66	t-online.de	466	80	79	126
67	t-online.de	763	40	51	379
68	t-online.de	785	60	101	372
69	t-online.de	491	89	100	148
70	t-online.de	461	68	67	106
71	t-online.de	779	105	127	394
72	t-online.de	459	76	76	120
73	t-online.de	449	58	60	96
74	t-online.de	460	71	68	105
75	t-online.de	503	109	96	143
76	t-online.de	795	109	104	408
77	t-online.de	796	66	95	137
78	t-online.de	429	54	54	94
79	t-online.de	495	96	89	136
80	t-online.de	429	44	47	78
81	t-online.de	489	96	87	131
82	t-online.de	429	32	46	78
83	t-online.de	462	76	67	107
84	t-online.de	504	102	96	144
85	t-online.de	494	94	89	135
86	t-online.de	734	75	74	355
87	t-online.de	436	56	62	100
88	t-online.de	459	76	67	105
89	t-online.de	434	59	51	83
90	t-online.de	466	68	72	111
91	t-online.de	465	73	71	110
92	t-online.de	480	84	80	123
93	t-online.de	492	88	89	133
94	t-online.de	425	48	45	75
95	t-online.de	728	90	83	334
96	t-online.de	707	74	64	102
97	t-online.de	1143	235	355	713
98	t-online.de	779	44	87	140
99	t-online.de	796	62	95	137
100	t-online.de	779	37	82	122
101	t-online.de	796	56	95	137
102	t-online.de	793	52	116	406
103	t-online.de	687	51	61	314
104	t-online.de	808	45	124	419
105	t-online.de	823	39	129	406
106	t-online.de	779	55	92	394
107	t-online.de	686	61	58	313
108	t-online.de	686	52	49	84
109	t-online.de	681	50	46	79
110	t-online.de	681	49	46	79
111	t-online.de	687	51	50	84
112	t-online.de	687	47	50	84
113	t-online.de	796	69	103	409
114	t-online.de	769	140	88	389
115	t-online.de	733	56	42	75
116	t-online.de	801	111	151	425
117	t-online.de	790	42	47	78
118	t-online.de	801	51	49	84
119	t-online.de	788	38	41	73
120	t-online.de	799	51	48	83
121	t-online.de	805	52	53	88
122	t-online.de	797	35	47	81
123	t-online.de	792	39	44	77
124	t-online.de	811	58	56	93
125	t-online.de	862	116	100	391
126	t-online.de	856	49	65	104
127	t-online.de	840	48	54	90
128	t-online.de	839	44	53	89
129	t-online.de	867	73	147	491
130	t-online.de	714	65	57	337
131	t-online.de	811	61	90	422
132	t-online.de	861	45	48	465
133	t-online.de	774	74	68	390
134	t-online.de	828	71	98	154
135	t-online.de	864	48	48	468
136	t-online.de	818	59	114	428
137	t-online.de	819	48	82	122
138	t-online.de	835	64	94	136
139	t-online.de	792	82	68	117
140	t-online.de	819	40	86	140
141	t-online.de	837	65	96	138
142	t-online.de	836	61	95	137
143	t-online.de	819	115	84	411
144	t-online.de	1174	243	326	721
145	t-online.de	1215	124	104	147
146	t-online.de	1216	49	95	139
147	t-online.de	1215	58	95	138
148	t-online.de	1216	53	96	139
149	t-online.de	1217	45	96	140
150	t-online.de	1220	77	60	779
