num	name	http1	spdy3	delta	simple
1	t-online.de	470	297	301	286
2	t-online.de	485	135	150	211
3	t-online.de	492	89	128	190
4	t-online.de	492	87	119	189
5	t-online.de	485	81	120	210
6	t-online.de	489	75	81	231
7	t-online.de	493	77	101	190
8	t-online.de	490	75	98	188
9	t-online.de	483	71	103	208
10	t-online.de	492	77	84	216
11	t-online.de	493	77	83	209
12	t-online.de	627	153	163	287
13	t-online.de	407	100	142	135
14	t-online.de	406	66	71	134
15	t-online.de	502	108	143	243
16	t-online.de	611	117	137	273
17	t-online.de	536	67	93	209
18	t-online.de	538	55	73	180
19	t-online.de	499	75	97	199
20	t-online.de	623	70	84	283
21	t-online.de	536	54	72	188
22	t-online.de	524	91	126	174
23	t-online.de	335	88	125	119
24	t-online.de	333	60	78	88
25	t-online.de	334	46	56	81
26	t-online.de	306	84	84	79
27	t-online.de	394	119	157	225
28	t-online.de	366	153	173	185
29	t-online.de	396	64	118	227
30	t-online.de	394	76	120	177
31	t-online.de	610	84	145	316
32	t-online.de	322	66	101	98
33	t-online.de	521	69	130	235
34	t-online.de	397	83	117	225
35	t-online.de	394	62	99	177
36	t-online.de	395	74	91	143
37	t-online.de	396	67	100	171
38	t-online.de	523	65	91	253
39	t-online.de	396	65	104	217
40	t-online.de	610	67	98	308
41	t-online.de	394	70	108	215
42	t-online.de	332	66	89	122
43	t-online.de	397	67	105	217
44	t-online.de	402	89	121	190
45	t-online.de	394	54	75	175
46	t-online.de	523	62	91	253
47	t-online.de	511	115	139	279
48	t-online.de	312	90	115	112
49	t-online.de	524	50	84	259
50	t-online.de	342	248	232	233
51	t-online.de	398	84	110	215
52	t-online.de	423	83	79	183
53	t-online.de	241	105	121	102
54	t-online.de	396	69	105	231
55	t-online.de	331	57	68	121
56	t-online.de	333	55	64	98
57	t-online.de	394	55	84	215
58	t-online.de	396	64	101	171
59	t-online.de	499	119	153	343
60	t-online.de	423	71	103	244
61	t-online.de	425	70	79	174
62	t-online.de	394	60	95	169
63	t-online.de	401	60	99	181
64	t-online.de	396	57	103	185
65	t-online.de	611	62	106	317
66	t-online.de	423	85	104	229
67	t-online.de	535	65	78	264
68	t-online.de	538	55	70	155
69	t-online.de	424	75	107	230
70	t-online.de	402	77	101	198
71	t-online.de	498	35	37	342
72	t-online.de	402	73	99	218
73	t-online.de	398	74	104	168
74	t-online.de	423	76	98	183
75	t-online.de	426	77	98	156
76	t-online.de	127	40	32	49
77	t-online.de	496	32	22	312
78	t-online.de	393	72	105	229
79	t-online.de	396	62	102	197
80	t-online.de	430	78	103	203
81	t-online.de	426	69	101	170
82	t-online.de	423	68	82	198
83	t-online.de	396	75	102	170
84	t-online.de	396	60	99	171
85	t-online.de	430	63	83	203
86	t-online.de	387	125	171	173
87	t-online.de	425	65	91	245
88	t-online.de	423	63	81	172
89	t-online.de	393	75	105	195
90	t-online.de	397	73	103	180
91	t-online.de	423	71	103	191
92	t-online.de	426	63	103	182
93	t-online.de	431	69	101	175
94	t-online.de	398	86	108	195
95	t-online.de	394	66	102	196
96	t-online.de	404	78	105	174
97	t-online.de	289	97	140	106
98	t-online.de	499	34	42	343
99	t-online.de	496	29	14	42
100	t-online.de	498	33	19	43
101	t-online.de	496	26	14	42
102	t-online.de	620	87	112	339
103	t-online.de	396	65	92	208
104	t-online.de	535	61	82	264
105	t-online.de	535	60	76	182
106	t-online.de	498	33	37	341
107	t-online.de	425	86	112	227
108	t-online.de	397	75	102	180
109	t-online.de	396	78	102	179
110	t-online.de	424	75	104	192
111	t-online.de	392	74	98	185
112	t-online.de	424	78	102	192
113	t-online.de	496	28	26	340
114	t-online.de	418	127	165	172
115	t-online.de	395	111	110	119
116	t-online.de	545	100	107	162
117	t-online.de	386	84	97	100
118	t-online.de	335	93	100	104
119	t-online.de	333	67	51	78
120	t-online.de	334	71	73	78
121	t-online.de	380	72	101	105
122	t-online.de	334	67	62	75
123	t-online.de	556	87	98	202
124	t-online.de	336	71	64	105
125	t-online.de	606	95	157	241
126	t-online.de	606	26	30	49
127	t-online.de	335	76	90	104
128	t-online.de	334	77	84	83
129	t-online.de	608	78	71	310
130	t-online.de	501	102	112	249
131	t-online.de	498	34	33	341
132	t-online.de	523	80	97	267
133	t-online.de	330	72	111	117
134	t-online.de	496	30	32	317
135	t-online.de	607	79	86	328
136	t-online.de	499	32	33	342
137	t-online.de	499	31	19	44
138	t-online.de	127	23	22	23
139	t-online.de	319	78	107	114
140	t-online.de	498	34	33	341
141	t-online.de	127	21	22	23
142	t-online.de	496	29	18	312
143	t-online.de	259	70	93	112
144	t-online.de	499	33	34	301
145	t-online.de	258	28	24	112
146	t-online.de	87	29	14	19
147	t-online.de	87	21	8	19
148	t-online.de	87	21	8	19
149	t-online.de	87	21	8	19
150	t-online.de	615	117	147	336
151	t-online.de	470	81	84	226
152	t-online.de	483	104	127	236
153	t-online.de	486	80	98	184
154	t-online.de	492	91	103	216
155	t-online.de	324	39	39	189
156	t-online.de	426	81	112	246
157	t-online.de	384	82	92	161
158	t-online.de	242	100	83	103
159	t-online.de	386	75	98	223
160	t-online.de	397	70	99	172
161	t-online.de	127	23	28	49
162	t-online.de	424	68	101	245
163	t-online.de	424	74	100	173
164	t-online.de	510	89	130	264
165	t-online.de	513	85	121	227
166	t-online.de	385	66	96	167
167	t-online.de	426	76	100	186
168	t-online.de	510	89	129	299
169	t-online.de	485	84	92	239
170	t-online.de	424	67	106	230
171	t-online.de	325	33	39	191
172	t-online.de	319	75	108	113
173	t-online.de	424	68	109	245
174	t-online.de	426	85	98	156
175	t-online.de	512	79	129	274
176	t-online.de	386	66	94	159
177	t-online.de	127	23	28	49
178	t-online.de	386	64	97	223
179	t-online.de	325	32	37	191
180	t-online.de	415	74	96	218
181	t-online.de	379	126	115	166
182	t-online.de	414	81	80	217
183	t-online.de	414	73	94	146
184	t-online.de	127	23	28	49
185	t-online.de	324	34	27	164
186	t-online.de	395	81	104	212
187	t-online.de	320	71	110	115
188	t-online.de	386	67	99	204
189	t-online.de	512	79	102	266
190	t-online.de	432	94	108	210
191	t-online.de	424	68	102	168
192	t-online.de	127	23	28	49
193	t-online.de	377	67	103	164
194	t-online.de	325	34	37	190
195	t-online.de	413	65	79	235
196	t-online.de	415	63	76	165
197	t-online.de	127	21	26	49
198	t-online.de	324	33	27	164
199	t-online.de	337	79	84	129
200	t-online.de	479	66	85	293
201	t-online.de	324	32	37	189
202	t-online.de	318	60	106	112
203	t-online.de	127	23	26	49
204	t-online.de	479	55	75	294
205	t-online.de	476	54	46	185
206	t-online.de	322	31	26	188
207	t-online.de	607	78	85	328
208	t-online.de	325	31	34	190
209	t-online.de	324	29	19	35
210	t-online.de	127	23	22	23
211	t-online.de	339	61	87	132
212	t-online.de	322	28	32	188
213	t-online.de	127	21	22	23
