num	name	http1	spdy3	delta	simple
1	vimeo.com	408	259	288	284
2	vimeo.com	404	27	23	48
3	vimeo.com	872	360	419	500
4	vimeo.com	899	75	283	490
5	vimeo.com	555	62	59	226
6	vimeo.com	642	46	30	124
7	vimeo.com	877	93	260	337
8	vimeo.com	555	29	50	226
9	vimeo.com	665	51	38	144
10	vimeo.com	928	91	293	382
11	vimeo.com	555	29	50	226
12	vimeo.com	666	49	31	145
13	vimeo.com	882	84	265	342
14	vimeo.com	576	53	66	245
15	vimeo.com	691	53	42	148
16	vimeo.com	972	115	318	588
17	vimeo.com	733	98	143	338
18	vimeo.com	1011	81	318	397
19	vimeo.com	576	37	50	245
20	vimeo.com	638	55	45	106
21	vimeo.com	680	33	24	107
22	vimeo.com	894	66	245	334
23	vimeocdn.com	448	97	92	119
24	vimeocdn.com	424	54	38	70
25	vimeocdn.com	424	43	55	86
26	vimeocdn.com	407	35	37	68
27	vimeocdn.com	415	46	45	75
28	vimeocdn.com	439	45	54	99
29	vimeocdn.com	433	46	46	77
30	vimeocdn.com	412	56	46	76
31	vimeocdn.com	405	55	52	78
32	vimeocdn.com	405	38	37	66
33	vimeocdn.com	405	38	37	66
34	vimeocdn.com	413	50	48	85
35	vimeocdn.com	396	44	35	70
36	vimeocdn.com	418	40	49	90
37	vimeocdn.com	405	45	41	78
38	vimeocdn.com	413	34	47	85
39	vimeocdn.com	405	30	41	78
40	vimeocdn.com	411	36	45	84
41	vimeocdn.com	414	36	43	74
42	vimeocdn.com	406	45	38	67
43	vimeocdn.com	395	45	31	57
44	vimeocdn.com	416	37	44	76
45	vimeocdn.com	404	34	36	65
46	vimeocdn.com	404	30	36	65
47	vimeocdn.com	413	46	41	73
48	vimeocdn.com	411	43	41	71
49	vimeocdn.com	416	42	44	76
50	vimeocdn.com	415	33	43	75
51	vimeocdn.com	415	30	43	75
52	vimeocdn.com	439	40	53	115
53	vimeocdn.com	395	30	27	52
54	vimeocdn.com	415	47	41	78
55	vimeocdn.com	417	44	42	80
56	vimeocdn.com	418	36	39	69
57	vimeocdn.com	412	32	35	63
58	vimeocdn.com	418	31	39	69
59	vimeocdn.com	415	34	37	66
60	vimeocdn.com	417	32	38	68
61	vimeocdn.com	421	35	40	71
62	vimeocdn.com	415	45	41	78
63	vimeocdn.com	415	34	41	78
64	vimeocdn.com	414	37	36	65
65	vimeocdn.com	411	31	34	63
66	vimeocdn.com	415	32	37	66
67	vimeocdn.com	418	37	38	69
68	vimeocdn.com	419	38	40	70
69	vimeocdn.com	454	39	54	128
70	vimeocdn.com	432	35	43	73
71	vimeocdn.com	427	48	40	77
72	vimeocdn.com	427	39	37	65
73	vimeocdn.com	428	40	37	66
74	vimeocdn.com	428	37	37	66
75	vimeocdn.com	428	38	37	66
76	vimeocdn.com	426	40	36	64
77	vimeocdn.com	428	39	37	66
78	vimeocdn.com	427	39	37	65
79	vimeocdn.com	449	55	61	136
80	vimeocdn.com	416	32	41	70
81	vimeocdn.com	425	44	44	74
82	vimeocdn.com	416	43	41	78
83	vimeocdn.com	408	40	32	59
84	vimeocdn.com	455	34	54	141
85	vimeocdn.com	464	44	48	81
86	vimeocdn.com	439	44	45	76
87	vimeocdn.com	440	40	43	73
88	vimeocdn.com	444	48	44	77
89	vimeocdn.com	436	40	39	70
90	vimeocdn.com	450	67	50	82
91	vimeocdn.com	463	53	57	93
92	vimeocdn.com	473	102	84	140
93	google-analytics.com	392	55	47	67
94	google-analytics.com	880	341	382	473
95	google-analytics.com	908	79	404	497
96	google-analytics.com	881	85	378	490
97	google-analytics.com	935	84	405	537
98	google-analytics.com	888	74	384	496
99	google-analytics.com	956	97	425	555
100	google-analytics.com	1005	77	459	559
101	google-analytics.com	880	56	386	489
102	scorecardresearch.com	395	59	44	70
103	scorecardresearch.com	512	91	108	152
104	scorecardresearch.com	574	77	150	200
105	scorecardresearch.com	601	53	123	194
106	scorecardresearch.com	663	55	156	248
107	scorecardresearch.com	632	52	144	221
108	scorecardresearch.com	689	54	179	271
109	scorecardresearch.com	631	41	154	220
110	doubleclick.net	520	144	89	198
111	doubleclick.net	634	108	139	220
112	doubleclick.net	613	50	80	140
113	doubleclick.net	645	45	91	168
114	imrworldwide.com	576	159	191	247
115	imrworldwide.com	662	113	164	205
116	2mdn.net	494	67	128	172
117	2mdn.net	482	51	112	152
118	2mdn.net	498	38	124	166
119	amazonaws.com	421	61	36	108
