num	name	http1	spdy3	delta	simple
1	vimeo.com	498	284	301	274
2	vimeo.com	500	154	168	191
3	vimeo.com	360	174	187	158
4	vimeo.com	360	32	53	57
5	vimeo.com	437	117	132	222
6	vimeo.com	528	93	126	231
7	vimeo.com	360	82	109	158
8	vimeo.com	437	41	81	222
9	vimeo.com	529	52	79	236
10	vimeo.com	360	33	71	158
11	vimeo.com	437	37	76	222
12	vimeo.com	529	46	83	244
13	vimeo.com	360	34	65	158
14	vimeo.com	437	75	123	222
15	vimeo.com	528	49	61	223
16	vimeo.com	360	53	127	158
17	vimeo.com	505	57	77	283
18	vimeo.com	360	32	65	156
19	vimeo.com	437	40	81	222
20	vimeo.com	509	265	295	280
21	vimeo.com	500	48	82	285
22	vimeo.com	360	34	71	158
23	vimeocdn.com	357	117	119	131
24	vimeocdn.com	390	107	83	132
25	vimeocdn.com	371	92	120	111
26	vimeocdn.com	399	87	102	135
27	vimeocdn.com	373	54	86	112
28	vimeocdn.com	359	73	106	100
29	vimeocdn.com	355	54	100	97
30	vimeocdn.com	355	97	109	97
31	vimeocdn.com	401	223	201	203
32	vimeocdn.com	401	161	151	173
33	vimeocdn.com	401	164	141	173
34	vimeocdn.com	359	88	99	115
35	vimeocdn.com	402	170	152	195
36	vimeocdn.com	359	35	50	115
37	vimeocdn.com	402	159	151	195
38	vimeocdn.com	359	38	47	115
39	vimeocdn.com	401	148	131	194
40	vimeocdn.com	359	36	46	115
41	vimeocdn.com	359	37	39	62
42	vimeocdn.com	397	84	85	120
43	vimeocdn.com	431	143	124	122
44	vimeocdn.com	439	64	57	154
45	vimeocdn.com	395	56	80	118
46	vimeocdn.com	394	39	39	74
47	vimeocdn.com	438	46	47	107
48	vimeocdn.com	391	47	84	111
49	vimeocdn.com	360	38	53	101
50	vimeocdn.com	360	43	49	84
51	vimeocdn.com	314	50	54	80
52	vimeocdn.com	357	54	90	125
53	vimeocdn.com	370	70	93	91
54	vimeocdn.com	401	169	156	203
55	vimeocdn.com	397	74	88	147
56	vimeocdn.com	314	58	79	80
57	vimeocdn.com	440	53	82	147
58	vimeocdn.com	360	53	78	84
59	vimeocdn.com	314	48	78	80
60	vimeocdn.com	396	55	107	140
61	vimeocdn.com	313	53	82	79
62	vimeocdn.com	401	172	174	202
63	vimeocdn.com	396	54	85	147
64	vimeocdn.com	313	48	81	87
65	vimeocdn.com	360	52	78	102
66	vimeocdn.com	313	51	100	87
67	vimeocdn.com	360	49	78	102
68	vimeocdn.com	314	46	83	88
69	vimeocdn.com	355	57	91	123
70	vimeocdn.com	357	92	105	106
71	vimeocdn.com	401	176	155	203
72	vimeocdn.com	401	155	141	173
73	vimeocdn.com	401	163	145	173
74	vimeocdn.com	401	160	144	173
75	vimeocdn.com	401	162	143	173
76	vimeocdn.com	401	153	141	173
77	vimeocdn.com	401	156	142	173
78	vimeocdn.com	402	154	143	174
79	vimeocdn.com	357	87	111	131
80	vimeocdn.com	356	83	99	98
81	vimeocdn.com	372	60	104	112
82	vimeocdn.com	402	160	154	204
83	vimeocdn.com	402	161	149	182
84	vimeocdn.com	357	51	89	131
85	vimeocdn.com	357	75	99	91
86	vimeocdn.com	355	61	84	105
87	vimeocdn.com	372	65	108	119
88	vimeocdn.com	357	61	85	106
89	vimeocdn.com	356	85	98	89
90	vimeocdn.com	404	114	115	147
91	vimeocdn.com	404	72	85	99
92	vimeocdn.com	412	100	108	142
93	google-analytics.com	343	125	150	123
94	google-analytics.com	387	137	157	141
95	google-analytics.com	387	27	20	49
96	google-analytics.com	340	53	49	52
97	google-analytics.com	340	28	20	44
98	google-analytics.com	340	27	21	44
99	google-analytics.com	340	30	20	44
100	google-analytics.com	340	27	20	44
101	google-analytics.com	340	27	21	44
102	scorecardresearch.com	284	68	85	120
103	scorecardresearch.com	607	291	309	340
104	scorecardresearch.com	612	41	32	42
105	scorecardresearch.com	612	30	14	50
106	scorecardresearch.com	612	32	14	50
107	scorecardresearch.com	612	32	14	50
108	scorecardresearch.com	612	30	14	50
109	scorecardresearch.com	612	30	14	50
110	doubleclick.net	414	219	234	245
111	doubleclick.net	413	43	47	53
112	doubleclick.net	413	38	49	53
113	doubleclick.net	413	36	49	53
114	imrworldwide.com	616	308	365	373
115	imrworldwide.com	334	34	28	37
116	2mdn.net	317	103	135	127
117	2mdn.net	320	76	105	96
118	2mdn.net	320	58	93	87
119	amazonaws.com	240	125	125	138
