num	name	http1	spdy3	delta	simple
1	web.de	405	256	286	281
2	web.de	435	99	92	118
3	web.de	434	55	53	81
4	web.de	485	62	48	145
5	web.de	414	51	50	83
6	web.de	431	52	41	74
7	web.de	420	38	34	64
8	web.de	423	35	36	67
9	web.de	416	36	31	61
10	web.de	427	48	38	70
11	web.de	451	83	69	100
12	web.de	427	46	44	79
13	web.de	422	37	35	66
14	web.de	449	55	61	98
15	web.de	449	38	57	91
16	web.de	449	34	57	91
17	web.de	420	40	38	73
18	web.de	434	33	43	77
19	web.de	449	35	61	98
20	web.de	430	50	45	82
21	web.de	417	36	32	62
22	web.de	432	48	42	75
23	web.de	422	38	35	66
24	web.de	449	44	61	98
25	web.de	424	41	41	77
26	web.de	449	39	61	98
27	web.de	425	46	41	77
28	web.de	449	40	61	98
29	web.de	449	34	57	91
30	web.de	449	33	57	91
31	web.de	442	64	53	92
32	web.de	424	32	37	68
33	web.de	428	41	40	71
34	web.de	425	36	37	69
35	web.de	416	32	31	61
36	web.de	422	30	35	66
37	web.de	449	42	61	98
38	web.de	449	34	57	91
39	web.de	425	43	41	77
40	web.de	449	37	61	98
41	web.de	423	36	41	76
42	web.de	449	40	61	98
43	web.de	424	36	41	77
44	web.de	426	36	38	70
45	web.de	449	40	61	98
46	web.de	423	37	37	68
47	web.de	419	40	37	72
48	web.de	427	35	39	70
49	web.de	423	39	36	67
50	web.de	449	39	61	98
51	web.de	420	37	39	73
52	web.de	449	37	61	98
53	web.de	451	38	58	92
54	web.de	415	38	34	69
55	web.de	451	33	63	100
56	web.de	435	52	47	86
57	web.de	449	33	61	98
58	web.de	449	33	57	91
59	web.de	451	38	58	92
60	web.de	451	37	58	92
61	web.de	423	42	37	68
62	web.de	423	36	37	68
63	web.de	451	38	59	92
64	web.de	423	38	37	68
65	web.de	423	36	37	68
66	web.de	451	36	58	92
67	web.de	423	38	37	68
68	web.de	423	33	36	68
69	web.de	420	39	38	73
70	web.de	419	31	33	63
71	web.de	436	44	45	78
72	web.de	420	30	34	64
73	web.de	423	41	41	76
74	web.de	423	36	37	68
75	web.de	421	40	38	74
76	web.de	423	40	41	76
77	web.de	423	39	37	68
78	web.de	422	41	39	75
79	web.de	423	38	41	76
80	web.de	423	32	37	68
81	web.de	431	42	45	83
82	web.de	423	39	41	76
83	web.de	423	36	37	68
84	web.de	434	40	47	85
85	web.de	423	40	41	76
86	web.de	419	35	37	72
87	web.de	423	34	41	76
88	web.de	613	152	212	253
89	web.de	686	121	70	316
90	web.de	627	36	43	266
91	web.de	633	46	38	69
92	web.de	685	98	50	126
93	web.de	712	108	123	360
94	web.de	712	37	46	78
95	web.de	712	49	46	78
96	web.de	712	38	46	78
97	web.de	712	42	46	78
98	web.de	710	38	45	77
99	web.de	710	32	45	77
100	web.de	710	32	45	77
101	web.de	710	38	45	77
102	web.de	712	46	46	78
103	web.de	712	33	46	78
104	web.de	712	40	46	78
105	web.de	712	43	46	78
106	web.de	712	40	46	78
107	web.de	712	43	46	78
108	web.de	712	36	46	78
109	web.de	712	39	46	78
110	web.de	712	36	46	78
111	web.de	712	39	46	78
112	web.de	712	37	46	78
113	web.de	712	37	46	78
114	web.de	712	37	46	78
115	web.de	712	35	46	78
116	web.de	712	31	46	78
117	web.de	712	37	46	78
118	web.de	712	36	46	78
119	web.de	712	35	46	78
120	web.de	712	40	46	78
121	web.de	710	43	45	77
122	web.de	712	38	46	78
123	web.de	712	44	46	78
124	web.de	712	40	46	78
125	web.de	712	41	46	78
126	web.de	712	40	46	78
127	web.de	712	40	46	78
128	web.de	712	40	46	78
129	web.de	712	38	46	78
130	web.de	712	38	46	78
131	web.de	710	34	45	77
132	web.de	710	32	45	77
133	web.de	710	32	45	77
134	web.de	710	32	45	77
135	web.de	710	33	45	77
136	web.de	710	33	44	77
137	web.de	710	32	45	77
138	web.de	710	33	45	77
139	web.de	712	33	46	78
140	web.de	700	49	37	68
141	web.de	700	40	37	68
142	web.de	700	42	37	68
143	web.de	700	39	37	68
144	web.de	700	43	37	68
145	web.de	700	42	37	68
146	web.de	700	39	37	68
147	web.de	788	118	73	392
148	web.de	888	182	164	239
149	web.de	880	51	47	406
150	web.de	721	58	92	368
151	web.de	721	40	46	78
152	web.de	721	35	46	78
153	web.de	721	38	46	78
154	tifbs.net	387	71	43	78
155	tifbs.net	408	34	29	85
156	tifbs.net	412	33	28	54
157	uimserv.net	388	48	43	79
158	uimserv.net	847	308	347	464
