num	name	http1	spdy3	delta	simple
1	web.de	491	265	293	244
2	web.de	367	150	146	126
3	web.de	381	86	113	98
4	web.de	489	50	170	235
5	web.de	321	124	127	109
6	web.de	318	55	63	64
7	web.de	319	68	63	65
8	web.de	319	75	82	73
9	web.de	320	49	66	74
10	web.de	321	67	88	75
11	web.de	322	81	99	105
12	web.de	320	82	90	103
13	web.de	321	72	83	75
14	web.de	281	64	93	96
15	web.de	321	65	86	84
16	web.de	281	44	73	65
17	web.de	320	67	77	114
18	web.de	320	54	60	66
19	web.de	281	41	75	96
20	web.de	322	56	79	116
21	web.de	321	74	88	75
22	web.de	322	67	83	105
23	web.de	322	78	94	105
24	web.de	333	41	82	120
25	web.de	320	47	75	109
26	web.de	319	60	90	102
27	web.de	321	76	91	83
28	web.de	321	59	89	83
29	web.de	281	45	73	65
30	web.de	321	38	52	84
31	web.de	319	82	92	81
32	web.de	319	50	65	72
33	web.de	318	65	75	101
34	web.de	319	57	67	73
35	web.de	319	52	67	73
36	web.de	322	77	89	76
37	web.de	333	45	79	120
38	web.de	332	54	72	73
39	web.de	322	49	76	111
40	web.de	321	58	91	104
41	web.de	322	72	93	105
42	web.de	321	61	92	104
43	web.de	320	46	69	82
44	web.de	322	50	74	105
45	web.de	319	62	92	102
46	web.de	321	66	82	73
47	web.de	321	64	92	104
48	web.de	323	74	85	77
49	web.de	318	44	64	72
50	web.de	333	54	80	120
51	web.de	319	49	73	87
52	web.de	321	62	92	83
53	web.de	320	60	83	72
54	web.de	320	47	73	103
55	web.de	330	37	80	118
56	web.de	323	52	71	112
57	web.de	331	33	37	119
58	web.de	333	44	71	74
59	web.de	332	33	32	73
60	web.de	321	61	90	79
61	web.de	317	70	109	100
62	web.de	316	67	81	70
63	web.de	323	41	52	105
64	web.de	318	64	91	80
65	web.de	316	63	93	99
66	web.de	323	58	94	105
67	web.de	316	65	89	99
68	web.de	316	59	81	70
69	web.de	319	48	69	93
70	web.de	320	45	63	74
71	web.de	323	50	72	77
72	web.de	318	50	73	101
73	web.de	315	58	85	69
74	web.de	316	60	81	70
75	web.de	320	47	64	73
76	web.de	317	55	85	70
77	web.de	317	65	81	70
78	web.de	318	40	68	101
79	web.de	317	67	89	91
80	web.de	318	62	88	101
81	web.de	321	59	87	74
82	web.de	317	53	81	70
83	web.de	318	68	87	80
84	web.de	321	55	70	83
85	web.de	316	46	64	70
86	web.de	321	72	94	104
87	web.de	318	60	91	101
88	web.de	328	103	142	118
89	web.de	489	59	114	231
90	web.de	322	76	121	118
91	web.de	318	56	113	109
92	web.de	495	191	222	258
93	web.de	321	70	119	119
94	web.de	321	50	65	65
95	web.de	321	66	86	73
96	web.de	321	58	83	73
97	web.de	321	74	83	73
98	web.de	319	55	81	71
99	web.de	319	57	82	71
100	web.de	319	64	82	71
101	web.de	319	70	82	71
102	web.de	320	55	83	72
103	web.de	321	67	83	73
104	web.de	320	62	83	72
105	web.de	330	45	74	87
106	web.de	320	59	91	78
107	web.de	330	44	74	87
108	web.de	320	53	69	70
109	web.de	320	56	82	72
110	web.de	331	43	74	88
111	web.de	320	58	92	78
112	web.de	320	54	84	72
113	web.de	331	43	74	88
114	web.de	320	58	91	78
115	web.de	320	57	83	72
116	web.de	320	53	83	72
117	web.de	331	36	74	88
118	web.de	320	52	68	70
119	web.de	332	45	74	89
120	web.de	320	54	69	70
121	web.de	331	38	70	88
122	web.de	320	60	90	78
123	web.de	321	61	83	73
124	web.de	321	61	83	73
125	web.de	321	58	83	73
126	web.de	321	59	83	73
127	web.de	321	70	105	81
128	web.de	321	50	67	81
129	web.de	321	58	87	73
130	web.de	321	60	89	81
131	web.de	319	61	82	71
132	web.de	319	38	40	71
133	web.de	319	55	67	71
134	web.de	319	34	46	71
135	web.de	319	58	86	71
136	web.de	319	55	82	71
137	web.de	319	58	81	71
138	web.de	319	59	80	71
139	web.de	320	57	87	72
140	web.de	319	62	93	102
141	web.de	318	73	80	72
142	web.de	318	56	87	72
143	web.de	320	61	90	103
144	web.de	316	62	90	99
145	web.de	316	59	81	70
146	web.de	317	59	81	71
147	web.de	495	45	82	258
148	web.de	493	55	71	103
149	web.de	495	39	81	119
150	web.de	330	56	103	115
151	web.de	331	53	72	72
152	web.de	320	62	91	78
153	web.de	321	65	83	73
154	tifbs.net	418	153	163	189
155	tifbs.net	416	51	66	77
156	tifbs.net	418	44	68	78
157	uimserv.net	456	251	258	279
158	uimserv.net	666	269	374	402
159	uimserv.net	622	119	200	251
160	uimserv.net	622	63	113	159
161	uimserv.net	459	97	204	226
162	uimserv.net	622	44	51	387
163	uimserv.net	456	69	78	224
164	uimserv.net	687	91	244	462
165	uimserv.net	499	113	148	283
166	uimserv.net	341	109	123	133
167	uimserv.net	676	89	241	457
168	uimserv.net	325	81	97	119
169	uimserv.net	681	56	148	457
170	uimserv.net	694	79	245	292
171	uimserv.net	691	62	143	187
172	uimserv.net	622	58	119	251
173	uimserv.net	499	41	133	283
174	uimserv.net	710	94	265	475
175	uimserv.net	727	68	264	321
176	uimserv.net	511	113	102	260
177	uimserv.net	739	61	283	508
178	uimserv.net	325	83	97	119
179	uimserv.net	740	65	307	513
180	uimserv.net	737	57	156	198
181	uimserv.net	621	59	121	250
182	uimserv.net	499	39	134	283
183	uimserv.net	722	69	279	485
184	uimserv.net	727	64	268	321
185	uimserv.net	511	33	36	260
186	uimserv.net	739	67	282	508
187	uimserv.net	736	63	302	336
188	uimserv.net	622	56	120	251
189	uimserv.net	499	45	130	283
190	adition.com	214	90	76	78
191	ui-portal.de	319	83	97	116
192	ui-portal.de	320	70	83	72
193	ui-portal.de	320	81	82	72
194	ui-portal.de	320	75	83	72
195	ui-portal.de	319	54	60	63
196	ui-portal.de	319	75	85	71
197	ui-portal.de	319	75	82	71
198	ui-portal.de	379	76	73	115
199	ui-portal.de	318	72	90	80
200	ui-portal.de	320	62	68	82
201	ui-portal.de	319	70	86	71
202	ui-portal.de	320	71	83	72
