num	name	http1	spdy3	delta	simple
1	amazon.com	293	192	207	184
2	amazon.com	297	31	27	38
3	amazon.com	535	219	191	221
4	amazon.com	527	94	132	153
5	amazon.com	534	119	109	158
6	amazon.com	1528	921	974	1138
7	amazon.com	904	325	355	592
8	amazon.com	677	131	120	170
9	amazon.com	864	199	281	577
10	amazon.com	514	42	37	241
11	amazon.com	842	301	307	558
12	amazon.com	1147	83	261	357
13	amazon.com	1703	396	579	1240
14	amazon.com	1010	159	172	254
15	amazon.com	1206	124	287	823
16	amazon.com	1197	52	53	95
17	amazon.com	1556	241	324	447
18	amazon.com	1600	254	466	572
19	amazon.com	1193	113	158	245
20	amazon.com	1161	143	122	217
21	amazon.com	1398	230	506	1032
22	amazon.com	1513	197	409	503
23	amazon.com	1161	87	82	183
24	amazon.com	1252	148	193	290
25	amazon.com	1489	217	575	1112
26	amazon.com	1158	141	268	805
27	amazon.com	1091	90	86	775
28	amazon.com	1156	141	130	178
29	amazon.com	1797	265	567	739
30	amazon.com	1181	87	104	200
31	amazon.com	1157	141	271	833
32	amazon.com	1428	204	498	1040
33	amazon.com	1402	163	379	468
34	amazon.com	952	62	58	103
35	amazon.com	972	67	57	121
36	amazon.com	1019	62	100	659
37	amazon.com	1441	203	353	477
38	amazon.com	1205	144	294	357
39	images-amazon.com	367	101	86	119
40	images-amazon.com	371	74	60	82
41	images-amazon.com	396	88	76	104
42	images-amazon.com	371	35	60	82
43	images-amazon.com	399	88	80	106
44	images-amazon.com	370	70	59	81
45	images-amazon.com	375	59	63	85
46	images-amazon.com	339	54	62	74
47	images-amazon.com	339	34	43	56
48	images-amazon.com	341	39	44	57
49	images-amazon.com	339	41	42	56
50	images-amazon.com	339	36	43	56
51	images-amazon.com	341	36	44	57
52	images-amazon.com	416	91	98	141
53	images-amazon.com	376	66	64	86
54	images-amazon.com	375	73	65	85
55	images-amazon.com	339	35	47	74
56	images-amazon.com	339	34	42	56
57	images-amazon.com	338	41	42	55
58	images-amazon.com	376	86	118	136
59	images-amazon.com	345	54	52	72
60	images-amazon.com	375	72	72	98
61	images-amazon.com	406	72	93	162
62	images-amazon.com	358	56	52	70
63	images-amazon.com	355	43	49	68
64	images-amazon.com	369	41	59	80
65	images-amazon.com	349	44	43	112
66	images-amazon.com	361	57	81	140
67	images-amazon.com	361	52	61	123
68	images-amazon.com	361	27	53	73
69	images-amazon.com	396	73	77	104
70	images-amazon.com	394	38	76	102
71	images-amazon.com	347	53	73	111
72	images-amazon.com	361	52	72	99
73	images-amazon.com	347	43	67	87
74	images-amazon.com	336	49	57	77
75	images-amazon.com	423	61	121	177
76	images-amazon.com	341	39	53	96
77	images-amazon.com	339	37	42	56
78	images-amazon.com	408	87	92	134
79	images-amazon.com	383	59	69	92
80	images-amazon.com	410	86	89	116
81	images-amazon.com	426	100	100	130
82	images-amazon.com	405	87	89	112
83	images-amazon.com	404	74	83	111
84	images-amazon.com	391	74	73	99
85	images-amazon.com	356	51	52	69
86	images-amazon.com	345	52	72	109
87	images-amazon.com	370	68	75	111
88	images-amazon.com	372	56	72	96
89	images-amazon.com	400	90	90	120
90	images-amazon.com	414	62	63	153
91	images-amazon.com	337	40	49	122
92	images-amazon.com	401	61	63	138
93	images-amazon.com	397	49	57	78
94	images-amazon.com	351	51	81	114
95	images-amazon.com	437	77	94	189
96	images-amazon.com	406	50	66	86
97	images-amazon.com	422	57	78	120
98	images-amazon.com	401	51	62	82
99	images-amazon.com	396	40	60	98
100	images-amazon.com	415	57	74	114
101	images-amazon.com	400	39	65	101
102	images-amazon.com	413	53	72	112
103	images-amazon.com	421	71	73	99
104	images-amazon.com	415	64	74	114
105	images-amazon.com	417	43	73	116
106	images-amazon.com	421	40	73	99
107	images-amazon.com	406	50	64	86
108	images-amazon.com	400	35	65	101
109	images-amazon.com	415	50	74	114
110	images-amazon.com	426	64	82	124
111	images-amazon.com	409	53	70	109
112	images-amazon.com	410	60	71	110
113	images-amazon.com	415	36	72	94
114	images-amazon.com	412	38	69	91
115	images-amazon.com	404	52	61	84
116	images-amazon.com	415	37	73	114
117	images-amazon.com	420	62	77	119
118	images-amazon.com	403	39	65	104
119	images-amazon.com	575	214	79	330
120	images-amazon.com	566	50	61	84
121	images-amazon.com	568	49	62	85
122	images-amazon.com	587	77	76	102
123	images-amazon.com	436	67	93	209
124	images-amazon.com	566	65	72	322
125	images-amazon.com	567	41	62	84
126	images-amazon.com	572	50	65	89
127	images-amazon.com	561	72	71	99
128	images-amazon.com	564	58	64	102
129	images-amazon.com	534	43	48	76
130	images-amazon.com	532	40	42	56
131	images-amazon.com	563	40	63	101
132	images-amazon.com	562	43	71	100
133	images-amazon.com	563	66	65	101
134	images-amazon.com	574	37	65	91
135	images-amazon.com	572	47	65	89
136	images-amazon.com	532	38	46	74
137	images-amazon.com	570	47	76	89
138	images-amazon.com	562	35	66	82
139	images-amazon.com	562	38	64	100
140	images-amazon.com	554	39	56	73
141	images-amazon.com	570	37	79	107
142	images-amazon.com	557	42	61	96
143	images-amazon.com	581	82	78	97
144	images-amazon.com	590	58	84	105
145	images-amazon.com	584	57	80	99
146	images-amazon.com	580	47	78	96
147	images-amazon.com	569	46	63	86
148	images-amazon.com	571	34	64	88
149	images-amazon.com	571	40	65	88
150	images-amazon.com	566	41	61	84
151	images-amazon.com	579	75	70	95
152	images-amazon.com	587	80	76	102
153	images-amazon.com	605	79	91	118
154	images-amazon.com	581	69	72	97
155	images-amazon.com	597	71	84	111
156	images-amazon.com	575	66	68	91
157	images-amazon.com	590	85	79	105
158	images-amazon.com	570	61	63	87
159	images-amazon.com	613	94	94	125
160	images-amazon.com	573	60	66	90
161	images-amazon.com	571	54	66	88
162	images-amazon.com	579	82	74	95
163	images-amazon.com	601	84	85	114
164	images-amazon.com	572	74	86	139
165	images-amazon.com	543	79	70	93
166	images-amazon.com	568	67	77	115
167	images-amazon.com	584	30	14	112
168	images-amazon.com	569	54	76	99
169	images-amazon.com	554	66	77	103
170	images-amazon.com	570	56	74	137
171	images-amazon.com	586	58	77	101
172	images-amazon.com	541	46	75	112
173	images-amazon.com	582	76	82	147
174	images-amazon.com	444	59	129	166
175	images-amazon.com	435	42	42	59
