num	name	http1	spdy3	delta	simple
1	amazon.com	242	122	162	91
2	amazon.com	759	418	487	518
3	amazon.com	884	141	142	182
4	amazon.com	125	44	40	41
5	amazon.com	898	132	159	623
6	amazon.com	141	55	45	54
7	amazon.com	591	138	213	413
8	amazon.com	903	124	109	434
9	amazon.com	215	77	58	84
10	amazon.com	707	117	91	427
11	amazon.com	125	28	28	41
12	amazon.com	215	53	76	117
13	amazon.com	883	124	103	571
14	amazon.com	780	132	139	303
15	amazon.com	823	71	80	137
16	amazon.com	823	57	41	114
17	amazon.com	816	122	121	174
18	amazon.com	591	124	105	126
19	amazon.com	611	121	121	160
20	amazon.com	611	117	118	133
21	amazon.com	591	113	98	134
22	amazon.com	591	113	94	126
23	amazon.com	611	117	123	160
24	amazon.com	732	189	162	213
25	amazon.com	591	118	125	142
26	amazon.com	215	59	51	76
27	amazon.com	611	112	105	400
28	amazon.com	611	51	41	126
29	amazon.com	591	116	100	134
30	amazon.com	611	115	122	160
31	amazon.com	215	60	75	92
32	amazon.com	591	116	98	374
33	amazon.com	591	115	95	126
34	amazon.com	611	114	99	152
35	amazon.com	611	119	116	133
36	amazon.com	611	118	113	133
37	amazon.com	591	118	120	142
38	amazon.com	591	113	96	126
39	images-amazon.com	455	286	280	245
40	images-amazon.com	454	131	132	140
41	images-amazon.com	455	114	127	140
42	images-amazon.com	454	118	125	140
43	images-amazon.com	474	145	142	147
44	images-amazon.com	458	140	141	143
45	images-amazon.com	456	132	128	141
46	images-amazon.com	457	124	132	142
47	images-amazon.com	457	120	124	133
48	images-amazon.com	488	160	146	155
49	images-amazon.com	457	128	124	133
50	images-amazon.com	458	125	124	133
51	images-amazon.com	458	123	124	133
52	images-amazon.com	456	117	122	132
53	images-amazon.com	456	128	129	141
54	images-amazon.com	458	116	131	143
55	images-amazon.com	458	122	125	133
56	images-amazon.com	457	115	124	133
57	images-amazon.com	485	126	126	153
58	images-amazon.com	317	112	146	111
59	images-amazon.com	317	67	93	77
60	images-amazon.com	317	61	85	77
61	images-amazon.com	455	120	138	245
62	images-amazon.com	455	123	126	132
63	images-amazon.com	474	134	126	147
64	images-amazon.com	456	116	132	141
65	images-amazon.com	468	128	148	152
66	images-amazon.com	334	65	102	104
67	images-amazon.com	456	117	134	245
68	images-amazon.com	456	109	107	125
69	images-amazon.com	455	115	131	140
70	images-amazon.com	455	114	123	132
71	images-amazon.com	332	76	98	124
72	images-amazon.com	333	68	85	77
73	images-amazon.com	333	71	86	77
74	images-amazon.com	333	61	86	77
75	images-amazon.com	271	75	96	81
76	images-amazon.com	457	118	135	246
77	images-amazon.com	457	114	121	133
78	images-amazon.com	458	117	122	133
79	images-amazon.com	476	123	129	148
80	images-amazon.com	457	117	132	142
81	images-amazon.com	457	115	128	142
82	images-amazon.com	457	115	123	133
83	images-amazon.com	456	118	128	141
84	images-amazon.com	456	114	125	133
85	images-amazon.com	476	118	127	149
86	images-amazon.com	333	69	101	125
87	images-amazon.com	317	72	92	84
88	images-amazon.com	317	62	85	77
89	images-amazon.com	317	57	86	77
90	images-amazon.com	317	64	87	77
91	images-amazon.com	453	120	131	243
92	images-amazon.com	457	120	122	133
93	images-amazon.com	456	121	125	133
94	images-amazon.com	333	72	99	125
95	images-amazon.com	456	112	131	245
96	images-amazon.com	458	121	130	143
97	images-amazon.com	333	73	100	125
98	images-amazon.com	333	67	86	77
99	images-amazon.com	456	122	136	245
100	images-amazon.com	332	66	94	124
101	images-amazon.com	458	112	135	247
102	images-amazon.com	333	65	94	125
103	images-amazon.com	363	103	108	124
104	images-amazon.com	457	106	133	246
105	images-amazon.com	388	64	122	172
106	images-amazon.com	363	59	90	91
107	images-amazon.com	388	59	93	112
108	images-amazon.com	458	110	134	247
109	images-amazon.com	388	61	98	172
110	images-amazon.com	458	113	132	247
111	images-amazon.com	389	74	118	173
112	images-amazon.com	457	117	132	246
113	images-amazon.com	458	100	125	133
114	images-amazon.com	458	108	123	133
115	images-amazon.com	455	119	131	140
116	images-amazon.com	388	62	97	172
117	images-amazon.com	456	118	135	245
118	images-amazon.com	332	49	75	124
119	images-amazon.com	455	117	132	245
120	images-amazon.com	478	137	144	156
