num	name	http1	spdy3	delta	simple
1	baidu.com	292	191	206	183
2	baidu.com	303	37	25	35
3	baidu.com	296	31	31	37
4	baidu.com	374	125	125	137
5	baidu.com	376	42	33	49
6	baidu.com	362	32	22	93
7	baidu.com	418	104	100	147
8	baidu.com	418	62	58	81
9	baidu.com	366	75	72	81
10	baidu.com	581	207	202	269
11	baidu.com	408	83	72	88
12	baidu.com	385	35	39	118
13	baidu.com	484	115	132	204
14	baidu.com	427	88	68	135
15	baidu.com	380	43	46	94
16	baidu.com	427	35	43	135
17	baidu.com	424	42	32	49
18	baidu.com	430	33	35	113
19	baidu.com	428	32	45	112
20	baidu.com	424	28	32	49
21	baidu.com	377	38	44	91
22	baidu.com	377	29	25	39
23	baidu.com	420	79	90	119
24	baidu.com	427	31	48	165
25	baidu.com	427	31	35	51
26	baidu.com	420	35	30	45
27	baidu.com	424	32	32	49
28	baidu.com	475	83	83	106
29	baidu.com	401	47	37	52
30	baidu.com	407	42	38	54
31	baidu.com	424	34	42	91
32	baidu.com	437	45	42	60
33	baidu.com	440	42	44	63
34	baidu.com	431	47	38	55
35	baidu.com	426	38	34	50
36	baidu.com	399	61	57	111
37	baidu.com	425	41	41	133
38	baidu.com	424	31	32	49
39	baidu.com	426	34	34	50
40	baidu.com	426	27	34	50
41	baidu.com	426	27	34	50
42	baidu.com	426	27	34	50
43	baidu.com	426	27	34	50
44	baidu.com	365	68	60	111
45	baidu.com	426	27	44	164
46	baidu.com	426	28	34	50
47	baidu.com	439	52	44	75
48	baidu.com	424	43	37	62
49	baidu.com	427	59	51	165
50	baidu.com	436	88	77	133
51	baidu.com	426	28	42	134
52	baidu.com	426	27	34	50
53	baidu.com	426	29	34	50
54	baidu.com	424	31	32	49
55	baidu.com	426	27	34	50
56	baidu.com	409	47	46	78
57	baidu.com	421	39	41	89
58	baidu.com	661	135	219	286
59	baidu.com	660	35	41	59
60	baidu.com	667	41	45	65
61	baidu.com	447	45	53	112
62	baidu.com	493	124	118	151
63	baidu.com	550	125	92	204
64	baidu.com	425	33	39	150
65	baidu.com	799	237	244	476
66	baidu.com	499	60	62	121
67	baidu.com	802	415	445	523
68	baidu.com	823	38	383	490
69	baidu.com	421	53	77	119
70	baidu.com	411	33	46	66
71	baidu.com	419	33	52	73
72	baidu.com	407	33	44	63
73	baidu.com	411	30	46	66
74	baidu.com	419	85	61	88
75	baidu.com	821	64	52	469
76	baidu.com	419	31	61	118
77	baidu.com	411	30	47	66
78	baidu.com	407	32	43	63
79	baidu.com	403	33	40	59
80	baidu.com	371	73	61	76
81	baidu.com	411	30	56	111
82	baidu.com	562	175	168	253
83	baidu.com	635	104	170	346
84	baidu.com	636	46	70	113
85	baidu.com	546	52	35	49
86	baidu.com	814	40	54	533
87	baidu.com	629	45	34	371
88	baidu.com	631	84	75	140
89	baidu.com	663	209	257	342
90	baidu.com	663	107	219	342
91	baidu.com	594	63	83	311
92	baidu.com	594	31	38	56
93	baidu.com	605	33	37	127
94	baidu.com	413	57	58	182
95	baidu.com	409	48	43	63
96	baidu.com	405	44	40	59
97	baidu.com	423	60	52	75
98	baidu.com	398	54	44	68
99	baidu.com	593	42	46	279
100	baidu.com	595	41	39	57
101	baidu.com	425	70	62	132
102	baidu.com	419	57	51	71
103	baidu.com	419	56	49	71
104	baidu.com	417	56	49	70
105	baidu.com	413	55	46	66
106	baidu.com	417	53	49	70
107	baidu.com	417	53	47	70
108	baidu.com	421	57	51	73
109	baidu.com	419	51	51	71
110	baidu.com	599	68	59	284
111	baidu.com	593	34	46	279
112	baidu.com	593	31	38	56
113	baidu.com	593	31	38	56
114	baidu.com	605	48	46	66
115	baidu.com	594	33	38	56
116	baidu.com	415	53	55	123
117	baidu.com	419	55	51	71
118	baidu.com	413	52	46	66
119	baidu.com	421	56	51	73
120	baidu.com	421	55	52	73
121	baidu.com	413	48	46	66
122	baidu.com	417	56	49	70
123	baidu.com	593	33	46	279
124	baidu.com	593	31	38	56
125	baidu.com	594	32	38	56
