num	name	http1	spdy3	delta	simple
1	baidu.com	300	162	163	101
2	baidu.com	303	66	70	68
3	baidu.com	408	209	231	216
4	baidu.com	312	101	117	107
5	baidu.com	309	64	62	61
6	baidu.com	526	112	126	261
7	baidu.com	296	111	156	109
8	baidu.com	298	87	87	72
9	baidu.com	163	49	70	58
10	baidu.com	289	88	107	102
11	baidu.com	253	85	116	96
12	baidu.com	354	176	196	205
13	baidu.com	296	73	118	109
14	baidu.com	285	68	93	78
15	baidu.com	282	83	99	97
16	baidu.com	285	43	58	83
17	baidu.com	284	47	43	44
18	baidu.com	242	49	66	70
19	baidu.com	285	41	57	90
20	baidu.com	359	60	99	83
21	baidu.com	280	53	72	95
22	baidu.com	280	38	32	48
23	baidu.com	163	25	28	54
24	baidu.com	284	47	58	87
25	baidu.com	515	67	60	227
26	baidu.com	359	45	58	83
27	baidu.com	284	37	52	44
28	baidu.com	209	51	56	47
29	baidu.com	329	52	75	101
30	baidu.com	329	39	36	39
31	baidu.com	285	43	65	76
32	baidu.com	514	58	60	226
33	baidu.com	359	46	52	67
34	baidu.com	284	51	47	44
35	baidu.com	284	40	42	44
36	baidu.com	208	64	66	59
37	baidu.com	283	49	68	81
38	baidu.com	285	40	56	70
39	baidu.com	358	52	100	91
40	baidu.com	284	39	54	53
41	baidu.com	514	49	32	211
42	baidu.com	284	33	30	45
43	baidu.com	284	31	20	37
44	baidu.com	272	89	118	131
45	baidu.com	285	33	42	82
46	baidu.com	284	31	30	54
47	baidu.com	285	48	60	70
48	baidu.com	283	46	57	69
49	baidu.com	184	33	39	57
50	baidu.com	284	62	74	108
51	baidu.com	284	34	42	90
52	baidu.com	359	36	32	68
53	baidu.com	514	34	32	211
54	baidu.com	285	40	58	70
55	baidu.com	284	34	56	70
56	baidu.com	329	35	60	95
57	baidu.com	357	57	101	77
58	baidu.com	283	48	54	53
59	baidu.com	283	44	43	44
60	baidu.com	283	37	43	44
61	baidu.com	358	41	54	67
62	baidu.com	580	119	158	249
63	baidu.com	410	55	47	90
64	baidu.com	284	41	56	54
65	baidu.com	410	42	71	128
66	baidu.com	357	47	77	64
67	baidu.com	335	76	129	114
68	baidu.com	330	51	63	71
69	baidu.com	254	83	100	81
70	baidu.com	254	68	78	57
71	baidu.com	254	72	74	57
72	baidu.com	254	66	74	57
73	baidu.com	253	55	73	56
74	baidu.com	254	40	38	91
75	baidu.com	328	64	67	128
76	baidu.com	254	63	86	81
77	baidu.com	253	62	73	56
78	baidu.com	254	64	72	57
79	baidu.com	254	56	73	57
80	baidu.com	458	242	246	280
81	baidu.com	253	58	81	80
82	baidu.com	232	75	85	92
83	baidu.com	412	49	86	155
84	baidu.com	412	24	8	46
85	baidu.com	373	46	42	49
86	baidu.com	331	51	74	111
87	baidu.com	400	60	104	129
88	baidu.com	356	40	74	71
89	baidu.com	289	33	60	88
90	baidu.com	232	25	32	71
91	baidu.com	357	53	101	107
92	baidu.com	282	43	25	35
93	baidu.com	286	38	22	56
94	baidu.com	254	65	84	81
95	baidu.com	254	67	74	57
96	baidu.com	253	56	72	56
97	baidu.com	252	57	74	56
98	baidu.com	282	67	91	102
99	baidu.com	358	35	44	104
100	baidu.com	358	32	20	41
101	baidu.com	253	58	83	80
102	baidu.com	252	59	73	56
103	baidu.com	252	50	72	56
104	baidu.com	254	59	73	57
105	baidu.com	254	60	74	57
106	baidu.com	253	54	74	56
107	baidu.com	254	50	74	57
108	baidu.com	253	57	74	56
109	baidu.com	253	58	72	56
110	baidu.com	359	44	60	100
111	baidu.com	358	29	32	57
112	baidu.com	283	32	28	36
113	baidu.com	358	30	28	59
114	baidu.com	283	42	50	44
115	baidu.com	357	31	29	66
116	baidu.com	253	60	84	80
117	baidu.com	253	58	73	56
118	baidu.com	253	57	74	56
119	baidu.com	253	51	74	56
120	baidu.com	253	52	74	56
121	baidu.com	253	57	74	56
122	baidu.com	254	59	74	57
123	baidu.com	283	26	26	86
124	baidu.com	358	38	76	75
125	baidu.com	282	36	25	35
126	baidu.com	358	33	24	67
127	baidu.com	282	30	25	43
128	baidu.com	357	33	25	58
129	baidu.com	253	58	87	80
130	baidu.com	253	54	73	56
131	baidu.com	484	93	108	214
132	baidu.com	252	54	85	84
133	baidu.com	254	61	80	65
134	baidu.com	253	54	80	64
135	baidu.com	252	57	74	56
136	baidu.com	252	58	72	56
137	baidu.com	253	60	72	56
138	baidu.com	283	32	37	86
139	baidu.com	357	31	27	58
140	baidu.com	357	30	19	40
141	baidu.com	253	56	84	80
142	baidu.com	253	53	73	56
143	baidu.com	253	58	73	56
144	baidu.com	252	58	73	56
145	baidu.com	252	54	72	56
146	baidu.com	254	56	74	57
147	baidu.com	253	50	74	56
148	baidu.com	253	50	74	56
149	baidu.com	284	31	30	87
150	baidu.com	282	29	19	35
151	baidu.com	284	28	20	37
152	baidu.com	283	30	20	36
153	baidu.com	253	58	82	80
154	baidu.com	252	53	73	56
155	baidu.com	253	61	74	56
156	baidu.com	252	54	73	56
157	baidu.com	254	57	73	57
158	baidu.com	252	55	73	56
159	baidu.com	254	56	74	57
160	baidu.com	253	53	73	56
161	baidu.com	253	61	74	56
162	baidu.com	283	41	52	86
163	baidu.com	359	37	32	68
164	baidu.com	282	31	27	35
165	baidu.com	282	36	66	51
166	baidu.com	358	46	61	91
167	baidu.com	359	31	30	58
168	baidu.com	254	65	88	81
169	baidu.com	252	58	79	63
170	baidu.com	252	46	73	56
171	baidu.com	254	62	74	57
172	baidu.com	252	47	73	56
173	baidu.com	254	59	75	57
174	baidu.com	253	53	73	56
175	baidu.com	253	60	72	56
176	baidu.com	283	33	38	86
177	baidu.com	283	40	35	69
178	baidu.com	357	38	37	91
179	baidu.com	283	46	54	53
180	baidu.com	252	52	89	79
181	baidu.com	254	55	73	57
182	baidu.com	254	59	73	57
183	baidu.com	253	53	74	56
184	baidu.com	254	58	73	57
185	baidu.com	253	51	73	56
186	baidu.com	253	55	72	56
187	baidu.com	253	53	72	56
188	baidu.com	252	54	73	56
189	baidu.com	253	49	74	56
190	baidu.com	251	52	72	55
191	baidu.com	253	54	73	56
192	baidu.com	253	58	74	56
193	baidu.com	254	52	74	57
194	baidu.com	254	54	74	57
195	baidu.com	253	55	72	56
196	baidu.com	253	48	74	56
197	baidu.com	253	53	73	56
198	baidu.com	254	62	74	57
199	baidu.com	253	54	72	56
200	baidu.com	253	55	74	56
201	baidu.com	254	60	74	57
202	baidu.com	253	44	72	56
203	baidu.com	253	56	72	56
204	baidu.com	253	52	74	56
205	baidu.com	253	50	73	56
206	baidu.com	254	54	73	57
207	baidu.com	253	56	100	64
208	baidu.com	253	57	73	56
209	baidu.com	254	59	73	57
210	baidu.com	283	30	40	91
211	baidu.com	253	57	84	84
212	baidu.com	253	55	73	56
213	baidu.com	254	58	74	57
214	baidu.com	251	50	72	55
215	baidu.com	253	55	73	56
216	baidu.com	254	55	74	57
217	baidu.com	253	51	73	56
218	baidu.com	254	59	73	57
219	baidu.com	253	50	74	56
220	baidu.com	253	59	74	56
221	baidu.com	251	46	72	55
222	baidu.com	254	58	74	57
223	baidu.com	254	55	74	57
224	baidu.com	252	53	72	56
225	baidu.com	253	47	74	56
226	baidu.com	253	54	74	56
227	baidu.com	253	52	73	56
228	baidu.com	253	50	73	56
229	baidu.com	253	52	73	56
230	baidu.com	254	56	74	57
231	baidu.com	253	52	74	56
232	baidu.com	253	55	98	64
233	baidu.com	253	50	73	56
234	baidu.com	254	59	74	57
235	baidu.com	251	51	72	55
236	baidu.com	253	54	74	56
237	baidu.com	253	53	74	56
238	baidu.com	297	106	96	104
239	baidu.com	470	161	70	202
240	baidu.com	372	82	50	70
241	baidu.com	297	50	51	43
242	baidu.com	372	39	31	66
243	baidu.com	373	36	18	49
244	baidu.com	281	42	26	59
245	baidu.com	253	49	81	80
246	baidu.com	253	59	74	56
247	baidu.com	251	54	72	55
248	baidu.com	252	46	73	56
249	baidu.com	253	48	72	56
250	baidu.com	253	51	74	56
251	baidu.com	253	59	74	56
252	baidu.com	253	55	74	56
253	baidu.com	372	36	41	121
254	baidu.com	284	48	51	54
255	baidu.com	359	36	28	59
256	baidu.com	254	57	86	71
257	baidu.com	253	55	73	56
258	baidu.com	253	54	74	56
259	baidu.com	253	51	73	56
260	baidu.com	252	53	73	56
261	baidu.com	253	51	74	56
262	baidu.com	254	55	74	57
263	baidu.com	253	49	73	56
264	baidu.com	253	49	73	56
265	baidu.com	261	84	70	102
266	baidu.com	254	57	83	81
267	baidu.com	359	46	60	100
268	baidu.com	253	52	81	70
269	baidu.com	253	58	73	56
270	baidu.com	252	51	99	63
271	baidu.com	254	54	78	65
272	baidu.com	254	60	79	65
273	baidu.com	252	50	73	56
274	baidu.com	254	58	74	57
275	baidu.com	253	57	72	56
276	baidu.com	252	51	73	56
277	baidu.com	254	56	72	57
278	baidu.com	472	50	64	203
279	baidu.com	253	55	86	84
280	baidu.com	254	57	74	57
281	baidu.com	252	55	73	56
282	baidu.com	254	55	74	57
283	baidu.com	253	48	73	56
284	baidu.com	253	48	73	56
285	baidu.com	253	46	73	56
286	baidu.com	254	55	74	57
287	baidu.com	259	62	69	100
288	baidu.com	253	48	80	80
289	baidu.com	253	53	72	56
290	baidu.com	254	55	73	57
291	baidu.com	253	54	74	56
292	baidu.com	254	56	74	57
293	baidu.com	360	38	42	109
294	baidu.com	254	54	82	79
295	baidu.com	253	54	74	56
296	baidu.com	253	52	74	56
297	baidu.com	253	52	71	56
298	baidu.com	253	46	73	56
299	baidu.com	254	54	74	57
300	baidu.com	253	53	72	56
301	baidu.com	252	51	99	63
302	baidu.com	253	51	73	56
303	baidu.com	253	52	74	56
304	baidu.com	253	50	76	64
305	baidu.com	253	46	78	64
306	baidu.com	254	59	73	57
307	baidu.com	253	55	74	56
308	baidu.com	253	58	74	56
309	baidu.com	254	58	73	57
