num	name	http1	spdy3	delta	simple
1	bbc.co.uk	292	192	206	183
2	bbc.co.uk	502	177	169	211
3	bbc.co.uk	494	75	58	70
4	bbc.co.uk	513	40	31	93
5	bbc.co.uk	861	300	318	574
6	bbc.co.uk	952	85	302	624
7	bbc.co.uk	1079	371	472	765
8	bbc.co.uk	1123	95	81	110
9	bbc.co.uk	1108	42	48	130
10	bbc.co.uk	1092	45	56	116
11	bbc.co.uk	1267	135	220	236
12	bbc.co.uk	1282	194	207	898
13	bbc.co.uk	1852	342	518	685
14	bbc.co.uk	1184	60	68	100
15	bbc.co.uk	1246	111	93	867
16	bbc.co.uk	1070	111	160	713
17	bbc.co.uk	2038	322	957	1604
18	bbc.co.uk	1575	75	221	228
19	bbc.co.uk	1420	45	48	162
20	bbc.co.uk	1524	203	644	1155
21	bbc.co.uk	1910	129	427	549
22	bbc.co.uk	1383	46	44	153
23	bbc.co.uk	1795	201	756	1392
24	bbc.co.uk	1409	62	201	203
25	bbc.co.uk	1258	39	24	100
26	bbc.co.uk	1272	46	39	144
27	bbc.co.uk	1279	78	66	139
28	bbc.co.uk	1278	47	55	77
29	bbc.co.uk	1889	250	822	1444
30	bbc.co.uk	1425	65	208	212
31	bbc.co.uk	1273	46	46	147
32	bbcimg.co.uk	294	67	59	84
33	bbcimg.co.uk	295	40	33	47
34	bbcimg.co.uk	301	38	36	52
35	bbcimg.co.uk	324	31	37	91
36	bbcimg.co.uk	353	75	65	91
37	bbcimg.co.uk	351	32	41	58
38	bbcimg.co.uk	352	34	41	59
39	bbcimg.co.uk	353	29	42	60
40	bbcimg.co.uk	326	46	39	53
41	bbcimg.co.uk	335	42	41	57
42	bbcimg.co.uk	340	47	45	62
43	bbcimg.co.uk	328	47	36	51
44	bbcimg.co.uk	338	40	43	60
45	bbcimg.co.uk	359	40	50	82
46	bbcimg.co.uk	352	29	42	59
47	bbcimg.co.uk	344	51	50	69
48	bbcimg.co.uk	350	44	44	74
49	bbcimg.co.uk	370	53	48	91
50	bbcimg.co.uk	379	52	50	70
51	bbcimg.co.uk	376	49	48	67
52	bbcimg.co.uk	380	47	51	70
53	bbcimg.co.uk	384	52	54	74
54	bbcimg.co.uk	353	52	45	77
55	bbcimg.co.uk	332	39	43	58
56	bbcimg.co.uk	383	50	57	103
57	bbcimg.co.uk	379	41	51	70
58	bbcimg.co.uk	385	54	55	75
59	bbcimg.co.uk	368	39	55	90
60	bbcimg.co.uk	332	32	42	58
61	bbcimg.co.uk	377	45	53	98
62	bbcimg.co.uk	330	32	47	71
63	bbcimg.co.uk	336	37	41	57
64	bbcimg.co.uk	321	41	35	60
65	bbcimg.co.uk	352	30	52	91
66	bbcimg.co.uk	323	37	43	65
67	bbcimg.co.uk	329	35	37	52
68	bbcimg.co.uk	332	34	39	55
69	bbcimg.co.uk	339	41	43	61
70	bbcimg.co.uk	387	54	100	151
71	bbcimg.co.uk	385	43	48	67
72	bbcimg.co.uk	405	49	105	137
73	bbcimg.co.uk	389	34	95	123
74	bbcimg.co.uk	339	39	53	109
75	bbcimg.co.uk	386	37	58	150
76	bbcimg.co.uk	412	44	58	143
77	bbcimg.co.uk	406	59	106	138
78	bbcimg.co.uk	382	34	52	117
79	bbcimg.co.uk	391	55	101	140
80	bbcimg.co.uk	379	43	61	129
81	bbcimg.co.uk	388	32	54	122
82	bbcimg.co.uk	374	53	55	110
83	bbcimg.co.uk	394	61	64	87
84	bbcimg.co.uk	348	39	54	117
85	bbcimg.co.uk	318	33	41	56
86	bbcimg.co.uk	371	50	57	102
87	bbcimg.co.uk	368	37	51	70
88	bbcimg.co.uk	368	40	51	70
89	bbcimg.co.uk	370	47	52	71
90	bbcimg.co.uk	368	39	51	70
91	bbcimg.co.uk	369	46	51	70
92	bbcimg.co.uk	368	41	50	70
93	bbcimg.co.uk	368	44	51	70
94	bbcimg.co.uk	364	38	48	66
95	bbcimg.co.uk	368	34	51	70
96	bbcimg.co.uk	368	41	51	70
97	bbcimg.co.uk	368	39	51	70
98	bbcimg.co.uk	368	41	51	70
99	bbcimg.co.uk	368	31	51	70
100	bbcimg.co.uk	372	49	52	73
101	bbcimg.co.uk	368	38	51	70
102	bbcimg.co.uk	377	52	56	77
103	bbcimg.co.uk	375	53	55	76
104	bbcimg.co.uk	368	39	51	70
105	bbcimg.co.uk	375	48	55	76
106	bbcimg.co.uk	368	46	51	70
107	bbcimg.co.uk	396	75	70	94
108	bbcimg.co.uk	390	37	55	124
109	bbcimg.co.uk	413	51	58	144
110	bbcimg.co.uk	365	58	56	102
111	bbcimg.co.uk	364	45	51	70
112	bbcimg.co.uk	364	43	51	70
113	bbcimg.co.uk	364	38	51	70
114	bbcimg.co.uk	366	44	52	71
115	bbcimg.co.uk	364	41	50	70
116	bbcimg.co.uk	367	48	52	72
117	bbcimg.co.uk	364	45	51	70
118	bbcimg.co.uk	374	46	58	78
119	bbcimg.co.uk	364	40	51	70
120	bbcimg.co.uk	364	41	51	70
121	bbcimg.co.uk	367	42	53	72
122	bbcimg.co.uk	363	40	50	69
123	bbcimg.co.uk	361	47	49	67
124	bbcimg.co.uk	365	44	51	70
125	bbcimg.co.uk	367	48	52	72
126	bbcimg.co.uk	361	40	48	67
127	bbcimg.co.uk	364	41	50	70
128	bbcimg.co.uk	367	48	52	72
129	bbcimg.co.uk	364	43	51	70
130	bbcimg.co.uk	364	39	50	70
131	bbcimg.co.uk	392	74	70	94
132	bbcimg.co.uk	407	46	55	139
133	bbcimg.co.uk	367	46	57	104
134	bbcimg.co.uk	371	56	56	76
135	bbcimg.co.uk	372	48	55	77
136	bbcimg.co.uk	365	37	51	70
137	bbcimg.co.uk	364	43	51	70
138	bbcimg.co.uk	373	52	56	77
139	bbcimg.co.uk	372	49	55	108
140	bbci.co.uk	316	80	71	104
141	bbci.co.uk	331	34	51	83
142	bbci.co.uk	315	54	50	69
143	bbci.co.uk	319	41	49	69
144	bbci.co.uk	341	64	58	91
145	bbci.co.uk	322	39	41	58
146	bbci.co.uk	324	54	57	77
147	bbci.co.uk	331	34	57	79
148	bbci.co.uk	306	34	40	57
149	bbci.co.uk	325	50	55	74
150	bbci.co.uk	313	40	45	63
151	bbci.co.uk	316	47	47	66
152	bbci.co.uk	371	55	69	118
153	bbci.co.uk	371	32	65	88
154	bbci.co.uk	371	79	64	88
155	bbci.co.uk	371	27	64	88
156	bbci.co.uk	372	31	65	89
157	bbci.co.uk	329	56	50	81
158	bbci.co.uk	312	33	49	66
159	bbci.co.uk	362	37	62	110
160	bbci.co.uk	424	45	119	154
161	bbci.co.uk	306	34	50	80
162	bbci.co.uk	396	50	106	159
163	bbci.co.uk	415	56	63	86
164	bbci.co.uk	384	30	42	59
165	bbci.co.uk	394	33	48	68
166	bbci.co.uk	366	62	83	118
167	bbci.co.uk	366	38	63	84
168	bbci.co.uk	366	38	63	84
169	bbci.co.uk	394	33	58	142
170	bbci.co.uk	323	32	63	95
171	bbci.co.uk	364	57	69	126
172	bbci.co.uk	394	36	56	142
173	bbci.co.uk	367	51	74	119
174	bbci.co.uk	366	39	63	84
175	bbci.co.uk	380	60	71	97
176	bbci.co.uk	369	48	64	87
177	bbci.co.uk	362	57	59	81
178	bbci.co.uk	369	41	63	87
179	bbci.co.uk	363	35	60	82
180	bbci.co.uk	366	42	62	84
181	bbci.co.uk	350	62	52	70
182	bbci.co.uk	350	34	51	70
183	bbci.co.uk	368	43	63	86
184	bbci.co.uk	351	53	52	71
185	bbci.co.uk	369	40	64	87
186	bbci.co.uk	362	39	59	81
187	bbci.co.uk	387	68	78	103
188	bbci.co.uk	351	34	52	71
189	bbci.co.uk	351	34	52	71
190	bbci.co.uk	351	35	52	71
191	bbci.co.uk	351	38	53	71
192	bbci.co.uk	351	32	52	71
193	bbci.co.uk	369	57	64	87
194	bbci.co.uk	351	34	52	71
195	bbci.co.uk	334	97	66	119
196	bbci.co.uk	429	96	69	146
197	bbci.co.uk	390	40	68	124
198	bbci.co.uk	346	43	52	70
199	bbci.co.uk	343	54	52	79
200	bbci.co.uk	445	54	81	160
201	bbci.co.uk	439	50	82	211
202	bbci.co.uk	356	47	65	124
203	bbci.co.uk	352	48	46	76
204	bbci.co.uk	511	169	184	230
205	bbci.co.uk	384	46	101	163
206	bbci.co.uk	473	87	157	241
207	bbci.co.uk	337	82	71	119
208	bbci.co.uk	464	74	148	230
209	googletagservices.com	293	60	53	80
210	doubleclick.net	554	245	230	283
211	doubleclick.net	554	41	159	206
212	doubleclick.net	591	76	186	238
213	doubleclick.net	574	60	174	224
214	doubleclick.net	574	33	174	224
215	doubleclick.net	574	33	174	224
216	doubleclick.net	574	33	174	224
217	doubleclick.net	568	54	170	218
218	doubleclick.net	574	33	174	224
219	doubleclick.net	574	33	174	224
220	doubleclick.net	522	146	125	182
221	doubleclick.net	575	38	178	228
222	doubleclick.net	716	153	254	367
223	doubleclick.net	740	67	267	343
224	doubleclick.net	936	328	426	531
225	doubleclick.net	734	76	270	354
226	doubleclick.net	757	65	277	358
227	doubleclick.net	704	64	240	312
228	doubleclick.net	704	32	240	312
229	doubleclick.net	884	248	350	489
230	doubleclick.net	755	76	286	376
231	doubleclick.net	696	52	236	305
232	doubleclick.net	736	116	275	385
233	doubleclick.net	760	44	287	365
234	doubleclick.net	949	115	420	546
235	doubleclick.net	754	45	288	376
236	doubleclick.net	777	45	298	380
237	doubleclick.net	724	44	260	334
238	doubleclick.net	724	35	260	334
239	doubleclick.net	775	45	297	378
240	doubleclick.net	716	44	256	327
241	doubleclick.net	707	109	260	359
242	doubleclick.net	717	38	263	333
243	doubleclick.net	695	44	245	314
