num	name	http1	spdy3	delta	simple
1	bbc.co.uk	494	323	340	335
2	bbc.co.uk	426	228	253	231
3	bbc.co.uk	381	113	185	122
4	bbc.co.uk	529	97	123	230
5	bbc.co.uk	849	448	568	608
6	bbc.co.uk	318	46	42	42
7	bbc.co.uk	352	108	133	104
8	bbc.co.uk	382	124	117	133
9	bbc.co.uk	339	59	76	98
10	bbc.co.uk	398	47	53	120
11	bbc.co.uk	477	161	218	212
12	bbc.co.uk	275	98	125	121
13	bbc.co.uk	318	29	56	155
14	bbc.co.uk	269	37	51	116
15	bbc.co.uk	386	64	93	154
16	bbc.co.uk	436	126	200	174
17	bbc.co.uk	318	28	50	158
18	bbc.co.uk	329	35	89	88
19	bbc.co.uk	339	40	80	147
20	bbc.co.uk	329	34	85	99
21	bbc.co.uk	318	27	46	144
22	bbc.co.uk	339	39	75	147
23	bbc.co.uk	318	27	46	155
24	bbc.co.uk	329	32	85	88
25	bbc.co.uk	227	34	36	84
26	bbc.co.uk	340	46	75	144
27	bbc.co.uk	399	72	130	125
28	bbc.co.uk	341	55	91	63
29	bbc.co.uk	318	30	50	155
30	bbc.co.uk	328	35	62	80
31	bbc.co.uk	339	40	86	147
32	bbcimg.co.uk	346	99	98	125
33	bbcimg.co.uk	345	73	105	78
34	bbcimg.co.uk	347	55	102	80
35	bbcimg.co.uk	345	57	83	78
36	bbcimg.co.uk	308	80	93	84
37	bbcimg.co.uk	308	48	79	69
38	bbcimg.co.uk	308	40	57	61
39	bbcimg.co.uk	306	45	79	67
40	bbcimg.co.uk	350	101	106	112
41	bbcimg.co.uk	350	52	80	75
42	bbcimg.co.uk	349	59	80	74
43	bbcimg.co.uk	350	69	79	75
44	bbcimg.co.uk	350	53	80	75
45	bbcimg.co.uk	307	51	85	76
46	bbcimg.co.uk	308	47	80	69
47	bbcimg.co.uk	324	60	85	91
48	bbcimg.co.uk	334	69	87	98
49	bbcimg.co.uk	335	67	86	84
50	bbcimg.co.uk	336	64	86	84
51	bbcimg.co.uk	335	60	86	84
52	bbcimg.co.uk	310	55	88	78
53	bbcimg.co.uk	310	48	80	69
54	bbcimg.co.uk	308	55	86	77
55	bbcimg.co.uk	325	50	86	91
56	bbcimg.co.uk	263	64	110	82
57	bbcimg.co.uk	336	51	88	109
58	bbcimg.co.uk	336	70	83	83
59	bbcimg.co.uk	309	51	88	77
60	bbcimg.co.uk	325	43	78	99
61	bbcimg.co.uk	337	65	90	101
62	bbcimg.co.uk	347	53	90	99
63	bbcimg.co.uk	347	46	106	80
64	bbcimg.co.uk	349	57	107	98
65	bbcimg.co.uk	330	49	70	84
66	bbcimg.co.uk	350	55	110	120
67	bbcimg.co.uk	350	53	80	75
68	bbcimg.co.uk	350	49	63	83
69	bbcimg.co.uk	350	46	64	75
70	bbcimg.co.uk	334	62	92	91
71	bbcimg.co.uk	334	51	93	83
72	bbcimg.co.uk	309	46	66	77
73	bbcimg.co.uk	309	49	89	77
74	bbcimg.co.uk	350	43	67	112
75	bbcimg.co.uk	336	44	68	84
76	bbcimg.co.uk	335	41	89	83
77	bbcimg.co.uk	334	47	83	74
78	bbcimg.co.uk	335	41	67	91
79	bbcimg.co.uk	330	50	89	84
80	bbcimg.co.uk	337	75	112	109
81	bbcimg.co.uk	334	40	65	91
82	bbcimg.co.uk	336	58	90	92
83	bbcimg.co.uk	336	54	86	84
