num	name	http1	spdy3	delta	simple
1	ebay.com	291	189	206	182
2	ebay.com	295	31	26	36
3	ebay.com	711	404	435	443
4	ebay.com	869	180	205	588
5	ebay.com	895	50	35	63
6	ebay.com	1118	327	595	735
7	ebay.com	1281	181	144	189
8	ebay.com	1271	273	708	933
9	ebay.com	1417	74	235	917
10	ebay.com	1430	221	704	862
11	ebay.com	1778	595	1174	1365
12	ebay.com	1587	418	934	1091
13	ebay.com	1519	103	84	1028
14	ebay.com	1735	110	314	1219
15	ebay.com	1662	162	924	1195
16	ebay.com	1565	235	910	1093
17	ebay.com	1744	56	49	1249
18	ebay.com	1768	142	775	1288
19	ebay.com	1615	230	890	1091
20	ebay.com	1852	74	168	1297
21	ebay.com	1573	162	905	1054
22	ebay.com	1590	82	150	1069
23	ebay.com	1676	168	876	1087
24	ebay.com	2040	449	1257	1606
25	ebay.com	1809	73	286	1403
26	ebay-stories.com	337	87	65	122
27	ebaystatic.com	313	52	43	53
28	ebaystatic.com	372	84	68	91
29	ebaystatic.com	337	53	43	60
30	ebaystatic.com	336	36	42	59
31	ebaystatic.com	347	51	50	69
32	ebaystatic.com	364	90	83	98
33	ebaystatic.com	360	60	63	78
34	ebaystatic.com	361	51	62	79
35	ebaystatic.com	326	85	84	94
36	ebaystatic.com	309	66	50	64
37	ebaystatic.com	333	61	60	100
38	ebaystatic.com	342	83	79	108
39	ebaystatic.com	333	41	60	100
40	ebaystatic.com	326	55	52	94
41	ebaystatic.com	333	40	62	100
42	ebaystatic.com	333	38	36	70
43	ebaystatic.com	333	34	36	51
44	ebaystatic.com	333	37	36	51
45	ebaystatic.com	376	76	79	108
46	ebaystatic.com	309	57	57	79
47	ebaystatic.com	327	42	62	91
48	ebaystatic.com	389	55	107	168
49	ebaystatic.com	384	68	111	133
50	ebaystatic.com	377	48	43	70
51	ebaystatic.com	384	28	43	62
52	ebaystatic.com	390	41	43	125
53	ebaystatic.com	372	49	85	109
54	ebaystatic.com	329	65	63	115
55	ebaystatic.com	365	56	71	112
56	ebaystatic.com	387	73	83	102
57	ebaystatic.com	319	39	24	77
58	ebaystatic.com	378	27	14	91
59	ebaystatic.com	347	55	47	63
60	ebaystatic.com	349	37	52	79
61	ebaystatic.com	341	47	46	72
62	ebaystatic.com	338	40	40	56
63	ebaystatic.com	347	49	50	77
64	ebaystatic.com	319	26	14	39
65	ebaystatic.com	332	58	57	94
66	ebaystatic.com	332	54	47	63
67	ebaystatic.com	344	59	48	105
68	ebaystatic.com	344	51	49	75
69	ebaystatic.com	344	51	53	75
70	ebaystatic.com	344	48	44	75
71	ebaystatic.com	344	47	43	56
72	ebaystatic.com	315	59	53	79
73	ebaystatic.com	332	56	49	79
74	ebaystatic.com	344	48	53	105
75	ebaystatic.com	344	51	63	75
76	ebaystatic.com	344	46	43	56
77	ebaystatic.com	344	47	42	75
78	ebaystatic.com	344	48	43	75
79	ebaystatic.com	344	47	43	75
80	ebaystatic.com	344	48	42	75
81	ebaystatic.com	344	48	43	75
82	ebaystatic.com	344	47	43	75
83	ebaystatic.com	344	47	43	75
84	ebaystatic.com	344	47	44	75
85	ebaystatic.com	344	47	43	75
86	ebaystatic.com	344	47	45	75
87	ebaystatic.com	344	48	44	75
88	ebaystatic.com	344	47	44	75
89	ebaystatic.com	344	47	43	56
90	ebaystatic.com	344	47	43	56
91	ebaystatic.com	315	57	55	79
92	ebaystatic.com	315	52	45	61
93	ebaystatic.com	344	48	55	105
94	ebaystatic.com	376	47	93	126
95	ebaystatic.com	377	41	44	70
96	ebaystatic.com	380	47	96	130
97	ebaystatic.com	372	43	42	109
98	ebaystatic.com	315	55	58	103
99	ebaystatic.com	315	53	45	61
100	ebaystatic.com	322	33	39	85
101	ebaystatic.com	350	55	46	63
102	ebaystatic.com	344	52	45	75
103	ebaystatic.com	477	179	51	215
104	ebaystatic.com	474	47	40	55
105	ebaystatic.com	477	38	41	57
106	ebaystatic.com	482	58	48	76
107	ebaystatic.com	482	52	48	76
108	ebaystatic.com	482	52	47	76
109	ebaystatic.com	482	49	44	56
110	ebaystatic.com	482	51	44	76
111	ebaystatic.com	498	48	75	119
112	ebaystatic.com	452	60	56	79
113	ebaystatic.com	482	51	48	105
114	ebaystatic.com	482	47	45	56
115	ebaystatic.com	483	37	71	106
116	ebaystatic.com	477	45	51	101
117	ebaystatic.com	475	40	39	56
118	ebaystatic.com	478	47	46	72
119	ebaystatic.com	474	40	43	69
120	ebaystatic.com	473	43	42	68
121	ebaystatic.com	477	39	41	57
122	ebaystatic.com	480	27	14	74
123	ebaystatic.com	480	40	47	74
124	ebaystatic.com	480	44	48	74
125	ebaystatic.com	482	48	49	76
126	ebaystatic.com	476	33	45	70
127	ebaystatic.com	478	31	42	58
128	ebaystatic.com	474	40	42	69
129	ebaystatic.com	480	36	47	74
130	ebaystatic.com	478	33	42	58
131	ebaystatic.com	436	83	38	179
132	ebaystatic.com	456	38	50	77
133	ebaystatic.com	451	38	45	73
134	ebaystatic.com	453	24	14	58
135	ebaystatic.com	452	47	42	57
136	ebaystatic.com	443	33	34	49
137	ebaystatic.com	457	51	46	62
138	ebaystatic.com	446	40	38	52
139	ebaystatic.com	435	61	49	89
140	ebaystatic.com	435	54	43	57
141	ebaystatic.com	435	53	42	57
142	ebaystatic.com	456	39	55	107
143	ebaystatic.com	478	54	84	126
144	ebaystatic.com	435	57	46	72
145	ebaystatic.com	435	54	41	57
146	ebaystatic.com	453	59	48	105
147	ebaystatic.com	453	49	43	56
148	ebaystatic.com	453	51	48	75
149	ebaystatic.com	435	58	43	89
150	ebaystatic.com	380	58	100	160
151	ebaystatic.com	463	51	88	232
152	ebaystatic.com	384	59	63	163
153	ebaystatic.com	452	74	65	223
154	ebaystatic.com	369	41	91	150
155	ebaystatic.com	366	42	46	118
156	ebaystatic.com	453	34	44	194
157	ebaystatic.com	394	55	80	142
158	ebaystatic.com	419	62	53	194
159	ebaystatic.com	373	36	53	154
160	ebaystatic.com	419	55	51	194
161	ebaystatic.com	419	54	41	56
162	ebaystatic.com	419	54	42	56
163	ebaystatic.com	383	27	26	162
164	ebaystatic.com	445	35	47	187
165	ebaystatic.com	498	80	45	68
166	ebaystatic.com	383	45	57	133
167	ebaystatic.com	454	57	54	195
168	ebaystatic.com	448	184	169	219
169	ebaystatic.com	443	64	82	211
170	ebaystatic.com	419	57	48	71
171	ebaystatic.com	450	51	49	102
172	ebaystatic.com	508	127	75	199
173	ebaystatic.com	510	33	18	71
174	ebaystatic.com	429	58	54	76
175	ebaystatic.com	561	28	28	245
176	ebaystatic.com	563	27	18	71
177	ebaystatic.com	487	60	82	110
178	ebaystatic.com	374	84	66	154
179	ebaystatic.com	354	57	40	70
180	ebaystatic.com	374	42	75	118
181	ebaystatic.com	354	42	40	100
182	ebaystatic.com	370	101	85	114
183	ebaystatic.com	354	40	46	100
184	ebaystatic.com	354	37	36	70
185	ebaystatic.com	354	47	36	51
186	ebaystatic.com	359	33	75	105
187	ebaystatic.com	375	61	64	119
