num	name	http1	spdy3	delta	simple
1	ebay.com	266	199	180	154
2	ebay.com	418	252	243	247
3	ebay.com	528	282	326	354
4	ebay.com	452	75	84	247
5	ebay.com	304	66	112	136
6	ebay.com	179	41	50	56
7	ebay.com	350	41	91	150
8	ebay.com	254	66	113	113
9	ebay.com	466	134	233	259
10	ebay.com	571	123	164	203
11	ebay.com	578	46	114	164
12	ebay.com	284	148	174	164
13	ebay.com	256	63	94	123
14	ebay.com	573	43	122	313
15	ebay.com	577	67	192	247
16	ebay.com	274	56	95	119
17	ebay.com	571	40	120	311
18	ebay.com	577	72	189	247
19	ebay.com	560	71	221	357
20	ebay.com	571	37	98	303
21	ebay.com	560	63	217	357
22	ebay.com	361	102	193	207
23	ebay.com	576	94	181	315
24	ebay.com	556	60	214	354
25	ebay.com	583	67	204	322
26	ebay-stories.com	241	124	132	106
27	ebaystatic.com	265	109	106	93
28	ebaystatic.com	227	70	80	70
29	ebaystatic.com	269	78	81	74
30	ebaystatic.com	226	55	60	60
31	ebaystatic.com	198	50	43	40
32	ebaystatic.com	422	175	216	207
33	ebaystatic.com	424	92	122	118
34	ebaystatic.com	422	86	120	116
35	ebaystatic.com	333	102	145	115
36	ebaystatic.com	349	74	116	103
37	ebaystatic.com	274	71	86	74
38	ebaystatic.com	366	80	92	122
39	ebaystatic.com	274	57	84	74
40	ebaystatic.com	333	65	78	107
41	ebaystatic.com	274	55	88	74
42	ebaystatic.com	274	55	80	64
43	ebaystatic.com	274	59	80	64
44	ebaystatic.com	275	69	80	65
45	ebaystatic.com	429	104	134	204
46	ebaystatic.com	350	64	93	130
47	ebaystatic.com	384	44	52	85
48	ebaystatic.com	226	75	95	94
49	ebaystatic.com	270	67	70	66
50	ebaystatic.com	296	82	87	79
51	ebaystatic.com	226	37	54	69
52	ebaystatic.com	271	61	72	67
53	ebaystatic.com	298	74	82	72
54	ebaystatic.com	467	98	144	237
55	ebaystatic.com	426	85	129	128
56	ebaystatic.com	429	71	124	121
57	ebaystatic.com	297	32	38	119
58	ebaystatic.com	299	34	26	82
59	ebaystatic.com	264	50	72	77
60	ebaystatic.com	297	60	84	83
61	ebaystatic.com	298	54	69	72
62	ebaystatic.com	298	48	71	72
63	ebaystatic.com	297	66	66	71
64	ebaystatic.com	265	27	26	69
65	ebaystatic.com	334	74	96	124
66	ebaystatic.com	333	67	79	69
67	ebaystatic.com	273	72	82	73
68	ebaystatic.com	274	57	86	64
69	ebaystatic.com	274	56	88	64
70	ebaystatic.com	274	68	79	64
71	ebaystatic.com	274	66	80	64
72	ebaystatic.com	349	75	88	121
73	ebaystatic.com	333	63	86	89
74	ebaystatic.com	274	53	88	74
75	ebaystatic.com	274	64	80	64
76	ebaystatic.com	274	59	79	64
77	ebaystatic.com	273	67	80	63
78	ebaystatic.com	274	64	80	64
79	ebaystatic.com	274	61	79	64
80	ebaystatic.com	274	63	79	64
81	ebaystatic.com	274	64	80	64
82	ebaystatic.com	274	55	79	64
83	ebaystatic.com	274	56	79	64
84	ebaystatic.com	273	55	79	63
85	ebaystatic.com	274	63	79	64
86	ebaystatic.com	273	62	78	63
87	ebaystatic.com	274	59	80	64
