num	name	http1	spdy3	delta	simple
1	fbcdn.net	339	241	238	217
2	fbcdn.net	324	54	61	72
3	fbcdn.net	324	40	41	56
4	fbcdn.net	339	46	48	85
5	fbcdn.net	308	50	50	58
6	fbcdn.net	324	41	47	72
7	fbcdn.net	308	41	45	58
8	fbcdn.net	374	51	93	138
9	fbcdn.net	308	40	50	80
10	fbcdn.net	374	47	94	138
11	fbcdn.net	308	37	50	80
12	fbcdn.net	374	41	51	138
13	fbcdn.net	308	40	51	80
14	fbcdn.net	374	99	89	133
15	fbcdn.net	335	55	75	120
16	fbcdn.net	335	40	42	56
17	fbcdn.net	350	41	45	85
18	fbcdn.net	374	42	48	108
19	fbcdn.net	319	41	51	90
20	fbcdn.net	374	41	52	138
21	fbcdn.net	335	40	51	104
22	fbcdn.net	335	40	41	56
23	fbcdn.net	374	41	51	138
24	fbcdn.net	374	47	88	108
25	fbcdn.net	374	41	42	56
26	fbcdn.net	374	41	41	56
27	fbcdn.net	374	38	41	56
28	fbcdn.net	319	43	50	90
29	fbcdn.net	319	40	41	55
30	fbcdn.net	319	39	41	55
31	fbcdn.net	319	40	41	55
32	fbcdn.net	319	40	42	55
33	fbcdn.net	319	40	40	55
34	fbcdn.net	319	40	41	55
35	fbcdn.net	319	40	41	55
36	fbcdn.net	319	40	40	55
37	fbcdn.net	385	64	88	133
38	fbcdn.net	387	51	59	80
39	fbcdn.net	382	47	56	76
40	fbcdn.net	386	48	59	79
41	fbcdn.net	350	45	45	72
42	fbcdn.net	350	40	41	56
43	fbcdn.net	319	44	45	58
44	fbcdn.net	473	135	119	210
45	fbcdn.net	470	39	118	153
46	fbcdn.net	374	43	52	125
47	fbcdn.net	365	68	82	100
48	fbcdn.net	350	42	44	72
49	fbcdn.net	374	46	93	138
50	fbcdn.net	374	41	42	56
51	fbcdn.net	334	43	51	103
52	fbcdn.net	374	38	51	138
53	fbcdn.net	414	96	95	160
54	fbcdn.net	413	63	72	96
55	fbcdn.net	414	60	91	115
56	fbcdn.net	414	63	93	115
57	fbcdn.net	414	63	93	115
58	fbcdn.net	414	58	79	115
59	fbcdn.net	414	59	72	97
60	fbcdn.net	400	61	81	103
61	fbcdn.net	402	48	58	80
62	fbcdn.net	400	47	57	78
63	fbcdn.net	401	47	58	79
64	fbcdn.net	488	59	119	155
65	fbcdn.net	484	37	117	152
66	fbcdn.net	414	62	76	115
67	fbcdn.net	415	62	77	116
68	fbcdn.net	415	64	77	116
69	fbcdn.net	415	59	72	98
70	fbcdn.net	362	49	43	70
71	fbcdn.net	428	85	127	172
72	fbcdn.net	428	61	77	115
73	fbcdn.net	427	62	75	114
74	fbcdn.net	428	56	73	97
75	fbcdn.net	428	61	76	115
76	fbcdn.net	429	62	72	98
77	fbcdn.net	427	60	72	96
78	fbcdn.net	428	61	76	115
79	fbcdn.net	429	58	72	98
80	fbcdn.net	428	58	73	97
81	fbcdn.net	428	56	76	115
82	fbcdn.net	428	56	73	97
83	fbcdn.net	429	60	73	98
84	fbcdn.net	428	57	72	97
85	fbcdn.net	428	57	72	97
86	fbcdn.net	428	58	76	115
87	fbcdn.net	428	59	76	115
88	fbcdn.net	428	54	77	115
89	fbcdn.net	427	58	76	114
90	fbcdn.net	429	58	73	98
91	fbcdn.net	428	56	73	97
92	fbcdn.net	428	55	72	97
93	fbcdn.net	428	55	73	97
94	fbcdn.net	426	58	76	113
95	fbcdn.net	429	61	76	116
96	fbcdn.net	429	55	76	116
97	fbcdn.net	427	59	75	114
98	fbcdn.net	428	59	76	115
99	fbcdn.net	427	58	75	114
100	fbcdn.net	427	54	76	114
101	fbcdn.net	354	66	94	137
102	fbcdn.net	374	61	95	138
103	fbcdn.net	374	41	42	56
104	fbcdn.net	338	42	50	106
105	fbcdn.net	338	40	41	55
106	fbcdn.net	338	40	41	55
107	fbcdn.net	374	41	52	138
108	fbcdn.net	374	41	44	108
109	fbcdn.net	338	41	51	106
110	fbcdn.net	354	41	45	72
111	fbcdn.net	374	41	51	138
112	fbcdn.net	409	98	147	168
113	fbcdn.net	409	24	8	56
114	fbcdn.net	348	42	47	58
115	fbcdn.net	338	42	47	103
116	verisign.com	362	99	66	128
117	facebook.com	430	88	85	147
