num	name	http1	spdy3	delta	simple
1	fbcdn.net	395	256	218	162
2	fbcdn.net	456	165	169	179
3	fbcdn.net	439	131	135	131
4	fbcdn.net	378	117	137	135
5	fbcdn.net	455	119	162	184
6	fbcdn.net	439	85	93	152
7	fbcdn.net	453	123	156	172
8	fbcdn.net	443	119	137	154
9	fbcdn.net	473	98	133	175
10	fbcdn.net	424	112	134	139
11	fbcdn.net	455	104	132	166
12	fbcdn.net	424	105	131	139
13	fbcdn.net	454	95	133	165
14	fbcdn.net	454	230	260	286
15	fbcdn.net	438	104	134	178
16	fbcdn.net	437	117	124	129
17	fbcdn.net	442	118	155	161
18	fbcdn.net	442	93	112	140
19	fbcdn.net	455	101	138	174
20	fbcdn.net	425	103	156	147
21	fbcdn.net	438	103	134	159
22	fbcdn.net	439	90	127	131
23	fbcdn.net	444	96	134	155
24	fbcdn.net	422	104	131	137
25	fbcdn.net	423	98	134	138
26	fbcdn.net	422	84	130	137
27	fbcdn.net	425	118	131	140
28	fbcdn.net	455	95	158	174
29	fbcdn.net	474	96	112	147
30	fbcdn.net	454	105	151	138
31	fbcdn.net	455	84	93	139
32	fbcdn.net	455	105	130	131
33	fbcdn.net	474	95	113	154
34	fbcdn.net	455	112	134	139
35	fbcdn.net	455	111	130	139
36	fbcdn.net	454	92	111	130
37	fbcdn.net	455	106	123	287
38	fbcdn.net	456	93	101	140
39	fbcdn.net	484	114	120	162
40	fbcdn.net	484	99	105	148
41	fbcdn.net	441	99	133	175
42	fbcdn.net	441	81	102	136
43	fbcdn.net	455	89	102	174
44	fbcdn.net	480	78	67	294
45	fbcdn.net	183	74	64	70
46	fbcdn.net	424	114	134	157
47	fbcdn.net	443	91	137	162
48	fbcdn.net	457	101	139	161
49	fbcdn.net	442	109	154	156
50	fbcdn.net	443	100	131	140
51	fbcdn.net	473	103	130	175
52	fbcdn.net	442	105	153	156
53	fbcdn.net	228	78	76	70
54	fbcdn.net	228	44	44	41
55	fbcdn.net	268	55	66	50
56	fbcdn.net	268	45	44	42
57	fbcdn.net	229	45	44	42
58	fbcdn.net	228	42	44	41
59	fbcdn.net	269	44	48	51
60	fbcdn.net	456	96	128	287
61	fbcdn.net	457	90	100	141
62	fbcdn.net	483	92	108	161
63	fbcdn.net	483	91	102	147
64	fbcdn.net	479	75	62	117
65	fbcdn.net	183	70	61	70
66	fbcdn.net	228	47	52	69
67	fbcdn.net	229	38	45	42
68	fbcdn.net	228	47	51	50
69	fbcdn.net	229	46	51	51
70	fbcdn.net	445	115	152	188
71	fbcdn.net	268	48	80	84
72	fbcdn.net	228	46	48	41
73	fbcdn.net	229	47	44	42
74	fbcdn.net	228	39	44	41
75	fbcdn.net	228	46	50	50
76	fbcdn.net	268	47	48	51
77	fbcdn.net	228	39	52	50
78	fbcdn.net	228	43	43	41
79	fbcdn.net	228	40	43	41
80	fbcdn.net	268	49	64	50
81	fbcdn.net	228	40	44	41
82	fbcdn.net	228	41	44	41
83	fbcdn.net	228	40	44	41
84	fbcdn.net	228	39	44	41
85	fbcdn.net	228	43	50	50
86	fbcdn.net	228	42	44	42
87	fbcdn.net	228	46	72	58
88	fbcdn.net	228	39	43	41
89	fbcdn.net	228	39	43	41
90	fbcdn.net	228	43	50	50
91	fbcdn.net	228	41	48	49
92	fbcdn.net	228	34	49	50
93	fbcdn.net	228	35	43	41
94	fbcdn.net	268	45	47	50
95	fbcdn.net	268	51	76	68
96	fbcdn.net	228	43	50	49
97	fbcdn.net	228	37	44	42
98	fbcdn.net	228	37	49	50
99	fbcdn.net	268	41	52	60
100	fbcdn.net	228	37	48	42
101	fbcdn.net	457	105	159	198
102	fbcdn.net	442	103	136	148
103	fbcdn.net	376	100	134	125
104	fbcdn.net	454	108	135	183
105	fbcdn.net	473	104	151	154
106	fbcdn.net	454	107	134	130
107	fbcdn.net	422	92	109	137
108	fbcdn.net	442	95	131	145
109	fbcdn.net	455	97	136	174
110	fbcdn.net	456	105	157	174
111	fbcdn.net	444	105	133	158
112	fbcdn.net	461	135	176	173
113	fbcdn.net	461	31	56	87
114	fbcdn.net	474	111	131	184
115	fbcdn.net	473	115	154	148
116	verisign.com	353	138	210	168
117	facebook.com	364	102	176	177
