num	name	http1	spdy3	delta	simple
1	flickr.com	293	191	207	184
2	flickr.com	362	83	72	89
3	flickr.com	402	88	93	112
4	flickr.com	392	44	36	53
5	flickr.com	477	137	98	176
6	flickr.com	718	219	267	417
7	flickr.com	1226	421	473	882
8	flickr.com	796	51	54	125
9	flickr.com	918	83	180	556
10	flickr.com	918	44	98	128
11	flickr.com	908	45	92	119
12	flickr.com	854	46	29	69
13	flickr.com	889	47	85	159
14	flickr.com	878	48	71	93
15	flickr.com	918	79	97	128
16	flickr.com	966	48	127	170
17	flickr.com	972	42	131	175
18	flickr.com	972	37	131	175
19	yahoo.com	548	259	251	301
20	yahoo.com	685	212	229	281
21	yahoo.com	683	177	210	283
22	yahoo.com	1336	171	725	990
23	yahoo.com	1298	323	604	906
24	yahoo.com	1365	87	690	1015
25	yahoo.com	1363	69	640	954
26	yahoo.com	1375	69	695	1024
27	yahoo.com	1373	69	646	963
28	yahoo.com	1373	35	8	806
29	yahoo.com	1373	35	8	806
30	yahoo.com	1375	63	694	1024
31	yahoo.com	1373	65	647	963
32	yahoo.com	1378	96	703	1027
33	yahoo.com	1587	204	793	1159
34	yahoo.com	1587	38	8	1002
35	yahoo.com	1587	38	8	1002
36	yahoo.com	1327	73	674	982
37	yahoo.com	1536	82	765	1122
38	yahoo.com	1417	88	711	988
39	yahoo.com	476	54	58	238
40	yahoo.com	1303	75	652	917
41	yahoo.com	1391	99	674	997
42	yahoo.com	518	39	56	159
43	yahoo.com	1394	80	685	959
44	yahoo.com	1439	101	677	1002
45	yahoo.com	524	37	26	164
46	yahoo.com	1452	68	716	1005
47	yahoo.com	1504	80	716	1054
48	yahoo.com	524	31	26	164
49	yahoo.com	1460	68	723	1012
50	yahoo.com	1512	76	722	1061
51	yahoo.com	1512	37	8	904
52	yahoo.com	524	32	91	164
53	yahoo.com	1460	61	722	1012
54	yahoo.com	1512	69	718	1061
55	yahoo.com	1512	37	8	904
56	yahoo.com	1512	37	8	904
57	yahoo.com	1512	37	8	904
58	yimg.com	301	77	58	91
59	staticflickr.com	375	89	66	155
60	staticflickr.com	375	44	39	56
61	staticflickr.com	375	39	40	56
62	staticflickr.com	386	70	71	84
63	staticflickr.com	375	50	41	75
64	staticflickr.com	375	46	41	56
65	staticflickr.com	375	28	40	56
66	staticflickr.com	386	55	51	65
67	staticflickr.com	385	56	69	84
68	staticflickr.com	386	57	71	84
69	staticflickr.com	375	49	40	75
70	staticflickr.com	375	45	40	56
71	staticflickr.com	375	50	40	56
72	staticflickr.com	375	43	41	56
73	staticflickr.com	375	47	40	56
74	staticflickr.com	375	43	40	56
75	staticflickr.com	375	45	41	56
76	staticflickr.com	375	40	40	56
77	staticflickr.com	375	30	40	56
78	staticflickr.com	375	30	41	56
79	staticflickr.com	396	73	75	144
80	staticflickr.com	385	33	45	75
81	staticflickr.com	385	32	45	115
82	staticflickr.com	385	34	45	115
83	staticflickr.com	375	61	44	106
84	staticflickr.com	375	46	41	56
85	staticflickr.com	375	43	41	56
86	staticflickr.com	375	44	40	56
87	staticflickr.com	375	45	41	56
88	staticflickr.com	375	46	41	56
89	staticflickr.com	375	30	40	56
90	staticflickr.com	375	30	40	56
91	staticflickr.com	375	30	41	56
92	staticflickr.com	375	30	41	56
93	staticflickr.com	375	30	41	56
94	staticflickr.com	375	30	40	56
95	staticflickr.com	375	29	41	56
96	staticflickr.com	375	30	40	56
