num	name	http1	spdy3	delta	simple
1	linkedin.com	295	193	208	186
2	linkedin.com	299	30	28	40
3	linkedin.com	731	370	356	390
4	linkedin.com	474	165	166	236
5	linkedin.com	948	423	459	558
6	linkedin.com	910	189	252	616
7	linkedin.com	928	67	52	527
8	linkedin.com	1125	226	408	805
9	linkedin.com	1132	50	62	87
10	linkedin.com	938	97	237	641
11	linkedin.com	945	54	106	564
12	linkedin.com	947	69	104	566
13	linkedin.com	1088	117	289	689
14	linkedin.com	735	114	208	363
15	linkedin.com	994	127	163	690
16	linkedin.com	1092	190	296	704
17	linkedin.com	826	167	180	544
18	linkedin.com	981	75	103	679
19	linkedin.com	994	99	260	677
20	linkedin.com	826	37	68	544
21	linkedin.com	1133	161	270	812
22	linkedin.com	983	62	51	539
23	linkedin.com	998	101	261	680
24	linkedin.com	1136	154	264	741
25	linkedin.com	825	51	50	543
26	linkedin.com	982	61	76	679
27	linkedin.com	992	106	253	675
28	linkedin.com	1135	157	266	742
29	licdn.com	347	80	91	131
30	licdn.com	346	40	77	92
31	licdn.com	381	106	99	123
32	licdn.com	372	79	80	115
33	licdn.com	812	36	397	483
34	licdn.com	1082	585	608	736
35	licdn.com	368	35	43	112
36	licdn.com	374	50	76	154
37	licdn.com	758	36	337	434
38	licdn.com	434	139	129	207
39	licdn.com	379	50	52	98
40	licdn.com	380	24	14	69
41	licdn.com	451	32	120	161
42	licdn.com	736	96	321	393
43	licdn.com	902	155	460	555
44	licdn.com	376	43	46	140
45	licdn.com	381	59	56	72
46	licdn.com	381	39	39	56
47	licdn.com	381	40	39	56
48	licdn.com	381	43	39	56
49	licdn.com	381	43	39	56
50	licdn.com	381	39	39	56
51	licdn.com	381	41	38	56
52	licdn.com	381	40	39	56
53	licdn.com	381	41	40	56
54	licdn.com	381	38	40	56
55	licdn.com	381	40	40	56
56	licdn.com	396	60	50	70
57	licdn.com	383	43	43	117
58	licdn.com	380	43	44	114
59	imrworldwide.com	490	202	177	220
60	imrworldwide.com	562	51	121	198
61	imrworldwide.com	589	55	138	222
62	imrworldwide.com	601	54	143	232
63	imrworldwide.com	600	51	145	231
64	imrworldwide.com	631	62	156	259
65	imrworldwide.com	654	56	171	279
66	imrworldwide.com	650	50	171	275
67	google-analytics.com	287	55	49	78
68	google-analytics.com	765	295	349	454
69	google-analytics.com	614	66	239	292
70	google-analytics.com	835	169	386	507
71	google-analytics.com	811	96	367	486
72	google-analytics.com	821	96	369	495
73	google-analytics.com	775	97	339	455
74	google-analytics.com	640	46	238	291
75	google-analytics.com	898	109	416	562
76	google-analytics.com	654	46	238	290
77	google-analytics.com	838	76	370	510
78	google-analytics.com	655	44	237	289
79	google-analytics.com	831	71	368	504
80	google-analytics.com	654	42	238	291
81	quantserve.com	285	49	48	77
82	quantserve.com	496	159	183	239
83	quantserve.com	617	95	226	314
84	quantserve.com	648	62	223	315
85	quantserve.com	661	61	229	326
86	quantserve.com	663	61	234	328
87	quantserve.com	699	79	250	359
88	quantserve.com	722	86	265	379
89	quantserve.com	717	70	263	375
90	scorecardresearch.com	352	98	93	129
91	scorecardresearch.com	547	91	146	211
92	scorecardresearch.com	657	55	212	300
93	scorecardresearch.com	661	56	212	303
94	scorecardresearch.com	672	56	215	313
95	scorecardresearch.com	646	56	200	290
96	scorecardresearch.com	695	55	224	333
97	scorecardresearch.com	720	55	240	355
98	scorecardresearch.com	713	55	237	349
99	doubleclick.net	480	189	166	241
100	doubleclick.net	495	47	92	174
101	doubleclick.net	495	48	93	174
102	doubleclick.net	698	223	194	296
103	doubleclick.net	497	44	99	179
104	doubleclick.net	700	31	194	296
105	doubleclick.net	496	51	99	178
106	doubleclick.net	697	35	194	296
107	thawte.com	360	93	65	70
108	2mdn.net	537	77	247	297
109	2mdn.net	580	67	48	90
110	2mdn.net	585	58	244	300
111	betrad.com	557	79	69	315
112	betrad.com	551	37	27	63
113	betrad.com	528	44	32	43
114	betrad.com	529	45	32	276
115	betrad.com	569	55	39	79
116	betrad.com	555	34	25	37
117	betrad.com	655	104	106	135
118	betrad.com	656	53	289	361
119	doubleverify.com	653	158	133	399
120	doubleverify.com	738	113	66	409
121	doubleverify.com	738	30	14	385
122	comodoca.com	362	40	38	128
123	media6degrees.com	374	98	81	154
124	media6degrees.com	398	44	28	145
125	media6degrees.com	468	57	78	149
126	media6degrees.com	630	219	220	351
127	agkn.com	637	109	103	385
128	agkn.com	760	139	190	448
